ngram,Unsafe
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,3.156638480764481e-07
1506,3.156638480764481e-07
1507,3.156638480764481e-07
1508,3.156638480764481e-07
1509,3.156638480764481e-07
1510,3.156638480764481e-07
1511,3.156638480764481e-07
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,2.972419354461765e-07
1549,2.972419354461765e-07
1550,2.972419354461765e-07
1551,2.972419354461765e-07
1552,2.972419354461765e-07
1553,2.972419354461765e-07
1554,2.972419354461765e-07
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,8.008010711689297e-08
1607,8.008010711689297e-08
1608,8.008010711689297e-08
1609,8.008010711689297e-08
1610,8.008010711689297e-08
1611,8.008010711689297e-08
1612,8.008010711689297e-08
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,5.361563434494851e-08
1659,5.361563434494851e-08
1660,5.361563434494851e-08
1661,5.361563434494851e-08
1662,5.361563434494851e-08
1663,5.361563434494851e-08
1664,5.361563434494851e-08
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,2.016103297007378e-08
1683,2.016103297007378e-08
1684,2.016103297007378e-08
1685,2.016103297007378e-08
1686,2.016103297007378e-08
1687,2.016103297007378e-08
1688,2.016103297007378e-08
1689,0.0
1690,0.0
1691,2.446605305652026e-08
1692,2.446605305652026e-08
1693,2.446605305652026e-08
1694,2.446605305652026e-08
1695,5.547965997720894e-08
1696,5.547965997720894e-08
1697,5.547965997720894e-08
1698,3.101360692068868e-08
1699,3.101360692068868e-08
1700,3.101360692068868e-08
1701,3.101360692068868e-08
1702,3.595548037083063e-08
1703,4.6996690221996166e-08
1704,7.298198921392083e-08
1705,9.129759856055638e-08
1706,1.1344836435357917e-07
1707,1.256008173657262e-07
1708,1.256008173657262e-07
1709,1.01670353152323e-07
1710,9.062914330115746e-08
1711,7.433617302662502e-08
1712,8.861082432888776e-08
1713,7.72780737179346e-08
1714,9.384045134603574e-08
1715,1.2780751238291748e-07
1716,1.1578249622549005e-07
1717,1.1578249622549005e-07
1718,1.21573680392625e-07
1719,1.0215316186596673e-07
1720,1.0039627491258735e-07
1721,7.168144427233919e-08
1722,4.5441969932978413e-08
1723,5.1617146112903356e-08
1724,5.1617146112903356e-08
1725,4.348658626846762e-08
1726,3.670434216879974e-08
1727,2.764321394010949e-08
1728,3.412277393977092e-08
1729,2.639518724224997e-08
1730,3.658648698287184e-08
1731,3.658648698287184e-08
1732,2.9233533942780402e-08
1733,2.2846035920208252e-08
1734,2.2846035920208252e-08
1735,2.2833401962835912e-08
1736,2.2833401962835912e-08
1737,6.466926042289092e-09
1738,6.466926042289092e-09
1739,6.466926042289092e-09
1740,6.466926042289092e-09
1741,1.2408276818730104e-08
1742,5.9413507764410105e-09
1743,5.9413507764410105e-09
1744,1.0405411135902146e-08
1745,1.6716987159627805e-08
1746,1.6716987159627805e-08
1747,1.6716987159627805e-08
1748,1.0775636383186793e-08
1749,1.0775636383186793e-08
1750,1.0775636383186793e-08
1751,6.311576023725658e-09
1752,7.797180298244451e-09
1753,7.797180298244451e-09
1754,1.1981249008791955e-08
1755,1.9687864544997476e-08
1756,1.9687864544997476e-08
1757,2.2732987809653034e-08
1758,2.2732987809653034e-08
1759,1.4935807511408583e-08
1760,1.7597174511203255e-08
1761,1.3413105800655752e-08
1762,1.3754236353033126e-08
1763,1.6592910918283062e-08
1764,1.3547787653627502e-08
1765,1.649519606620028e-08
1766,1.649519606620028e-08
1767,1.6778331359189125e-08
1768,1.6778331359189125e-08
1769,1.1776844896108481e-08
1770,8.938170330858547e-09
1771,1.6836101528789575e-08
1772,1.6524774945228922e-08
1773,1.911996580109384e-08
1774,1.6175463508310324e-08
1775,1.9064152669199885e-08
1776,2.144263205090218e-08
1777,2.4360682360224928e-08
1778,1.6462751162293898e-08
1779,1.638835505397245e-08
1780,1.8491444819801472e-08
1781,1.8491444819801472e-08
1782,1.9919022621804417e-08
1783,1.4494283614599875e-08
1784,1.1576233305277128e-08
1785,1.1576233305277128e-08
1786,1.169474422064403e-08
1787,8.285605217801212e-09
1788,1.0898709363565168e-08
1789,7.745827217726336e-09
1790,9.955524024210912e-09
1791,9.955524024210912e-09
1792,1.1043786076113195e-08
1793,1.2307677924435926e-08
1794,1.4012492880307751e-08
1795,1.1399388734543793e-08
1796,1.0236003917490116e-08
1797,8.593230761886974e-09
1798,1.4379797416300529e-08
1799,1.8097692106826864e-08
1800,1.703525105105947e-08
1801,1.868469937501719e-08
1802,2.606485503621668e-08
1803,3.413785432115901e-08
1804,3.753693889052556e-08
1805,3.902134234782092e-08
1806,3.8093437229999183e-08
1807,3.876855078236271e-08
1808,3.7420230469820126e-08
1809,3.094469886682256e-08
1810,2.7448390100508798e-08
1811,2.559183734770646e-08
1812,2.0469241666733395e-08
1813,1.7560887093687986e-08
1814,1.734745629684247e-08
1815,1.5211215905911298e-08
1816,1.6018146301429884e-08
1817,1.4011669285147427e-08
1818,1.8526503759679665e-08
1819,1.8782888387493457e-08
1820,1.8992166823344244e-08
1821,1.6934379232225183e-08
1822,1.7147992993825156e-08
1823,1.6981528944930753e-08
1824,1.5618395592704408e-08
1825,9.627189648650107e-09
1826,8.170416533813198e-09
1827,8.141517745688783e-09
1828,7.959268228623678e-09
1829,1.2279027001531923e-08
1830,1.1686981985345061e-08
1831,1.2152005687430086e-08
1832,1.2200117360805507e-08
1833,1.2159392286698839e-08
1834,1.3085620396781548e-08
1835,1.3825562091998985e-08
1836,9.259263007115642e-09
1837,8.770866065179104e-09
1838,8.396299909309489e-09
1839,9.382295829141185e-09
1840,1.1574059488594912e-08
1841,1.1037062121386855e-08
1842,1.0045243494159552e-08
1843,1.0296390914480265e-08
1844,1.156809676621557e-08
1845,1.0737730419104911e-08
1846,9.918405303415462e-09
1847,8.273911999978623e-09
1848,7.992221138865472e-09
1849,8.269335280023223e-09
1850,8.221427697360388e-09
1851,1.0106503919463502e-08
1852,1.1560672229040035e-08
1853,1.2353623394087014e-08
1854,1.514124850895574e-08
1855,1.603600363608848e-08
1856,1.66469314523608e-08
1857,2.0660673172301358e-08
1858,2.4527699236744282e-08
1859,2.8029075060942432e-08
1860,3.114588358649988e-08
1861,3.034941466393905e-08
1862,3.722320331332542e-08
1863,3.901634850121484e-08
1864,3.927776884690307e-08
1865,3.461981152546352e-08
1866,3.468280875194653e-08
1867,3.2733992278671005e-08
1868,3.618930653561035e-08
1869,3.226952546445513e-08
1870,3.8578017225177064e-08
1871,3.7883401304839026e-08
1872,3.791952174481139e-08
1873,3.613964061344177e-08
1874,4.056364082722601e-08
1875,4.204668054999924e-08
1876,4.353320243970822e-08
1877,3.820087306800295e-08
1878,4.123766318895962e-08
1879,4.486501278425489e-08
1880,4.770363101361649e-08
1881,4.621575960024009e-08
1882,4.431363415895768e-08
1883,4.3759586938157165e-08
1884,4.873971347153981e-08
1885,4.572717671180726e-08
1886,4.709596319279237e-08
1887,4.718366599019776e-08
1888,4.7703386891433704e-08
1889,5.2003879805592335e-08
1890,5.213697410308019e-08
1891,4.9331000237121514e-08
1892,5.273400002384473e-08
1893,5.2435473106373006e-08
1894,5.2983146758833755e-08
1895,5.336624653295985e-08
1896,4.90762803094315e-08
1897,5.3641496577938597e-08
1898,5.39393494948724e-08
1899,5.390793386287182e-08
1900,5.872206898516197e-08
1901,6.478890211626873e-08
1902,7.413693481339578e-08
1903,8.42052639679228e-08
1904,8.535820482182186e-08
1905,9.098658892980893e-08
1906,9.763749428007681e-08
1907,9.911819530218833e-08
1908,1.0041945687687206e-07
1909,9.922446914905387e-08
1910,1.1140980607901188e-07
1911,1.213530294665231e-07
1912,1.28923624791761e-07
1913,1.4189101449346708e-07
1914,1.4696030246698554e-07
1915,1.4903646875349556e-07
1916,1.5050672784257456e-07
1917,1.3557273043878532e-07
1918,1.2613496786733386e-07
1919,1.1766075199862566e-07
1920,1.0456277367763636e-07
1921,1.010676931351944e-07
1922,1.0482730061767143e-07
1923,1.041476746114053e-07
1924,1.0830980962899567e-07
1925,1.1620460834852306e-07
1926,1.1933023102983498e-07
1927,1.2064862175975577e-07
1928,1.2243651172281845e-07
1929,1.1694615206384437e-07
1930,1.1524068505812985e-07
1931,1.1253405014193569e-07
1932,1.062639297190669e-07
1933,1.0632925498807058e-07
1934,1.0753020518450285e-07
1935,1.0544245197609468e-07
1936,1.1349654321130792e-07
1937,1.2054934777389853e-07
1938,1.3560437496705292e-07
1939,1.4047849613721804e-07
1940,1.619763046229699e-07
1941,1.8219311925804504e-07
1942,1.9637648002961733e-07
1943,1.9513981897034682e-07
1944,1.9495567065470304e-07
1945,1.9015944425453718e-07
1946,1.8984839909665296e-07
1947,1.7830612973414516e-07
1948,1.6140091726616186e-07
1949,1.511990745939329e-07
1950,1.561880306358684e-07
1951,1.591648108550154e-07
1952,1.53698169112561e-07
1953,1.5362794718904687e-07
1954,1.4751602504605087e-07
1955,1.486150966099688e-07
1956,1.4923079813148172e-07
1957,1.4051247327578104e-07
1958,1.363357366049708e-07
1959,1.3709069638220432e-07
1960,1.3783671753182197e-07
1961,1.3254702224685389e-07
1962,1.2776687238361513e-07
1963,1.370446400171334e-07
1964,1.4087202109586932e-07
1965,1.4286141082818305e-07
1966,1.473883131097864e-07
1967,1.4928546627451006e-07
1968,1.6350289757026205e-07
1969,1.7662667265280367e-07
1970,1.7632087942079773e-07
1971,1.7877799304447502e-07
1972,1.8217247088614386e-07
1973,1.8456460436157484e-07
1974,1.8722328271841044e-07
1975,1.8680336820255305e-07
1976,1.8098996536407087e-07
1977,1.8076506843759228e-07
1978,1.8771090383649736e-07
1979,1.8675721134643807e-07
1980,1.8748680271788283e-07
1981,1.8524872099793095e-07
1982,1.8354081175532754e-07
1983,1.8447505364552592e-07
1984,1.7940898747578364e-07
1985,1.7079651115636807e-07
1986,1.7574469422600358e-07
1987,1.7635175757797178e-07
1988,1.89092099438832e-07
1989,1.8985414231207998e-07
1990,1.9475882189518806e-07
1991,2.021373433080953e-07
1992,2.099882822546663e-07
1993,2.12720976833225e-07
1994,2.111848077999769e-07
1995,2.0953118605250764e-07
1996,2.1371209462423784e-07
1997,2.189305864216554e-07
1998,2.210160354414776e-07
1999,2.2547526969317134e-07
2000,2.286507460829463e-07
2001,2.434824425888239e-07
2002,2.464121666077647e-07
2003,2.4842546914831995e-07
2004,2.436589840369509e-07
2005,2.4107688797617553e-07
2006,2.3631093678691935e-07
2007,2.310803657629939e-07
2008,2.1676772072558898e-07
2009,2.0770086247726534e-07
2010,2.0148331511141544e-07
2011,1.9629556139274689e-07
2012,1.910673371899715e-07
2013,1.8794652995828593e-07
2014,1.8214282907333006e-07
2015,1.7756088815141474e-07
2016,1.746850496634319e-07
2017,1.7314071953933308e-07
2018,1.722238863521852e-07
2019,1.714155999366085e-07
