ngram,Gingerbread
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,3.35263166562072e-07
1595,3.35263166562072e-07
1596,3.35263166562072e-07
1597,3.35263166562072e-07
1598,3.35263166562072e-07
1599,3.35263166562072e-07
1600,3.35263166562072e-07
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,2.573374818634225e-07
1660,2.573374818634225e-07
1661,3.9170829982789914e-07
1662,3.9170829982789914e-07
1663,3.9170829982789914e-07
1664,3.9170829982789914e-07
1665,3.9170829982789914e-07
1666,1.3437081796447664e-07
1667,1.3437081796447664e-07
1668,0.0
1669,0.0
1670,0.0
1671,7.822038534348913e-08
1672,7.822038534348913e-08
1673,7.822038534348913e-08
1674,7.822038534348913e-08
1675,7.822038534348913e-08
1676,7.822038534348913e-08
1677,7.822038534348913e-08
1678,0.0
1679,0.0
1680,0.0
1681,2.237584746061267e-08
1682,2.237584746061267e-08
1683,2.237584746061267e-08
1684,2.237584746061267e-08
1685,2.237584746061267e-08
1686,1.328926738811528e-07
1687,1.328926738811528e-07
1688,1.1051682642054012e-07
1689,1.1051682642054012e-07
1690,1.1051682642054012e-07
1691,1.1051682642054012e-07
1692,1.1051682642054012e-07
1693,0.0
1694,0.0
1695,1.550680346034434e-08
1696,3.12527492139582e-08
1697,4.5946898857047406e-08
1698,4.5946898857047406e-08
1699,4.5946898857047406e-08
1700,5.8944751555957605e-08
1701,6.861151088547299e-08
1702,6.508986721038517e-08
1703,8.246755202532898e-08
1704,7.643516905123501e-08
1705,8.559297372455279e-08
1706,9.666835662106418e-08
1707,4.603965594794447e-07
1708,4.603756674928913e-07
1709,4.4839050770763477e-07
1710,4.3248190045070647e-07
1711,4.2382013378171125e-07
1712,4.255257489863392e-07
1713,4.1445036608982786e-07
1714,4.729592108430682e-08
1715,3.765005374134489e-08
1716,4.650501190488805e-08
1717,3.693139406988978e-08
1718,4.467315051215337e-08
1719,4.039460169532763e-08
1720,4.039460169532763e-08
1721,3.0822991143557895e-08
1722,4.62781645385998e-08
1723,6.829908778221189e-08
1724,7.239952180628149e-08
1725,8.671662549935328e-08
1726,1.1206924556615507e-07
1727,1.1206924556615507e-07
1728,1.1206924556615507e-07
1729,9.661407217111315e-08
1730,7.392142872423132e-08
1731,6.914632878972173e-08
1732,5.960451637016766e-08
1733,3.4691794833666533e-08
1734,5.0176989674355355e-08
1735,5.0176989674355355e-08
1736,7.222628996471161e-08
1737,7.788630845035576e-08
1738,7.641138515574702e-08
1739,7.035617041343098e-08
1740,7.830595803527882e-08
1741,7.470346474747203e-08
1742,7.470346474747203e-08
1743,6.228555804455027e-08
1744,7.522666477046056e-08
1745,6.973484849887817e-08
1746,7.820694695023381e-08
1747,6.739154149012652e-08
1748,6.278830357229839e-08
1749,6.774358394880307e-08
1750,6.800838495532194e-08
1751,5.193143794355949e-08
1752,5.193143794355949e-08
1753,4.2026858945324163e-08
1754,5.0419913577570696e-08
1755,4.699375771061958e-08
1756,4.507394787570515e-08
1757,3.822287654640734e-08
1758,3.373062997167965e-08
1759,3.373062997167965e-08
1760,4.2008112797832705e-08
1761,3.223147387083307e-08
1762,3.910849422084084e-08
1763,3.8911698244500515e-08
1764,4.148793435782798e-08
1765,4.411499001020859e-08
1766,4.751604214854004e-08
1767,6.659873313148118e-08
1768,6.91875907676831e-08
1769,7.36885602695533e-08
1770,7.084988570430336e-08
1771,8.365703279317976e-08
1772,8.799521695428731e-08
1773,9.237973738355062e-08
1774,5.999021114787086e-08
1775,5.751447521415035e-08
1776,4.228317759416963e-08
1777,4.811927821281513e-08
1778,3.247191544224799e-08
1779,2.1853191764112775e-08
1780,1.8765899818211958e-08
1781,2.450345018952963e-08
1782,3.456356191731759e-08
1783,3.673816095783877e-08
1784,4.9211254499985964e-08
1785,5.1284477870743624e-08
1786,5.006289046808174e-08
1787,7.630400768375369e-08
1788,7.056645731243602e-08
1789,6.343458050902687e-08
1790,6.457452680511519e-08
1791,4.843726511946248e-08
1792,4.793594626002167e-08
1793,5.5470046587759366e-08
1794,4.149640351970772e-08
1795,4.149640351970772e-08
1796,4.231661091377451e-08
1797,5.317515697608347e-08
1798,5.5053821311292136e-08
1799,5.430539066050447e-08
1800,4.6666183806109984e-08
1801,3.6665535877286204e-08
1802,4.361156464532152e-08
1803,4.364343248702036e-08
1804,3.7707435142562776e-08
1805,3.573425834600487e-08
1806,3.755919270836168e-08
1807,4.2810058862942565e-08
1808,4.431802696253888e-08
1809,4.605638955926647e-08
1810,4.3528205674801616e-08
1811,4.115070988725782e-08
1812,4.360874658207844e-08
1813,4.3416638665202556e-08
1814,4.0900985201882834e-08
1815,3.397303593999368e-08
1816,3.1754516984148854e-08
1817,2.9498524765715828e-08
1818,3.026321644077663e-08
1819,3.083787295362786e-08
1820,3.753958109444154e-08
1821,4.372516291896643e-08
1822,4.592310430341838e-08
1823,4.128324793128968e-08
1824,4.409262529695265e-08
1825,4.227977396758271e-08
1826,4.0961604520971055e-08
1827,3.592411231981682e-08
1828,3.106413298021542e-08
1829,2.9359019977042474e-08
1830,3.115457656934138e-08
1831,3.091931992977541e-08
1832,2.9258411312785678e-08
1833,3.544633767457331e-08
1834,3.211626596412641e-08
1835,3.092584575727285e-08
1836,3.481772508402108e-08
1837,3.390660171679169e-08
1838,3.334027098844672e-08
1839,3.458506446309327e-08
1840,3.0954415411851444e-08
1841,3.228126007773621e-08
1842,3.170316885205336e-08
1843,3.0625850553990726e-08
1844,3.1054195659407924e-08
1845,3.036504305141209e-08
1846,3.347007724942484e-08
1847,3.421169557173341e-08
1848,3.6805473970145745e-08
1849,3.6986206351587366e-08
1850,3.768767038130656e-08
1851,3.9284592594818994e-08
1852,3.931707251833164e-08
1853,3.8379985412007045e-08
1854,3.5935316944346596e-08
1855,4.246107237244294e-08
1856,4.730123898915346e-08
1857,5.02188837815863e-08
1858,5.0897897198508094e-08
1859,5.6740435334339575e-08
1860,5.5849719262011736e-08
1861,5.775600340842045e-08
1862,4.992276458892775e-08
1863,5.135178682280639e-08
1864,4.726000923938045e-08
1865,4.6267934245796434e-08
1866,4.555074387521277e-08
1867,4.540938393558593e-08
1868,4.6788599153809885e-08
1869,4.8679391945987456e-08
1870,4.402396923199246e-08
1871,4.861143310108673e-08
1872,5.0331534749505277e-08
1873,4.910884803572506e-08
1874,4.8505502344856466e-08
1875,4.6550971331628584e-08
1876,4.376526468214641e-08
1877,4.655225842904136e-08
1878,4.389860056416442e-08
1879,4.260886399265473e-08
1880,4.2113372598708206e-08
1881,4.214132230474986e-08
1882,4.228959328754302e-08
1883,4.2492748621368396e-08
1884,4.127942584578445e-08
1885,3.9899730503683324e-08
1886,3.9902306728630977e-08
1887,3.757009585975928e-08
1888,4.301039118510224e-08
1889,4.319216679553912e-08
1890,4.5110834686771084e-08
1891,4.359243074450855e-08
1892,4.4119068271746594e-08
1893,4.74964895350435e-08
1894,5.043169183847697e-08
1895,4.69797539283588e-08
1896,4.918057478724742e-08
1897,4.897671855376627e-08
1898,5.011143601661518e-08
1899,5.058857510675807e-08
1900,5.01259173851005e-08
1901,4.992299399272529e-08
1902,5.003833690255176e-08
1903,4.895797189874429e-08
1904,5.064413853363346e-08
1905,5.219795034301049e-08
1906,5.404873957916477e-08
1907,5.4878031769638776e-08
1908,6.984887842723505e-08
1909,7.723187727443864e-08
1910,8.069938216083625e-08
1911,8.21910377218111e-08
1912,8.404235326712037e-08
1913,8.626237400579027e-08
1914,8.78650315680066e-08
1915,8.043493794827685e-08
1916,7.4150549827274e-08
1917,7.375763492031443e-08
1918,7.28917502864793e-08
1919,7.620039456566832e-08
1920,7.795509000223838e-08
1921,7.823840978257327e-08
1922,7.672033015231656e-08
1923,8.152643918687577e-08
1924,8.247790564805005e-08
1925,8.802657650416482e-08
1926,8.894449418253966e-08
1927,9.24614452303883e-08
1928,9.420170040844564e-08
1929,9.729347283382594e-08
1930,9.690830994811352e-08
1931,1.009583203069399e-07
1932,9.969758707484289e-08
1933,1.008212769144328e-07
1934,9.987559122594445e-08
1935,1.0224977943705329e-07
1936,9.800555440213949e-08
1937,9.862263945186506e-08
1938,9.499565984632291e-08
1939,9.704549747928987e-08
1940,9.660946582406333e-08
1941,9.694676046072865e-08
1942,9.2060826010051e-08
1943,9.301942226004809e-08
1944,9.169932927274463e-08
1945,9.224795657506288e-08
1946,8.784175114279996e-08
1947,8.385544398541761e-08
1948,8.115364482007084e-08
1949,8.358190634843205e-08
1950,7.981285778311888e-08
1951,8.059687063775658e-08
1952,7.900912330731963e-08
1953,7.987388528363226e-08
1954,8.215149043573027e-08
1955,8.151599522372116e-08
1956,7.816820308497491e-08
1957,7.861030683540906e-08
1958,7.372212656215587e-08
1959,6.975123259930374e-08
1960,6.553489585923802e-08
1961,6.07078263215044e-08
1962,5.5922849335437215e-08
1963,5.507113444634472e-08
1964,5.3853888967328855e-08
1965,5.318696441999496e-08
1966,5.389987681577882e-08
1967,5.4591774402622054e-08
1968,5.685341721216121e-08
1969,6.174044234593826e-08
1970,6.447881162330305e-08
1971,7.017706745874161e-08
1972,7.687178335150488e-08
1973,8.118630948469477e-08
1974,8.833936147669062e-08
1975,9.16820478583499e-08
1976,9.288680148854058e-08
1977,9.494345322634348e-08
1978,9.40059174630343e-08
1979,9.464104217775976e-08
1980,1.007010612040306e-07
1981,9.943613069448734e-08
1982,1.0005556561054618e-07
1983,1.0633506418246594e-07
1984,1.1248082440066095e-07
1985,1.1492385811249863e-07
1986,1.1807824254869307e-07
1987,1.1469606217165815e-07
1988,1.149535171813503e-07
1989,1.184613509508381e-07
1990,1.1960613680425274e-07
1991,1.2091639384997116e-07
1992,1.2574434293810555e-07
1993,1.286064781018987e-07
1994,1.3397308253258545e-07
1995,1.4057968858846186e-07
1996,1.4519596293536908e-07
1997,1.47053242471884e-07
1998,1.493637934605171e-07
1999,1.4838695960861514e-07
2000,1.4767725937352744e-07
2001,1.4749929683992897e-07
2002,1.4586210081038837e-07
2003,1.433098191228055e-07
2004,1.4009449549640912e-07
2005,1.368830615839605e-07
2006,1.3576557275233165e-07
2007,1.4006347117044372e-07
2008,1.4939848418699902e-07
2009,1.540894061236031e-07
2010,1.6185332997663083e-07
2011,1.7400379752936195e-07
2012,1.8117508407807952e-07
2013,1.8712327687353536e-07
2014,1.8455779736216626e-07
2015,1.7688071807242522e-07
2016,1.7563360797469484e-07
2017,1.7240852893489014e-07
2018,1.6368901469832054e-07
2019,1.5829868260652802e-07
