ngram,Router,Roter,Roter
1500,0.0,0.0,0.0
1501,0.0,0.0,0.0
1502,0.0,0.0,0.0
1503,0.0,0.0,0.0
1504,0.0,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,0.0
1518,0.0,0.0,0.0
1519,0.0,0.0,0.0
1520,0.0,0.0,0.0
1521,0.0,0.0,0.0
1522,0.0,0.0,0.0
1523,0.0,0.0,0.0
1524,0.0,0.0,0.0
1525,0.0,0.0,0.0
1526,0.0,0.0,0.0
1527,0.0,0.0,0.0
1528,0.0,0.0,0.0
1529,0.0,0.0,0.0
1530,0.0,0.0,0.0
1531,0.0,0.0,0.0
1532,0.0,0.0,0.0
1533,0.0,0.0,0.0
1534,0.0,0.0,0.0
1535,0.0,0.0,0.0
1536,0.0,0.0,0.0
1537,0.0,0.0,0.0
1538,0.0,0.0,0.0
1539,0.0,0.0,0.0
1540,0.0,0.0,0.0
1541,0.0,0.0,0.0
1542,0.0,0.0,0.0
1543,0.0,0.0,0.0
1544,0.0,0.0,0.0
1545,0.0,0.0,0.0
1546,0.0,0.0,0.0
1547,0.0,0.0,0.0
1548,0.0,0.0,0.0
1549,0.0,0.0,0.0
1550,0.0,0.0,0.0
1551,0.0,0.0,0.0
1552,0.0,0.0,0.0
1553,0.0,0.0,0.0
1554,0.0,0.0,0.0
1555,0.0,0.0,0.0
1556,0.0,0.0,0.0
1557,0.0,0.0,0.0
1558,0.0,0.0,0.0
1559,0.0,0.0,0.0
1560,0.0,0.0,0.0
1561,0.0,0.0,0.0
1562,0.0,0.0,0.0
1563,0.0,0.0,0.0
1564,0.0,0.0,0.0
1565,0.0,0.0,0.0
1566,0.0,0.0,0.0
1567,0.0,0.0,0.0
1568,0.0,0.0,0.0
1569,0.0,0.0,0.0
1570,0.0,0.0,0.0
1571,0.0,0.0,0.0
1572,0.0,0.0,0.0
1573,0.0,0.0,0.0
1574,0.0,0.0,0.0
1575,0.0,0.0,0.0
1576,0.0,0.0,0.0
1577,0.0,0.0,0.0
1578,0.0,0.0,0.0
1579,0.0,0.0,0.0
1580,0.0,0.0,0.0
1581,0.0,0.0,0.0
1582,0.0,0.0,0.0
1583,0.0,0.0,0.0
1584,0.0,0.0,0.0
1585,0.0,0.0,0.0
1586,0.0,0.0,0.0
1587,0.0,0.0,0.0
1588,0.0,0.0,0.0
1589,0.0,0.0,0.0
1590,0.0,0.0,0.0
1591,0.0,0.0,0.0
1592,0.0,0.0,0.0
1593,0.0,0.0,0.0
1594,0.0,0.0,0.0
1595,0.0,0.0,0.0
1596,0.0,0.0,0.0
1597,0.0,0.0,0.0
1598,0.0,0.0,0.0
1599,0.0,0.0,0.0
1600,0.0,0.0,0.0
1601,0.0,0.0,0.0
1602,0.0,0.0,0.0
1603,0.0,0.0,0.0
1604,0.0,0.0,0.0
1605,0.0,0.0,0.0
1606,0.0,0.0,0.0
1607,0.0,0.0,0.0
1608,0.0,0.0,0.0
1609,0.0,0.0,0.0
1610,0.0,0.0,0.0
1611,0.0,0.0,0.0
1612,0.0,0.0,0.0
1613,0.0,0.0,0.0
1614,0.0,0.0,0.0
1615,0.0,0.0,0.0
1616,0.0,0.0,0.0
1617,0.0,0.0,0.0
1618,0.0,0.0,0.0
1619,0.0,0.0,0.0
1620,0.0,0.0,0.0
1621,0.0,0.0,0.0
1622,0.0,0.0,0.0
1623,0.0,0.0,0.0
1624,1.493321925798747e-07,0.0,0.0
1625,1.493321925798747e-07,0.0,0.0
1626,1.493321925798747e-07,0.0,0.0
1627,1.493321925798747e-07,0.0,0.0
1628,1.493321925798747e-07,0.0,0.0
1629,1.493321925798747e-07,0.0,0.0
1630,1.493321925798747e-07,0.0,0.0
1631,0.0,0.0,0.0
1632,0.0,0.0,0.0
1633,0.0,0.0,0.0
1634,0.0,0.0,0.0
1635,0.0,0.0,0.0
1636,0.0,0.0,0.0
1637,0.0,0.0,0.0
1638,0.0,0.0,0.0
1639,0.0,0.0,0.0
1640,0.0,0.0,0.0
1641,0.0,0.0,0.0
1642,0.0,0.0,0.0
1643,0.0,0.0,0.0
1644,0.0,0.0,0.0
1645,0.0,0.0,0.0
1646,0.0,0.0,0.0
1647,0.0,0.0,0.0
1648,0.0,0.0,0.0
1649,0.0,0.0,0.0
1650,0.0,0.0,0.0
1651,0.0,4.300008121000636e-08,4.300008121000636e-08
1652,0.0,4.300008121000636e-08,4.300008121000636e-08
1653,0.0,4.300008121000636e-08,4.300008121000636e-08
1654,0.0,4.300008121000636e-08,4.300008121000636e-08
1655,0.0,4.300008121000636e-08,4.300008121000636e-08
1656,0.0,4.300008121000636e-08,4.300008121000636e-08
1657,0.0,4.300008121000636e-08,4.300008121000636e-08
1658,0.0,0.0,0.0
1659,0.0,0.0,0.0
1660,0.0,0.0,0.0
1661,0.0,0.0,0.0
1662,0.0,0.0,0.0
1663,0.0,0.0,0.0
1664,0.0,0.0,0.0
1665,0.0,0.0,0.0
1666,3.9948397605777634e-08,0.0,0.0
1667,3.9948397605777634e-08,0.0,0.0
1668,3.9948397605777634e-08,0.0,0.0
1669,3.9948397605777634e-08,0.0,0.0
1670,3.9948397605777634e-08,0.0,0.0
1671,3.9948397605777634e-08,0.0,0.0
1672,3.9948397605777634e-08,0.0,0.0
1673,0.0,0.0,0.0
1674,0.0,0.0,0.0
1675,0.0,0.0,0.0
1676,0.0,0.0,0.0
1677,0.0,0.0,0.0
1678,0.0,0.0,0.0
1679,0.0,0.0,0.0
1680,0.0,0.0,0.0
1681,0.0,0.0,0.0
1682,0.0,0.0,0.0
1683,0.0,0.0,0.0
1684,0.0,0.0,0.0
1685,0.0,0.0,0.0
1686,0.0,0.0,0.0
1687,0.0,0.0,0.0
1688,0.0,0.0,0.0
1689,0.0,0.0,0.0
1690,0.0,0.0,0.0
1691,0.0,0.0,0.0
1692,0.0,0.0,0.0
1693,0.0,0.0,0.0
1694,0.0,0.0,0.0
1695,0.0,0.0,0.0
1696,0.0,1.5745945753613862e-08,1.5745945753613862e-08
1697,0.0,1.5745945753613862e-08,1.5745945753613862e-08
1698,0.0,1.5745945753613862e-08,1.5745945753613862e-08
1699,0.0,1.5745945753613862e-08,1.5745945753613862e-08
1700,0.0,1.5745945753613862e-08,1.5745945753613862e-08
1701,0.0,2.541270508312924e-08,2.541270508312924e-08
1702,0.0,2.541270508312924e-08,2.541270508312924e-08
1703,0.0,9.666759329515377e-09,9.666759329515377e-09
1704,0.0,9.666759329515377e-09,9.666759329515377e-09
1705,9.157804673317775e-09,9.666759329515377e-09,9.666759329515377e-09
1706,9.157804673317775e-09,9.666759329515377e-09,9.666759329515377e-09
1707,9.157804673317775e-09,9.666759329515377e-09,9.666759329515377e-09
1708,9.157804673317775e-09,0.0,0.0
1709,9.157804673317775e-09,0.0,0.0
1710,9.157804673317775e-09,0.0,0.0
1711,9.157804673317775e-09,0.0,0.0
1712,0.0,0.0,0.0
1713,0.0,0.0,0.0
1714,9.571610551769742e-09,0.0,0.0
1715,9.571610551769742e-09,0.0,0.0
1716,9.571610551769742e-09,0.0,0.0
1717,9.571610551769742e-09,0.0,0.0
1718,9.571610551769742e-09,0.0,0.0
1719,9.571610551769742e-09,0.0,0.0
1720,9.571610551769742e-09,0.0,0.0
1721,0.0,0.0,0.0
1722,0.0,7.727586697520955e-09,7.727586697520955e-09
1723,0.0,7.727586697520955e-09,7.727586697520955e-09
1724,0.0,7.727586697520955e-09,7.727586697520955e-09
1725,0.0,7.727586697520955e-09,7.727586697520955e-09
1726,0.0,7.727586697520955e-09,7.727586697520955e-09
1727,0.0,7.727586697520955e-09,7.727586697520955e-09
1728,0.0,7.727586697520955e-09,7.727586697520955e-09
1729,0.0,0.0,0.0
1730,0.0,0.0,0.0
1731,0.0,0.0,0.0
1732,0.0,0.0,0.0
1733,2.8099078365682673e-08,0.0,0.0
1734,2.8099078365682673e-08,0.0,0.0
1735,2.8099078365682673e-08,0.0,0.0
1736,2.8099078365682673e-08,0.0,0.0
1737,2.8099078365682673e-08,0.0,0.0
1738,2.8099078365682673e-08,0.0,0.0
1739,2.8099078365682673e-08,0.0,0.0
1740,0.0,0.0,0.0
1741,0.0,0.0,0.0
1742,0.0,0.0,0.0
1743,0.0,9.631393587434495e-09,9.631393587434495e-09
1744,0.0,9.631393587434495e-09,9.631393587434495e-09
1745,0.0,9.631393587434495e-09,9.631393587434495e-09
1746,0.0,9.631393587434495e-09,9.631393587434495e-09
1747,0.0,9.631393587434495e-09,9.631393587434495e-09
1748,0.0,9.631393587434495e-09,9.631393587434495e-09
1749,0.0,9.631393587434495e-09,9.631393587434495e-09
1750,0.0,0.0,0.0
1751,0.0,0.0,0.0
1752,3.898590149122226e-09,3.898590149122226e-09,3.898590149122226e-09
1753,3.898590149122226e-09,3.898590149122226e-09,3.898590149122226e-09
1754,3.898590149122226e-09,1.2266727570217232e-08,1.2266727570217232e-08
1755,3.898590149122226e-09,2.7679958642628274e-08,2.7679958642628274e-08
1756,3.898590149122226e-09,2.7679958642628274e-08,2.7679958642628274e-08
1757,3.898590149122226e-09,3.072508190728383e-08,3.072508190728383e-08
1758,3.898590149122226e-09,3.072508190728383e-08,3.072508190728383e-08
1759,0.0,3.030528666109993e-08,3.030528666109993e-08
1760,0.0,3.030528666109993e-08,3.030528666109993e-08
1761,0.0,2.1937149240004927e-08,2.1937149240004927e-08
1762,0.0,6.523918167593885e-09,6.523918167593885e-09
1763,0.0,6.523918167593885e-09,6.523918167593885e-09
1764,0.0,3.4787949029383267e-09,3.4787949029383267e-09
1765,0.0,3.4787949029383267e-09,3.4787949029383267e-09
1766,0.0,0.0,0.0
1767,0.0,0.0,0.0
1768,2.682212547305036e-09,0.0,0.0
1769,2.682212547305036e-09,0.0,0.0
1770,2.682212547305036e-09,0.0,0.0
1771,2.682212547305036e-09,0.0,0.0
1772,2.682212547305036e-09,5.272163658024251e-09,5.272163658024251e-09
1773,2.682212547305036e-09,5.272163658024251e-09,5.272163658024251e-09
1774,8.027138826654273e-09,5.272163658024251e-09,5.272163658024251e-09
1775,8.2336154402388e-09,5.272163658024251e-09,5.272163658024251e-09
1776,8.2336154402388e-09,5.272163658024251e-09,5.272163658024251e-09
1777,1.115166574956155e-08,5.272163658024251e-09,5.272163658024251e-09
1778,1.115166574956155e-08,5.272163658024251e-09,5.272163658024251e-09
1779,1.3713351470252227e-08,0.0,0.0
1780,1.3713351470252227e-08,0.0,0.0
1781,1.0280942065930633e-08,0.0,0.0
1782,9.550386386487325e-09,2.1581334814462546e-09,2.1581334814462546e-09
