ngram,G3,G,G,G
1500,0.0,2.4580724129918963e-05,2.4580724129918963e-05,2.4580724129918963e-05
1501,0.0,1.966457930393517e-05,1.966457930393517e-05,1.966457930393517e-05
1502,0.0,1.8144258016642805e-05,1.8144258016642805e-05,1.8144258016642805e-05
1503,0.0,1.5552221157122403e-05,1.5552221157122403e-05,1.5552221157122403e-05
1504,0.0,2.014708661590703e-05,2.014708661590703e-05,2.014708661590703e-05
1505,0.0,2.0482237492355386e-05,2.0482237492355386e-05,2.0482237492355386e-05
1506,0.0,9.650647345032277e-05,9.650647345032277e-05,9.650647345032277e-05
1507,0.0,9.650647345032277e-05,9.650647345032277e-05,9.650647345032277e-05
1508,0.0,9.650647345032277e-05,9.650647345032277e-05,9.650647345032277e-05
1509,0.0,9.500038036743977e-05,9.500038036743977e-05,9.500038036743977e-05
1510,0.0,9.500038036743977e-05,9.500038036743977e-05,9.500038036743977e-05
1511,0.0,8.265317696246452e-05,8.265317696246452e-05,8.265317696246452e-05
1512,0.0,7.602423595796739e-05,7.602423595796739e-05,7.602423595796739e-05
1513,0.0,0.0,0.0,0.0
1514,0.0,1.1426445780671202e-06,1.1426445780671202e-06,1.1426445780671202e-06
1515,0.0,1.1426445780671202e-06,1.1426445780671202e-06,1.1426445780671202e-06
1516,0.0,1.1426445780671202e-06,1.1426445780671202e-06,1.1426445780671202e-06
1517,0.0,2.6643930141290184e-05,2.6643930141290184e-05,2.6643930141290184e-05
1518,0.0,2.6643930141290184e-05,2.6643930141290184e-05,2.6643930141290184e-05
1519,0.0,2.6643930141290184e-05,2.6643930141290184e-05,2.6643930141290184e-05
1520,0.0,2.8133487051361173e-05,2.8133487051361173e-05,2.8133487051361173e-05
1521,0.0,2.6990842473294053e-05,2.6990842473294053e-05,2.6990842473294053e-05
1522,0.0,2.6990842473294053e-05,2.6990842473294053e-05,2.6990842473294053e-05
1523,0.0,2.760688747522571e-05,2.760688747522571e-05,2.760688747522571e-05
1524,0.0,8.675740231670456e-05,8.675740231670456e-05,8.675740231670456e-05
1525,0.0,0.0001394722141542713,0.0001394722141542713,0.0001394722141542713
1526,0.0,0.0001490069564299899,0.0001490069564299899,0.0001490069564299899
1527,0.0,0.00014751739951991892,0.00014751739951991892,0.00014751739951991892
1528,0.0,0.00014751739951991892,0.00014751739951991892,0.00014751739951991892
1529,0.0,0.00014751739951991892,0.00014751739951991892,0.00014751739951991892
1530,0.0,0.00015200399398703927,0.00015200399398703927,0.00015200399398703927
1531,0.0,6.735219358233735e-05,6.735219358233735e-05,6.735219358233735e-05
1532,0.0,1.7342881359841806e-05,1.7342881359841806e-05,1.7342881359841806e-05
1533,0.0,3.973509098744087e-05,3.973509098744087e-05,3.973509098744087e-05
