x_sums,y_sums,x_ture,y_ture
142,[9.28331285e-11],128,[5.0404761e-08]
143,[2.08032292e-10],129,[5.01172382e-08]
144,[1.64500204e-10],130,[5.18859942e-08]
145,[1.45457361e-10],131,[5.51362718e-08]
146,[2.096363e-10],132,[5.40650425e-08]
147,[1.46057096e-10],133,[5.84906332e-08]
148,[6.51730599e-11],134,[6.27100751e-08]
149,[1.48408023e-10],135,[7.46450653e-08]
150,[6.25322541e-11],136,[6.85839321e-08]
151,[3.27761819e-10],137,[6.88156302e-08]
152,[1.24697318e-10],138,[6.47783292e-08]
153,[5.97322815e-11],139,[6.35160889e-08]
154,[8.32790424e-11],140,[6.0143309e-08]
155,[2.82088972e-10],141,[4.86679855e-08]
156,[1.27584251e-10],142,[4.66063261e-08]
157,[4.6248744e-10],143,[6.07243853e-08]
158,[3.60062726e-10],144,[6.2779745e-08]
159,[1.86900344e-10],145,[6.06175548e-08]
160,[2.64708642e-10],146,[6.47330929e-08]
161,[4.45209531e-10],147,[6.49295714e-08]
162,[3.36219771e-10],148,[6.95812979e-08]
163,[4.39532578e-10],149,[7.08081644e-08]
164,[2.45922489e-10],150,[7.45313676e-08]
165,[4.50733951e-10],151,[8.017253e-08]
166,[4.18798176e-10],152,[7.84235815e-08]
167,[5.69499788e-10],153,[7.57519492e-08]
168,[4.03610932e-10],154,[7.82963324e-08]
169,[2.78198387e-10],155,[8.14322132e-08]
170,[2.54546816e-10],156,[7.78796449e-08]
171,[4.24982344e-10],157,[7.93204493e-08]
172,[4.62886032e-10],158,[8.02275919e-08]
173,[6.15620041e-10],159,[7.69866823e-08]
174,[5.217871e-10],160,[7.77858203e-08]
175,[4.56736822e-10],161,[7.48473277e-08]
176,[7.6352947e-10],162,[7.49842771e-08]
177,[8.0944476e-10],163,[8.16597432e-08]
178,[9.30297175e-10],164,[8.39720644e-08]
179,[7.14154258e-10],165,[8.67010062e-08]
180,[7.20813364e-10],166,[9.17323912e-08]
181,[8.82243855e-10],167,[9.27874179e-08]
182,[8.46826063e-10],168,[9.38861723e-08]
183,[9.78493286e-10],169,[9.75646999e-08]
184,[6.21609283e-10],170,[9.26548285e-08]
185,[6.63160118e-10],171,[9.8043833e-08]
186,[6.13544531e-10],172,[1.14696755e-07]
187,[8.64197591e-10],173,[1.12068424e-07]
188,[8.4272273e-10],174,[1.06512544e-07]
189,[6.43376567e-10],175,[1.18850775e-07]
190,[6.37550296e-10],176,[1.16003155e-07]
191,[6.57741785e-10],177,[1.1533905e-07]
192,[6.10572973e-10],178,[1.1974753e-07]
193,[7.3567586e-10],179,[1.08234161e-07]
194,[6.95189305e-10],180,[9.56685792e-08]
195,[7.92770176e-10],181,[1.31611408e-07]
196,[8.46423985e-10],182,[1.24645432e-07]
197,[1.0804581e-09],183,[1.35772683e-07]
198,[9.02319489e-10],184,[1.3842566e-07]
199,[8.59444719e-10],185,[1.41226216e-07]
200,[9.83420547e-10],186,[1.42536482e-07]
201,[8.60799542e-10],187,[1.51428582e-07]
202,[8.04131478e-10],188,[1.46504245e-07]
203,[8.06409035e-10],189,[1.49088669e-07]
204,[8.80042236e-10],190,[1.29537082e-07]
205,[6.76654899e-10],191,[1.46803506e-07]
206,[6.34914387e-10],192,[1.29310137e-07]
207,[8.28198524e-10],193,[1.40026954e-07]
208,[8.15819763e-10],194,[1.32466173e-07]
209,[1.01485913e-09],195,[1.25730993e-07]
210,[5.89281706e-10],196,[1.28333759e-07]
211,[6.32034587e-10],197,[1.35001563e-07]
212,[7.13386832e-10],198,[1.2165889e-07]
213,[6.38199362e-10],199,[1.52610358e-07]
214,[8.72498171e-10],200,[1.36056479e-07]
215,[5.4867231e-10],201,[1.38366248e-07]
216,[4.78216731e-10],202,[1.45109308e-07]
217,[8.05401822e-10],203,[1.53853971e-07]
218,[9.76675022e-10],204,[1.63426181e-07]
219,[5.59383956e-10],205,[1.62687736e-07]
220,[5.07042784e-10],206,[1.54069717e-07]
