ngram,Facebook
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,3.9948397605777634e-08
1667,3.9948397605777634e-08
1668,3.9948397605777634e-08
1669,3.9948397605777634e-08
1670,3.9948397605777634e-08
1671,3.9948397605777634e-08
1672,3.9948397605777634e-08
1673,0.0
1674,0.0
1675,0.0
1676,4.2946510347974254e-08
1677,7.653270829775596e-08
1678,7.653270829775596e-08
1679,7.653270829775596e-08
1680,7.653270829775596e-08
1681,7.653270829775596e-08
1682,9.669374126782973e-08
1683,5.374723091985548e-08
1684,2.016103297007378e-08
1685,2.016103297007378e-08
1686,2.016103297007378e-08
1687,2.016103297007378e-08
1688,2.016103297007378e-08
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,3.135119389493671e-08
1694,3.135119389493671e-08
1695,3.135119389493671e-08
1696,3.135119389493671e-08
1697,3.8698268716481314e-08
1698,3.8698268716481314e-08
1699,3.8698268716481314e-08
1700,7.347074821544603e-09
1701,7.347074821544603e-09
1702,7.347074821544603e-09
1703,7.347074821544603e-09
1704,0.0
1705,0.0
1706,1.1075382896511395e-08
1707,1.1075382896511395e-08
1708,1.1075382896511395e-08
1709,1.1075382896511395e-08
1710,1.1075382896511395e-08
1711,2.0767711613903624e-08
1712,2.0767711613903624e-08
1713,9.692328717392229e-09
1714,9.692328717392229e-09
1715,9.692328717392229e-09
1716,9.692328717392229e-09
1717,9.692328717392229e-09
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,6.311576023725658e-09
1746,6.311576023725658e-09
1747,6.311576023725658e-09
1748,6.311576023725658e-09
1749,6.311576023725658e-09
1750,6.311576023725658e-09
1751,6.311576023725658e-09
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,2.672463139674619e-09
1775,2.672463139674619e-09
1776,2.672463139674619e-09
1777,2.672463139674619e-09
1778,2.672463139674619e-09
1779,2.672463139674619e-09
1780,2.672463139674619e-09
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,1.3400983180287896e-09
1787,1.3400983180287896e-09
1788,1.3400983180287896e-09
1789,1.3400983180287896e-09
1790,1.3400983180287896e-09
1791,1.3400983180287896e-09
1792,1.3400983180287896e-09
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,5.66923650881433e-10
1798,5.66923650881433e-10
1799,5.66923650881433e-10
1800,5.66923650881433e-10
1801,5.66923650881433e-10
1802,5.66923650881433e-10
1803,5.66923650881433e-10
1804,0.0
1805,2.5967750172384285e-10
1806,2.5967750172384285e-10
1807,2.5967750172384285e-10
1808,2.5967750172384285e-10
1809,2.5967750172384285e-10
1810,2.5967750172384285e-10
1811,2.5967750172384285e-10
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,1.2476890155964171e-10
1823,1.2476890155964171e-10
1824,1.2476890155964171e-10
1825,1.2476890155964171e-10
1826,1.2476890155964171e-10
1827,1.2476890155964171e-10
1828,1.2476890155964171e-10
1829,2.1082283537968546e-10
1830,2.1082283537968546e-10
1831,2.1082283537968546e-10
1832,2.1082283537968546e-10
1833,2.1082283537968546e-10
1834,2.1082283537968546e-10
1835,2.1082283537968546e-10
1836,1.5012235898836934e-10
1837,1.5012235898836934e-10
1838,1.5012235898836934e-10
1839,1.5012235898836934e-10
1840,1.5012235898836934e-10
1841,1.5012235898836934e-10
1842,1.5012235898836934e-10
1843,0.0
1844,0.0
1845,0.0
1846,6.52204996358969e-11
1847,1.258259647267985e-10
1848,1.8051363975019845e-10
1849,2.342531763804041e-10
1850,2.342531763804041e-10
1851,3.271103665714037e-10
1852,4.2823350817780946e-10
1853,3.6301300854191254e-10
1854,3.0240754345101095e-10
1855,2.4771986842761097e-10
1856,2.4367913639292537e-10
1857,2.4367913639292537e-10
1858,1.5082194620192572e-10
1859,2.3248697015151468e-10
1860,2.3248697015151468e-10
1861,2.3248697015151468e-10
1862,2.882052414181808e-10
1863,2.385064368226608e-10
1864,2.385064368226608e-10
1865,2.827329878155435e-10
1866,9.994482225954876e-11
1867,2.7279465194699325e-10
1868,3.176063499500868e-10
1869,2.618880786834207e-10
1870,3.46360999405247e-10
1871,6.709694982160691e-10
1872,6.267429472231864e-10
1873,6.267429472231864e-10
1874,4.538931175357419e-10
1875,4.0908141953264835e-10
1876,6.77405322311943e-10
1877,7.676907680982075e-10
1878,4.4308226928738547e-10
1879,4.4308226928738547e-10
1880,5.746290031107191e-10
1881,5.746290031107191e-10
1882,5.746290031107191e-10
1883,1.1736160852672738e-09
1884,1.0293686260519154e-09
1885,1.0293686260519154e-09
1886,1.0293686260519154e-09
1887,9.530898292808843e-10
1888,9.530898292808843e-10
1889,9.530898292808843e-10
1890,8.5778844345035e-11
1891,5.526793705230253e-11
1892,7.77395191870716e-11
1893,7.77395191870716e-11
1894,4.4563354990272734e-11
1895,4.4563354990272734e-11
1896,6.394378082585916e-11
1897,7.234571047390734e-09
1898,7.360838226642765e-09
1899,7.374794457654892e-09
1900,7.447076875801071e-09
1901,7.442121789856339e-09
1902,7.442121789856339e-09
1903,7.47055879657399e-09
1904,2.999315300091153e-10
1905,1.7366435075708405e-10
1906,2.1481146821639944e-10
1907,1.5717922400134857e-10
1908,1.6749144531631137e-10
1909,1.9505346346030247e-10
1910,3.262965909372235e-10
1911,3.682303886412949e-10
1912,4.403009286533889e-10
1913,5.91492702040064e-10
1914,6.060755072415499e-10
1915,6.583202158009069e-10
1916,6.458100601910591e-10
1917,5.226124374527582e-10
1918,5.094391178747263e-10
1919,4.515743245606504e-10
1920,2.228076205677633e-10
1921,3.6224429111093263e-10
1922,3.0670197036825845e-10
1923,3.162035524290856e-10
1924,2.6034061513722865e-10
1925,2.5458531215700424e-10
1926,2.4037956545898606e-10
1927,2.6311794409927813e-10
1928,9.444829442349447e-11
1929,7.029699838107767e-11
1930,1.001983397046808e-10
1931,1.001983397046808e-10
1932,7.719316455886575e-11
1933,1.698617992294617e-10
1934,1.695912953720529e-10
1935,1.9181362847271137e-10
1936,1.9181362847271137e-10
1937,4.291102592305204e-10
1938,6.248805163787199e-10
1939,6.497745417119053e-10
1940,5.571059070413093e-10
1941,5.34638032258426e-10
1942,6.369559264949944e-10
1943,6.369559264949944e-10
1944,4.780037655376696e-10
1945,3.0100292893107753e-10
1946,7.229077237618548e-10
1947,9.050344660207646e-10
1948,9.39234465995626e-10
1949,8.487065633611124e-10
1950,8.825465140440057e-10
1951,8.821400455343615e-10
1952,8.633706249927542e-10
1953,4.165718048287914e-10
1954,2.9250888616034436e-10
1955,3.3078014533798646e-10
1956,3.2370383159666515e-10
1957,3.408387837839604e-10
1958,3.0366045987241716e-10
1959,3.0366045987241716e-10
1960,3.565997636068019e-10
1961,3.7732492329047215e-10
1962,3.4566068856418346e-10
1963,4.672825261651883e-10
1964,4.253009333599067e-10
1965,3.3890155166320975e-10
1966,4.795906945385755e-10
1967,6.477683568111609e-10
1968,6.221186205079832e-10
1969,6.531266817060605e-10
1970,6.273419581434173e-10
1971,6.720540532808731e-10
1972,1.106706678680577e-09
1973,1.0403044061112e-09
1974,8.9251496669464e-10
1975,1.4719167234262492e-09
1976,1.5929759892127242e-09
1977,1.678889551191633e-09
1978,1.7394231452020188e-09
1979,1.5641695557836295e-09
1980,1.928745028769084e-09
1981,1.93934528753508e-09
1982,1.4031537201982962e-09
1983,1.6618322273842523e-09
1984,1.8500775831954896e-09
1985,1.9528608254302883e-09
1986,1.878086257940075e-09
1987,1.7735973007709e-09
1988,2.0085143706946187e-09
1989,2.2580695408740733e-09
1990,2.205964426999734e-09
1991,2.1506343372834635e-09
1992,2.289903473189676e-09
1993,2.6955103228841283e-09
1994,3.843850571172425e-09
1995,4.023201962054048e-09
1996,4.71083181986996e-09
1997,6.738949271627754e-09
1998,7.708905038126903e-09
1999,8.458955472586841e-09
2000,1.0087461310703816e-08
2001,1.1591407738415732e-08
2002,1.7041569235130638e-08
2003,3.660963468884607e-08
2004,1.0657982103217429e-07
2005,3.589447691457589e-07
2006,8.3177595401805e-07
2007,1.8116422838078603e-06
2008,3.306110455879109e-06
2009,4.8541494318702206e-06
2010,6.3777940876467e-06
2011,8.17436507207146e-06
2012,9.847458678840277e-06
2013,1.1485612633675504e-05
2014,1.2442510394196557e-05
2015,1.2957124714115967e-05
2016,1.3535685086805773e-05
2017,1.3990011969629753e-05
2018,1.4171458133205306e-05
2019,1.4342474969453178e-05
