ngram,Join,Jolin,Jogin,Joian
1500,7.017202392489708e-07,0.0,0.0,0.0
1501,5.613761913991766e-07,0.0,0.0,0.0
1502,4.6781349283264717e-07,0.0,0.0,0.0
1503,4.009829938565547e-07,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,7.602423595796738e-06,0.0,0.0,0.0
1507,7.602423595796738e-06,0.0,0.0,0.0
1508,7.602423595796738e-06,0.0,0.0,0.0
1509,7.602423595796738e-06,0.0,0.0,0.0
1510,7.602423595796738e-06,0.0,0.0,0.0
1511,7.602423595796738e-06,0.0,0.0,0.0
1512,7.602423595796738e-06,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,5.271481183756675e-05,0.0
1526,0.0,0.0,5.271481183756675e-05,0.0
1527,0.0,0.0,5.271481183756675e-05,0.0
1528,0.0,0.0,5.271481183756675e-05,0.0
1529,0.0,0.0,5.271481183756675e-05,0.0
1530,0.0,0.0,5.271481183756675e-05,0.0
1531,0.0,0.0,5.271481183756675e-05,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,8.301111457902672e-07,0.0,0.0,0.0
1540,8.301111457902672e-07,0.0,0.0,0.0
1541,8.301111457902672e-07,0.0,0.0,0.0
1542,8.301111457902672e-07,0.0,0.0,0.0
1543,8.301111457902672e-07,0.0,0.0,0.0
1544,8.301111457902672e-07,0.0,0.0,0.0
1545,8.301111457902672e-07,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,1.0806914360728115e-05,0.0,0.0,0.0
1551,1.0806914360728115e-05,0.0,0.0,0.0
1552,1.0806914360728115e-05,0.0,0.0,0.0
1553,1.0806914360728115e-05,0.0,0.0,0.0
1554,1.0806914360728115e-05,0.0,0.0,0.0
1555,1.0806914360728115e-05,0.0,0.0,0.0
1556,1.0806914360728115e-05,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,3.4384465834591538e-06,0.0,0.0,0.0
1560,3.4384465834591538e-06,0.0,0.0,0.0
1561,3.4384465834591538e-06,0.0,0.0,0.0
1562,3.4384465834591538e-06,0.0,0.0,0.0
1563,3.4384465834591538e-06,0.0,0.0,0.0
1564,3.4384465834591538e-06,0.0,0.0,0.0
1565,3.4384465834591538e-06,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,4.81826223871654e-07,0.0,0.0,0.0
1579,4.81826223871654e-07,0.0,0.0,0.0
1580,4.81826223871654e-07,0.0,0.0,0.0
1581,4.81826223871654e-07,0.0,0.0,0.0
1582,4.81826223871654e-07,0.0,0.0,0.0
1583,4.81826223871654e-07,0.0,0.0,0.0
1584,4.81826223871654e-07,0.0,0.0,0.0
1585,3.774361760276536e-07,0.0,0.0,0.0
1586,3.774361760276536e-07,0.0,0.0,0.0
1587,3.774361760276536e-07,0.0,0.0,0.0
1588,3.774361760276536e-07,0.0,0.0,0.0
1589,3.774361760276536e-07,0.0,0.0,0.0
1590,3.774361760276536e-07,0.0,0.0,0.0
1591,3.774361760276536e-07,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,1.2106209266806089e-07,0.0,0.0,0.0
1598,1.6529600900737152e-07,0.0,0.0,0.0
1599,4.011183055549087e-07,0.0,0.0,0.0
1600,4.011183055549087e-07,0.0,0.0,0.0
1601,4.011183055549087e-07,0.0,0.0,0.0
1602,5.055190237206781e-07,0.0,0.0,0.0
1603,5.055190237206781e-07,0.0,0.0,0.0
1604,3.8445693105261724e-07,0.0,0.0,0.0
1605,3.402230147133066e-07,0.0,0.0,0.0
1606,1.844808252826624e-07,0.0,0.0,0.0
1607,1.844808252826624e-07,0.0,0.0,0.0
1608,1.844808252826624e-07,0.0,0.0,0.0
1609,8.008010711689297e-08,0.0,0.0,0.0
1610,8.008010711689297e-08,0.0,0.0,0.0
1611,8.008010711689297e-08,0.0,0.0,0.0
1612,8.008010711689297e-08,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0
1617,0.0,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1623,0.0,0.0,0.0,0.0
1624,0.0,0.0,0.0,0.0
1625,0.0,0.0,0.0,0.0
1626,0.0,0.0,0.0,0.0
1627,0.0,0.0,0.0,0.0
1628,0.0,0.0,0.0,0.0
1629,8.252934386681382e-08,8.252934386681382e-08,0.0,0.0
1630,1.6877834241313394e-07,8.252934386681382e-08,0.0,0.0
1631,1.6877834241313394e-07,8.252934386681382e-08,0.0,0.0
1632,1.6877834241313394e-07,8.252934386681382e-08,0.0,0.0
1633,3.05871139971714e-07,8.252934386681382e-08,0.0,0.0
1634,3.05871139971714e-07,8.252934386681382e-08,0.0,0.0
1635,3.05871139971714e-07,8.252934386681382e-08,0.0,0.0
1636,3.9703061409974385e-07,0.0,0.0,0.0
1637,3.1078161555342376e-07,0.0,0.0,0.0
1638,5.801217639600509e-07,0.0,0.0,0.0
1639,6.579919938433574e-07,0.0,0.0,0.0
1640,7.265153060741016e-07,0.0,0.0,0.0
1641,8.459594807521041e-07,5.972208733900125e-08,0.0,0.0
1642,8.459594807521041e-07,5.972208733900125e-08,0.0,0.0
1643,1.0335604494165246e-06,5.972208733900125e-08,0.0,0.0
1644,1.0335604494165246e-06,5.972208733900125e-08,0.0,0.0
1645,8.133371319932589e-07,5.972208733900125e-08,0.0,0.0
1646,8.362053124853576e-07,5.972208733900125e-08,0.0,0.0
1647,8.386803074245108e-07,5.972208733900125e-08,0.0,0.0
1648,9.026330758388212e-07,0.0,0.0,0.0
1649,9.808608508267623e-07,0.0,0.0,0.0
1650,6.634912007744528e-07,0.0,0.0,0.0
1651,7.064912819844591e-07,0.0,0.0,0.0
1652,7.130458478903685e-07,0.0,0.0,0.0
1653,6.123074375149631e-07,0.0,0.0,0.0
1654,4.0421633278648575e-07,0.0,0.0,0.0
1655,2.7892243435547114e-07,0.0,0.0,0.0
1656,2.006946593675301e-07,0.0,0.0,0.0
1657,1.8457895529471508e-07,2.7804432534139778e-08,0.0,0.0
1658,4.0965704986969544e-07,2.7804432534139778e-08,0.0,0.0
1659,4.5048720664908615e-07,2.7804432534139778e-08,0.0,0.0
1660,4.5048720664908615e-07,2.7804432534139778e-08,0.0,0.0
1661,4.5048720664908615e-07,2.7804432534139778e-08,0.0,0.0
1662,4.735838814440285e-07,2.7804432534139778e-08,0.0,0.0
1663,4.735838814440285e-07,2.7804432534139778e-08,0.0,0.0
1664,4.850824300969439e-07,0.0,0.0,0.0
1665,2.6109587127263823e-07,0.0,0.0,0.0
1666,2.844395063610656e-07,0.0,0.0,0.0
1667,3.168918222432434e-07,0.0,0.0,0.0
1668,3.6064503815071346e-07,0.0,0.0,0.0
1669,3.3935350326633594e-07,0.0,0.0,0.0
1670,3.3935350326633594e-07,0.0,0.0,0.0
1671,5.347116862302366e-07,0.0,0.0,0.0
1672,5.644218776166911e-07,2.4600601428963794e-08,0.0,0.0
1673,4.445766888596024e-07,4.9343471784725675e-08,0.0,0.0
1674,4.1212437297742456e-07,4.9343471784725675e-08,0.0,0.0
