ngram,Memorandum of Understanding
1939,5.887515364122464e-08
1940,6.402165223359394e-08
1941,7.625776023343991e-08
1942,8.226509708362886e-08
1943,2.2739524752068974e-07
1944,2.541768304402987e-07
1945,2.57602612764783e-07
1946,2.6969960081097657e-07
1947,2.7014187610672836e-07
1948,2.7738732606102143e-07
1949,2.7977710459481386e-07
1950,1.4066399651418188e-07
1951,1.3410988941586766e-07
1952,1.373712663621518e-07
1953,1.426182164111976e-07
1954,1.5197561761429563e-07
1955,1.510993966137773e-07
1956,1.4981267578865039e-07
1957,1.563460045872489e-07
1958,1.5651909888804637e-07
1959,1.5620724777168755e-07
1960,1.48253253736844e-07
1961,1.4858498380882728e-07
1962,1.6026177109194707e-07
1963,1.746795236710698e-07
1964,1.85075616546523e-07
1965,1.921396598650712e-07
1966,1.985834338873766e-07
1967,2.143261131745281e-07
1968,2.3164531423195252e-07
1969,2.4111432748798377e-07
1970,2.634750079063711e-07
1971,2.9317171522182305e-07
1972,3.3363486652758313e-07
1973,4.001735638731978e-07
1974,4.497024527998812e-07
1975,5.083570572748743e-07
1976,5.926715118675929e-07
1977,6.394035705982657e-07
1978,6.820848901562775e-07
1979,6.972310383649269e-07
1980,7.02466512133729e-07
1981,7.216835099045836e-07
1982,7.197884152836715e-07
1983,6.999122368662418e-07
1984,7.167103116704052e-07
1985,7.629092725177802e-07
1986,8.07402110630002e-07
1987,8.303210035722129e-07
1988,8.516999514540657e-07
1989,8.821952438406047e-07
1990,9.017423800677144e-07
1991,9.205431216027396e-07
1992,9.090739143045669e-07
1993,9.029884040501202e-07
1994,9.023358253606213e-07
1995,9.127434330886379e-07
1996,9.0867892562788e-07
1997,9.03335246351032e-07
1998,8.910348258593461e-07
1999,8.636649551720308e-07
2000,8.372717762280704e-07
2001,8.123138854898571e-07
2002,7.778043108633678e-07
2003,7.440541886743241e-07
2004,7.173373839058123e-07
2005,6.804173803435074e-07
2006,6.468481257927903e-07
2007,6.252042063741621e-07
2008,5.842484012776237e-07
2009,5.291440418529549e-07
2010,4.812206222075994e-07
2011,4.2752286130312965e-07
2012,3.8868633721124623e-07
2013,3.5948511773702716e-07
2014,3.224130945714673e-07
2015,3.0044073793890546e-07
2016,2.902070791930912e-07
2017,2.864234668701708e-07
2018,2.868582953396981e-07
2019,2.794602096400922e-07
