ngram,Job,Jofb,Jobd,Jovb
1500,4.687476211984176e-05,0.0,0.0,0.0
1501,3.749980969587341e-05,0.0,0.0,0.0
1502,3.160126311740896e-05,0.0,0.0,0.0
1503,4.493613044230317e-05,0.0,0.0,0.0
1504,2.9845036351616727e-05,0.0,0.0,0.0
1505,2.250000833165749e-05,0.0,0.0,0.0
1506,2.250000833165749e-05,0.0,0.0,0.0
1507,2.250000833165749e-05,0.0,0.0,0.0
1508,2.250000833165749e-05,0.0,0.0,0.0
1509,2.219878972807367e-05,0.0,0.0,0.0
1510,4.349456243549607e-06,0.0,0.0,0.0
1511,1.2626553923057924e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,4.781491173032139e-06,0.0,0.0,0.0
1518,4.781491173032139e-06,0.0,0.0,0.0
1519,4.781491173032139e-06,0.0,0.0,0.0
1520,5.079402561542727e-06,0.0,0.0,0.0
1521,5.079402561542727e-06,0.0,0.0,0.0
1522,8.253159421656164e-06,0.0,0.0,0.0
1523,8.86920442358782e-06,0.0,0.0,0.0
1524,4.08771325055568e-06,0.0,0.0,0.0
1525,4.08771325055568e-06,0.0,0.0,0.0
1526,4.723362735603587e-06,0.0,0.0,0.0
1527,4.425451347092998e-06,0.0,0.0,0.0
1528,4.425451347092998e-06,0.0,0.0,0.0
1529,1.2516944869795615e-06,0.0,0.0,0.0
1530,5.738288954099906e-06,0.0,0.0,0.0
1531,2.8717681873656276e-05,0.0,0.0,0.0
1532,2.9168598465340828e-05,0.0,0.0,0.0
1533,2.853294898029292e-05,0.0,0.0,0.0
1534,2.853294898029292e-05,0.0,0.0,0.0
1535,2.853294898029292e-05,0.0,0.0,0.0
1536,2.8980213366074687e-05,0.0,0.0,0.0
1537,2.3877573897022686e-05,0.0,0.0,0.0
1538,8.981809774663166e-07,0.0,0.0,0.0
1539,1.2773755315720337e-06,0.0,0.0,0.0
1540,1.2773755315720337e-06,0.0,0.0,0.0
1541,1.2773755315720337e-06,0.0,0.0,0.0
1542,1.2773755315720337e-06,0.0,0.0,0.0
1543,8.301111457902672e-07,0.0,0.0,0.0
1544,2.7775800585264472e-06,0.0,0.0,0.0
1545,8.13598191078719e-06,0.0,0.0,0.0
1546,7.305870764996923e-06,0.0,0.0,0.0
1547,7.305870764996923e-06,0.0,0.0,0.0
1548,8.1975965388535e-06,0.0,0.0,0.0
1549,1.1835569629121373e-05,0.0,0.0,0.0
1550,1.2375915340661387e-05,0.0,0.0,0.0
1551,1.0428446427925206e-05,0.0,0.0,0.0
1552,1.444448711091744e-05,0.0,0.0,0.0
1553,1.444448711091744e-05,0.0,0.0,0.0
1554,1.444448711091744e-05,0.0,0.0,0.0
1555,1.3552761337060864e-05,0.0,0.0,0.0
1556,9.91478824679299e-06,0.0,0.0,0.0
1557,9.374442535252975e-06,0.0,0.0,0.0
1558,1.0056491191789974e-05,0.0,0.0,0.0
1559,6.820486565369979e-07,0.0,0.0,0.0
1560,1.57942914873794e-06,0.0,0.0,0.0
1561,1.57942914873794e-06,0.0,0.0,0.0
1562,1.57942914873794e-06,0.0,0.0,0.0
1563,1.57942914873794e-06,0.0,0.0,0.0
1564,1.57942914873794e-06,0.0,0.0,0.0
1565,8.973804922009419e-07,0.0,0.0,0.0
1566,8.973804922009419e-07,0.0,0.0,0.0
1567,6.823973178273133e-07,0.0,0.0,0.0
1568,6.564560018367567e-06,0.0,0.0,0.0
1569,6.564560018367567e-06,0.0,0.0,0.0
