ngram,Vi,V,Vei,Vmi,Viy,Voi,Vip
1500,2.3843277858759393e-06,0.0001360380110781989,0.0,0.0,0.0,4.6781349283264717e-07,0.0
1501,1.9074622287007514e-06,0.00010883040886255912,0.0,0.0,0.0,3.742507942661177e-07,0.0
1502,1.5895518572506262e-06,9.139485079382818e-05,0.0,0.0,0.0,3.1187566188843146e-07,0.0
1503,1.3624730205005368e-06,8.726311027982905e-05,0.0,0.0,0.0,2.673219959043698e-07,0.0
1504,6.941679982576585e-07,1.7625730704042197e-05,0.0,0.0,0.0,0.0,0.0
1505,0.0,4.267180793249281e-05,0.0,0.0,0.0,0.0,0.0
1506,0.0,5.027423152828955e-05,0.0,0.0,0.0,0.0,0.0
1507,0.0,5.027423152828955e-05,0.0,0.0,0.0,0.0,0.0
1508,0.0,5.027423152828955e-05,0.0,0.0,0.0,0.0,0.0
1509,0.0,4.967179432112191e-05,0.0,0.0,0.0,0.0,0.0
1510,0.0,4.0747127578859886e-05,0.0,0.0,0.0,0.0,0.0
1511,0.0,4.0747127578859886e-05,0.0,0.0,0.0,0.0,0.0
1512,0.0,7.602423595796738e-06,0.0,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,0.0,5.713222890335601e-07,0.0,0.0,0.0,0.0,0.0
1515,0.0,5.713222890335601e-07,0.0,0.0,0.0,0.0,0.0
1516,0.0,5.713222890335601e-07,0.0,0.0,0.0,0.0,0.0
1517,0.0,3.404176050025853e-05,0.0,0.0,0.0,0.0,0.0
1518,0.0,3.404176050025853e-05,0.0,0.0,0.0,0.0,0.0
1519,0.0,3.404176050025853e-05,0.0,0.0,0.0,0.0,0.0
1520,0.0,3.553131741032952e-05,0.0,0.0,0.0,0.0,0.0
1521,0.0,3.495999512129596e-05,0.0,0.0,0.0,0.0,0.0
1522,0.0,6.035005000220346e-05,0.0,0.0,0.0,0.0,0.0
1523,0.0,7.390303965491642e-05,0.0,0.0,0.0,6.160450019316548e-07,0.0
1524,0.0,4.2497279537201393e-05,0.0,0.0,0.0,6.160450019316548e-07,0.0
1525,0.0,4.2497279537201393e-05,0.0,0.0,0.0,6.160450019316548e-07,0.0
1526,0.0,8.44501434715182e-05,0.0,0.0,0.0,6.160450019316548e-07,0.0
1527,0.0,8.29605865614472e-05,0.0,0.0,0.0,6.160450019316548e-07,0.0
1528,0.0,8.400581899487796e-05,0.0,0.0,0.0,6.160450019316548e-07,0.0
1529,0.0,5.861576411397047e-05,0.0,0.0,0.0,6.160450019316548e-07,0.0
1530,7.289485048594153e-07,5.453910534924944e-05,0.0,0.0,0.0,0.0,0.0
1531,7.289485048594153e-07,5.8219275485628585e-05,0.0,0.0,0.0,0.0,0.0
1532,7.289485048594153e-07,6.182660821910499e-05,0.0,0.0,0.0,0.0,0.0
1533,7.289485048594153e-07,3.583722023644701e-05,0.0,0.0,0.0,0.0,0.0
1534,7.289485048594153e-07,4.988192742010662e-05,0.0,0.0,0.0,0.0,0.0
1535,7.289485048594153e-07,4.921320455001218e-05,0.0,0.0,0.0,0.0,0.0
1536,5.201592427640987e-06,7.157642364420878e-05,0.0,0.0,0.0,0.0,0.0
1537,4.472643922781572e-06,6.210009275621684e-05,0.0,0.0,0.0,0.0,0.0
1538,4.472643922781572e-06,5.635524452632775e-05,0.0,0.0,0.0,0.0,0.0
1539,5.302755068571839e-06,8.844269132168847e-05,0.0,0.0,0.0,0.0,0.0
1540,5.302755068571839e-06,7.247921537002964e-05,0.0,0.0,0.0,0.0,0.0
1541,5.302755068571839e-06,5.8434508186370037e-05,0.0,0.0,0.0,0.0,0.0
