ngram,Key,Keyj,Keyd,Kesy,Keyz,Kefy,Kely
1500,2.3481195796648535e-06,0.0,0.0,0.0,0.0,0.0,0.0
1501,1.8784956637318828e-06,0.0,0.0,0.0,0.0,0.0,0.0
1502,1.7411239052004628e-06,0.0,0.0,0.0,0.0,0.0,0.0
1503,1.4923919187432538e-06,0.0,0.0,0.0,0.0,0.0,0.0
1504,2.8944290469163594e-07,0.0,0.0,0.0,0.0,0.0,0.0
1505,1.506093017919089e-07,0.0,0.0,0.0,0.0,0.0,0.0
1506,1.506093017919089e-07,0.0,0.0,0.0,0.0,0.0,0.0
1507,1.506093017919089e-07,0.0,0.0,0.0,0.0,0.0,0.0
1508,1.506093017919089e-07,0.0,0.0,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1520,2.979113885105887e-07,0.0,0.0,0.0,0.0,0.0,0.0
1521,2.979113885105887e-07,0.0,0.0,0.0,0.0,0.0,0.0
1522,2.979113885105887e-07,0.0,0.0,0.0,0.0,0.0,0.0
1523,2.979113885105887e-07,0.0,0.0,0.0,0.0,0.0,0.0
1524,2.979113885105887e-07,0.0,0.0,0.0,0.0,0.0,0.0
1525,2.979113885105887e-07,0.0,0.0,0.0,0.0,0.0,0.0
1526,2.979113885105887e-07,0.0,0.0,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1530,3.644742589260984e-06,0.0,0.0,0.0,0.0,0.0,0.0
1531,9.389590819150076e-06,0.0,0.0,0.0,0.0,0.0,0.0
1532,1.0291424002519176e-05,0.0,0.0,0.0,0.0,0.0,0.0
1533,1.0291424002519176e-05,0.0,0.0,0.0,0.0,0.0,0.0
1534,1.0291424002519176e-05,0.0,0.0,0.0,0.0,0.0,0.0
1535,1.1044443129191808e-05,0.0,0.0,0.0,0.0,0.0,0.0
1536,1.193897190075534e-05,0.0,0.0,0.0,0.0,0.0,0.0
1537,8.294229311494356e-06,0.0,0.0,0.0,0.0,0.0,0.0
1538,2.5493810816052635e-06,0.0,0.0,0.0,0.0,0.0,0.0
1539,1.6475478982361632e-06,0.0,0.0,0.0,0.0,0.0,0.0
1540,1.6475478982361632e-06,0.0,0.0,0.0,0.0,0.0,0.0
1541,1.6475478982361632e-06,0.0,0.0,0.0,0.0,0.0,0.0
1542,2.3991751082316374e-06,0.0,0.0,0.0,0.0,0.0,0.0
1543,1.5046463366681046e-06,0.0,0.0,0.0,0.0,0.0,0.0
1544,2.061066035301857e-06,0.0,0.0,0.0,0.0,0.0,0.0
1545,3.6685866169656426e-06,0.0,0.0,0.0,0.0,0.0,0.0
1546,3.6685866169656426e-06,0.0,0.0,0.0,0.0,0.0,0.0
1547,3.6685866169656426e-06,0.0,0.0,0.0,0.0,0.0,0.0
1548,3.6685866169656426e-06,0.0,0.0,0.0,0.0,0.0,0.0
1549,2.1639402802975383e-06,0.0,0.0,0.0,0.0,0.0,0.0
1550,2.1639402802975383e-06,0.0,0.0,0.0,0.0,0.0,0.0
1551,1.6075205816637857e-06,0.0,0.0,0.0,0.0,0.0,0.0
1552,7.211109992307943e-07,0.0,0.0,0.0,0.0,0.0,0.0
1553,7.211109992307943e-07,0.0,0.0,0.0,0.0,0.0,0.0
1554,7.211109992307943e-07,0.0,0.0,0.0,0.0,0.0,0.0
1555,7.211109992307943e-07,0.0,0.0,0.0,0.0,0.0,0.0
1556,7.211109992307943e-07,0.0,0.0,0.0,0.0,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0,0.0,0.0,0.0,0.0
1558,7.211109992307943e-07,0.0,0.0,0.0,0.0,0.0,0.0
1559,3.4384465834591538e-06,0.0,0.0,0.0,0.0,0.0,0.0
1560,3.887136829559625e-06,0.0,0.0,0.0,0.0,0.0,0.0
1561,3.887136829559625e-06,0.0,0.0,0.0,0.0,0.0,0.0
1562,3.887136829559625e-06,0.0,0.0,0.0,0.0,0.0,0.0
1563,3.887136829559625e-06,0.0,0.0,0.0,0.0,0.0,0.0
1564,3.887136829559625e-06,0.0,0.0,0.0,0.0,0.0,0.0
1565,4.898937472067441e-06,0.0,0.0,0.0,0.0,0.0,0.0
1566,5.267831901229718e-06,0.0,0.0,0.0,0.0,0.0,0.0
1567,4.819141655129247e-06,0.0,0.0,0.0,0.0,0.0,0.0
