ngram,Quarantine
1768,3.502716217391415e-07
1769,3.4099600400492947e-07
1770,3.1833085399414684e-07
1771,2.731819430985232e-07
1772,1.0160960200218077e-07
1773,8.719953191262317e-08
1774,8.447913987400365e-08
1775,7.251341343257017e-08
1776,7.931496196330759e-08
1777,7.64320403793103e-08
1778,9.326740268988942e-08
1779,9.055692475255586e-08
1780,1.4199195977734495e-07
1781,1.1717984576315693e-07
1782,1.2285662341428504e-07
1783,1.1909222991895213e-07
1784,1.9066453381201753e-07
1785,1.7605089475125624e-07
1786,2.3513373267495093e-07
1787,1.914166397451059e-07
1788,2.9925449699216446e-07
1789,2.803372041171315e-07
1790,2.761634943583756e-07
1791,2.3499824562480042e-07
1792,2.58438691145914e-07
1793,2.2341676445388918e-07
1794,2.8994851979697547e-07
1795,2.5691300058789626e-07
1796,2.9734077295578185e-07
1797,3.7076391582299297e-07
1798,4.005371546814526e-07
1799,3.85459273388733e-07
1800,5.663152852061362e-07
1801,5.382261463182658e-07
1802,5.357469774480705e-07
1803,6.132948848452153e-07
1804,5.480431448339524e-07
1805,5.257757667972587e-07
1806,6.301991330052001e-07
1807,4.4887317837297556e-07
1808,4.297731907497239e-07
1809,3.9027507016596375e-07
1810,2.9822766732325234e-07
1811,3.1369660291602486e-07
1812,3.4954453553837084e-07
1813,2.7729541735815086e-07
1814,3.060987532015653e-07
1815,3.4191769365017013e-07
1816,4.513310431418306e-07
1817,4.814783624494469e-07
1818,5.561798437676251e-07
1819,5.566659280832807e-07
1820,5.880685510614317e-07
1821,5.904477567193161e-07
1822,8.561097136602516e-07
1823,9.697079730943057e-07
1824,1.0494898836960992e-06
1825,9.86441331666096e-07
1826,9.588827083462093e-07
1827,9.310279511152788e-07
1828,9.951653225925838e-07
1829,7.442818912295479e-07
1830,5.484806706590462e-07
1831,4.638878051212357e-07
1832,4.934142176742691e-07
1833,5.169973909297758e-07
1834,5.311840912522062e-07
1835,4.773247285681594e-07
1836,4.6462656249397174e-07
1837,4.5742968625615633e-07
1838,4.6345101623046503e-07
1839,4.630611597024524e-07
1840,4.803182288729399e-07
1841,4.958473149534777e-07
1842,4.998138852637826e-07
1843,5.791457746389434e-07
1844,6.329836220889515e-07
1845,6.683583170083043e-07
1846,7.563877976021363e-07
1847,7.703733980893698e-07
1848,7.817344810843809e-07
1849,8.383772426766103e-07
1850,7.854807141224487e-07
1851,7.846525623530656e-07
1852,8.841736140701479e-07
1853,8.765917576576092e-07
1854,9.27037701460774e-07
1855,1.0613617616529934e-06
1856,1.2772537567278569e-06
1857,1.3625633284521297e-06
1858,1.4651705799094219e-06
1859,1.4040745424738686e-06
1860,1.3494616512486703e-06
1861,1.2921167435056953e-06
1862,1.208855426934211e-06
1863,1.047242814625601e-06
1864,1.0327286434273577e-06
1865,9.779938555506566e-07
1866,9.772476476298055e-07
1867,9.870338349823475e-07
1868,1.0039101506923283e-06
1869,9.899021863800174e-07
1870,9.350810858320204e-07
1871,8.886556364424385e-07
1872,8.617745785548842e-07
1873,8.229518958354934e-07
1874,8.254713748101494e-07
1875,8.669785935515912e-07
1876,9.57633574216743e-07
1877,1.0301908933537822e-06
1878,1.0796865857238508e-06
1879,1.1710660032804299e-06
1880,1.263837849104935e-06
1881,1.3405596876379735e-06
1882,1.3774486952960224e-06
1883,1.319822201496988e-06
1884,1.2994153491620506e-06
1885,1.3395691179799281e-06
1886,1.3110128682975691e-06
1887,1.2822316648453125e-06
1888,1.285501493189908e-06
1889,1.300872083577685e-06
1890,1.455729553916691e-06
1891,1.5421652018890849e-06
1892,1.5699272028411672e-06
1893,1.639848181054861e-06
1894,1.714007518265654e-06
1895,1.7421867174302212e-06
1896,1.8019750963763466e-06
1897,1.7318229278576576e-06
1898,1.7698598964800892e-06
1899,1.8596980778186532e-06
1900,1.9320019646329456e-06
1901,2.0607947297841226e-06
1902,2.101980109208463e-06
1903,2.1329711411713755e-06
1904,2.1337569445937073e-06
1905,2.126370450891305e-06
1906,2.052878958888219e-06
1907,1.9573931240302045e-06
1908,1.8726046359266287e-06
1909,1.8914651036538999e-06
1910,1.9001746847737065e-06
1911,2.0199255946603704e-06
1912,2.0335889660470585e-06
1913,2.085415612132887e-06
1914,2.195441408860331e-06
1915,2.222997116924879e-06
1916,2.312069682375295e-06
1917,2.3421927315731798e-06
1918,2.2947411123043693e-06
1919,2.3132506612455472e-06
1920,2.443014019653284e-06
1921,2.522420085629814e-06
1922,2.6315232649462165e-06
1923,2.614651391143395e-06
1924,2.6926025904166247e-06
1925,2.7786378658285164e-06
1926,2.92215028301663e-06
1927,3.001624236276257e-06
1928,3.0162451756560974e-06
1929,3.0397422311320303e-06
1930,3.173375944243162e-06
1931,3.209243784242842e-06
1932,3.3424698488358573e-06
1933,3.3550568982069047e-06
1934,3.3465253506749704e-06
1935,3.3626715776335914e-06
1936,3.4593909796447927e-06
1937,3.415475053511078e-06
1938,3.502782874420518e-06
1939,3.394381760049977e-06
1940,3.315229508059149e-06
1941,3.231868829191496e-06
1942,3.1611985897533098e-06
1943,2.968555561113005e-06
1944,2.8936421066256505e-06
1945,2.7350979183081236e-06
1946,2.7380385095706776e-06
1947,2.645043715736912e-06
1948,2.52146446655388e-06
1949,2.451262389513431e-06
1950,2.4134593396801004e-06
1951,2.2939972593251568e-06
1952,2.1565870643566347e-06
1953,1.9366542898881434e-06
1954,1.8008078086495516e-06
1955,1.7241051507101344e-06
1956,1.575474064858489e-06
1957,1.4271547732797835e-06
1958,1.3159206966000575e-06
1959,1.2197965263892132e-06
1960,1.1569254151514282e-06
1961,1.1392880878702272e-06
1962,1.053912082430283e-06
1963,1.0264182849693628e-06
1964,9.97088672452914e-07
1965,9.954282924289665e-07
1966,9.927351486892024e-07
1967,9.85788054614594e-07
1968,9.566416890395755e-07
1969,9.438580264031771e-07
1970,9.19949700671298e-07
1971,9.126977715823159e-07
1972,8.820722103207248e-07
1973,8.526979513590049e-07
1974,8.139874044640497e-07
1975,8.049740439933625e-07
1976,8.410618680240336e-07
1977,8.227888526692238e-07
1978,8.287525799590055e-07
1979,9.050116318576329e-07
1980,8.913558125251646e-07
1981,8.903128413554182e-07
1982,8.865340532793198e-07
1983,8.285973324616082e-07
1984,8.367575462995904e-07
1985,8.129872607501706e-07
1986,7.449439262277988e-07
1987,7.824840102849911e-07
1988,7.688122179518229e-07
1989,7.64315903519933e-07
1990,7.687636655516274e-07
1991,7.601886328042642e-07
1992,7.6658385036613e-07
1993,7.588308627808666e-07
1994,7.262414750844723e-07
1995,7.399853448727559e-07
1996,7.300130115644216e-07
1997,7.307455608237692e-07
1998,7.369234659953301e-07
1999,7.059038255517538e-07
2000,7.010843562836402e-07
2001,6.715246497281311e-07
2002,6.419891097461264e-07
2003,6.127585996702172e-07
2004,5.809090777932267e-07
2005,5.394339674629529e-07
2006,5.190817497740292e-07
2007,4.6736056041092e-07
2008,4.3840438073467727e-07
2009,4.1174473202383e-07
2010,3.8530856321423404e-07
2011,3.494681014412241e-07
2012,3.2879907507776807e-07
2013,3.162988499687864e-07
2014,3.065412954583735e-07
2015,3.0948915049780877e-07
2016,3.0145918523365775e-07
2017,2.9630309938966093e-07
2018,3.0167756221999297e-07
2019,3.0192777700221995e-07
