ngram,door,dor,dorr,door
1500,4.4085020363127114e-06,3.9587928313267184e-07,0.0,4.4085020363127114e-06
1501,3.526801629050169e-06,3.1670342650613745e-07,0.0,3.526801629050169e-06
1502,6.453218550935465e-06,2.639195220884479e-07,0.0,6.453218550935465e-06
1503,5.531330186516113e-06,2.2621673321866963e-07,0.0,5.531330186516113e-06
1504,3.6600762801494317e-06,9.255573526648472e-08,0.0,3.6600762801494317e-06
1505,4.274841558071785e-06,0.0,0.0,4.274841558071785e-06
1506,4.274841558071785e-06,0.0,0.0,4.274841558071785e-06
1507,4.274841558071785e-06,0.0,0.0,4.274841558071785e-06
1508,4.274841558071785e-06,0.0,0.0,4.274841558071785e-06
1509,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1510,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1511,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.856239684158936e-06,0.0,0.0,4.856239684158936e-06
1515,4.856239684158936e-06,0.0,0.0,4.856239684158936e-06
1516,4.856239684158936e-06,0.0,0.0,4.856239684158936e-06
1517,7.512623726922486e-06,0.0,0.0,7.512623726922486e-06
1518,7.512623726922486e-06,0.0,0.0,7.512623726922486e-06
1519,7.512623726922486e-06,0.0,0.0,7.512623726922486e-06
1520,1.2279205943091906e-05,0.0,0.0,1.2279205943091906e-05
1521,7.42296625893297e-06,0.0,0.0,7.42296625893297e-06
1522,7.42296625893297e-06,0.0,0.0,7.42296625893297e-06
1523,7.42296625893297e-06,0.0,0.0,7.42296625893297e-06
1524,6.831260309679367e-06,2.064678093509948e-06,0.0,6.831260309679367e-06
1525,6.831260309679367e-06,2.064678093509948e-06,0.0,6.831260309679367e-06
1526,6.831260309679367e-06,2.064678093509948e-06,0.0,6.831260309679367e-06
1527,2.064678093509948e-06,2.064678093509948e-06,0.0,2.064678093509948e-06
1528,2.064678093509948e-06,2.064678093509948e-06,0.0,2.064678093509948e-06
1529,2.064678093509948e-06,2.064678093509948e-06,0.0,2.064678093509948e-06
1530,2.064678093509948e-06,2.7936265983693635e-06,0.0,2.064678093509948e-06
1531,1.1489696459778185e-05,7.289485048594153e-07,0.0,1.1489696459778185e-05
1532,1.1940613051462736e-05,7.289485048594153e-07,0.0,1.1940613051462736e-05
1533,1.1940613051462736e-05,7.289485048594153e-07,0.0,1.1940613051462736e-05
1534,1.3345083743843134e-05,7.289485048594153e-07,0.0,1.3345083743843134e-05
1535,1.8239708262106952e-05,1.1054580681957304e-06,0.0,1.8239708262106952e-05
1536,1.9581501386970297e-05,1.1054580681957304e-06,0.0,1.9581501386970297e-05
1537,1.9581501386970297e-05,3.7650956333631515e-07,0.0,1.9581501386970297e-05
1538,8.091804927192112e-06,3.7650956333631515e-07,0.0,8.091804927192112e-06
1539,2.7563555834473975e-05,3.7650956333631515e-07,0.0,2.7563555834473975e-05
1540,2.7563555834473975e-05,3.7650956333631515e-07,0.0,2.7563555834473975e-05
1541,2.615908514209358e-05,3.7650956333631515e-07,0.0,2.615908514209358e-05
1542,2.4273753297165968e-05,0.0,0.0,2.4273753297165968e-05
1543,2.2931960172302623e-05,0.0,0.0,2.2931960172302623e-05
1544,2.6826897997774983e-05,1.391049246584381e-07,0.0,2.6826897997774983e-05
1545,2.8166498460840167e-05,1.391049246584381e-07,0.0,2.8166498460840167e-05
1546,9.922068134723564e-06,1.391049246584381e-07,0.0,9.922068134723564e-06
1547,9.922068134723564e-06,1.391049246584381e-07,0.0,9.922068134723564e-06
1548,1.021931007016974e-05,1.391049246584381e-07,0.0,1.021931007016974e-05
1549,7.210017396833532e-06,1.391049246584381e-07,0.0,7.210017396833532e-06
1550,9.91174598701556e-06,1.391049246584381e-07,0.0,9.91174598701556e-06
1551,8.378005304621183e-06,0.0,0.0,8.378005304621183e-06
1552,9.922848838479175e-06,0.0,0.0,9.922848838479175e-06
1553,8.244611665629367e-06,0.0,0.0,8.244611665629367e-06
1554,8.244611665629367e-06,0.0,0.0,8.244611665629367e-06
1555,8.548354734167723e-06,0.0,0.0,8.548354734167723e-06
1556,8.548354734167723e-06,0.0,0.0,8.548354734167723e-06
1557,1.5191634312421748e-05,0.0,0.0,1.5191634312421748e-05
1558,1.2830437169343765e-05,0.0,0.0,1.2830437169343765e-05
1559,2.1980555954671998e-05,0.0,0.0,2.1980555954671998e-05
1560,3.544126359754175e-05,0.0,0.0,3.544126359754175e-05
1561,3.544126359754175e-05,0.0,0.0,3.544126359754175e-05
1562,3.484027859355722e-05,0.0,0.0,3.484027859355722e-05
1563,3.7568008857696054e-05,9.092434213796099e-07,0.0,3.7568008857696054e-05
1564,2.8223000689259997e-05,9.092434213796099e-07,0.0,2.8223000689259997e-05
1565,3.0246601974275628e-05,9.092434213796099e-07,0.0,3.0246601974275628e-05
1566,2.201938020464565e-05,9.092434213796099e-07,0.0,2.201938020464565e-05
1567,8.558672561775893e-06,9.092434213796099e-07,0.0,8.558672561775893e-06
1568,8.558672561775893e-06,9.092434213796099e-07,0.0,8.558672561775893e-06
1569,1.0786788542256026e-05,9.092434213796099e-07,0.0,1.0786788542256026e-05
1570,8.059058278117196e-06,0.0,0.0,8.059058278117196e-06
1571,1.0510909955233469e-05,0.0,0.0,1.0510909955233469e-05
1572,1.732664194215821e-05,0.0,0.0,1.732664194215821e-05
1573,1.3519300929536776e-05,0.0,0.0,1.3519300929536776e-05
1574,1.3519300929536776e-05,5.447115459641541e-07,0.0,1.3519300929536776e-05
