ngram,suggestion,sugestion,sugestion,sgestion
1500,5.1650171144501655e-06,0.0,0.0,0.0
1501,4.132013691560132e-06,0.0,0.0,0.0
1502,1.0120357046616846e-05,0.0,0.0,0.0
1503,2.6523925238767072e-05,0.0,0.0,0.0
1504,2.9343404094106518e-05,0.0,0.0,0.0
1505,2.79219431312023e-05,0.0,0.0,0.0
1506,2.79219431312023e-05,0.0,0.0,0.0
1507,2.79219431312023e-05,0.0,0.0,0.0
1508,2.79219431312023e-05,0.0,0.0,0.0
1509,2.219878972807367e-05,0.0,0.0,0.0
1510,4.349456243549607e-06,0.0,0.0,0.0
1511,1.2626553923057924e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,2.4908592552362407e-06,0.0,0.0,0.0
1518,2.4908592552362407e-06,0.0,0.0,0.0
1519,2.4908592552362407e-06,0.0,0.0,0.0
1520,3.0866820322574185e-06,0.0,0.0,0.0
1521,1.6583763421554716e-06,0.0,0.0,0.0
1522,1.6583763421554716e-06,0.0,0.0,0.0
1523,6.5867363576087105e-06,0.0,0.0,0.0
1524,5.524182792474416e-06,0.0,0.0,0.0
1525,5.524182792474416e-06,0.0,0.0,0.0
1526,1.1245028157905576e-05,0.0,0.0,0.0
1527,1.0649205380884399e-05,0.0,0.0,0.0
1528,1.0649205380884399e-05,0.0,0.0,0.0
1529,1.0649205380884399e-05,0.0,0.0,0.0
1530,8.636639384868821e-06,0.0,0.0,0.0
1531,8.636639384868821e-06,0.0,0.0,0.0
1532,9.989389192404425e-06,0.0,0.0,0.0
1533,4.268543826973266e-06,0.0,0.0,0.0
1534,4.268543826973266e-06,0.0,0.0,0.0
1535,8.033639330408602e-06,0.0,0.0,0.0
1536,8.480903716190369e-06,0.0,0.0,0.0
1537,5.565109696752708e-06,0.0,0.0,0.0
1538,5.565109696752708e-06,0.0,0.0,0.0
1539,4.212359889217103e-06,0.0,0.0,0.0
1540,4.212359889217103e-06,0.0,0.0,0.0
1541,4.212359889217103e-06,0.0,0.0,0.0
1542,3.4565570591179754e-06,0.0,0.0,0.0
1543,3.009292673336209e-06,0.0,0.0,0.0
1544,3.5657123719699612e-06,0.0,0.0,0.0
1545,3.833632474327585e-06,0.0,0.0,0.0
1546,3.833632474327585e-06,0.0,0.0,0.0
1547,3.833632474327585e-06,0.0,0.0,0.0
1548,6.508809795897312e-06,0.0,0.0,0.0
1549,3.4995171225611036e-06,0.0,0.0,0.0
1550,1.2145048507201344e-05,0.0,0.0,0.0
1551,1.1588628808567591e-05,0.0,0.0,0.0
1552,1.1320708706209968e-05,0.0,0.0,0.0
1553,1.1320708706209968e-05,0.0,0.0,0.0
1554,1.1320708706209968e-05,0.0,0.0,0.0
1555,9.246516388624773e-06,0.0,0.0,0.0
1556,1.0287392667253568e-05,0.0,0.0,0.0
1557,1.641861282613328e-06,0.0,0.0,0.0
1558,9.826445161057304e-06,0.0,0.0,0.0
1559,9.826445161057304e-06,0.0,0.0,0.0
1560,1.0275135407157774e-05,0.0,0.0,0.0
1561,1.0275135407157774e-05,0.0,0.0,0.0
1562,9.67415040317324e-06,0.0,0.0,0.0
1563,8.633274124544446e-06,0.0,0.0,0.0
1564,8.633274124544446e-06,0.0,0.0,0.0
1565,1.460490888608287e-06,0.0,0.0,0.0
1566,5.267831901229718e-06,0.0,0.0,0.0
1567,4.819141655129247e-06,0.0,0.0,0.0
1568,4.819141655129247e-06,0.0,0.0,0.0
1569,7.04725763560938e-06,0.0,0.0,0.0
1570,7.04725763560938e-06,0.0,0.0,0.0
1571,2.421021885571203e-05,0.0,0.0,0.0
1572,2.3198418213204214e-05,0.0,0.0,0.0
1573,1.9391077200582784e-05,0.0,0.0,0.0
1574,1.993578874654694e-05,0.0,0.0,0.0
1575,1.993578874654694e-05,0.0,0.0,0.0
1576,1.8609033661830055e-05,0.0,0.0,0.0
1577,1.8609033661830055e-05,0.0,0.0,0.0
1578,2.891551080860414e-06,0.0,0.0,0.0
1579,3.5383058860004113e-06,0.0,0.0,0.0
1580,3.5383058860004113e-06,0.0,0.0,0.0
1581,3.5869017145679597e-06,0.0,0.0,0.0
1582,3.5869017145679597e-06,0.0,0.0,0.0
1583,5.088653974131116e-06,0.0,0.0,0.0
1584,5.987765559569068e-06,0.0,0.0,0.0
1585,4.542286920436059e-06,0.0,0.0,0.0
1586,5.333319807375249e-06,0.0,0.0,0.0
1587,6.025478926728413e-06,0.0,0.0,0.0
1588,6.101677367301558e-06,0.0,0.0,0.0
1589,7.782215691674668e-06,0.0,0.0,0.0
1590,6.4190051359348995e-06,0.0,0.0,0.0
1591,6.5860274064886785e-06,0.0,0.0,0.0
1592,6.5860274064886785e-06,0.0,0.0,0.0
1593,5.371516441040772e-06,0.0,0.0,0.0
1594,4.846988904968644e-06,0.0,0.0,0.0
1595,5.529874426559088e-06,0.0,0.0,0.0
1596,4.901427230054521e-06,0.0,0.0,0.0
1597,4.708959311626261e-06,0.0,0.0,0.0
1598,6.429562176890613e-06,0.0,0.0,0.0
1599,6.547473325164381e-06,0.0,0.0,0.0
1600,7.495763497900043e-06,0.0,0.0,0.0
1601,8.304751223217213e-06,0.0,0.0,0.0
1602,7.265562057260208e-06,0.0,0.0,0.0
1603,6.213470929391665e-06,0.0,0.0,0.0
1604,1.0133605396081943e-05,0.0,0.0,0.0
1605,7.571742457912478e-06,0.0,0.0,0.0
1606,8.01439206757745e-06,0.0,0.0,0.0
1607,6.842825168210506e-06,0.0,0.0,0.0
1608,6.065883456228351e-06,0.0,0.0,0.0
1609,5.941355263010857e-06,0.0,0.0,0.0
1610,6.196251791022535e-06,0.0,0.0,0.0
1611,2.350393158069762e-06,0.0,0.0,0.0
1612,2.125519374983144e-06,0.0,0.0,0.0
1613,3.322873892232435e-06,0.0,0.0,0.0
1614,3.322873892232435e-06,0.0,0.0,0.0
1615,4.266026020819222e-06,0.0,0.0,0.0
1616,4.077352043298431e-06,0.0,0.0,0.0
1617,4.193079511034219e-06,0.0,0.0,0.0
1618,4.551571789436691e-06,0.0,0.0,0.0
1619,4.889175280758147e-06,0.0,0.0,0.0
1620,4.541604864373637e-06,0.0,0.0,0.0
1621,5.255276846583001e-06,0.0,0.0,0.0
1622,5.730460543418303e-06,0.0,0.0,0.0
1623,6.808117307498053e-06,0.0,0.0,0.0
1624,8.08014741388823e-06,0.0,0.0,0.0
1625,6.799944620589875e-06,0.0,0.0,0.0
1626,6.92158476210482e-06,0.0,0.0,0.0
1627,5.67101124358617e-06,0.0,0.0,0.0
1628,5.219385765745496e-06,0.0,0.0,0.0
1629,6.489899452130235e-06,0.0,0.0,0.0
1630,6.705977723088706e-06,0.0,0.0,0.0
1631,5.063323620951061e-06,0.0,0.0,0.0
1632,5.796332694834356e-06,0.0,0.0,0.0
1633,6.022553066031833e-06,0.0,0.0,0.0
1634,6.479872516657841e-06,0.0,0.0,0.0
1635,6.300145725747695e-06,0.0,0.0,0.0
1636,3.7589962533145027e-06,0.0,0.0,0.0
1637,2.5384213456293636e-06,0.0,0.0,0.0
1638,2.8077614940359908e-06,0.0,0.0,0.0
1639,2.5419738156935116e-06,0.0,0.0,0.0
1640,1.8565098116596346e-06,0.0,0.0,0.0
1641,3.2102479151165298e-06,0.0,0.0,0.0
1642,3.667677382119499e-06,0.0,0.0,0.0
1643,3.591267094244748e-06,0.0,0.0,0.0
1644,4.526383122538391e-06,0.0,0.0,0.0
1645,4.846444913450146e-06,0.0,0.0,0.0
1646,5.185130800912573e-06,0.0,0.0,0.0
1647,6.121540764070232e-06,0.0,0.0,0.0
1648,4.379958048567849e-06,0.0,0.0,0.0
1649,3.840208868106336e-06,0.0,0.0,0.0
1650,3.920602612847038e-06,0.0,0.0,0.0
1651,2.9553265384103204e-06,0.0,0.0,0.0
1652,2.64428159165878e-06,0.0,0.0,0.0
1653,1.9137500869094637e-06,0.0,0.0,0.0
1654,1.3506888032160141e-06,0.0,0.0,0.0
1655,1.4700609085593896e-06,0.0,0.0,0.0
1656,1.696597556539408e-06,0.0,0.0,0.0
1657,1.8179118066135352e-06,0.0,0.0,0.0
1658,2.9544556728719077e-06,0.0,0.0,0.0
1659,3.351609564106184e-06,0.0,0.0,0.0
1660,3.5969329863811642e-06,0.0,0.0,0.0
1661,3.223584306916954e-06,0.0,0.0,0.0
1662,3.0373654616206684e-06,0.0,0.0,0.0
1663,3.4677785996401715e-06,0.0,0.0,0.0
1664,3.859768834705132e-06,0.0,0.0,0.0
1665,3.4738740006495002e-06,0.0,0.0,0.0
1666,3.277743871876737e-06,0.0,0.0,0.0
1667,3.2815678423503414e-06,0.0,0.0,0.0
1668,3.3253210582578115e-06,0.0,0.0,0.0
1669,3.821911661816557e-06,0.0,0.0,0.0
1670,3.937945255724376e-06,0.0,0.0,0.0
1671,3.464381596326608e-06,0.0,0.0,0.0
1672,2.818336099608132e-06,0.0,0.0,0.0
1673,2.4379268260028245e-06,0.0,0.0,0.0
1674,2.861605707948911e-06,0.0,0.0,0.0
1675,3.058081988781071e-06,0.0,0.0,0.0
1676,2.699717526866152e-06,0.0,0.0,0.0
1677,2.2961823284666546e-06,0.0,0.0,0.0
1678,2.144103266995704e-06,0.0,0.0,0.0
1679,2.619437387758288e-06,0.0,0.0,0.0
1680,3.262644960549161e-06,0.0,0.0,0.0
1681,2.9843357164541625e-06,0.0,0.0,0.0
1682,2.986038615355418e-06,0.0,0.0,0.0
1683,2.8178164045909526e-06,0.0,0.0,0.0
1684,2.828248763567639e-06,0.0,0.0,0.0
1685,2.730666722072783e-06,0.0,0.0,0.0
1686,2.328762637457008e-06,2.762920660513503e-08,2.762920660513503e-08,0.0
1687,1.9161843007558284e-06,2.762920660513503e-08,2.762920660513503e-08,0.0
1688,1.77243252405138e-06,2.762920660513503e-08,2.762920660513503e-08,0.0
1689,1.593642468021374e-06,2.762920660513503e-08,2.762920660513503e-08,0.0
1690,1.7727934594599252e-06,2.762920660513503e-08,2.762920660513503e-08,0.0
1691,1.5641752863107935e-06,2.762920660513503e-08,2.762920660513503e-08,0.0
1692,1.5647427460407926e-06,2.762920660513503e-08,2.762920660513503e-08,0.0
1693,1.5318162606295767e-06,0.0,0.0,0.0
1694,1.5436132514423662e-06,0.0,0.0,0.0
1695,1.3880470573570034e-06,0.0,0.0,0.0
1696,1.6555695765418932e-06,0.0,0.0,0.0
1697,2.6371003514213953e-06,0.0,0.0,0.0
1698,3.0155153386398785e-06,0.0,0.0,0.0
1699,2.9649938499330475e-06,0.0,0.0,0.0
1700,2.9588566284084143e-06,0.0,0.0,0.0
1701,2.7334600320370683e-06,0.0,0.0,0.0
1702,2.682736789795724e-06,0.0,0.0,0.0
1703,2.5728961239630214e-06,0.0,0.0,0.0
1704,1.39241395150488e-06,0.0,0.0,0.0
1705,1.1083129314621537e-06,0.0,0.0,0.0
1706,1.1718815114493606e-06,0.0,0.0,0.0
1707,1.0628262836170116e-06,0.0,0.0,0.0
1708,9.75762773691713e-07,0.0,0.0,0.0
1709,1.0242614081334978e-06,0.0,0.0,0.0
1710,1.0272325161914914e-06,0.0,0.0,0.0
1711,9.727835248440897e-07,0.0,0.0,0.0
1712,7.289340300888268e-07,0.0,0.0,0.0
1713,7.145128547238398e-07,0.0,0.0,0.0
1714,8.808884014602622e-07,0.0,0.0,0.0
1715,9.764966871931132e-07,0.0,0.0,0.0
1716,9.409708334422768e-07,0.0,0.0,0.0
1717,8.394380200473149e-07,0.0,0.0,0.0
1718,8.664433660702084e-07,0.0,0.0,0.0
1719,9.764139495668393e-07,0.0,0.0,0.0
1720,9.445132929743392e-07,0.0,0.0,0.0
1721,8.716641316043803e-07,0.0,0.0,0.0
1722,8.784872177004997e-07,0.0,0.0,0.0
1723,9.556188323196174e-07,0.0,0.0,0.0
1724,8.861946209240809e-07,0.0,0.0,0.0
1725,9.922120796090894e-07,0.0,0.0,0.0
1726,1.1862770463721972e-06,0.0,0.0,0.0
1727,1.2280832533763584e-06,0.0,0.0,0.0
1728,1.3013858628190583e-06,0.0,0.0,0.0
1729,1.4185239730782736e-06,0.0,0.0,0.0
1730,1.4458818822861628e-06,0.0,0.0,0.0
1731,1.6299127472458558e-06,0.0,0.0,0.0
1732,1.507579733177928e-06,6.258523857890655e-09,6.258523857890655e-09,0.0
1733,1.3644613545693574e-06,6.258523857890655e-09,6.258523857890655e-09,0.0
1734,1.3481266348337937e-06,6.258523857890655e-09,6.258523857890655e-09,0.0
1735,1.1795191068943365e-06,6.258523857890655e-09,6.258523857890655e-09,0.0
1736,9.806229489380972e-07,6.258523857890655e-09,6.258523857890655e-09,0.0
1737,8.402118437191218e-07,6.258523857890655e-09,6.258523857890655e-09,0.0
1738,1.0811307049607422e-06,6.258523857890655e-09,6.258523857890655e-09,0.0
1739,1.0704434397926628e-06,0.0,0.0,0.0
1740,1.0600068419210272e-06,0.0,0.0,0.0
1741,1.0862182843344011e-06,0.0,0.0,0.0
1742,1.1426295470430757e-06,0.0,0.0,0.0
1743,1.2856464966911777e-06,0.0,0.0,0.0
1744,1.4655154448714062e-06,0.0,0.0,0.0
1745,1.1455168476004474e-06,0.0,0.0,0.0
1746,1.39101695140198e-06,0.0,0.0,0.0
1747,1.5182684640941652e-06,0.0,0.0,0.0
1748,1.5361988598020356e-06,0.0,0.0,0.0
1749,1.8100291267078968e-06,0.0,0.0,0.0
1750,1.8911959581860823e-06,0.0,0.0,0.0
1751,2.0320134451269823e-06,0.0,0.0,0.0
1752,2.2211985749111463e-06,0.0,0.0,0.0
1753,2.1036280161622145e-06,0.0,0.0,0.0
1754,2.0217406699885032e-06,0.0,0.0,0.0
1755,2.1555117330405793e-06,0.0,0.0,0.0
1756,2.1790999003964577e-06,0.0,0.0,0.0
1757,2.127599194474377e-06,0.0,0.0,0.0
1758,1.964831913677959e-06,0.0,0.0,0.0
1759,2.0527067395700475e-06,0.0,0.0,0.0
1760,2.3137303384958485e-06,0.0,0.0,0.0
1761,2.631843277153426e-06,0.0,0.0,0.0
1762,2.893797890075283e-06,0.0,0.0,0.0
1763,2.9797934400578796e-06,0.0,0.0,0.0
1764,3.297149938979211e-06,0.0,0.0,0.0
1765,3.637704464511314e-06,0.0,0.0,0.0
1766,3.6075803109270055e-06,0.0,0.0,0.0
1767,3.5138109524268657e-06,5.889004585567039e-09,5.889004585567039e-09,0.0
1768,3.6379507426837724e-06,5.889004585567039e-09,5.889004585567039e-09,0.0
1769,3.4416143859873827e-06,5.889004585567039e-09,5.889004585567039e-09,0.0
1770,3.833007407852815e-06,5.889004585567039e-09,5.889004585567039e-09,0.0
1771,3.8225183029031285e-06,5.889004585567039e-09,5.889004585567039e-09,0.0
1772,3.975789078530008e-06,5.889004585567039e-09,5.889004585567039e-09,0.0
1773,4.022627081212704e-06,5.889004585567039e-09,5.889004585567039e-09,0.0
1774,4.155675079735894e-06,0.0,0.0,0.0
1775,3.888712496648493e-06,0.0,0.0,0.0
1776,3.866296732927107e-06,0.0,0.0,0.0
1777,3.6263396785735883e-06,0.0,0.0,0.0
1778,3.620033307275402e-06,0.0,0.0,0.0
1779,3.6091515279882254e-06,0.0,0.0,0.0
1780,4.184162662568269e-06,0.0,0.0,0.0
1781,4.2504917863490325e-06,0.0,0.0,0.0
1782,4.530967706679283e-06,0.0,0.0,0.0
1783,4.7845350244252975e-06,0.0,0.0,0.0
1784,4.947715784250509e-06,0.0,0.0,0.0
1785,5.049455986798941e-06,0.0,0.0,0.0
1786,4.917414961320381e-06,0.0,0.0,0.0
1787,4.722336987989755e-06,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1788,5.047622575407981e-06,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1789,5.400390364229679e-06,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1790,5.849947423744847e-06,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1791,6.04952141916978e-06,1.2891416188511228e-09,1.2891416188511228e-09,0.0
