ngram,instance,instnce,instace
1500,2.0011213564430363e-05,0.0,0.0
1501,1.6008970851544292e-05,0.0,0.0
1502,3.0209050843647372e-05,0.0,0.0
1503,3.481813889395978e-05,0.0,0.0
1504,3.134295288223906e-05,0.0,0.0
1505,2.653979806512195e-05,0.0,0.0
1506,2.653979806512195e-05,0.0,0.0
1507,2.653979806512195e-05,0.0,0.0
1508,2.653979806512195e-05,0.0,0.0
1509,1.2081305093098698e-05,0.0,0.0
1510,3.1566383508366665e-06,0.0,0.0
1511,3.1566383508366665e-06,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,2.856611380203893e-06,0.0,0.0
1515,2.856611380203893e-06,0.0,0.0
1516,2.856611380203893e-06,0.0,0.0
1517,7.638102553236032e-06,0.0,0.0
1518,7.638102553236032e-06,0.0,0.0
1519,7.638102553236032e-06,0.0,0.0
1520,1.2404684769405452e-05,0.0,0.0
1521,9.548073389201558e-06,0.0,0.0
1522,9.548073389201558e-06,0.0,0.0
1523,1.632456821555804e-05,0.0,0.0
1524,1.15430770425259e-05,0.0,0.0
1525,1.15430770425259e-05,0.0,0.0
1526,1.4721324467765434e-05,0.0,0.0
1527,9.954742251596014e-06,0.0,0.0
1528,1.0999974685026765e-05,0.0,0.0
1529,1.0999974685026765e-05,0.0,0.0
1530,5.681376868389114e-06,0.0,0.0
1531,4.0150465208301155e-05,0.0,0.0
1532,4.3757797941777555e-05,0.0,0.0
1533,4.057955051653802e-05,0.0,0.0
1534,5.743319830539154e-05,0.0,0.0
1535,5.940004237865131e-05,0.0,0.0
1536,6.253089317656954e-05,0.0,0.0
1537,6.107299616685071e-05,0.0,0.0
1538,2.6603907826938666e-05,0.0,0.0
1539,2.46567973850428e-05,0.0,0.0
1540,2.46567973850428e-05,0.0,0.0
1541,7.803149596189282e-06,0.0,0.0
1542,6.295719426166865e-06,0.0,0.0
1543,3.164868628248639e-06,0.0,0.0
1544,6.086072062316816e-06,0.0,0.0
1545,7.15775247174731e-06,0.0,0.0
1546,5.777236375641743e-06,0.0,0.0
1547,5.777236375641743e-06,0.0,0.0
1548,8.155171859211155e-06,0.0,0.0
1549,6.650525522543051e-06,0.0,0.0
1550,1.2053982702907109e-05,0.0,0.0
1551,9.132779268838931e-06,0.0,0.0
1552,1.8877764042762074e-05,0.0,0.0
1553,1.8598057847287108e-05,0.0,0.0
1554,2.7854660012443283e-05,0.0,0.0
1555,2.667869453684294e-05,0.0,0.0
1556,3.292395246847134e-05,0.0,0.0
1557,2.7520495288107278e-05,0.0,0.0
1558,4.184351720531205e-05,0.0,0.0
1559,3.962296874046193e-05,0.0,0.0
1560,4.545594180984024e-05,0.0,0.0
1561,3.619933964468406e-05,0.0,0.0
1562,3.499736963671499e-05,0.0,0.0
1563,3.966303276164191e-05,0.0,0.0
1564,3.966303276164191e-05,0.0,0.0
1565,3.545801778922656e-05,0.0,0.0
1566,2.6861901070723044e-05,0.0,0.0
1567,2.3076120019790585e-05,0.0,0.0
1568,2.3076120019790585e-05,0.0,0.0
1569,2.4561530673444005e-05,0.0,0.0
1570,1.3650609616888687e-05,0.0,0.0
1571,0.0001068209764655746,0.0,0.0
1572,9.774289108983274e-05,0.0,0.0
1573,9.774289108983274e-05,0.0,0.0
1574,9.569569907138689e-05,0.0,0.0
1575,9.569569907138689e-05,0.0,0.0
1576,0.0001027732168950024,0.0,0.0
1577,0.00011808207286126812,0.0,0.0
1578,2.6839010908068822e-05,0.0,0.0
1579,3.097312778014124e-05,0.0,0.0
1580,3.295404946714241e-05,0.0,0.0
1581,3.3547356841674105e-05,0.0,0.0
1582,3.3547356841674105e-05,0.0,0.0
1583,3.171314457566561e-05,0.0,0.0
1584,1.9101623300749842e-05,0.0,0.0
1585,2.0948680100575855e-05,0.0,0.0
1586,1.721242935153506e-05,0.0,0.0
1587,1.5231507664533897e-05,0.0,0.0
1588,1.597721192021189e-05,0.0,0.0
1589,2.1579005988314748e-05,0.0,0.0
1590,1.7450046340984825e-05,0.0,0.0
1591,1.875071367456777e-05,0.0,0.0
1592,1.5573323772904197e-05,0.0,0.0
1593,1.4805366260718853e-05,0.0,0.0
1594,2.167826128892817e-05,0.0,0.0
1595,2.1691640995413763e-05,0.0,0.0
