ngram,minimum,minmum,miimum,minmum
1500,4.1397264794795774e-05,0.0,0.0,0.0
1501,3.311781183583662e-05,0.0,0.0,0.0
1502,2.794959823404497e-05,0.0,0.0,0.0
1503,4.1806131970848325e-05,0.0,0.0,0.0
1504,4.856476899866331e-05,0.0,0.0,0.0
1505,6.034614612612391e-05,0.0,0.0,0.0
1506,6.034614612612391e-05,0.0,0.0,0.0
1507,6.034614612612391e-05,0.0,0.0,0.0
1508,6.034614612612391e-05,0.0,0.0,0.0
1509,6.004492752254009e-05,0.0,0.0,0.0
1510,4.219559403801603e-05,0.0,0.0,0.0
1511,2.3674789450264404e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625536171054201e-05,0.0,0.0,0.0
1518,1.0625536171054201e-05,0.0,0.0,0.0
1519,1.0625536171054201e-05,0.0,0.0,0.0
1520,1.0625536171054201e-05,0.0,0.0,0.0
1521,1.0625536171054201e-05,0.0,0.0,0.0
1522,1.0625536171054201e-05,0.0,0.0,0.0
1523,3.526733572860914e-05,0.0,0.0,0.0
1524,2.4641799557554934e-05,0.0,0.0,0.0
1525,2.4641799557554934e-05,0.0,0.0,0.0
1526,5.769557278004608e-05,0.0,0.0,0.0
1527,5.769557278004608e-05,0.0,0.0,0.0
1528,8.90525448734739e-05,0.0,0.0,0.0
1529,8.90525448734739e-05,0.0,0.0,0.0
1530,6.513969382077838e-05,0.0,0.0,0.0
1531,6.513969382077838e-05,0.0,0.0,0.0
1532,8.452910638620128e-05,0.0,0.0,0.0
1533,5.1475333163710146e-05,0.0,0.0,0.0
1534,5.1475333163710146e-05,0.0,0.0,0.0
1535,2.0118361070282325e-05,0.0,0.0,0.0
1536,2.2801947320009015e-05,0.0,0.0,0.0
1537,2.2072998815149602e-05,0.0,0.0,0.0
1538,2.2072998815149602e-05,0.0,0.0,0.0
1539,0.00012969059025635943,0.0,0.0,0.0
1540,0.00012969059025635943,0.0,0.0,0.0
1541,0.00012969059025635943,0.0,0.0,0.0
1542,0.00013119523659302752,0.0,0.0,0.0
1543,0.00012851165034330085,0.0,0.0,0.0
1544,0.00012878986019261771,0.0,0.0,0.0
1545,0.00012878986019261771,0.0,0.0,0.0
1546,2.901680967884853e-06,0.0,0.0,0.0
1547,2.901680967884853e-06,0.0,0.0,0.0
1548,2.5492067931866457e-05,0.0,0.0,0.0
1549,2.398742159519835e-05,0.0,0.0,0.0
1550,2.9931224649512194e-05,0.0,0.0,0.0
1551,2.9653014800195316e-05,0.0,0.0,0.0
1552,3.902745733544829e-05,0.0,0.0,0.0
1553,3.790863255354842e-05,0.0,0.0,0.0
1554,3.790863255354842e-05,0.0,0.0,0.0
1555,2.2530065637381214e-05,0.0,0.0,0.0
1556,3.918408609544193e-05,0.0,0.0,0.0
1557,3.324028304112809e-05,0.0,0.0,0.0
1558,4.824535322508642e-05,0.0,0.0,0.0
1559,3.887091068983344e-05,0.0,0.0,0.0
1560,3.887091068983344e-05,0.0,0.0,0.0
1561,3.887091068983344e-05,0.0,0.0,0.0
1562,3.165909064201904e-05,0.0,0.0,0.0
1563,1.5005070183958327e-05,0.0,0.0,0.0
1564,1.5005070183958327e-05,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,7.427053268267108e-07,0.0,0.0,0.0
1570,7.427053268267108e-07,0.0,0.0,0.0
1571,7.427053268267108e-07,0.0,0.0,0.0
1572,7.427053268267108e-07,0.0,0.0,0.0
1573,7.427053268267108e-07,0.0,0.0,0.0
1574,7.427053268267108e-07,0.0,0.0,0.0
1575,7.427053268267108e-07,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,2.5514759077590758e-06,0.0,0.0,0.0
1578,3.0333021316307296e-06,0.0,0.0,0.0
1579,4.3268117419107255e-06,0.0,0.0,0.0
1580,4.3268117419107255e-06,0.0,0.0,0.0
1581,5.51342649097413e-06,0.0,0.0,0.0
1582,5.51342649097413e-06,0.0,0.0,0.0
1583,2.2815840793555253e-05,0.0,0.0,0.0
1584,2.0264364885796177e-05,0.0,0.0,0.0
1585,1.9782538661924525e-05,0.0,0.0,0.0
1586,1.848902905164453e-05,0.0,0.0,0.0
1587,1.848902905164453e-05,0.0,0.0,0.0
1588,1.730241430258112e-05,0.0,0.0,0.0
1589,2.1036943767934906e-05,0.0,0.0,0.0
1590,4.254480765147102e-06,0.0,0.0,0.0
1591,4.254480765147102e-06,0.0,0.0,0.0
1592,4.254480765147102e-06,0.0,0.0,0.0
1593,4.254480765147102e-06,0.0,0.0,0.0
1594,4.254480765147102e-06,0.0,0.0,0.0
1595,4.254480765147102e-06,0.0,0.0,0.0
1596,4.517897715621595e-06,0.0,0.0,0.0
1597,5.571753588031113e-06,0.0,0.0,0.0
1598,1.4816642500850971e-05,0.0,0.0,0.0
1599,1.6349487460891915e-05,0.0,0.0,0.0
1600,1.6349487460891915e-05,0.0,0.0,0.0
1601,1.6544811322611558e-05,0.0,0.0,0.0
1602,1.6649212040777327e-05,0.0,0.0,0.0
1603,1.2651265624949051e-05,0.0,0.0,0.0
1604,1.1077458452746214e-05,0.0,0.0,0.0
1605,1.8325695399263559e-06,0.0,0.0,0.0
1606,8.602853378241499e-07,0.0,0.0,0.0
1607,8.602853378241499e-07,0.0,0.0,0.0
1608,6.649614761045086e-07,0.0,0.0,0.0
1609,1.5039306293017165e-06,0.0,0.0,0.0
1610,1.5039306293017165e-06,0.0,0.0,0.0
1611,6.4197198688426786e-06,0.0,0.0,0.0
1612,6.6887205970748e-06,0.0,0.0,0.0
1613,6.287970320175061e-06,0.0,0.0,0.0
1614,6.287970320175061e-06,0.0,0.0,0.0
