ngram,writer,write,wrier,write
1500,5.942136706948986e-05,3.536239603363356e-06,0.0,3.536239603363356e-06
1501,4.753709365559189e-05,2.8289916826906847e-06,0.0,2.8289916826906847e-06
1502,4.084422063973155e-05,3.0603364772711452e-06,0.0,3.0603364772711452e-06
1503,3.500933197691276e-05,2.623145551946696e-06,0.0,2.623145551946696e-06
1504,1.1930986829611356e-06,2.2221625580901412e-06,0.0,2.2221625580901412e-06
1505,2.632584255479742e-06,6.024372071676356e-07,0.0,6.024372071676356e-07
1506,2.632584255479742e-06,6.024372071676356e-07,0.0,6.024372071676356e-07
1507,2.632584255479742e-06,6.024372071676356e-07,0.0,6.024372071676356e-07
1508,2.632584255479742e-06,6.024372071676356e-07,0.0,6.024372071676356e-07
1509,1.5783191754183333e-06,0.0,0.0,0.0
1510,1.5783191754183333e-06,0.0,0.0,0.0
1511,1.5783191754183333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.1138924889133443e-05,4.056388362576919e-05,0.0,4.056388362576919e-05
1515,2.1138924889133443e-05,4.056388362576919e-05,0.0,4.056388362576919e-05
1516,2.1138924889133443e-05,4.056388362576919e-05,0.0,4.056388362576919e-05
1517,2.2201478454267738e-05,4.1626437190903486e-05,0.0,4.1626437190903486e-05
1518,2.2201478454267738e-05,4.1626437190903486e-05,0.0,4.1626437190903486e-05
1519,2.2201478454267738e-05,4.1626437190903486e-05,0.0,4.1626437190903486e-05
1520,3.7097047554977636e-05,4.63930194070729e-05,0.0,4.63930194070729e-05
1521,1.5958122665844193e-05,5.829135781303714e-06,0.0,5.829135781303714e-06
1522,1.5958122665844193e-05,1.5350406101788394e-05,0.0,1.5350406101788394e-05
1523,1.6574167667775847e-05,1.843063104648276e-05,0.0,1.843063104648276e-05
1524,1.5511614102641552e-05,1.9432755574858413e-05,0.0,1.9432755574858413e-05
1525,1.5511614102641552e-05,1.9432755574858413e-05,0.0,1.9432755574858413e-05
1526,1.5511614102641552e-05,2.8331848365529106e-05,0.0,2.8331848365529106e-05
1527,6.160450019316548e-07,2.3565266149359688e-05,0.0,2.3565266149359688e-05
1528,6.160450019316548e-07,2.3565266149359688e-05,0.0,2.3565266149359688e-05
1529,6.160450019316548e-07,1.4043995828875008e-05,0.0,1.4043995828875008e-05
1530,7.289485048594153e-07,1.315061633379498e-05,0.0,1.315061633379498e-05
