ngram,mistake,mistke,msitake,mstake
1500,1.5150108765737968e-05,0.0,0.0,0.0
1501,1.2120087012590374e-05,0.0,0.0,0.0
1502,2.169698852109529e-05,0.0,0.0,0.0
1503,1.859741873236739e-05,0.0,0.0,0.0
1504,1.0310436664440203e-05,0.0,0.0,0.0
1505,1.0571541419527161e-05,0.0,0.0,0.0
1506,1.0571541419527161e-05,0.0,0.0,0.0
1507,1.0571541419527161e-05,0.0,0.0,0.0
1508,1.0571541419527161e-05,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.1422724922387194e-06,0.0,0.0,0.0
1515,3.1422724922387194e-06,0.0,0.0,0.0
1516,3.1422724922387194e-06,0.0,0.0,0.0
1517,3.1422724922387194e-06,0.0,0.0,0.0
1518,3.1422724922387194e-06,0.0,0.0,0.0
1519,3.1422724922387194e-06,0.0,0.0,0.0
1520,4.333918046281074e-06,0.0,0.0,0.0
1521,0.00021283185677540523,0.0,0.0,0.0
1522,0.00021283185677540523,0.0,0.0,0.0
1523,0.00021406394677926852,0.0,0.0,0.0
1524,0.00021406394677926852,0.0,0.0,0.0
1525,0.00021406394677926852,0.0,0.0,0.0
1526,0.00021406394677926852,0.0,0.0,0.0
1527,0.00021287230122522618,0.0,0.0,0.0
1528,1.2320900038633096e-06,0.0,0.0,0.0
1529,1.2320900038633096e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,9.83129471673497e-06,0.0,0.0,0.0
1535,1.1337332970080232e-05,0.0,0.0,0.0
1536,1.4468183767998458e-05,0.0,0.0,0.0
1537,1.4468183767998458e-05,0.0,0.0,0.0
1538,1.4468183767998458e-05,0.0,0.0,0.0
1539,1.4468183767998458e-05,0.0,0.0,0.0
1540,1.4468183767998458e-05,0.0,0.0,0.0
1541,4.636889051263486e-06,0.0,0.0,0.0
1542,6.140143471254435e-06,0.0,0.0,0.0
1543,3.009292673336209e-06,0.0,0.0,0.0
1544,3.704817312869376e-06,0.0,0.0,0.0
