ngram,relative,relativ,relateve,relatve
1500,0.00013041783313383348,0.0,0.0,0.0
1501,0.00010433426650706679,0.0,0.0,0.0
1502,9.081086075942342e-05,0.0,0.0,0.0
1503,8.67625473931964e-05,0.0,0.0,0.0
1504,8.091925701592118e-05,0.0,0.0,0.0
1505,3.033706161659211e-05,0.0,0.0,0.0
1506,3.033706161659211e-05,0.0,0.0,0.0
1507,3.033706161659211e-05,0.0,0.0,0.0
1508,3.033706161659211e-05,0.0,0.0,0.0
1509,2.702365704213402e-05,0.0,0.0,0.0
1510,1.809899029987199e-05,0.0,0.0,0.0
1511,8.838588005996176e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,6.284544984477439e-06,0.0,0.0,0.0
1515,6.284544984477439e-06,0.0,0.0,0.0
1516,6.284544984477439e-06,0.0,0.0,0.0
1517,0.00012741565192949826,0.0,0.0,0.0
1518,0.00012741565192949826,0.0,0.0,0.0
1519,0.00012741565192949826,0.0,0.0,0.0
1520,0.00013039476574964022,0.0,0.0,0.0
1521,0.0001241102207651628,0.0,0.0,0.0
1522,0.00013363149108564748,0.0,0.0,0.0
1523,0.0001360956710933741,0.0,0.0,0.0
1524,1.496456414835328e-05,0.0,0.0,0.0
1525,1.496456414835328e-05,0.0,0.0,0.0
1526,9.060684975078661e-05,0.0,0.0,0.0
1527,8.762773593064464e-05,0.0,0.0,0.0
1528,9.07634332959008e-05,0.0,0.0,0.0
1529,8.124216297541611e-05,0.0,0.0,0.0
1530,7.950693147254892e-05,0.0,0.0,0.0
1531,7.950693147254892e-05,0.0,0.0,0.0
1532,0.00010385642670891164,0.0,0.0,0.0
1533,2.8214141106478303e-05,0.0,0.0,0.0
1534,3.10230824912391e-05,0.0,0.0,0.0
1535,2.788738512598294e-05,0.0,0.0,0.0
1536,3.414908672181939e-05,0.0,0.0,0.0
1537,3.342013821695998e-05,0.0,0.0,0.0
1538,3.65965767871655e-05,0.0,0.0,0.0
1539,6.039352748692701e-05,0.0,0.0,0.0
