ngram,reading,reding,readng,readin
1500,1.1832564723590622e-05,0.0,0.0,0.0
1501,9.466051778872497e-06,0.0,0.0,0.0
1502,1.052403937743899e-05,0.0,0.0,0.0
1503,9.020605180661992e-06,0.0,0.0,0.0
1504,0.00018389897325375517,0.0,0.0,0.0
1505,0.0001785224595291116,0.0,0.0,0.0
1506,0.0001785224595291116,0.0,0.0,0.0
1507,0.0001785224595291116,0.0,0.0,0.0
1508,0.0001785224595291116,0.0,0.0,0.0
1509,0.0001762633199047871,0.0,0.0,0.0
1510,0.0001762633199047871,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.5709502681690666e-06,0.0,0.0,0.0
1515,2.5709502681690666e-06,0.0,0.0,0.0
1516,2.5709502681690666e-06,0.0,0.0,0.0
1517,6.289887616211283e-06,0.0,0.0,0.0
1518,6.289887616211283e-06,0.0,0.0,0.0
1519,6.289887616211283e-06,0.0,0.0,0.0
1520,8.971090210252441e-06,0.0,0.0,0.0
1521,6.4001399420833745e-06,0.0,0.0,0.0
1522,1.2747653662310248e-05,0.0,0.0,0.0
1523,1.705996874079574e-05,0.0,0.0,0.0
1524,1.3341031392753524e-05,0.0,0.0,0.0
1525,1.3341031392753524e-05,0.0,0.0,0.0
1526,1.3341031392753524e-05,0.0,0.0,0.0
1527,1.0659828798712365e-05,0.0,0.0,0.0
1528,2.21573853715589e-05,0.0,0.0,0.0
1529,1.5809871651332026e-05,0.0,0.0,0.0
1530,1.2226505077705951e-05,0.0,0.0,0.0
1531,2.946104924766197e-05,0.0,0.0,0.0
1532,3.0362882431031073e-05,0.0,0.0,0.0
1533,3.0362882431031073e-05,0.0,0.0,0.0
1534,3.0362882431031073e-05,0.0,0.0,0.0
1535,2.1500892866502648e-05,0.0,0.0,0.0
1536,2.2395421638066182e-05,0.0,0.0,0.0
1537,2.1666473133206766e-05,0.0,0.0,0.0
1538,7.608367533456268e-06,0.0,0.0,0.0
1539,1.500764580798984e-05,0.0,0.0,0.0
1540,1.500764580798984e-05,0.0,0.0,0.0
1541,1.500764580798984e-05,0.0,0.0,0.0
1542,8.30904536347329e-05,0.0,0.0,0.0
1543,8.219592486316937e-05,0.0,0.0,0.0
1544,8.76210171034992e-05,0.0,0.0,0.0
1545,8.765961969662126e-05,0.0,0.0,0.0
1546,8.047733302061846e-05,0.0,0.0,0.0
1547,8.375447422232745e-05,0.0,0.0,3.277141201708998e-06
1548,8.583516773796873e-05,0.0,0.0,3.277141201708998e-06
1549,1.9967423863168472e-05,0.0,0.0,3.277141201708998e-06
1550,2.4290189555488594e-05,0.0,0.0,3.277141201708998e-06
1551,1.8865097315158762e-05,0.0,0.0,3.277141201708998e-06
1552,1.925561121294907e-05,0.0,0.0,3.277141201708998e-06
1553,1.8136786431049196e-05,0.0,0.0,3.277141201708998e-06
1554,1.4859645229340199e-05,1.8513204330312355e-05,0.0,0.0
1555,1.6384861737606116e-05,1.9114189334296888e-05,0.0,0.0
1556,1.7779488708973596e-05,1.9114189334296888e-05,0.0,0.0
1557,1.3456723016653477e-05,1.9114189334296888e-05,0.0,0.0
1558,1.891311226894946e-05,1.9114189334296888e-05,0.0,6.820486565369979e-07
1559,2.2184450374749887e-05,1.9114189334296888e-05,0.0,6.820486565369979e-07
1560,3.1606945412931964e-05,1.9562879580397358e-05,0.0,6.820486565369979e-07
1561,3.1606945412931964e-05,1.0496752500850043e-06,0.0,6.820486565369979e-07
1562,3.155646455914913e-05,4.4869024610047094e-07,0.0,6.820486565369979e-07
1563,2.576582833821054e-05,4.4869024610047094e-07,0.0,6.820486565369979e-07
1564,2.576582833821054e-05,4.4869024610047094e-07,0.0,6.820486565369979e-07
1565,2.7392043323613636e-05,1.460490888608287e-06,0.0,0.0
1566,2.812983218193819e-05,1.460490888608287e-06,0.0,0.0
1567,3.09904892544312e-05,1.011800642507816e-06,0.0,0.0
1568,3.09904892544312e-05,1.011800642507816e-06,0.0,0.0
1569,3.1148586718440387e-05,1.011800642507816e-06,0.0,0.0
1570,3.069396500775058e-05,1.011800642507816e-06,0.0,0.0
1571,4.7856926227853235e-05,1.011800642507816e-06,0.0,0.0
1572,4.3894086827224654e-05,0.0,0.0,0.0
1573,4.508827052112403e-05,0.0,0.0,0.0
1574,3.7707522486536095e-05,5.447115459641541e-07,0.0,0.0
1575,4.0222081744494585e-05,5.447115459641541e-07,0.0,0.0
1576,4.191672035501272e-05,5.447115459641541e-07,0.0,0.0
1577,4.44681962627718e-05,5.447115459641541e-07,0.0,0.0
1578,3.621902007060791e-05,5.447115459641541e-07,0.0,0.0
1579,4.2153822765353e-05,5.447115459641541e-07,0.0,0.0
1580,4.424002586996981e-05,1.5351723894647357e-06,0.0,1.980921687001163e-06
1581,4.111754398244167e-05,9.904608435005815e-07,0.0,1.980921687001163e-06
1582,4.153585437701882e-05,9.904608435005815e-07,0.0,1.980921687001163e-06
1583,3.973235860550111e-05,9.904608435005815e-07,0.0,1.980921687001163e-06
1584,4.797022146314183e-05,9.904608435005815e-07,0.0,1.980921687001163e-06
1585,4.622772368228263e-05,9.904608435005815e-07,0.0,2.3583578630288164e-06
1586,3.932983768858581e-05,9.904608435005815e-07,0.0,2.3583578630288164e-06
1587,3.224164395630526e-05,0.0,0.0,3.774361760276536e-07
1588,3.514826273333581e-05,0.0,0.0,3.774361760276536e-07
1589,3.6696828439224714e-05,0.0,0.0,3.774361760276536e-07
1590,4.219130629020843e-05,0.0,0.0,3.774361760276536e-07
1591,3.486690249181785e-05,0.0,0.0,9.10503104023519e-07
1592,4.0828995224728715e-05,0.0,0.0,1.1300387216449183e-06
1593,4.604044573040612e-05,2.2327672663128135e-07,0.0,1.1300387216449183e-06
1594,5.363251823707417e-05,2.2327672663128135e-07,0.0,1.1300387216449183e-06
1595,5.6158730720718654e-05,2.2327672663128135e-07,0.0,1.5808358122220462e-06
1596,5.315022294131008e-05,2.2327672663128135e-07,0.0,1.5808358122220462e-06
1597,5.192011160813438e-05,2.2327672663128135e-07,0.0,1.5808358122220462e-06
1598,5.854050933911432e-05,2.2327672663128135e-07,0.0,1.136236716904802e-06
1599,4.6939974319164844e-05,3.4118787490504996e-07,0.0,5.392649232557492e-07
1600,4.425810987283642e-05,2.244172329873046e-07,0.0,5.392649232557492e-07
1601,3.8328230402839836e-05,2.244172329873046e-07,0.0,5.392649232557492e-07
1602,3.28902892111468e-05,2.244172329873046e-07,0.0,1.9286855084439075e-07
1603,3.636268294420526e-05,2.244172329873046e-07,0.0,1.9286855084439075e-07
1604,3.1728783012243055e-05,2.244172329873046e-07,0.0,7.036794938487998e-07
1605,2.5241430843639785e-05,2.244172329873046e-07,0.0,6.152116611701786e-07
1606,3.203691721864743e-05,1.8658619183042902e-07,0.0,6.152116611701786e-07
1607,3.6308614263751747e-05,8.008010711689297e-08,0.0,6.152116611701786e-07
1608,3.403438768145861e-05,8.008010711689297e-08,0.0,1.0145668544022816e-06
1609,3.4523663219130996e-05,8.008010711689297e-08,0.0,1.4761880850398614e-06
1610,3.187241054547485e-05,8.008010711689297e-08,0.0,1.6036363490457006e-06
1611,3.089034466289117e-05,8.008010711689297e-08,0.0,1.0928254060412916e-06
1612,3.26723786981477e-05,8.008010711689297e-08,0.0,1.0928254060412916e-06
