ngram,garbage,garbge,garbag,garbage
1500,1.538739070383599e-06,0.0,0.0,1.538739070383599e-06
1501,1.2309912563068792e-06,0.0,0.0,1.2309912563068792e-06
1502,1.0258260469223994e-06,0.0,0.0,1.0258260469223994e-06
1503,8.79279468790628e-07,0.0,0.0,8.79279468790628e-07
1504,8.79279468790628e-07,0.0,0.0,8.79279468790628e-07
1505,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1506,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1507,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1508,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1509,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1510,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1511,1.2626553923057924e-06,0.0,0.0,1.2626553923057924e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,4.509165916845502e-07,0.0,0.0,4.509165916845502e-07
1533,4.509165916845502e-07,0.0,0.0,4.509165916845502e-07
1534,4.509165916845502e-07,0.0,0.0,4.509165916845502e-07
1535,4.509165916845502e-07,0.0,0.0,4.509165916845502e-07
1536,4.509165916845502e-07,0.0,0.0,4.509165916845502e-07
1537,4.509165916845502e-07,0.0,0.0,4.509165916845502e-07
1538,4.509165916845502e-07,0.0,0.0,4.509165916845502e-07
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.391049246584381e-07,0.0,0.0,1.391049246584381e-07
1545,1.391049246584381e-07,0.0,0.0,1.391049246584381e-07
1546,1.391049246584381e-07,0.0,0.0,1.391049246584381e-07
1547,1.391049246584381e-07,0.0,0.0,1.391049246584381e-07
1548,2.814282246228166e-06,0.0,0.0,2.814282246228166e-06
1549,2.814282246228166e-06,0.0,0.0,2.814282246228166e-06
