ngram,catch,ctch,catc,cath
1500,1.8445800833433168e-06,0.0,0.0,0.0
1501,1.4756640666746535e-06,0.0,0.0,0.0
1502,1.4054309076527716e-06,0.0,0.0,0.0
1503,1.2046550637023756e-06,0.0,0.0,0.0
1504,9.373330677980058e-07,0.0,0.0,0.0
1505,1.506093017919089e-07,0.0,0.0,0.0
1506,1.506093017919089e-07,0.0,0.0,0.0
1507,1.506093017919089e-07,0.0,0.0,0.0
1508,1.506093017919089e-07,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0,0.0
1520,8.291881710777358e-07,0.0,0.0,0.0
1521,8.291881710777358e-07,0.0,0.0,0.0
1522,1.3524215611531482e-05,0.0,0.0,0.0
1523,1.4140260613463137e-05,0.0,0.0,0.0
1524,1.360898383089599e-05,0.0,0.0,0.0
1525,1.360898383089599e-05,0.0,0.0,0.0
1526,1.4244633315943897e-05,0.0,0.0,0.0
1527,1.3946721927433308e-05,0.0,0.0,0.0
1528,1.3946721927433308e-05,0.0,0.0,0.0
1529,1.2516944869795615e-06,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0
1532,2.4393158517861072e-06,0.0,0.0,0.0
1533,1.8036663667382008e-06,0.0,0.0,0.0
1534,1.8036663667382008e-06,0.0,0.0,0.0
1535,2.9331951217110534e-06,0.0,0.0,0.0
1536,2.9331951217110534e-06,0.0,0.0,0.0
1537,2.9331951217110534e-06,0.0,0.0,0.0
1538,2.9331951217110534e-06,0.0,0.0,0.0
1539,2.789751046553387e-06,0.0,0.0,0.0
1540,2.789751046553387e-06,0.0,0.0,0.0
1541,2.789751046553387e-06,0.0,0.0,0.0
1542,1.6602222915805344e-06,0.0,0.0,0.0
1543,1.6602222915805344e-06,0.0,0.0,0.0
1544,2.077537049314872e-06,0.0,0.0,0.0
1545,2.077537049314872e-06,0.0,0.0,0.0
1546,4.1731475773433756e-07,0.0,0.0,0.0
1547,4.1731475773433756e-07,0.0,0.0,0.0
1548,4.1731475773433756e-07,0.0,0.0,0.0
1549,4.1731475773433756e-07,0.0,0.0,0.0
1550,9.576604692743525e-07,0.0,0.0,0.0
1551,5.40345711540015e-07,0.0,0.0,0.0
1552,1.9825677100016037e-06,0.0,0.0,0.0
1553,1.9825677100016037e-06,0.0,0.0,0.0
1554,1.9825677100016037e-06,0.0,0.0,0.0
1555,1.9825677100016037e-06,0.0,0.0,0.0
1556,1.9825677100016037e-06,0.0,0.0,0.0
1557,1.4422219984615886e-06,0.0,0.0,0.0
1558,2.124270654998587e-06,0.0,0.0,0.0
1559,2.4751174221039817e-05,0.0,0.0,0.0
1560,2.4751174221039817e-05,0.0,0.0,0.0
1561,3.240943195643402e-05,0.0,0.0,0.0
1562,3.240943195643402e-05,0.0,0.0,0.0
1563,3.240943195643402e-05,0.0,0.0,0.0
1564,3.240943195643402e-05,0.0,0.0,0.0
1565,3.172738329989703e-05,0.0,0.0,0.0
1566,7.658257735394208e-06,0.0,0.0,0.0
1567,8.340655053221521e-06,0.0,0.0,0.0
1568,6.823973178273133e-07,0.0,0.0,0.0
1569,6.823973178273133e-07,0.0,0.0,0.0
1570,6.823973178273133e-07,0.0,0.0,0.0
1571,6.823973178273133e-07,0.0,0.0,0.0
1572,4.322122874457689e-06,0.0,0.0,0.0
1573,6.838941577111005e-06,0.0,0.0,0.0
1574,7.7906788646942e-06,0.0,0.0,0.0
1575,1.2819797380611167e-05,0.0,0.0,0.0
1576,1.6425240963664172e-05,0.0,0.0,0.0
1577,1.6425240963664172e-05,0.0,0.0,0.0
1578,1.8352545859150788e-05,0.0,0.0,0.0
1579,1.6653084717940408e-05,0.0,0.0,0.0
1580,1.4136266015287089e-05,0.0,0.0,9.904608435005815e-07
1581,1.3095438784408284e-05,0.0,0.0,9.904608435005815e-07
1582,8.066320268491317e-06,0.0,0.0,9.904608435005815e-07
1583,5.1818105930578895e-06,0.0,0.0,9.904608435005815e-07
1584,5.1818105930578895e-06,0.0,0.0,9.904608435005815e-07
1585,9.29348451401373e-06,0.0,3.774361760276536e-07,9.904608435005815e-07
1586,4.401680793567461e-05,0.0,1.0963300220672473e-06,9.904608435005815e-07
1587,4.60932852937341e-05,0.0,1.0963300220672473e-06,0.0
1588,4.884750699472663e-05,0.0,1.0963300220672473e-06,0.0
1589,5.108822467393891e-05,0.0,1.0963300220672473e-06,0.0
1590,5.4006949799908656e-05,0.0,1.0963300220672473e-06,0.0
