ngram,belt,blt,belt,beelt
1500,7.107722979071696e-07,0.0,7.107722979071696e-07,0.0
1501,5.686178383257357e-07,0.0,5.686178383257357e-07,0.0
1502,4.738481986047797e-07,0.0,4.738481986047797e-07,0.0
1503,4.061555988040969e-07,0.0,4.061555988040969e-07,0.0
1504,1.3883360289972708e-07,0.0,1.3883360289972708e-07,0.0
1505,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1506,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1507,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1508,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1509,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1510,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1511,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625535651342943e-06,0.0,1.0625535651342943e-06,0.0
1518,1.0625535651342943e-06,0.0,1.0625535651342943e-06,0.0
1519,1.0625535651342943e-06,0.0,1.0625535651342943e-06,0.0
1520,4.935401583289993e-06,0.0,4.935401583289993e-06,0.0
1521,4.935401583289993e-06,0.0,4.935401583289993e-06,0.0
1522,8.10915844340343e-06,0.0,8.10915844340343e-06,0.0
1523,1.4269608332792164e-05,0.0,1.4269608332792164e-05,0.0
1524,3.1789158258886475e-05,0.0,3.1789158258886475e-05,0.0
1525,3.1789158258886475e-05,0.0,3.1789158258886475e-05,0.0
1526,3.1789158258886475e-05,0.0,3.1789158258886475e-05,0.0
1527,2.7916310240730775e-05,0.0,2.7916310240730775e-05,0.0
1528,2.7916310240730775e-05,0.0,2.7916310240730775e-05,0.0
1529,2.474255338061734e-05,0.0,2.474255338061734e-05,0.0
1530,1.8582103491228607e-05,0.0,1.8582103491228607e-05,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,1.596347595165883e-05,0.0,1.596347595165883e-05,0.0
1534,1.596347595165883e-05,0.0,1.596347595165883e-05,0.0
1535,1.596347595165883e-05,0.0,1.596347595165883e-05,0.0
1536,1.6410740337440594e-05,0.0,1.6410740337440594e-05,0.0
1537,1.6410740337440594e-05,0.0,1.6410740337440594e-05,0.0
1538,1.9587178907646114e-05,0.0,1.9587178907646114e-05,0.0
1539,2.207751234501692e-05,0.0,2.207751234501692e-05,0.0
1540,6.1140363933580895e-06,0.0,6.1140363933580895e-06,0.0
1541,6.1140363933580895e-06,0.0,6.1140363933580895e-06,0.0
1542,6.1140363933580895e-06,0.0,6.1140363933580895e-06,0.0
1543,1.7075264622690156e-05,0.0,1.7075264622690156e-05,0.0
1544,1.7214369547348595e-05,0.0,1.7214369547348595e-05,0.0
1545,1.4037930977143073e-05,0.0,1.4037930977143073e-05,0.0
