ngram,data,dat,dta,daata
1500,3.739706789929187e-05,1.6197253671634826e-07,0.0,0.0
1501,2.9917654319433496e-05,1.295780293730786e-07,0.0,0.0
1502,2.5107089451618474e-05,1.0798169114423217e-07,0.0,0.0
1503,0.00011969169863082893,9.255573526648472e-08,0.0,0.0
1504,0.00011822142768583685,9.255573526648472e-08,0.0,0.0
1505,0.00010400389468096754,3.156638480764481e-07,0.0,0.0
1506,0.00010400389468096754,3.156638480764481e-07,0.0,0.0
1507,0.00010400389468096754,3.156638480764481e-07,0.0,0.0
1508,0.00010400389468096754,3.156638480764481e-07,0.0,0.0
1509,0.00010385328537917562,3.156638480764481e-07,0.0,0.0
1510,5.681949135448251e-06,3.156638480764481e-07,0.0,0.0
1511,5.681949135448251e-06,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,8.847760990907514e-05,5.312767825671472e-07,0.0,0.0
1518,8.847760990907514e-05,5.312767825671472e-07,0.0,0.0
1519,8.847760990907514e-05,5.312767825671472e-07,0.0,0.0
1520,8.966925546311748e-05,8.291881710777358e-07,0.0,0.0
1521,8.93835943186007e-05,8.291881710777358e-07,0.0,0.0
1522,8.93835943186007e-05,8.291881710777358e-07,0.0,0.0
1523,9.369590939708619e-05,8.291881710777358e-07,0.0,0.0
1524,5.503960632527846e-06,2.362589482020537e-06,0.0,0.0
1525,5.503960632527846e-06,2.362589482020537e-06,0.0,0.0
1526,0.00014216859679956024,2.362589482020537e-06,0.0,0.0
1527,0.00014097695124551786,2.064678093509948e-06,0.0,0.0
1528,0.00019114810908961642,2.064678093509948e-06,0.0,0.0
1529,0.00019114810908961642,2.064678093509948e-06,0.0,0.0
1530,0.00018756474251599035,2.064678093509948e-06,0.0,0.0
1531,0.00018756474251599035,0.0,0.0,0.0
1532,0.0002876682238560794,0.0,0.0,0.0
1533,0.00015100358768904698,0.0,0.0,0.0
1534,0.00015381252907380777,0.0,0.0,0.0
1535,0.00010401788079304554,3.7650956333631515e-07,0.0,0.0
1536,0.00010670146704277223,3.7650956333631515e-07,0.0,0.0
