ngram,confidence,confidnce,confidece,conidence
1500,5.487997611908213e-07,0.0,0.0,0.0
1501,4.3903980895265704e-07,0.0,0.0,0.0
1502,1.7715533241850305e-06,0.0,0.0,0.0
1503,1.5184742778728832e-06,0.0,0.0,0.0
1504,1.2511522819685133e-06,0.0,0.0,0.0
1505,1.2048744143352711e-06,0.0,0.0,0.0
1506,1.2048744143352711e-06,0.0,0.0,0.0
1507,1.2048744143352711e-06,0.0,0.0,0.0
1508,1.2048744143352711e-06,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.141900536338133e-06,0.0,0.0,0.0
1515,5.141900536338133e-06,0.0,0.0,0.0
1516,5.141900536338133e-06,0.0,0.0,0.0
1517,5.67317731890528e-06,0.0,0.0,0.0
1518,5.67317731890528e-06,0.0,0.0,0.0
1519,5.67317731890528e-06,0.0,0.0,0.0
1520,1.04397595350747e-05,0.0,0.0,0.0
1521,5.2978589987365666e-06,0.0,0.0,0.0
1522,5.2978589987365666e-06,0.0,0.0,0.0
1523,1.7002713840546286e-05,0.0,0.0,0.0
1524,1.647143705797914e-05,0.0,0.0,0.0
1525,1.647143705797914e-05,0.0,0.0,0.0
1526,1.9014034998170765e-05,0.0,0.0,0.0
1527,1.4247452782001346e-05,0.0,0.0,0.0
1528,1.4247452782001346e-05,0.0,0.0,0.0
1529,1.4247452782001346e-05,0.0,0.0,0.0
1530,1.1289979738648981e-05,0.0,0.0,0.0
1531,1.1289979738648981e-05,0.0,0.0,0.0
1532,1.5799145850386204e-05,0.0,0.0,0.0
1533,1.3256547910194577e-05,0.0,0.0,0.0
1534,1.7469959857407957e-05,0.0,0.0,0.0
1535,2.0482036364098478e-05,0.0,0.0,0.0
1536,2.0482036364098478e-05,0.0,0.0,0.0
1537,1.1734654565641125e-05,0.0,0.0,0.0
1538,1.1734654565641125e-05,0.0,0.0,0.0
1539,1.30362667342914e-05,0.0,0.0,0.0
1540,1.30362667342914e-05,0.0,0.0,0.0
1541,8.822854787078021e-06,0.0,0.0,0.0
1542,5.810778280387499e-06,0.0,0.0,0.0
1543,5.810778280387499e-06,0.0,0.0,0.0
1544,9.70571610585986e-06,0.0,0.0,0.0
1545,1.2116997043319446e-05,0.0,0.0,0.0
1546,9.103280847609443e-06,0.0,0.0,0.0
1547,9.103280847609443e-06,0.0,0.0,0.0
1548,1.0292248589394148e-05,0.0,0.0,0.0
1549,1.3930221679662022e-05,0.0,1.2126577400652292e-06,0.0
1550,1.5551258781800114e-05,0.0,1.2126577400652292e-06,0.0
1551,1.1656320956327753e-05,0.0,1.2126577400652292e-06,0.0
1552,1.5013928012714522e-05,0.0,1.2126577400652292e-06,0.0
1553,1.2216865928037026e-05,0.0,1.2126577400652292e-06,0.0
1554,1.2216865928037026e-05,0.0,1.2126577400652292e-06,0.0
1555,1.1027898186252319e-05,0.0,1.2126577400652292e-06,0.0
1556,1.2594306359200605e-05,0.0,0.0,0.0
1557,1.0973269257062515e-05,0.0,0.0,0.0
1558,1.8475804349041675e-05,0.0,0.0,0.0
1559,1.4426139646924899e-05,0.0,0.0,0.0
1560,1.981042260013055e-05,0.0,0.0,0.0
1561,1.981042260013055e-05,0.0,0.0,0.0
1562,1.981042260013055e-05,0.0,0.0,0.0
1563,1.4606041336914391e-05,0.0,0.0,0.0
1564,1.4606041336914391e-05,0.0,0.0,0.0
1565,7.103506244935229e-06,0.0,0.0,0.0
1566,7.2879534595163676e-06,0.0,0.0,0.0
1567,3.950862524756563e-06,0.0,0.0,0.0
1568,3.950862524756563e-06,0.0,0.0,0.0
1569,6.178978505236696e-06,0.0,0.0,0.0
1570,9.201003064975208e-06,0.0,0.0,0.0
1571,1.1652854742091481e-05,0.0,0.0,0.0
1572,1.1652854742091481e-05,0.0,0.0,0.0
1573,9.749184235780766e-06,0.0,0.0,0.0
1574,9.336126822745427e-06,0.0,0.0,0.0
1575,9.336126822745427e-06,0.0,0.0,0.0
1576,8.910732633791798e-06,0.0,0.0,0.0
1577,5.888708074053284e-06,0.0,0.0,0.0
1578,8.977857760328334e-06,0.0,0.0,0.0
1579,1.6092160746796124e-05,0.0,0.0,0.0
1580,1.9063543342261774e-05,0.0,0.0,0.0
1581,1.8616023485914672e-05,0.0,0.0,0.0
1582,2.322481876555165e-05,0.0,0.0,0.0
1583,2.358489876184779e-05,0.0,0.0,0.0
1584,2.358489876184779e-05,0.0,0.0,0.0
1585,2.2573131640716122e-05,0.0,0.0,0.0
1586,1.5458828654248335e-05,0.0,0.0,0.0
1587,1.7678639648823135e-05,0.0,0.0,0.0
1588,2.9882141201856678e-05,0.0,0.0,0.0
1589,2.7700790139663566e-05,0.0,0.0,0.0
1590,3.1257452844459165e-05,0.0,0.0,0.0
1591,3.205705323645296e-05,0.0,0.0,0.0
1592,3.5288452051775365e-05,0.0,0.0,0.0
1593,3.8637602886280676e-05,0.0,0.0,0.0
1594,3.44521988284084e-05,0.0,0.0,0.0
1595,2.2414473863006735e-05,0.0,0.0,0.0
1596,2.2091211901299956e-05,0.0,0.0,0.0
1597,1.8914051452156855e-05,0.0,0.0,0.0
1598,2.0016509422150974e-05,0.0,0.0,0.0
1599,1.2727520957663988e-05,0.0,0.0,0.0
1600,1.7792350912973882e-05,0.0,0.0,0.0
1601,1.932577158316105e-05,0.0,0.0,0.0
1602,2.1209802590809496e-05,0.0,0.0,0.0
1603,2.363883140787948e-05,0.0,0.0,0.0
1604,2.6374907195401776e-05,0.0,0.0,0.0
1605,2.6721586696761994e-05,0.0,1.1243689154330891e-07,0.0
1606,2.993362691735716e-05,0.0,1.1243689154330891e-07,0.0
1607,2.1519646127541948e-05,0.0,1.1243689154330891e-07,0.0
1608,2.3772698114044033e-05,0.0,1.1243689154330891e-07,0.0
1609,2.261168953866997e-05,0.0,1.1243689154330891e-07,0.0
1610,2.445089155246803e-05,0.0,1.1243689154330891e-07,0.0
1611,2.285935378105413e-05,0.0,1.1243689154330891e-07,0.0
1612,2.760463485174114e-05,0.0,0.0,0.0
1613,2.807602257754687e-05,0.0,0.0,0.0
1614,3.4997827112549983e-05,0.0,0.0,0.0
1615,3.896725957019953e-05,0.0,0.0,0.0
