ngram,share,shre,sare,sharee
1500,2.4994707928271964e-05,0.0,0.0,0.0
1501,1.9995766342617573e-05,0.0,0.0,0.0
1502,2.6327235294350732e-05,0.0,0.0,0.0
1503,2.2566201680872056e-05,0.0,0.0,0.0
1504,1.8034325486431563e-05,0.0,0.0,0.0
1505,1.9893235990561413e-05,0.0,0.0,0.0
1506,1.9893235990561413e-05,0.0,0.0,0.0
1507,1.9893235990561413e-05,0.0,0.0,0.0
1508,1.9893235990561413e-05,0.0,0.0,0.0
1509,1.1609724554416192e-05,0.0,0.0,0.0
1510,1.1609724554416192e-05,0.0,0.0,0.0
1511,8.522923703172377e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,2.4908592552362407e-06,0.0,0.0,0.0
1518,2.4908592552362407e-06,0.0,0.0,0.0
1519,2.4908592552362407e-06,0.0,0.0,0.0
1520,1.1130289749416988e-05,0.0,0.0,0.0
1521,9.701984059315042e-06,0.0,0.0,0.0
1522,9.701984059315042e-06,0.0,0.0,0.0
1523,1.8326614216286024e-05,0.0,0.0,0.0
1524,1.726406065115173e-05,0.0,0.0,0.0
1525,1.726406065115173e-05,0.0,0.0,0.0
1526,1.726406065115173e-05,0.0,0.0,0.0
1527,8.624630156970983e-06,0.0,0.0,0.0
1528,1.0715095023832483e-05,0.0,0.0,0.0
1529,1.0715095023832483e-05,0.0,0.0,0.0
1530,2.819413371720917e-06,0.0,0.0,0.0
1531,2.819413371720917e-06,0.0,0.0,0.0
1532,3.721246555090017e-06,0.0,0.0,0.0
1533,3.721246555090017e-06,0.0,0.0,0.0
1534,6.530187939850813e-06,0.0,0.0,0.0
1535,4.4397230729893115e-06,0.0,3.7650956333631515e-07,0.0
1536,8.912366995770884e-06,0.0,3.7650956333631515e-07,0.0
1537,8.183418490911468e-06,0.0,3.7650956333631515e-07,0.0
1538,8.183418490911468e-06,0.0,3.7650956333631515e-07,0.0
1539,7.281585307542368e-06,0.0,3.7650956333631515e-07,0.0
1540,7.281585307542368e-06,0.0,3.7650956333631515e-07,0.0
1541,4.472643922781572e-06,0.0,3.7650956333631515e-07,0.0
1542,5.977290259449676e-06,0.0,0.0,0.0
1543,1.2913138951781938e-05,0.0,0.0,0.0
1544,1.4582397982719289e-05,0.0,0.0,0.0
1545,1.5118238187434535e-05,0.0,0.0,0.0
1546,1.5118238187434535e-05,0.0,0.0,0.0
1547,1.5118238187434535e-05,0.0,0.0,0.0
1548,1.987410915457336e-05,0.0,2.972419354461765e-07,0.0
1549,1.8369462817905253e-05,0.0,2.972419354461765e-07,0.0
1550,1.0743390281017387e-05,0.0,2.972419354461765e-07,0.0
1551,9.074131250080037e-06,0.0,2.972419354461765e-07,0.0
1552,1.0701623978093266e-05,0.0,2.972419354461765e-07,0.0
1553,1.0701623978093266e-05,0.0,2.972419354461765e-07,0.0
1554,1.0701623978093266e-05,0.0,2.972419354461765e-07,0.0
1555,6.546738014938975e-06,0.0,0.0,0.0
1556,6.546738014938975e-06,0.0,0.0,0.0
1557,2.764317936713009e-06,0.0,0.0,0.0
1558,1.0266853028692172e-05,0.0,0.0,0.0
1559,8.103520095963696e-06,0.0,0.0,0.0
1560,1.1693042064767464e-05,0.0,0.0,0.0
1561,1.1693042064767464e-05,0.0,0.0,0.0
1562,1.1092057060782931e-05,0.0,0.0,0.0
1563,1.1092057060782931e-05,0.0,0.0,0.0
1564,1.74537038089641e-05,0.0,0.0,0.0
1565,9.951168716984934e-06,0.0,0.0,0.0
1566,1.3758509729606366e-05,0.0,0.0,0.0
1567,1.085138507862991e-05,0.0,0.0,0.0
1568,1.085138507862991e-05,0.0,0.0,0.0
