ngram,information,informaton,infrmation,infomration
1500,9.854871314018965e-05,0.0,0.0,0.0
1501,7.883897051215172e-05,0.0,0.0,0.0
1502,9.223148178231592e-05,0.0,0.0,0.0
1503,0.0003200215516179534,0.0,0.0,0.0
1504,0.0003251055854239634,0.0,0.0,0.0
1505,0.0003314388429446678,0.0,0.0,0.0
1506,0.0003314388429446678,0.0,0.0,0.0
1507,0.0003314388429446678,0.0,0.0,0.0
1508,0.0003314388429446678,0.0,0.0,0.0
1509,0.0003086968374970768,0.0,0.0,0.0
1510,6.773084169253707e-05,0.0,0.0,0.0
1511,3.3776032588710745e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.1426445520815573e-05,0.0,0.0,0.0
1515,1.1426445520815573e-05,0.0,0.0,0.0
1516,1.1426445520815573e-05,0.0,0.0,0.0
1517,2.577091903991199e-05,0.0,0.0,0.0
1518,2.577091903991199e-05,0.0,0.0,0.0
1519,2.577091903991199e-05,0.0,0.0,0.0
1520,4.126231111253479e-05,0.0,0.0,0.0
1521,2.9835865591719213e-05,0.0,0.0,0.0
1522,3.300962245183265e-05,0.0,0.0,0.0
1523,9.338203459005204e-05,0.0,0.0,0.0
1524,7.903756107095563e-05,0.0,0.0,0.0
1525,7.903756107095563e-05,0.0,0.0,0.0
1526,0.00011082003532335096,0.0,0.0,0.0
1527,9.532864325072816e-05,0.0,0.0,0.0
1528,0.00017790200607643264,0.0,0.0,0.0
1529,0.00017472824921631918,0.0,0.0,0.0
1530,0.00012091637368679844,0.0,0.0,0.0
1531,0.00012666122191668755,0.0,0.0,0.0
1532,0.00017851663090238747,0.0,0.0,0.0
1533,0.00014673415664999214,0.0,0.0,0.0
1534,0.00015656545136672712,0.0,0.0,0.0
1535,8.415784655621142e-05,0.0,0.0,0.0
1536,8.907775502718453e-05,0.0,0.0,0.0
1537,8.251721841848589e-05,0.0,0.0,0.0
1538,7.994880875880231e-05,0.0,0.0,0.0
1539,9.36721795109666e-05,0.0,0.0,0.0
1540,9.36721795109666e-05,0.0,0.0,0.0
1541,8.384088479423164e-05,0.0,0.0,0.0
1542,8.42076512656474e-05,0.0,0.0,0.0
1543,7.92877427946743e-05,0.0,0.0,0.0
1544,8.721672332155452e-05,0.0,0.0,0.0
1545,8.430820485370662e-05,0.0,0.0,0.0
1546,1.9288837506792333e-05,0.0,0.0,0.0
1547,1.9288837506792333e-05,0.0,0.0,0.0
1548,3.712335298392385e-05,0.0,0.0,0.0
1549,2.9016143977449766e-05,0.0,0.0,0.0
1550,8.737348173326609e-05,0.0,0.0,0.0
1551,7.944450120638586e-05,0.0,0.0,0.0
1552,0.00010729990974920969,0.0,0.0,0.0
1553,0.00010674049735825974,0.0,0.0,0.0
1554,0.00010674049735825974,0.0,0.0,0.0
1555,9.792075720075186e-05,0.0,0.0,0.0
1556,0.00011943559573930023,0.0,0.0,0.0
1557,6.10782579834839e-05,0.0,0.0,0.0
1558,0.00015520096868775518,0.0,0.0,0.0
1559,0.00012707764004257375,0.0,0.0,0.0
1560,0.00015399905532831326,0.0,0.0,0.0
1561,0.00015399905532831326,0.0,0.0,0.0
1562,0.00014498428000868962,0.0,0.0,0.0
1563,0.00012286261283277002,0.0,0.0,0.0
1564,0.00012286261283277002,0.0,0.0,0.0
1565,4.594051331098724e-05,0.0,0.0,0.0
1566,7.259190117890415e-05,0.0,0.0,0.0
1567,4.7035280528819256e-05,0.0,0.0,0.0
