ngram,bread,bread,bred,bread
1557,7.64893411542289e-06,7.64893411542289e-06,7.211109992307943e-07,7.64893411542289e-06
1558,7.64893411542289e-06,7.64893411542289e-06,7.211109992307943e-07,7.64893411542289e-06
1559,2.7114392131417325e-05,2.7114392131417325e-05,6.8768931669183075e-06,2.7114392131417325e-05
1560,3.743426740194471e-05,3.743426740194471e-05,8.671654151320191e-06,3.743426740194471e-05
1561,3.743426740194471e-05,3.743426740194471e-05,8.671654151320191e-06,3.743426740194471e-05
1562,3.683328239796018e-05,3.683328239796018e-05,8.671654151320191e-06,3.683328239796018e-05
1563,3.2669777283445e-05,3.2669777283445e-05,8.671654151320191e-06,3.2669777283445e-05
1564,3.2669777283445e-05,3.2669777283445e-05,8.671654151320191e-06,3.2669777283445e-05
1565,3.772878075583971e-05,3.772878075583971e-05,8.671654151320191e-06,3.772878075583971e-05
1566,1.9186219755543527e-05,1.9186219755543527e-05,3.6984314907125996e-06,1.9186219755543527e-05
1567,8.86634448501614e-06,8.86634448501614e-06,1.9036705063107156e-06,8.86634448501614e-06
1568,8.86634448501614e-06,8.86634448501614e-06,1.9036705063107156e-06,8.86634448501614e-06
1569,1.1837165792322984e-05,1.1837165792322984e-05,3.389081159964137e-06,1.1837165792322984e-05
1570,1.1837165792322984e-05,1.1837165792322984e-05,3.389081159964137e-06,1.1837165792322984e-05
1571,1.1837165792322984e-05,1.1837165792322984e-05,3.389081159964137e-06,1.1837165792322984e-05
1572,9.377966177583272e-06,9.377966177583272e-06,5.468924298059262e-06,9.377966177583272e-06
1573,5.570625164961841e-06,5.570625164961841e-06,3.1250260040646284e-05,5.570625164961841e-06
1574,1.5920144765654447e-05,1.5920144765654447e-05,3.397381780294901e-05,1.5920144765654447e-05
1575,1.5920144765654447e-05,1.5920144765654447e-05,3.397381780294901e-05,1.5920144765654447e-05
1576,2.917381919230268e-05,2.917381919230268e-05,3.338976804505884e-05,2.917381919230268e-05
1577,2.917381919230268e-05,2.917381919230268e-05,3.5941243952817915e-05,2.917381919230268e-05
1578,3.20647764705687e-05,3.20647764705687e-05,4.1241332642779783e-05,3.20647764705687e-05
1579,3.205199183347369e-05,3.205199183347369e-05,3.980824430982466e-05,3.205199183347369e-05
1580,5.087074688552613e-05,5.087074688552613e-05,1.31136989044275e-05,5.087074688552613e-05
1581,4.230114947339254e-05,4.230114947339254e-05,1.0390141142124776e-05,4.230114947339254e-05
1582,5.1099758171143807e-05,5.1099758171143807e-05,1.9188749839876046e-05,5.1099758171143807e-05
1583,3.703806422501137e-05,3.703806422501137e-05,3.4388246409175084e-05,3.703806422501137e-05
1584,3.793717581044932e-05,3.793717581044932e-05,3.183677050141601e-05,3.793717581044932e-05
1585,4.448212316024832e-05,4.448212316024832e-05,3.049976157853962e-05,4.448212316024832e-05
1586,4.261399778572793e-05,4.261399778572793e-05,3.057190061943922e-05,4.261399778572793e-05
1587,2.5525640597022304e-05,2.5525640597022304e-05,3.5464792095548804e-05,2.5525640597022304e-05
1588,2.4415224223568138e-05,2.4415224223568138e-05,3.948182698617789e-05,2.4415224223568138e-05
1589,1.7857333205029136e-05,1.7857333205029136e-05,3.161685065476506e-05,1.7857333205029136e-05
1590,1.8554263663515614e-05,1.8554263663515614e-05,2.6694945972849382e-05,1.8554263663515614e-05
1591,2.058702024701883e-05,2.058702024701883e-05,3.522401682078323e-05,2.058702024701883e-05
1592,1.7120833555444343e-05,1.7120833555444343e-05,3.723065499018828e-05,1.7120833555444343e-05
1593,2.1537304356960313e-05,2.1537304356960313e-05,4.6559214167375884e-05,2.1537304356960313e-05
1594,2.315953809427031e-05,2.315953809427031e-05,4.36932303143424e-05,2.315953809427031e-05
1595,2.8801191677173066e-05,2.8801191677173066e-05,4.643815184733414e-05,2.8801191677173066e-05
1596,2.90854927048453e-05,2.90854927048453e-05,4.592535593214312e-05,2.90854927048453e-05
1597,3.954259019727553e-05,3.954259019727553e-05,3.946782453567721e-05,3.954259019727553e-05
1598,3.9264756976211045e-05,3.9264756976211045e-05,3.138109286737745e-05,3.9264756976211045e-05
1599,3.482788399976146e-05,3.482788399976146e-05,2.6944219890927862e-05,3.482788399976146e-05
1600,4.087565788982569e-05,4.087565788982569e-05,1.9772431122484185e-05,4.087565788982569e-05
1601,5.3539583469890726e-05,5.3539583469890726e-05,1.8708301273103905e-05,5.3539583469890726e-05
1602,5.411887130841413e-05,5.411887130841413e-05,1.2468348424070947e-05,5.411887130841413e-05
1603,5.736339387242749e-05,5.736339387242749e-05,1.65807230457306e-05,5.736339387242749e-05
1604,5.8860082260382895e-05,5.8860082260382895e-05,1.50944377180297e-05,5.8860082260382895e-05
1605,6.868654210328324e-05,6.868654210328324e-05,1.8812263468654627e-05,6.868654210328324e-05
1606,8.292947833459558e-05,8.292947833459558e-05,2.1283423978145167e-05,8.292947833459558e-05
1607,7.249283687217809e-05,7.249283687217809e-05,2.064725088400467e-05,7.249283687217809e-05
1608,8.6827273727457e-05,8.6827273727457e-05,2.3486274455665678e-05,8.6827273727457e-05
1609,8.295561013125865e-05,8.295561013125865e-05,2.7303772315333064e-05,8.295561013125865e-05
1610,0.00011975378863228668,0.00011975378863228668,3.04174570503944e-05,0.00011975378863228668
1611,0.00011128983188817594,0.00011128983188817594,2.984504031441507e-05,0.00011128983188817594
1612,0.00010849336331375525,0.00010849336331375525,2.945088557940575e-05,0.00010849336331375525
1613,9.958943305069365e-05,9.958943305069365e-05,3.5195319339566466e-05,9.958943305069365e-05
1614,0.00010939044789535859,0.00010939044789535859,3.6251925588918053e-05,0.00010939044789535859
1615,9.275341056179189e-05,9.275341056179189e-05,3.679286913081471e-05,9.275341056179189e-05
1616,0.00016217995653278194,0.00016217995653278194,3.605761308530678e-05,0.00016217995653278194
1617,0.00013023679171705486,0.00013023679171705486,3.5699656239428024e-05,0.00013023679171705486
1618,0.00013127301593028408,0.00013127301593028408,3.441561680769415e-05,0.00013127301593028408
1619,0.00013666861247786853,0.00013666861247786853,3.650140050532562e-05,0.00013666861247786853
1620,0.00013976991353307052,0.00013976991353307052,2.9976606518695398e-05,0.00013976991353307052
1621,0.00015116781443274313,0.00015116781443274313,3.2568302880723164e-05,0.00015116781443274313
1622,0.00020301857616037263,0.00020301857616037263,3.018973023115125e-05,0.00020301857616037263
1623,0.00013730860155192204,0.00013730860155192204,2.847138421202544e-05,0.00013730860155192204
1624,0.0001329559984567043,0.0001329559984567043,2.4169089166597197e-05,0.0001329559984567043
1625,0.00014882832692819647,0.00014882832692819647,2.569767353374378e-05,0.00014882832692819647
1626,0.00013903000581194647,0.00013903000581194647,2.3519828703553814e-05,0.00013903000581194647
1627,0.00015270301134608286,0.00015270301134608286,2.2532982256961986e-05,0.00015270301134608286
1628,0.00014556322639691643,0.00014556322639691643,1.880707220282472e-05,0.00014556322639691643
1629,9.163514550891705e-05,9.163514550891705e-05,1.9236142179579474e-05,9.163514550891705e-05
1630,9.542216815004525e-05,9.542216815004525e-05,2.1145198843441904e-05,9.542216815004525e-05
1631,0.00010224329266098462,0.00010224329266098462,2.025571445431394e-05,0.00010224329266098462
1632,8.768966134604333e-05,8.768966134604333e-05,2.0005608088727706e-05,8.768966134604333e-05
1633,0.00010310937172367371,0.00010310937172367371,1.9484793483570684e-05,0.00010310937172367371
1634,8.995375849605937e-05,8.995375849605937e-05,1.9469521508394143e-05,8.995375849605937e-05
1635,8.222762595063873e-05,8.222762595063873e-05,2.0435786869451738e-05,8.222762595063873e-05
1636,7.97964956810964e-05,7.97964956810964e-05,2.0178482502940043e-05,7.97964956810964e-05
1637,8.397930339145075e-05,8.397930339145075e-05,2.099261434653142e-05,8.397930339145075e-05
1638,8.307386867402653e-05,8.307386867402653e-05,2.3945582662625903e-05,8.307386867402653e-05
1639,8.558269889493073e-05,8.558269889493073e-05,2.385814228286368e-05,8.558269889493073e-05
1640,6.889120101862188e-05,6.889120101862188e-05,2.3994865581958686e-05,6.889120101862188e-05
1641,6.38353667454794e-05,6.38353667454794e-05,2.29080583916844e-05,6.38353667454794e-05
1642,7.55391426667172e-05,7.55391426667172e-05,2.2262755529871875e-05,7.55391426667172e-05
1643,7.175298222656628e-05,7.175298222656628e-05,2.094280573926101e-05,7.175298222656628e-05
1644,6.0072625274187885e-05,6.0072625274187885e-05,1.8166947224277203e-05,6.0072625274187885e-05
1645,5.407370424239032e-05,5.407370424239032e-05,1.5621777752780224e-05,5.407370424239032e-05
1646,4.960986474803316e-05,4.960986474803316e-05,1.4462397952489223e-05,4.960986474803316e-05
1647,5.1634992425014e-05,5.1634992425014e-05,1.7311227696024745e-05,5.1634992425014e-05
1648,5.394880307514021e-05,5.394880307514021e-05,1.833142219506304e-05,5.394880307514021e-05
1649,4.204957622278016e-05,4.204957622278016e-05,1.7882498078896398e-05,4.204957622278016e-05
1650,4.453585409334794e-05,4.453585409334794e-05,2.5211438047075978e-05,4.453585409334794e-05
1651,4.933704050407479e-05,4.933704050407479e-05,2.5872213362682877e-05,4.933704050407479e-05
1652,5.200007217354141e-05,5.200007217354141e-05,2.787663834169507e-05,5.200007217354141e-05
1653,5.030077591072768e-05,5.030077591072768e-05,2.9782834904576054e-05,5.030077591072768e-05
1654,6.0403093812055886e-05,6.0403093812055886e-05,2.650648730195826e-05,6.0403093812055886e-05
1655,6.125382372244661e-05,6.125382372244661e-05,2.8767404338785646e-05,6.125382372244661e-05
1656,5.9761351751928616e-05,5.9761351751928616e-05,2.9451922143510145e-05,5.9761351751928616e-05
1657,6.136484340199136e-05,6.136484340199136e-05,2.487646010454877e-05,6.136484340199136e-05
1658,6.115224875559631e-05,6.115224875559631e-05,2.576024027283503e-05,6.115224875559631e-05
1659,6.774074582998375e-05,6.774074582998375e-05,2.4692745812769446e-05,6.774074582998375e-05
1660,6.918472718098201e-05,6.918472718098201e-05,2.498407749434201e-05,6.918472718098201e-05
1661,6.003504989036758e-05,6.003504989036758e-05,2.749657012048244e-05,6.003504989036758e-05
1662,5.772877765204092e-05,5.772877765204092e-05,2.584152935014572e-05,5.772877765204092e-05
1663,5.509639439489027e-05,5.509639439489027e-05,2.6079363513937487e-05,5.509639439489027e-05
1664,4.9438970173858774e-05,4.9438970173858774e-05,2.556764385579819e-05,4.9438970173858774e-05
1665,4.57056123975365e-05,4.57056123975365e-05,3.144909818989358e-05,4.57056123975365e-05
1666,3.6257622923585586e-05,3.6257622923585586e-05,3.0124474376082488e-05,3.6257622923585586e-05
1667,3.904482660540712e-05,3.904482660540712e-05,3.0508243201308816e-05,3.904482660540712e-05
1668,3.96706036553951e-05,3.96706036553951e-05,3.410282040152067e-05,3.96706036553951e-05
1669,4.514958319694935e-05,4.514958319694935e-05,3.4936521192971016e-05,4.514958319694935e-05
1670,4.683504838404977e-05,4.683504838404977e-05,3.576786561357689e-05,4.683504838404977e-05
1671,4.900632588292605e-05,4.900632588292605e-05,3.535690627489073e-05,4.900632588292605e-05
1672,5.981282239580261e-05,5.981282239580261e-05,2.863152894860832e-05,5.981282239580261e-05
1673,5.8249536128382064e-05,5.8249536128382064e-05,2.960712273696637e-05,5.8249536128382064e-05
1674,6.198038317961618e-05,6.198038317961618e-05,2.8510704526395004e-05,6.198038317961618e-05
1675,6.421673346527054e-05,6.421673346527054e-05,2.4105655289271715e-05,6.421673346527054e-05
1676,6.000336153582404e-05,6.000336153582404e-05,2.338858030270785e-05,6.000336153582404e-05
1677,6.230953295016661e-05,6.230953295016661e-05,2.3161098787178552e-05,6.230953295016661e-05
1678,5.927434904151596e-05,5.927434904151596e-05,2.3368135121667626e-05,5.927434904151596e-05
1679,4.691803873616404e-05,4.691803873616404e-05,2.457189995246673e-05,4.691803873616404e-05
1680,4.685163003159687e-05,4.685163003159687e-05,2.4393451635010672e-05,4.685163003159687e-05
1681,4.001515480922535e-05,4.001515480922535e-05,3.2596655468556234e-05,4.001515480922535e-05
1682,3.8351124593256305e-05,3.8351124593256305e-05,3.125806012706432e-05,3.8351124593256305e-05
1683,3.3926085182299304e-05,3.3926085182299304e-05,3.248514829985132e-05,3.3926085182299304e-05
1684,3.120783730992116e-05,3.120783730992116e-05,3.097052194789285e-05,3.120783730992116e-05
1685,2.908890233551834e-05,2.908890233551834e-05,3.0965345883617245e-05,2.908890233551834e-05
1686,3.128984365373201e-05,3.128984365373201e-05,3.08195159440012e-05,3.128984365373201e-05
1687,2.878128277318735e-05,2.878128277318735e-05,3.0294710476092795e-05,2.878128277318735e-05
1688,2.5028310834126648e-05,2.5028310834126648e-05,2.3482715213114197e-05,2.5028310834126648e-05
1689,1.9652765266593114e-05,1.9652765266593114e-05,2.2214362616068684e-05,1.9652765266593114e-05
1690,2.027864132157577e-05,2.027864132157577e-05,2.078922573543553e-05,2.027864132157577e-05
1691,2.113927381027939e-05,2.113927381027939e-05,2.2291292745129404e-05,2.113927381027939e-05
1692,2.3725957492258332e-05,2.3725957492258332e-05,2.261776054573212e-05,2.3725957492258332e-05
1693,2.1577458418115774e-05,2.1577458418115774e-05,2.3571887010932968e-05,2.1577458418115774e-05
1694,2.1332900749777245e-05,2.1332900749777245e-05,2.437678904243512e-05,2.1332900749777245e-05
1695,2.0584873319811387e-05,2.0584873319811387e-05,2.4215173652919475e-05,2.0584873319811387e-05
1696,1.9884996098491164e-05,1.9884996098491164e-05,2.4840096167671228e-05,1.9884996098491164e-05
1697,2.0438306429631276e-05,2.0438306429631276e-05,2.460730450236172e-05,2.0438306429631276e-05
1698,1.698670270603283e-05,1.698670270603283e-05,2.3590316881641877e-05,1.698670270603283e-05
1699,1.449831428804568e-05,1.449831428804568e-05,2.330639446362121e-05,1.449831428804568e-05
1700,1.4975150926537545e-05,1.4975150926537545e-05,2.165899240935687e-05,1.4975150926537545e-05
1701,1.5221722346073615e-05,1.5221722346073615e-05,2.410987274613165e-05,1.5221722346073615e-05
1702,1.5740271789711968e-05,1.5740271789711968e-05,2.4479497889322893e-05,1.5740271789711968e-05
1703,1.5728144847214154e-05,1.5728144847214154e-05,2.5077031230986385e-05,1.5728144847214154e-05
1704,1.2506794519140385e-05,1.2506794519140385e-05,2.7160559121901834e-05,1.2506794519140385e-05
1705,1.2777697390577356e-05,1.2777697390577356e-05,2.7945094448763746e-05,1.2777697390577356e-05
1706,1.3283577313164382e-05,1.3283577313164382e-05,2.908058948898023e-05,1.3283577313164382e-05
1707,1.2210460486780253e-05,1.2210460486780253e-05,2.949968802568037e-05,1.2210460486780253e-05
1708,1.0991069952329521e-05,1.0991069952329521e-05,2.775123097567952e-05,1.0991069952329521e-05
1709,1.0601538178889314e-05,1.0601538178889314e-05,2.739340171891464e-05,1.0601538178889314e-05
1710,1.167127259447755e-05,1.167127259447755e-05,2.8551719099466156e-05,1.167127259447755e-05
1711,1.2925433436196596e-05,1.2925433436196596e-05,2.802454712634374e-05,1.2925433436196596e-05
1712,1.4830442718708322e-05,1.4830442718708322e-05,2.7957584409575376e-05,1.4830442718708322e-05
1713,1.653791326004596e-05,1.653791326004596e-05,2.6932283487570074e-05,1.653791326004596e-05
1714,1.605324158455395e-05,1.605324158455395e-05,2.7950603388100198e-05,1.605324158455395e-05
1715,1.7262157858307807e-05,1.7262157858307807e-05,2.7869305995409377e-05,1.7262157858307807e-05
1716,1.8663900326438515e-05,1.8663900326438515e-05,2.674338611541316e-05,1.8663900326438515e-05
1717,1.830073181606297e-05,1.830073181606297e-05,2.7158154677765977e-05,1.830073181606297e-05
1718,1.705451774926457e-05,1.705451774926457e-05,2.817188085048526e-05,1.705451774926457e-05
1719,1.4885670550159244e-05,1.4885670550159244e-05,2.860466104591199e-05,1.4885670550159244e-05
1720,1.3472094126752512e-05,1.3472094126752512e-05,2.9514883863157593e-05,1.3472094126752512e-05
1721,1.3501883976070011e-05,1.3501883976070011e-05,3.0513819833036644e-05,1.3501883976070011e-05
1722,1.307821639784379e-05,1.307821639784379e-05,3.0028776693922866e-05,1.307821639784379e-05
1723,1.2219288562066919e-05,1.2219288562066919e-05,3.1995283019828745e-05,1.2219288562066919e-05
1724,1.0395336435716932e-05,1.0395336435716932e-05,3.145764899922402e-05,1.0395336435716932e-05
1725,1.293571884681504e-05,1.293571884681504e-05,2.9580701915879865e-05,1.293571884681504e-05
1726,1.3959008876034723e-05,1.3959008876034723e-05,2.9425658015367973e-05,1.3959008876034723e-05
1727,1.48675907049827e-05,1.48675907049827e-05,2.7944945551488282e-05,1.48675907049827e-05
1728,1.544753208041324e-05,1.544753208041324e-05,2.563602460473443e-05,1.544753208041324e-05
1729,1.584804145490385e-05,1.584804145490385e-05,2.6510939278523438e-05,1.584804145490385e-05
1730,1.531815321089068e-05,1.531815321089068e-05,2.5805397464344943e-05,1.531815321089068e-05
1731,1.5570822532546507e-05,1.5570822532546507e-05,2.44603738143009e-05,1.5570822532546507e-05
1732,1.6030443995467586e-05,1.6030443995467586e-05,2.526979161692517e-05,1.6030443995467586e-05
1733,1.648078653358555e-05,1.648078653358555e-05,2.5572392197708333e-05,1.648078653358555e-05
1734,1.7810788449423853e-05,1.7810788449423853e-05,2.622364055631416e-05,1.7810788449423853e-05
1735,1.9313855253650608e-05,1.9313855253650608e-05,2.6353545763413422e-05,1.9313855253650608e-05
1736,1.9431808401090427e-05,1.9431808401090427e-05,2.522943084061678e-05,1.9431808401090427e-05
1737,1.9352458366483916e-05,1.9352458366483916e-05,2.4217867446298313e-05,1.9352458366483916e-05
1738,2.0491810183947174e-05,2.0491810183947174e-05,2.4340610512548926e-05,2.0491810183947174e-05
1739,1.834071956961582e-05,1.834071956961582e-05,2.2863132991395624e-05,1.834071956961582e-05
1740,1.8308505007423393e-05,1.8308505007423393e-05,2.2501243490426403e-05,1.8308505007423393e-05
1741,1.5907165886476703e-05,1.5907165886476703e-05,2.192215132319169e-05,1.5907165886476703e-05
1742,1.9348304314397475e-05,1.9348304314397475e-05,2.201237397717445e-05,1.9348304314397475e-05
1743,2.1578359207653974e-05,2.1578359207653974e-05,2.104025952576194e-05,2.1578359207653974e-05
1744,2.278731023709822e-05,2.278731023709822e-05,2.2141559384181164e-05,2.278731023709822e-05
1745,2.3652684051609996e-05,2.3652684051609996e-05,2.1780446851542884e-05,2.3652684051609996e-05
1746,2.507950999383216e-05,2.507950999383216e-05,2.344051686772478e-05,2.507950999383216e-05
1747,2.4531022843023364e-05,2.4531022843023364e-05,2.458224688390536e-05,2.4531022843023364e-05
1748,2.495054910208897e-05,2.495054910208897e-05,2.5096077349319656e-05,2.495054910208897e-05
1749,2.0567558489606847e-05,2.0567558489606847e-05,2.5868727139563168e-05,2.0567558489606847e-05
1750,1.958044101359389e-05,1.958044101359389e-05,2.76090714968242e-05,1.958044101359389e-05
1751,2.12240733422472e-05,2.12240733422472e-05,2.6759717262133824e-05,2.12240733422472e-05
1752,2.3128475212225957e-05,2.3128475212225957e-05,2.711021157405672e-05,2.3128475212225957e-05
1753,2.6437416246543372e-05,2.6437416246543372e-05,2.7338939097327447e-05,2.6437416246543372e-05
1754,2.8769418609694446e-05,2.8769418609694446e-05,2.5835177958859795e-05,2.8769418609694446e-05
1755,3.3585348709103915e-05,3.3585348709103915e-05,2.4991398926691284e-05,3.3585348709103915e-05
1756,3.56446214157456e-05,3.56446214157456e-05,2.3710660960724844e-05,3.56446214157456e-05
1757,3.911798505993959e-05,3.911798505993959e-05,2.3950642051724052e-05,3.911798505993959e-05
1758,3.958411356766841e-05,3.958411356766841e-05,2.3505795720016715e-05,3.958411356766841e-05
1759,3.836247508713443e-05,3.836247508713443e-05,2.3612544152586323e-05,3.836247508713443e-05
1760,3.793800091703555e-05,3.793800091703555e-05,2.20066103793215e-05,3.793800091703555e-05
1761,3.981473543847512e-05,3.981473543847512e-05,2.1186323595299784e-05,3.981473543847512e-05
1762,3.882046075887047e-05,3.882046075887047e-05,2.1475240958222586e-05,3.882046075887047e-05
1763,4.136815758621586e-05,4.136815758621586e-05,2.2751132616706726e-05,4.136815758621586e-05
1764,4.34808389400132e-05,4.34808389400132e-05,2.201748351840901e-05,4.34808389400132e-05
1765,4.649185523573708e-05,4.649185523573708e-05,2.191833768197934e-05,4.649185523573708e-05
1766,4.797212386620231e-05,4.797212386620231e-05,2.1624832567925167e-05,4.797212386620231e-05
1767,4.8964897619693405e-05,4.8964897619693405e-05,2.1805986502191183e-05,4.8964897619693405e-05
1768,4.810889575829995e-05,4.810889575829995e-05,2.2909328825854963e-05,4.810889575829995e-05
1769,4.9498416046844795e-05,4.9498416046844795e-05,2.2984414629588302e-05,4.9498416046844795e-05
1770,5.169312031024934e-05,5.169312031024934e-05,2.1507499695871957e-05,5.169312031024934e-05
1771,4.999244785202401e-05,4.999244785202401e-05,2.200573882354157e-05,4.999244785202401e-05
1772,4.8460237719284904e-05,4.8460237719284904e-05,2.2314348305891535e-05,4.8460237719284904e-05
1773,4.8784358243990156e-05,4.8784358243990156e-05,2.2892431453718537e-05,4.8784358243990156e-05
1774,4.880649378589753e-05,4.880649378589753e-05,2.282966046810283e-05,4.880649378589753e-05
1775,4.857466774410568e-05,4.857466774410568e-05,2.2758241227295783e-05,4.857466774410568e-05
1776,4.68079379061237e-05,4.68079379061237e-05,2.3727781288991017e-05,4.68079379061237e-05
1777,4.6343173640447534e-05,4.6343173640447534e-05,2.3516496314966518e-05,4.6343173640447534e-05
1778,4.528735787191961e-05,4.528735787191961e-05,2.1998466503906195e-05,4.528735787191961e-05
1779,4.430624591935027e-05,4.430624591935027e-05,2.118615832711969e-05,4.430624591935027e-05
1780,4.5266908273333684e-05,4.5266908273333684e-05,2.0147455870755948e-05,4.5266908273333684e-05
1781,4.4724523052406895e-05,4.4724523052406895e-05,2.0984840895315366e-05,4.4724523052406895e-05
1782,4.6707572307371136e-05,4.6707572307371136e-05,2.003825622003725e-05,4.6707572307371136e-05
1783,4.734353517830771e-05,4.734353517830771e-05,1.814414255412495e-05,4.734353517830771e-05
1784,4.503203984183658e-05,4.503203984183658e-05,1.8268559350482455e-05,4.503203984183658e-05
1785,4.508554827355381e-05,4.508554827355381e-05,1.8108773084739888e-05,4.508554827355381e-05
1786,4.379198591258111e-05,4.379198591258111e-05,1.764385810279886e-05,4.379198591258111e-05
1787,4.459882360866426e-05,4.459882360866426e-05,1.811269560546082e-05,4.459882360866426e-05
1788,4.478887681865932e-05,4.478887681865932e-05,1.754728353781892e-05,4.478887681865932e-05
1789,4.443298322647544e-05,4.443298322647544e-05,1.803376263913898e-05,4.443298322647544e-05
1790,4.439450120636528e-05,4.439450120636528e-05,1.8406124321960044e-05,4.439450120636528e-05
1791,4.3365327915775455e-05,4.3365327915775455e-05,1.8872926895190695e-05,4.3365327915775455e-05
1792,4.556216039678215e-05,4.556216039678215e-05,1.9623977225689616e-05,4.556216039678215e-05
1793,5.1173055128726575e-05,5.1173055128726575e-05,1.997522719778187e-05,5.1173055128726575e-05
1794,4.991298400065196e-05,4.991298400065196e-05,2.00136070946298e-05,4.991298400065196e-05
