ngram,bread,bread,bred,bread
1500,5.669038500855095e-07,5.669038500855095e-07,8.098626835817413e-08,5.669038500855095e-07
1501,4.535230800684076e-07,4.535230800684076e-07,6.47890146865393e-08,4.535230800684076e-07
1502,7.29357604238127e-07,7.29357604238127e-07,5.3990845572116086e-08,7.29357604238127e-07
1503,6.251636607755375e-07,6.251636607755375e-07,4.627786763324236e-08,6.251636607755375e-07
1504,6.251636607755375e-07,6.251636607755375e-07,4.627786763324236e-08,6.251636607755375e-07
1505,3.012186035838178e-07,3.012186035838178e-07,0.0,3.012186035838178e-07
1506,3.012186035838178e-07,3.012186035838178e-07,0.0,3.012186035838178e-07
1507,3.012186035838178e-07,3.012186035838178e-07,0.0,3.012186035838178e-07
1508,3.012186035838178e-07,3.012186035838178e-07,0.0,3.012186035838178e-07
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.7139669320645875e-06,1.7139669320645875e-06,0.0,1.7139669320645875e-06
1515,1.7139669320645875e-06,1.7139669320645875e-06,0.0,1.7139669320645875e-06
1516,1.7139669320645875e-06,1.7139669320645875e-06,0.0,1.7139669320645875e-06
1517,6.495458105096727e-06,6.495458105096727e-06,0.0,6.495458105096727e-06
1518,6.495458105096727e-06,6.495458105096727e-06,0.0,6.495458105096727e-06
1519,6.495458105096727e-06,6.495458105096727e-06,0.0,6.495458105096727e-06
1520,1.2453685745380686e-05,1.2453685745380686e-05,5.958227770211774e-07,1.2453685745380686e-05
1521,1.0739718813316099e-05,1.0739718813316099e-05,5.958227770211774e-07,1.0739718813316099e-05
1522,5.199855617580137e-05,5.199855617580137e-05,5.958227770211774e-07,5.199855617580137e-05
1523,5.199855617580137e-05,5.199855617580137e-05,5.958227770211774e-07,5.199855617580137e-05
1524,4.928174309627918e-05,4.928174309627918e-05,2.6605008705311254e-06,4.928174309627918e-05
1525,4.928174309627918e-05,4.928174309627918e-05,2.6605008705311254e-06,4.928174309627918e-05
1526,4.928174309627918e-05,4.928174309627918e-05,2.6605008705311254e-06,4.928174309627918e-05
1527,4.332351545599522e-05,4.332351545599522e-05,2.064678093509948e-06,4.332351545599522e-05
1528,4.332351545599522e-05,4.332351545599522e-05,2.064678093509948e-06,4.332351545599522e-05
1529,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06
1530,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,4.509165916845502e-07,0.0
1533,0.0,0.0,4.509165916845502e-07,0.0
1534,0.0,0.0,1.8553872840649483e-06,0.0
1535,3.012076506690521e-06,3.012076506690521e-06,1.8553872840649483e-06,3.012076506690521e-06
1536,3.012076506690521e-06,3.012076506690521e-06,1.8553872840649483e-06,3.012076506690521e-06
1537,3.012076506690521e-06,3.012076506690521e-06,1.8553872840649483e-06,3.012076506690521e-06
1538,3.012076506690521e-06,3.012076506690521e-06,1.8553872840649483e-06,3.012076506690521e-06
1539,3.012076506690521e-06,3.012076506690521e-06,1.4044706923803979e-06,3.012076506690521e-06
1540,3.012076506690521e-06,3.012076506690521e-06,1.4044706923803979e-06,3.012076506690521e-06
1541,3.012076506690521e-06,3.012076506690521e-06,0.0,3.012076506690521e-06
1542,1.5046463366681046e-06,1.5046463366681046e-06,1.5046463366681046e-06,1.5046463366681046e-06
1543,1.5046463366681046e-06,1.5046463366681046e-06,1.5046463366681046e-06,1.5046463366681046e-06
1544,4.704059522607297e-06,4.704059522607297e-06,2.6174857339356095e-06,4.704059522607297e-06
1545,1.2473742312327626e-05,1.2473742312327626e-05,2.8854058362932326e-06,1.2473742312327626e-05
1546,2.1424340567526607e-05,2.1424340567526607e-05,3.165112031768201e-06,2.1424340567526607e-05
1547,4.10871877777806e-05,4.10871877777806e-05,3.165112031768201e-06,4.10871877777806e-05
1548,4.10871877777806e-05,4.10871877777806e-05,3.165112031768201e-06,4.10871877777806e-05
1549,6.504835359269887e-05,6.504835359269887e-05,1.8637673796157677e-05,6.504835359269887e-05
1550,6.558869930423887e-05,6.558869930423887e-05,1.8637673796157677e-05,6.558869930423887e-05
1551,6.238928611829968e-05,6.238928611829968e-05,1.752483439889017e-05,6.238928611829968e-05
1552,5.750404732550253e-05,5.750404732550253e-05,1.7978025295763344e-05,5.750404732550253e-05
1553,4.8553449070303554e-05,4.8553449070303554e-05,1.7698319100288374e-05,4.8553449070303554e-05
1554,2.8890601860049564e-05,2.8890601860049564e-05,1.7698319100288374e-05,2.8890601860049564e-05
1555,2.9491586864034097e-05,2.9491586864034097e-05,1.7698319100288374e-05,2.9491586864034097e-05
1556,8.189279826962905e-06,8.189279826962905e-06,7.211109992307943e-07,8.189279826962905e-06
