ngram,sign,sin,sing,sighn
1500,8.116248636724777e-06,5.1550005366607365e-06,7.198243565653684e-07,0.0
1501,6.492998909379821e-06,4.124000429328589e-06,5.758594852522946e-07,0.0
1502,1.2614977549674222e-05,3.436667024440491e-06,4.798829043769123e-07,0.0
1503,1.0812837899720762e-05,2.9457145923775637e-06,4.1132820375163905e-07,0.0
1504,9.877210946537421e-06,1.3883360289972708e-07,2.7766720579945415e-07,0.0
1505,1.469790523905041e-05,0.0,0.0,0.0
1506,1.469790523905041e-05,0.0,0.0,0.0
1507,1.469790523905041e-05,0.0,0.0,0.0
1508,1.469790523905041e-05,0.0,0.0,0.0
1509,8.522923703172377e-06,0.0,0.0,0.0
1510,8.522923703172377e-06,0.0,0.0,0.0
1511,8.522923703172377e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.2852891561342403e-06,2.8566114451678004e-07,2.8566114451678004e-07,0.0
1515,2.2852891561342403e-06,2.8566114451678004e-07,2.8566114451678004e-07,0.0
1516,2.2852891561342403e-06,2.8566114451678004e-07,2.8566114451678004e-07,0.0
1517,1.450465502525081e-05,1.3567580838623274e-05,1.3482147096510744e-06,0.0
1518,1.450465502525081e-05,1.3567580838623274e-05,1.3482147096510744e-06,0.0
1519,1.450465502525081e-05,1.3567580838623274e-05,1.3482147096510744e-06,0.0
1520,2.046288266553477e-05,1.6546694658765254e-05,2.837771619722064e-06,0.0
1521,0.0002298178047307634,1.6261033514248474e-05,2.552110475205284e-06,0.0
1522,0.0002837716705731249,1.943479037436191e-05,5.725867335318721e-06,0.0
1523,0.0002856198056438838,1.943479037436191e-05,5.725867335318721e-06,0.0
1524,0.00027340043977476725,1.2346904830857447e-05,4.663313770184427e-06,0.0
1525,0.00027340043977476725,1.2346904830857447e-05,4.663313770184427e-06,0.0
1526,0.0002854777799906775,1.2346904830857447e-05,4.663313770184427e-06,0.0
1527,0.0002795195523503935,9.367791010715467e-06,3.1737568601134366e-06,0.0
1528,6.892457356246138e-05,9.367791010715467e-06,3.1737568601134366e-06,0.0
1529,1.4970707720099849e-05,6.19403415060203e-06,0.0,0.0
1530,1.3122572649340977e-05,6.19403415060203e-06,0.0,0.0
1531,1.886742087923007e-05,1.723454416995602e-05,5.744848229889092e-06,0.0
1532,2.0220170686765675e-05,1.723454416995602e-05,5.744848229889092e-06,0.0
1533,8.142830470855447e-06,1.723454416995602e-05,5.744848229889092e-06,0.0
1534,9.547301163235846e-06,1.8639014862336417e-05,5.744848229889092e-06,0.0
1535,1.4902731241558545e-05,1.939203398900905e-05,9.133434234952023e-06,0.0
1536,1.9822639712531653e-05,1.939203398900905e-05,9.133434234952023e-06,0.0
1537,1.9822639712531653e-05,1.939203398900905e-05,9.133434234952023e-06,0.0
1538,1.407779148264256e-05,2.157489819053028e-06,3.388586005062929e-06,0.0
1539,1.2725041675106955e-05,2.157489819053028e-06,3.388586005062929e-06,0.0
1540,0.00022819584916890432,2.157489819053028e-06,3.388586005062929e-06,0.0
1541,0.00022679137847652392,7.530191266726303e-07,3.388586005062929e-06,0.0
1542,0.0002249046551047026,0.0,0.0,0.0
1543,0.0002199847466337295,0.0,0.0,0.0
1544,0.0002241578944709285,2.22567879453501e-06,1.3910492790663348e-06,0.0
1545,0.0002260333351711909,2.098008527744761e-05,1.9268894837815812e-06,0.0
1546,0.00022715215995309075,2.1819203863872515e-05,5.2833638294811995e-06,0.0
1547,1.168135245929339e-05,2.509634506558151e-05,5.2833638294811995e-06,0.0
1548,1.5248255554719695e-05,2.539358700102769e-05,5.5806057649273754e-06,0.0
1549,1.1946974154852796e-05,2.539358700102769e-05,1.4069209815456166e-05,0.0
1550,2.545561684590731e-05,3.674084723570559e-05,1.4069209815456166e-05,0.0
1551,2.1282469008708305e-05,3.4515168441170575e-05,1.2678160536389832e-05,0.0
1552,3.238702590481678e-05,2.2250760756443405e-05,1.5026764328597761e-05,0.0
1553,3.1268201122916904e-05,2.14116421700185e-05,1.1670289982898144e-05,0.0
1554,3.1268201122916904e-05,1.8134500968309502e-05,3.944009647836667e-05,0.0
1555,2.8302283031475133e-05,1.7837259032863324e-05,3.91428545429205e-05,0.0
1556,3.541663552044026e-05,2.0959887998677524e-05,3.27360030496493e-05,0.0
1557,2.1907992829385747e-05,9.612627763999626e-06,3.27360030496493e-05,0.0
1558,2.736438208168173e-05,9.612627763999626e-06,3.27360030496493e-05,0.0
1559,1.782283106877003e-05,9.999522132732506e-06,4.704379248973315e-05,0.0
1560,2.4104494774032253e-05,1.4935114969765501e-05,4.838986322803456e-05,0.0
1561,2.4104494774032253e-05,1.4935114969765501e-05,2.062005673256603e-05,0.0
1562,2.350350977004772e-05,1.4935114969765501e-05,2.062005673256603e-05,0.0
1563,1.699498638377658e-05,1.1812486003951303e-05,1.853830417530844e-05,0.0
1564,1.699498638377658e-05,1.1812486003951303e-05,1.853830417530844e-05,0.0
1565,1.2550397773988412e-05,1.1812486003951303e-05,1.9550104817816255e-05,0.0
1566,1.291929220315069e-05,6.839263343343711e-06,2.357871380809229e-06,0.0
1567,6.637628497888467e-06,1.9036705063107156e-06,1.011800642507816e-06,0.0
1568,6.637628497888467e-06,1.9036705063107156e-06,1.011800642507816e-06,0.0
1569,6.637628497888467e-06,4.131786486790848e-06,1.7545059693345268e-06,0.0
1570,4.819141655129247e-06,4.131786486790848e-06,4.7765305290730405e-06,0.0
1571,4.819141655129247e-06,4.131786486790848e-06,4.7765305290730405e-06,0.0
1572,6.40714487027643e-06,6.7315903444458466e-06,1.3643984597625344e-05,0.0
1573,2.5998038576549983e-06,4.827919838135131e-06,1.4902393948952003e-05,0.0
1574,2.5998038576549983e-06,5.3726313840992845e-06,1.7081240132808618e-05,0.0
1575,2.5998038576549983e-06,9.144470141109196e-06,2.462491764682844e-05,0.0
1576,5.303886479980845e-06,9.620436782954909e-06,2.7487655903054735e-05,0.0
1577,7.85536238773992e-06,1.2171912690713985e-05,2.446563134331622e-05,0.0
1578,1.5323668776545674e-05,1.819474044038673e-05,3.145211134584055e-05,0.0
1579,1.4664129334310669e-05,2.5296258789759512e-05,2.157285663478043e-05,0.0
1580,1.4664129334310669e-05,2.5296258789759512e-05,2.0314447283453774e-05,0.0
1581,1.525743670884237e-05,2.593816199285876e-05,1.872890847412886e-05,0.0
1582,1.5676418083135752e-05,2.3842248733022382e-05,2.1659765025106026e-05,0.0
1583,1.777856177146272e-05,2.594439242134935e-05,1.9976811862371896e-05,0.0
1584,1.7924420555053594e-05,2.7888474505743943e-05,2.1775035033247798e-05,0.0
1585,1.0833550342275494e-05,2.3941545675500364e-05,2.0072661560074527e-05,0.0
1586,2.255226861182434e-05,2.5742525005106082e-05,2.6542706044503056e-05,0.0
1587,2.289834817150092e-05,2.5742525005106082e-05,3.7963331838649795e-05,0.0
1588,2.3644052427178914e-05,2.455591025604268e-05,3.803953027922294e-05,0.0
1589,2.920031819745158e-05,2.810832575050881e-05,3.2419884649113684e-05,0.0
1590,2.725382413310789e-05,2.5121928956650663e-05,5.415517872669235e-05,0.0
1591,2.6155690225745536e-05,3.475264475127915e-05,6.914856333293886e-05,0.0
1592,2.6972197637015987e-05,3.387068941914809e-05,7.341600550197265e-05,0.0
1593,1.4429598650167463e-05,3.152273373936103e-05,7.0964942226835e-05,0.0
1594,1.6765624422987457e-05,3.2025628505445116e-05,7.999537021013177e-05,0.0
1595,1.8582192491781564e-05,4.0590773031518825e-05,0.00010998006629441599,0.0
1596,1.3869454700657765e-05,3.788745074676366e-05,0.00011417316168912553,0.0
1597,1.2220343316065347e-05,4.248391197896646e-05,9.620529557910881e-05,0.0
1598,1.4867598500651574e-05,2.8490339941202236e-05,7.985602698162049e-05,0.0
1599,1.438112180299608e-05,3.177701992334343e-05,7.561047972818155e-05,0.0
1600,1.4755823225901363e-05,3.0823642362065584e-05,7.340210199150274e-05,0.0
1601,1.4417604234040482e-05,3.657111117101002e-05,6.76003375831767e-05,0.0
1602,1.3245638196427276e-05,3.082478592172525e-05,3.819894436674076e-05,0.0
1603,1.2395238952324559e-05,2.9948207652198888e-05,2.9150960537143484e-05,0.0
1604,1.9698133980585097e-05,2.4723809190163593e-05,2.4142123428256517e-05,0.0
1605,1.837503720837828e-05,3.246169009279194e-05,2.5723648247679064e-05,0.0
1606,2.4234139216007732e-05,6.145455232139543e-05,2.5622853887138524e-05,0.0
1607,2.2743054094982134e-05,5.325358402582684e-05,2.3812250414526454e-05,0.0
1608,2.4592397234560588e-05,7.0565176429227e-05,2.4138780840335778e-05,0.0
1609,2.2608783573169993e-05,7.642536002094857e-05,3.250834502718395e-05,0.0
1610,2.7549500373424962e-05,8.280616020783782e-05,3.811606848103111e-05,0.0
