ngram,chart,chrt,chrt,chart
1500,1.5206350099106203e-06,0.0,0.0,1.5206350099106203e-06
1501,1.2165080079284962e-06,0.0,0.0,1.2165080079284962e-06
1502,1.0137566732737469e-06,0.0,0.0,1.0137566732737469e-06
1503,9.793601033639529e-06,0.0,0.0,9.793601033639529e-06
1504,1.8786681331610972e-05,0.0,0.0,1.8786681331610972e-05
1505,2.102604360386197e-05,0.0,0.0,2.102604360386197e-05
1506,2.102604360386197e-05,0.0,0.0,2.102604360386197e-05
1507,2.102604360386197e-05,0.0,0.0,2.102604360386197e-05
1508,2.102604360386197e-05,0.0,0.0,2.102604360386197e-05
1509,2.102604360386197e-05,0.0,0.0,2.102604360386197e-05
1510,1.2101376861599939e-05,0.0,0.0,1.2101376861599939e-05
1511,2.8409745677241257e-06,0.0,0.0,2.8409745677241257e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0,5.312767825671472e-07
1518,5.312767825671472e-07,0.0,0.0,5.312767825671472e-07
1519,5.312767825671472e-07,0.0,0.0,5.312767825671472e-07
1520,5.312767825671472e-07,0.0,0.0,5.312767825671472e-07
1521,5.312767825671472e-07,0.0,0.0,5.312767825671472e-07
1522,3.7050336426805837e-06,0.0,0.0,3.7050336426805837e-06
1523,3.7050336426805837e-06,0.0,0.0,3.7050336426805837e-06
1524,3.1737568601134366e-06,0.0,0.0,3.1737568601134366e-06
1525,3.1737568601134366e-06,0.0,0.0,3.1737568601134366e-06
1526,3.809406345161343e-06,0.0,0.0,3.809406345161343e-06
1527,3.809406345161343e-06,0.0,0.0,3.809406345161343e-06
1528,3.809406345161343e-06,0.0,0.0,3.809406345161343e-06
1529,6.356494850479066e-07,0.0,0.0,6.356494850479066e-07
1530,6.356494850479066e-07,0.0,0.0,6.356494850479066e-07
1531,6.356494850479066e-07,0.0,0.0,6.356494850479066e-07
1532,1.537482668417007e-06,0.0,0.0,1.537482668417007e-06
1533,9.018331833691004e-07,0.0,0.0,9.018331833691004e-07
1534,9.018331833691004e-07,0.0,0.0,9.018331833691004e-07
1535,9.018331833691004e-07,0.0,0.0,9.018331833691004e-07
