ngram,failure,faiure,falure,failre
1500,6.986388325458393e-05,0.0,0.0,0.0
1501,5.589110660366714e-05,0.0,0.0,0.0
1502,4.921158506476786e-05,0.0,0.0,0.0
1503,5.110602536920591e-05,0.0,0.0,0.0
1504,3.7243074725016155e-05,0.0,0.0,0.0
1505,3.180810693135884e-05,0.0,0.0,0.0
1506,3.180810693135884e-05,0.0,0.0,0.0
1507,3.180810693135884e-05,0.0,0.0,0.0
1508,3.180810693135884e-05,0.0,0.0,0.0
1509,2.9548967307034347e-05,0.0,0.0,0.0
1510,2.0624300564772318e-05,0.0,0.0,0.0
1511,1.1363898270896503e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,0.0
1515,8.569834660322937e-07,0.0,0.0,0.0
1516,8.569834660322937e-07,0.0,0.0,0.0
1517,7.94859457268363e-05,0.0,0.0,0.0
1518,7.94859457268363e-05,0.0,0.0,0.0
1519,7.94859457268363e-05,0.0,0.0,0.0
1520,8.276297103293473e-05,0.0,0.0,0.0
1521,8.190598756690244e-05,0.0,0.0,0.0
1522,8.190598756690244e-05,0.0,0.0,0.0
1523,8.991457278690567e-05,0.0,0.0,0.0
1524,1.1285610526101664e-05,0.0,0.0,0.0
1525,1.1285610526101664e-05,0.0,0.0,0.0
1526,1.4463857951341197e-05,0.0,0.0,0.0
1527,1.1186832645242767e-05,0.0,0.0,0.0
1528,3.209148209342467e-05,0.0,0.0,0.0
1529,3.209148209342467e-05,0.0,0.0,0.0
1530,2.4082896873421434e-05,0.0,0.0,0.0
1531,2.4082896873421434e-05,0.0,0.0,0.0
1532,0.0001066006298060529,0.0,0.0,0.0
1533,0.00010342238238081336,0.0,0.0,0.0
1534,0.00010623132376557416,0.0,0.0,0.0
1535,8.607969344406488e-05,0.0,0.0,0.0
1536,0.00011738820142324715,0.0,0.0,0.0
1537,0.00011738820142324715,0.0,0.0,0.0
1538,0.00011738820142324715,0.0,0.0,0.0
1539,0.00011456113848648133,0.0,0.0,0.0
1540,0.00011456113848648133,0.0,0.0,0.0
1541,0.00011175219710172055,0.0,0.0,0.0
1542,0.0001109991779750479,0.0,0.0,0.0
1543,7.969066999586565e-05,0.0,0.0,0.0
1544,8.094261426906866e-05,0.0,0.0,0.0
1545,8.094261426906866e-05,0.0,0.0,0.0
1546,1.5316504686779808e-06,0.0,0.0,0.0
1547,1.5316504686779808e-06,0.0,0.0,0.0
1548,8.070972983529958e-06,0.0,0.0,0.0
1549,8.070972983529958e-06,0.0,0.0,0.0
1550,1.4555121392082323e-05,0.0,0.0,0.0
1551,1.3303177118879311e-05,0.0,0.0,0.0
1552,1.4745399117340899e-05,0.0,0.0,0.0
1553,1.446569292186593e-05,0.0,0.0,0.0
1554,1.446569292186593e-05,0.0,0.0,0.0
1555,9.128340414983021e-06,0.0,0.0,0.0
1556,1.0169216693611816e-05,0.0,0.0,0.0
1557,3.68506828505945e-06,0.0,0.0,0.0
1558,8.459408750890621e-06,0.0,0.0,0.0
1559,7.017186752429032e-06,0.0,0.0,0.0
1560,8.363257490730445e-06,0.0,0.0,0.0
1561,8.363257490730445e-06,0.0,0.0,0.0
1562,7.161287482761379e-06,0.0,0.0,0.0
1563,7.938898046891804e-06,0.0,0.0,0.0
1564,7.938898046891804e-06,0.0,0.0,0.0
1565,3.1645575810606327e-06,0.0,0.0,0.0
1566,5.0682280873713485e-06,0.0,0.0,0.0
1567,3.7221573490699356e-06,0.0,0.0,0.0
1568,3.7221573490699356e-06,0.0,0.0,0.0
1569,8.92109463685691e-06,0.0,0.0,0.0
1570,7.102607794097691e-06,0.0,0.0,0.0
1571,7.102607794097691e-06,0.0,0.0,0.0
1572,7.102607794097691e-06,0.0,0.0,0.0
1573,5.1989372877869755e-06,0.0,0.0,0.0
1574,5.743648833751129e-06,0.0,0.0,0.0
1575,5.743648833751129e-06,0.0,0.0,0.0
1576,5.447115459641541e-07,0.0,0.0,0.0
1577,3.09618745372323e-06,0.0,0.0,0.0
1578,3.09618745372323e-06,0.0,0.0,0.0
1579,8.270225894843211e-06,0.0,0.0,0.0
1580,8.270225894843211e-06,0.0,0.0,0.0
1581,8.31882172341076e-06,0.0,0.0,0.0
1582,8.31882172341076e-06,0.0,0.0,0.0
1583,1.1683179829040974e-05,0.0,0.0,0.0
1584,9.1317039212819e-06,0.0,0.0,0.0
1585,9.1317039212819e-06,0.0,0.0,0.0
1586,6.833240864320292e-06,0.0,0.0,0.0
1587,7.871479543350038e-06,0.0,0.0,0.0
1588,7.278172168818335e-06,0.0,0.0,0.0
1589,1.0452522279332957e-05,0.0,0.0,0.0
1590,7.348139823599402e-06,0.0,0.0,0.0
1591,7.6146732875973356e-06,0.0,0.0,0.0
1592,7.6146732875973356e-06,0.0,0.0,0.0
1593,4.73909790343896e-06,0.0,0.0,0.0
1594,4.203753990493299e-06,0.0,0.0,0.0
1595,4.203753990493299e-06,0.0,0.0,0.0
1596,1.2398221055523858e-06,0.0,0.0,0.0
1597,1.3430327336599085e-06,0.0,0.0,0.0
1598,1.0719493242764397e-05,0.0,0.0,0.0
1599,2.2274785578701994e-05,0.0,0.0,0.0
1600,2.3126834256410283e-05,0.0,0.0,0.0
1601,2.3795882660644046e-05,0.0,0.0,0.0
1602,2.5048691343597185e-05,0.0,0.0,0.0
1603,2.483827311802348e-05,0.0,0.0,0.0
1604,2.8561574384054567e-05,0.0,0.0,0.0
1605,1.9031017302495457e-05,0.0,0.0,0.0
1606,1.067892918626967e-05,0.0,0.0,0.0
1607,9.826880508561381e-06,0.0,0.0,0.0
1608,8.854614934859586e-06,0.0,0.0,0.0
1609,8.356502161989607e-06,0.0,0.0,0.0
1610,8.356502161989607e-06,0.0,0.0,0.0
1611,6.727909237724816e-06,0.0,0.0,0.0
1612,6.615472346181507e-06,0.0,0.0,0.0
1613,3.891699553345721e-06,0.0,0.0,0.0
1614,3.891699553345721e-06,0.0,0.0,0.0
1615,7.882397702425286e-06,0.0,0.0,0.0
1616,7.127701792342123e-06,0.0,0.0,0.0
1617,7.127701792342123e-06,0.0,0.0,0.0
1618,8.11650703066594e-06,0.0,0.0,0.0
1619,8.11650703066594e-06,0.0,0.0,0.0
1620,8.442986914555409e-06,0.0,0.0,0.0
1621,8.442986914555409e-06,0.0,0.0,0.0
1622,4.674701618309232e-06,0.0,0.0,0.0
1623,6.830015146468733e-06,0.0,0.0,0.0
1624,1.1757977582809482e-05,0.0,0.0,0.0
1625,8.311277724715183e-06,0.0,0.0,0.0
1626,1.0148252256060783e-05,0.0,0.0,0.0
1627,9.342340945295291e-06,0.0,0.0,0.0
1628,1.0193992108854997e-05,0.0,0.0,0.0
1629,1.1257429897731136e-05,0.0,0.0,0.0
1630,1.0913345314682893e-05,0.0,0.0,0.0
1631,6.325462793808713e-06,0.0,0.0,0.0
1632,7.608228673104479e-06,0.0,0.0,0.0
1633,5.908346939317458e-06,0.0,0.0,0.0
1634,6.895692243753209e-06,0.0,0.0,0.0
1635,6.2086805071105895e-06,0.0,0.0,0.0
1636,5.070529904774698e-06,0.0,0.0,0.0
1637,3.3324610870165216e-06,0.0,0.0,0.0
1638,3.26172131995658e-06,0.0,0.0,0.0
1639,2.9133982317424464e-06,0.0,0.0,0.0
1640,2.7763054341838663e-06,0.0,0.0,0.0
1641,2.565347293576841e-06,0.0,0.0,0.0
1642,2.72455736194388e-06,0.0,0.0,0.0
1643,2.3771797259541927e-06,0.0,0.0,0.0
1644,2.9456498558439696e-06,0.0,0.0,0.0
1645,3.51129580979302e-06,0.0,0.0,0.0
1646,3.1812834484818656e-06,0.0,0.0,0.0
1647,3.1812834484818656e-06,0.0,0.0,0.0
1648,3.5969764472351277e-06,0.0,0.0,0.0
1649,3.898949151854529e-06,0.0,0.0,0.0
1650,4.469910956166652e-06,0.0,0.0,0.0
1651,3.957280942553812e-06,0.0,0.0,0.0
1652,3.9016943804069474e-06,0.0,0.0,0.0
1653,3.297263950636469e-06,0.0,0.0,0.0
1654,3.421713505044214e-06,0.0,0.0,0.0
1655,2.5782516266709924e-06,0.0,0.0,0.0
1656,2.1789660747474826e-06,0.0,0.0,0.0
1657,1.71922200057192e-06,0.0,2.7804432534139778e-08,0.0
1658,3.1986908116518213e-06,0.0,2.7804432534139778e-08,0.0
1659,3.609477086489018e-06,0.0,2.7804432534139778e-08,0.0
1660,4.010351103391128e-06,0.0,2.7804432534139778e-08,0.0
1661,4.0202723669478606e-06,0.0,2.7804432534139778e-08,0.0
1662,3.996452960564056e-06,0.0,2.7804432534139778e-08,0.0
1663,4.952425992347084e-06,0.0,2.7804432534139778e-08,0.0
1664,5.470055961203408e-06,0.0,0.0,0.0
1665,4.170228221158011e-06,0.0,0.0,0.0
