ngram,match,matc,match,match
1500,2.159473126539524e-06,0.0,2.159473126539524e-06,2.159473126539524e-06
1501,1.727578501231619e-06,0.0,1.727578501231619e-06,1.727578501231619e-06
1502,1.4396487510263494e-06,0.0,1.4396487510263494e-06,1.4396487510263494e-06
1503,1.0158651385998902e-05,0.0,1.0158651385998902e-05,1.0158651385998902e-05
1504,9.757668392142347e-06,0.0,9.757668392142347e-06,9.757668392142347e-06
1505,1.2081305093098698e-05,0.0,1.2081305093098698e-05,1.2081305093098698e-05
1506,1.2081305093098698e-05,0.0,1.2081305093098698e-05,1.2081305093098698e-05
1507,1.2081305093098698e-05,0.0,1.2081305093098698e-05,1.2081305093098698e-05
1508,1.2081305093098698e-05,0.0,1.2081305093098698e-05,1.2081305093098698e-05
1509,1.2081305093098698e-05,0.0,1.2081305093098698e-05,1.2081305093098698e-05
1510,3.1566383508366665e-06,0.0,3.1566383508366665e-06,3.1566383508366665e-06
1511,3.1566383508366665e-06,0.0,3.1566383508366665e-06,3.1566383508366665e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.856611380203893e-06,0.0,2.856611380203893e-06,2.856611380203893e-06
1515,2.856611380203893e-06,0.0,2.856611380203893e-06,2.856611380203893e-06
1516,2.856611380203893e-06,0.0,2.856611380203893e-06,2.856611380203893e-06
1517,3.3878881627710404e-06,0.0,3.3878881627710404e-06,3.3878881627710404e-06
1518,3.3878881627710404e-06,0.0,3.3878881627710404e-06,3.3878881627710404e-06
1519,3.3878881627710404e-06,0.0,3.3878881627710404e-06,3.3878881627710404e-06
1520,4.5795337168133954e-06,0.0,4.5795337168133954e-06,4.5795337168133954e-06
1521,1.722922336609502e-06,0.0,1.722922336609502e-06,1.722922336609502e-06
1522,4.896679196722939e-06,0.0,4.896679196722939e-06,4.896679196722939e-06
1523,5.5127241986545935e-06,0.0,5.5127241986545935e-06,5.5127241986545935e-06
1524,4.981447416087446e-06,0.0,4.981447416087446e-06,4.981447416087446e-06
1525,4.981447416087446e-06,0.0,4.981447416087446e-06,4.981447416087446e-06
1526,6.888395871231166e-06,0.0,6.888395871231166e-06,6.888395871231166e-06
1527,5.696750317188812e-06,0.0,5.696750317188812e-06,5.696750317188812e-06
1528,5.696750317188812e-06,0.0,5.696750317188812e-06,5.696750317188812e-06
1529,2.5229934570753746e-06,0.0,2.5229934570753746e-06,2.5229934570753746e-06
1530,3.3648454648625503e-06,0.0,3.3648454648625503e-06,3.3648454648625503e-06
1531,3.3648454648625503e-06,0.0,3.3648454648625503e-06,3.3648454648625503e-06
1532,4.717595272398155e-06,0.0,4.717595272398155e-06,4.717595272398155e-06
1533,2.810646817254435e-06,0.0,2.810646817254435e-06,2.810646817254435e-06
1534,4.215117509634833e-06,0.0,4.215117509634833e-06,4.215117509634833e-06
1535,4.968136636307463e-06,0.0,4.968136636307463e-06,4.968136636307463e-06
1536,4.968136636307463e-06,0.0,4.968136636307463e-06,4.968136636307463e-06
1537,3.5102396265886327e-06,0.0,3.5102396265886327e-06,3.5102396265886327e-06
1538,3.5102396265886327e-06,0.0,3.5102396265886327e-06,3.5102396265886327e-06
1539,6.308045548004364e-06,0.0,6.308045548004364e-06,6.308045548004364e-06
1540,6.308045548004364e-06,0.0,6.308045548004364e-06,6.308045548004364e-06
1541,4.903574855623967e-06,0.0,4.903574855623967e-06,4.903574855623967e-06
1542,4.150555728951336e-06,0.0,4.150555728951336e-06,4.150555728951336e-06
1543,4.150555728951336e-06,0.0,4.150555728951336e-06,4.150555728951336e-06
1544,5.541605008017671e-06,0.0,5.541605008017671e-06,5.541605008017671e-06
1545,5.541605008017671e-06,0.0,5.541605008017671e-06,5.541605008017671e-06
1546,1.3910492790663348e-06,0.0,1.3910492790663348e-06,1.3910492790663348e-06
1547,1.3910492790663348e-06,0.0,1.3910492790663348e-06,1.3910492790663348e-06
1548,1.3910492790663348e-06,0.0,1.3910492790663348e-06,1.3910492790663348e-06
1549,1.3910492790663348e-06,0.0,1.3910492790663348e-06,1.3910492790663348e-06
1550,1.3910492790663348e-06,0.0,1.3910492790663348e-06,1.3910492790663348e-06
1551,0.0,0.0,0.0,0.0
1552,7.211109992307943e-07,0.0,7.211109992307943e-07,7.211109992307943e-07
1553,7.211109992307943e-07,0.0,7.211109992307943e-07,7.211109992307943e-07
1554,7.211109992307943e-07,0.0,7.211109992307943e-07,7.211109992307943e-07
1555,7.211109992307943e-07,0.0,7.211109992307943e-07,7.211109992307943e-07
1556,1.761987277859589e-06,0.0,1.761987277859589e-06,1.761987277859589e-06
1557,1.761987277859589e-06,0.0,1.761987277859589e-06,1.761987277859589e-06
1558,2.444035934396587e-06,0.0,2.444035934396587e-06,2.444035934396587e-06
1559,2.4072826948083404e-05,0.0,2.4072826948083404e-05,2.4072826948083404e-05
1560,2.4072826948083404e-05,0.0,2.4072826948083404e-05,2.4072826948083404e-05
1561,2.4072826948083404e-05,0.0,2.4072826948083404e-05,2.4072826948083404e-05
1562,2.4072826948083404e-05,0.0,2.4072826948083404e-05,2.4072826948083404e-05
1563,2.303195066945461e-05,0.0,2.303195066945461e-05,2.303195066945461e-05
1564,2.303195066945461e-05,0.0,2.303195066945461e-05,2.303195066945461e-05
1565,2.3361702655425427e-05,0.0,2.3361702655425427e-05,2.3361702655425427e-05
1566,1.011800642507816e-06,0.0,1.011800642507816e-06,1.011800642507816e-06
1567,2.3765952781624426e-06,0.0,2.3765952781624426e-06,2.3765952781624426e-06
1568,2.3765952781624426e-06,0.0,2.3765952781624426e-06,2.3765952781624426e-06
1569,4.604711258642575e-06,0.0,4.604711258642575e-06,4.604711258642575e-06
1570,4.604711258642575e-06,0.0,4.604711258642575e-06,4.604711258642575e-06
1571,4.604711258642575e-06,0.0,4.604711258642575e-06,4.604711258642575e-06
1572,1.9191734281776007e-05,0.0,1.9191734281776007e-05,1.9191734281776007e-05
1573,2.8000600000918246e-05,0.0,2.8000600000918246e-05,2.8000600000918246e-05
1574,2.718051691122777e-05,0.0,2.718051691122777e-05,2.718051691122777e-05
1575,3.2209635427144736e-05,0.0,3.2209635427144736e-05,3.2209635427144736e-05
1576,3.358696302971761e-05,4.5068044788162555e-07,3.358696302971761e-05,3.358696302971761e-05
1577,3.358696302971761e-05,4.5068044788162555e-07,3.358696302971761e-05,3.358696302971761e-05
1578,3.5755180988417123e-05,4.5068044788162555e-07,3.5755180988417123e-05,3.5755180988417123e-05
1579,2.144986693305587e-05,4.5068044788162555e-07,2.144986693305587e-05,2.144986693305587e-05
1580,1.4621922900914797e-05,4.5068044788162555e-07,1.4621922900914797e-05,1.4621922900914797e-05
1581,1.526382610401405e-05,4.5068044788162555e-07,1.526382610401405e-05,1.526382610401405e-05
1582,1.0653688962390464e-05,4.5068044788162555e-07,1.0653688962390464e-05,1.0653688962390464e-05
1583,9.2110471671601e-06,0.0,9.2110471671601e-06,9.2110471671601e-06
1584,9.2110471671601e-06,0.0,9.2110471671601e-06,9.2110471671601e-06
1585,1.1572063450720244e-05,0.0,1.1572063450720244e-05,1.1572063450720244e-05
1586,1.2435235378559031e-05,0.0,1.2435235378559031e-05,1.2435235378559031e-05
1587,2.1182779716712374e-05,0.0,2.1182779716712374e-05,2.1182779716712374e-05
1588,3.27167757144967e-05,0.0,3.27167757144967e-05,3.27167757144967e-05
1589,3.9580126732679286e-05,0.0,3.9580126732679286e-05,3.9580126732679286e-05
1590,4.15769353432032e-05,0.0,4.15769353432032e-05,4.15769353432032e-05
1591,4.4775336911178396e-05,0.0,4.4775336911178396e-05,4.4775336911178396e-05
1592,4.1440046256216844e-05,0.0,4.1440046256216844e-05,4.1440046256216844e-05
1593,4.977737132451564e-05,0.0,4.977737132451564e-05,4.977737132451564e-05
1594,4.106048436369747e-05,0.0,4.106048436369747e-05,4.106048436369747e-05
1595,3.6003424091697e-05,0.0,3.6003424091697e-05,3.6003424091697e-05
1596,3.31398743063411e-05,0.0,3.31398743063411e-05,3.31398743063411e-05
1597,3.115938151105573e-05,0.0,3.115938151105573e-05,3.115938151105573e-05
1598,2.9907272229528254e-05,0.0,2.9907272229528254e-05,2.9907272229528254e-05
1599,3.0364084653099e-05,0.0,3.0364084653099e-05,3.0364084653099e-05
1600,2.349128499190556e-05,0.0,2.349128499190556e-05,2.349128499190556e-05
