ngram,phrase,phras,phras
1500,4.156973659519281e-06,0.0,0.0
1501,3.3255789276154248e-06,0.0,0.0
1502,4.001291699751164e-06,0.0,0.0
1503,3.429678599786712e-06,0.0,0.0
1504,2.6277126120736024e-06,0.0,0.0
1505,1.6855927762143047e-06,0.0,0.0
1506,1.6855927762143047e-06,0.0,0.0
1507,1.6855927762143047e-06,0.0,0.0
1508,1.6855927762143047e-06,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,0.0
1518,0.0,0.0,0.0
1519,0.0,0.0,0.0
1520,2.3832911080847097e-06,0.0,0.0
1521,2.3832911080847097e-06,0.0,0.0
1522,2.3832911080847097e-06,0.0,0.0
1523,2.3832911080847097e-06,0.0,0.0
1524,2.3832911080847097e-06,0.0,0.0
1525,2.3832911080847097e-06,0.0,0.0
1526,2.3832911080847097e-06,0.0,0.0
1527,5.804841306858829e-05,0.0,0.0
1528,5.804841306858829e-05,0.0,0.0
1529,5.804841306858829e-05,0.0,0.0
1530,5.804841306858829e-05,0.0,0.0
1531,6.379326129847738e-05,0.0,0.0
1532,6.424417789016193e-05,0.0,0.0
1533,6.424417789016193e-05,0.0,0.0
1534,1.0409176768787023e-05,0.0,0.0
1535,1.0409176768787023e-05,0.0,0.0
1536,1.4434556143377059e-05,0.0,0.0
1537,1.4434556143377059e-05,0.0,0.0
1538,8.689707913487967e-06,0.0,0.0
1539,9.068902467593684e-06,0.0,0.0
1540,9.068902467593684e-06,0.0,0.0
1541,4.855490520380304e-06,0.0,0.0
1542,4.855490520380304e-06,0.0,0.0
1543,8.301111457902672e-07,0.0,0.0
1544,1.6647406612589423e-06,0.0,0.0
1545,2.2005808659741888e-06,0.0,0.0
1546,2.4892945020837942e-06,0.0,0.0
1547,2.4892945020837942e-06,0.0,0.0
1548,3.6782622438685005e-06,0.0,0.0
1549,3.6782622438685005e-06,0.0,0.0
1550,3.6782622438685005e-06,0.0,0.0
1551,2.8436327283998253e-06,0.0,0.0
1552,2.3077925236845786e-06,0.0,0.0
1553,1.188967741784706e-06,0.0,0.0
1554,1.188967741784706e-06,9.256602165156177e-06,9.256602165156177e-06
1555,0.0,9.256602165156177e-06,9.256602165156177e-06
1556,0.0,9.256602165156177e-06,9.256602165156177e-06
1557,0.0,9.256602165156177e-06,9.256602165156177e-06
1558,0.0,9.256602165156177e-06,9.256602165156177e-06
1559,5.157669615333102e-06,9.256602165156177e-06,9.256602165156177e-06
1560,5.606359861433573e-06,9.256602165156177e-06,9.256602165156177e-06
1561,5.606359861433573e-06,0.0,0.0
1562,5.606359861433573e-06,0.0,0.0
1563,5.606359861433573e-06,0.0,0.0
1564,1.8329653357795905e-05,0.0,0.0
1565,2.3388656830190613e-05,0.0,0.0
1566,1.8230987214857513e-05,0.0,0.0
1567,1.8464694286584355e-05,0.0,0.0
1568,1.8464694286584355e-05,0.0,0.0
1569,2.217822092071791e-05,0.0,0.0
1570,2.217822092071791e-05,0.0,0.0
1571,1.9262334132820668e-05,0.0,0.0
1572,1.472329144494974e-05,0.0,0.0
1573,2.4790566255563006e-05,0.0,0.0
1574,2.4652880483699846e-05,0.0,0.0
