ngram,project,projet,proect,prject
1500,8.136923497659154e-05,0.0,0.0,0.0
1501,6.509538798127323e-05,0.0,0.0,0.0
1502,5.442186750315159e-05,0.0,0.0,0.0
1503,5.5571981744963394e-05,0.0,0.0,0.0
1504,5.4941470125413616e-05,0.0,0.0,0.0
1505,4.548276888272085e-05,0.0,0.0,0.0
1506,4.548276888272085e-05,0.0,0.0,0.0
1507,4.548276888272085e-05,0.0,0.0,0.0
1508,4.548276888272085e-05,0.0,0.0,0.0
1509,4.533215958092894e-05,0.0,0.0,0.0
1510,3.640749283866691e-05,0.0,0.0,0.0
1511,2.7147090544791092e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.1426445780671202e-06,0.0,0.0,0.0
1515,1.1426445780671202e-06,0.0,0.0,0.0
1516,1.1426445780671202e-06,0.0,0.0,0.0
1517,2.2051981432014145e-06,0.0,0.0,0.0
1518,2.2051981432014145e-06,0.0,0.0,0.0
1519,2.2051981432014145e-06,0.0,0.0,0.0
1520,5.780134935256294e-06,0.0,0.0,0.0
1521,4.6374903571891735e-06,0.0,0.0,0.0
1522,4.6374903571891735e-06,0.0,0.0,0.0
1523,1.6342345198998892e-05,0.0,0.0,0.0
1524,1.5279791633864598e-05,0.0,0.0,0.0
1525,1.5279791633864598e-05,0.0,0.0,0.0
1526,1.655109060396041e-05,0.0,0.0,0.0
1527,1.2976153811905533e-05,0.0,0.0,0.0
1528,0.00031295784927871343,0.0,0.0,0.0
1529,0.00031295784927871343,0.0,0.0,0.0
1530,0.0003012529944369037,0.0,0.0,0.0
1531,0.00030699784266679283,0.0,0.0,0.0
1532,0.0003124088418969352,0.0,0.0,0.0
1533,0.0003111375429268394,0.0,0.0,0.0
1534,0.0003125420136192198,0.0,0.0,0.0
1535,1.2560318152411907e-05,0.0,0.0,0.0
1536,1.3454846923975441e-05,0.0,0.0,0.0
1537,1.3454846923975441e-05,0.0,0.0,0.0
1538,7.709998694086348e-06,0.0,0.0,0.0
1539,6.4495551928952665e-06,0.0,0.0,0.0
1540,6.4495551928952665e-06,0.0,0.0,0.0
1541,5.045084500514869e-06,0.0,0.0,0.0
1542,6.549730837182974e-06,0.0,0.0,0.0
1543,5.65520206561944e-06,0.0,0.0,0.0
1544,1.455791724375948e-05,0.0,0.0,0.0
1545,1.4825837346117104e-05,0.0,0.0,0.0
1546,1.1234694008115703e-05,0.0,0.0,0.0
1547,2.4343258814951696e-05,0.0,0.0,0.0
1548,3.1477065005804305e-05,0.0,0.0,0.0
1549,2.9972418669136198e-05,0.0,0.0,0.0
1550,3.699691295163835e-05,0.0,0.0,0.0
1551,2.809419777349831e-05,0.0,0.0,0.0
1552,3.2152943536597635e-05,0.0,0.0,0.0
1553,3.15935311456477e-05,0.0,0.0,0.0
1554,1.848496633881171e-05,0.0,0.0,0.0
1555,5.2819125163036264e-05,0.0,0.0,0.0
1556,5.2819125163036264e-05,0.0,0.0,0.0
1557,4.5794630880534116e-05,0.0,0.0,0.0
1558,5.193306891929491e-05,0.0,0.0,0.0
1559,4.760640305383796e-05,0.0,0.0,0.0
1560,4.940116403823984e-05,0.0,0.0,0.0
1561,4.940116403823984e-05,0.0,0.0,0.0
1562,7.93319902316268e-06,0.0,0.0,0.0
1563,7.93319902316268e-06,0.0,0.0,0.0
1564,7.93319902316268e-06,0.0,0.0,0.0
1565,1.7947609844018838e-06,0.0,0.0,0.0
1566,5.700120579734046e-05,0.0,0.0,0.0
1567,5.520644481293857e-05,0.0,0.0,0.0
1568,0.000181672940795709,0.0,0.0,0.0
1569,0.00018612917275666923,0.0,0.0,0.0
1570,0.00018612917275666923,0.0,0.0,0.0
1571,0.00018612917275666923,0.0,0.0,0.0
1572,0.00018612917275666923,0.0,0.0,0.0
1573,0.00013092272794373066,0.0,0.0,0.0
1574,0.00013092272794373066,0.0,0.0,0.0
1575,4.456231960960265e-06,0.0,0.0,0.0
1576,2.2534022718900815e-06,0.0,0.0,0.0
1577,4.804878179649157e-06,0.0,0.0,0.0
1578,5.527617499215662e-06,0.0,0.0,0.0
1579,1.005490126512346e-05,0.0,0.0,0.0
1580,1.005490126512346e-05,0.0,0.0,0.0
1581,1.005490126512346e-05,0.0,0.0,0.0
1582,1.005490126512346e-05,0.0,0.0,0.0
1583,0.00014934485183662867,0.0,0.0,0.0
1584,0.0001467933759288696,0.0,0.0,0.0
1585,0.00014644807278533075,0.0,0.0,0.0
1586,0.00014192078901942295,0.0,0.0,0.0
1587,0.00014192078901942295,0.0,0.0,0.0
1588,0.00014325980064963266,0.0,0.0,0.0
1589,0.00015595720109169115,0.0,0.0,0.0
1590,1.4413848248295835e-05,0.0,0.0,0.0
