ngram,music,msic,muic,musci
1500,8.81652221096374e-06,0.0,0.0,0.0
1501,7.053217768770992e-06,0.0,0.0,0.0
1502,7.459079180686483e-06,0.0,0.0,0.0
1503,6.393496440588413e-06,0.0,0.0,0.0
1504,7.621641186363247e-06,0.0,0.0,0.0
1505,7.84474929917321e-06,0.0,0.0,0.0
1506,7.84474929917321e-06,0.0,0.0,0.0
1507,7.84474929917321e-06,0.0,0.0,0.0
1508,7.84474929917321e-06,0.0,0.0,0.0
1509,6.489265550564076e-06,0.0,0.0,0.0
1510,6.489265550564076e-06,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.7139669320645875e-06,0.0,0.0,0.0
1515,1.7139669320645875e-06,0.0,0.0,0.0
1516,1.7139669320645875e-06,0.0,0.0,0.0
1517,4.901627627467471e-06,0.0,0.0,0.0
1518,4.901627627467471e-06,0.0,0.0,0.0
1519,4.901627627467471e-06,0.0,0.0,0.0
1520,1.2945235149735318e-05,0.0,0.0,0.0
1521,1.1231268217670731e-05,0.0,0.0,0.0
1522,1.1231268217670731e-05,0.0,0.0,0.0
1523,1.1231268217670731e-05,0.0,0.0,0.0
1524,8.043607522267848e-06,0.0,0.0,0.0
1525,8.043607522267848e-06,0.0,0.0,0.0
1526,8.043607522267848e-06,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,1.4044706923803979e-06,0.0,0.0,0.0
1535,2.533999447353251e-06,0.0,0.0,0.0
1536,2.533999447353251e-06,0.0,0.0,0.0
1537,2.533999447353251e-06,0.0,0.0,0.0
1538,1.2063314898114186e-05,0.0,0.0,0.0
1539,1.2063314898114186e-05,0.0,0.0,0.0
1540,1.2063314898114186e-05,0.0,0.0,0.0
1541,1.0658844205733789e-05,0.0,0.0,0.0
1542,2.3071132350846062e-05,0.0,0.0,0.0
1543,2.3071132350846062e-05,0.0,0.0,0.0
1544,2.3766656990379227e-05,0.0,0.0,0.0
1545,1.4505261641975917e-05,0.0,0.0,0.0
1546,1.5344380228400822e-05,0.0,0.0,0.0
1547,1.5344380228400822e-05,0.0,0.0,0.0
1548,1.7425073744042102e-05,0.0,0.0,0.0
1549,6.308572324087436e-06,0.0,0.0,0.0
1550,6.848918035627451e-06,0.0,0.0,0.0
1551,6.153393396094284e-06,0.0,0.0,0.0
1552,8.048806226465136e-06,0.0,0.0,0.0
1553,7.209687640040231e-06,0.0,0.0,0.0
1554,7.209687640040231e-06,0.0,0.0,0.0
1555,5.128994124398949e-06,0.0,0.0,0.0
1556,2.703678644268491e-06,0.0,0.0,0.0
1557,2.1633329327284756e-06,0.0,0.0,0.0
1558,3.5274302458024716e-06,0.0,0.0,0.0
1559,1.3640973130739958e-06,0.0,0.0,0.0
1560,1.8127875591744669e-06,0.0,0.0,0.0
1561,1.8127875591744669e-06,0.0,0.0,0.0
1562,1.8127875591744669e-06,0.0,0.0,0.0
1563,1.8127875591744669e-06,0.0,0.0,0.0
1564,8.174434307355633e-06,0.0,0.0,0.0
1565,6.810336994281638e-06,0.0,0.0,0.0
1566,8.714007500592353e-06,0.0,0.0,0.0
1567,8.265317254491883e-06,0.0,0.0,0.0
1568,8.265317254491883e-06,0.0,0.0,0.0
1569,1.4206959869105568e-05,0.0,0.0,0.0
1570,1.4206959869105568e-05,0.0,0.0,0.0
1571,1.2749016475156947e-05,0.0,0.0,0.0
1572,1.4308898893692198e-05,0.0,0.0,0.0
1573,1.2405228387381482e-05,0.0,0.0,0.0
1574,1.2405228387381482e-05,0.0,0.0,0.0
1575,1.2405228387381482e-05,0.0,0.0,0.0
1576,1.097039031654796e-05,0.0,0.0,0.0
1577,1.097039031654796e-05,0.0,0.0,0.0
1578,9.921296753288647e-06,0.0,0.0,0.0
1579,9.008169139893393e-06,0.0,0.0,0.0
1580,9.008169139893393e-06,0.0,0.0,0.0
1581,9.008169139893393e-06,0.0,0.0,0.0
1582,9.008169139893393e-06,0.0,0.0,0.0
1583,5.943232411352385e-06,0.0,0.0,0.0
1584,7.74145558222829e-06,0.0,0.0,0.0
1585,4.264281967282711e-06,0.0,0.0,0.0
1586,1.4400934982664434e-05,0.0,0.0,0.0
1587,1.5093094102017598e-05,0.0,0.0,0.0
1588,1.777111736243699e-05,0.0,0.0,0.0
1589,1.8331296782240054e-05,0.0,0.0,0.0
1590,2.3128844304665108e-05,0.0,0.0,0.0
1591,2.3995955643840716e-05,0.0,0.0,0.0
1592,3.0185209457808275e-05,0.0,0.0,0.0
1593,2.252767568019668e-05,0.0,0.0,0.0
1594,2.3176569227091803e-05,0.0,0.0,0.0
1595,2.906369049274612e-05,0.0,0.0,0.0
1596,2.9345183975237887e-05,0.0,0.0,0.0
1597,2.7100817663137734e-05,0.0,0.0,0.0
1598,2.5806734551484362e-05,0.0,0.0,0.0
1599,1.9711689154584227e-05,0.0,0.0,0.0
1600,1.743786378938239e-05,0.0,0.0,0.0
1601,2.0393936080966212e-05,0.0,0.0,0.0
1602,1.7048827560626834e-05,0.0,0.0,0.0
1603,1.6207154658332e-05,0.0,0.0,0.0
1604,1.6979674780616604e-05,0.0,0.0,0.0
1605,1.59457340487279e-05,0.0,0.0,0.0
1606,2.0439055853265537e-05,0.0,0.0,0.0
1607,2.1826498336200268e-05,0.0,0.0,0.0
1608,1.9326471764153602e-05,0.0,0.0,0.0
1609,1.9200633037793784e-05,0.0,0.0,0.0
1610,1.9455529565805462e-05,0.0,0.0,0.0
1611,1.7555504184331638e-05,0.0,0.0,0.0
1612,1.72181935178222e-05,0.0,0.0,0.0
1613,1.4011142395377516e-05,0.0,0.0,0.0
1614,1.2760480509704003e-05,0.0,0.0,0.0
1615,1.0963382123918564e-05,0.0,0.0,0.0
1616,5.869184844544049e-06,0.0,0.0,0.0
1617,7.096784299522239e-06,0.0,0.0,0.0
1618,4.229240533147406e-06,0.0,0.0,0.0
1619,1.12063797652289e-05,0.0,0.0,0.0
1620,1.5795016224728897e-05,1.0073891384568664e-07,0.0,0.0
1621,1.480618694975939e-05,1.0073891384568664e-07,0.0,0.0
1622,1.480618694975939e-05,1.0073891384568664e-07,0.0,0.0
1623,1.7500328794994857e-05,1.0073891384568664e-07,0.0,0.0
1624,1.676449379114534e-05,1.0073891384568664e-07,0.0,0.0
1625,1.7179817242712098e-05,1.0073891384568664e-07,0.0,0.0
1626,1.0432299827048805e-05,1.0073891384568664e-07,0.0,0.0
1627,4.245519432645649e-06,0.0,0.0,0.0
1628,4.245519432645649e-06,0.0,0.0,0.0
1629,4.410578120379276e-06,0.0,0.0,0.0
1630,2.751424225217696e-06,0.0,0.0,0.0
1631,2.1181232178995354e-06,0.0,0.0,0.0
1632,4.451583793395132e-06,0.0,0.0,0.0
1633,4.221961976976932e-06,0.0,0.0,0.0
1634,4.062190636692062e-06,0.0,0.0,0.0
1635,4.062190636692062e-06,0.0,0.0,0.0
1636,4.157665184071188e-06,0.0,0.0,0.0
1637,3.8542785400100655e-06,0.0,0.0,0.0
1638,3.808253605289532e-06,0.0,0.0,0.0
1639,1.1373398081104824e-06,0.0,0.0,0.0
1640,1.4457639809149571e-06,0.0,0.0,0.0
1641,1.804096513069453e-06,0.0,0.0,0.0
1642,1.1087781871310654e-05,0.0,0.0,0.0
1643,1.08272486361979e-05,0.0,0.0,0.0
1644,1.0095647330185134e-05,0.0,0.0,0.0
1645,1.0175662777913073e-05,0.0,0.0,0.0
1646,1.0400007762915006e-05,0.0,0.0,0.0
1647,1.0091583590110531e-05,0.0,0.0,0.0
1648,9.824949529502192e-06,0.0,0.0,0.0
1649,6.194919462489321e-07,0.0,0.0,0.0
1650,1.6735752572978008e-06,0.0,0.0,0.0
1651,1.6735752572978008e-06,0.0,0.0,0.0
1652,2.4726385277062946e-06,0.0,0.0,0.0
1653,2.3211748693289077e-06,0.0,0.0,0.0
1654,2.653040358576878e-06,0.0,0.0,0.0
1655,4.362536247169503e-06,0.0,0.0,0.0
1656,4.420230465841866e-06,0.0,0.0,0.0
1657,5.45147961312458e-06,0.0,0.0,0.0
1658,6.202098518315324e-06,0.0,0.0,0.0
1659,5.64169097775188e-06,0.0,0.0,0.0
1660,6.052163005928638e-06,0.0,0.0,0.0
1661,6.392151582141585e-06,0.0,0.0,0.0
1662,5.3217546646270165e-06,0.0,0.0,0.0
1663,6.828207168447469e-06,0.0,0.0,0.0
1664,5.764752229099811e-06,0.0,0.0,0.0
1665,5.2345914127727156e-06,0.0,0.0,0.0
1666,5.28801756770138e-06,0.0,0.0,0.0
1667,4.889055568518026e-06,0.0,0.0,0.0
1668,6.142342970503835e-06,0.0,0.0,0.0
1669,5.531361897023349e-06,0.0,0.0,0.0
1670,4.198180745009138e-06,0.0,0.0,0.0
1671,3.1763032260252137e-06,0.0,0.0,0.0
1672,4.0136710189082284e-06,0.0,0.0,0.0
1673,3.6732101307279663e-06,0.0,0.0,0.0
1674,4.259150598175308e-06,0.0,0.0,0.0
1675,2.7458311251393752e-06,0.0,0.0,0.0
1676,3.14137288017134e-06,0.0,0.0,0.0
1677,3.5710758977204804e-06,0.0,0.0,0.0
1678,3.6905873262834836e-06,0.0,0.0,0.0
1679,2.9557662141347204e-06,0.0,0.0,0.0
1680,2.9473043809957744e-06,0.0,0.0,0.0
1681,2.4452366541741607e-06,0.0,0.0,0.0
1682,2.3963132451042057e-06,0.0,0.0,0.0
