ngram,world,wold,wrld,wordl
1500,4.948732112097787e-06,0.0,0.0,0.0
1501,3.958985689678229e-06,0.0,0.0,0.0
1502,8.570480531489011e-06,0.0,0.0,0.0
1503,3.412012639663382e-05,0.0,0.0,0.0
1504,3.305083841301634e-05,0.0,0.0,0.0
1505,3.129227947543508e-05,0.0,0.0,0.0
1506,3.129227947543508e-05,0.0,0.0,0.0
1507,3.129227947543508e-05,0.0,0.0,0.0
1508,3.129227947543508e-05,0.0,0.0,0.0
1509,2.6774000226786094e-05,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,6.570206356367894e-06,0.0,0.0,0.0
1515,6.570206356367894e-06,0.0,0.0,0.0
1516,6.570206356367894e-06,0.0,0.0,0.0
1517,2.994638426961111e-05,0.0,0.0,0.0
1518,2.994638426961111e-05,0.0,0.0,0.0
1519,2.994638426961111e-05,0.0,0.0,0.0
1520,8.505999202108277e-05,0.0,0.0,0.0
1521,7.848978566471487e-05,0.0,0.0,0.0
1522,0.00013561740758762295,0.0,0.0,0.0
1523,0.00014547412761852944,0.0,0.0,0.0
1524,0.00013242134030276378,2.064678093509948e-06,0.0,0.0
1525,0.00013242134030276378,2.064678093509948e-06,0.0,0.0
1526,0.00013305698978781168,2.064678093509948e-06,0.0,0.0
1527,7.794338203634002e-05,2.064678093509948e-06,0.0,0.0
1528,7.794338203634002e-05,2.064678093509948e-06,0.0,0.0
1529,2.081576011343194e-05,2.064678093509948e-06,0.0,0.0
1530,8.166704563856391e-05,4.507263903568466e-05,0.0,0.0
1531,0.0001058127433809984,4.3007960942174706e-05,0.0,0.0
1532,0.00011347832540715379,4.3007960942174706e-05,0.0,0.0
1533,0.00013678788984959413,9.888012677298061e-05,0.0,0.0
1534,0.00013819236054197454,0.000100284597465361,0.0,0.0
1535,0.0001668070865759676,0.00010404969296879634,0.0,0.0
1536,0.0001699379373738858,0.00010539148609365969,0.0,0.0
1537,9.922993181784736e-05,6.238352515148498e-05,0.0,0.0
1538,8.064303658881857e-05,0.00014179449070590117,0.0,0.0
1539,7.297745456266316e-05,0.00014179449070590117,0.0,0.0
1540,4.903224063517493e-05,8.592232487509526e-05,0.0,0.0
1541,8.174698242718088e-05,8.451785418271487e-05,0.0,0.0
1542,7.720659777987748e-05,8.075275867927953e-05,0.0,0.0
1543,7.407574698195926e-05,7.941096555441618e-05,0.0,0.0
1544,8.97946031597842e-05,7.941096555441618e-05,0.0,0.0
1545,9.534601745794394e-05,2.2505289442571147e-05,0.0,0.0
1546,0.00011352692048863641,2.4463232745932017e-05,0.0,0.0
1547,0.0001561297561108534,4.7403221157895e-05,0.0,0.0
1548,0.0001344947044604591,4.978115664146442e-05,0.0,0.0
1549,0.00018560514477680305,5.0993814381529645e-05,0.0,0.0
1550,0.000198033095719958,5.0993814381529645e-05,0.0,0.0
1551,0.0002082874083758465,6.043860295384158e-05,0.0,0.0
1552,0.0002697815652936697,3.793331351127043e-05,0.0,0.0
