ngram,contest,contst,contet,conest
1500,4.0493134179087065e-07,0.0,0.0,0.0
1501,3.239450734326965e-07,0.0,0.0,0.0
1502,1.4999301545988903e-06,0.0,0.0,0.0
1503,1.2856544182276203e-06,0.0,0.0,0.0
1504,1.2856544182276203e-06,0.0,0.0,0.0
1505,1.6855927762143047e-06,0.0,0.0,0.0
1506,1.6855927762143047e-06,0.0,0.0,0.0
1507,1.6855927762143047e-06,0.0,0.0,0.0
1508,1.6855927762143047e-06,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,2.6563840427635502e-06,0.0,0.0,0.0
1518,2.6563840427635502e-06,0.0,0.0,0.0
1519,2.6563840427635502e-06,0.0,0.0,0.0
1520,4.7417637948196245e-06,0.0,0.0,0.0
1521,4.7417637948196245e-06,0.0,0.0,0.0
1522,4.7417637948196245e-06,0.0,0.0,0.0
1523,5.973853798682935e-06,0.0,0.0,0.0
1524,3.317469755919384e-06,0.0,0.0,0.0
1525,3.317469755919384e-06,0.0,0.0,0.0
1526,3.317469755919384e-06,0.0,0.0,0.0
1527,1.2320900038633096e-06,0.0,0.0,0.0
1528,2.2773224372940604e-06,0.0,0.0,0.0
1529,2.2773224372940604e-06,0.0,0.0,0.0
1530,1.0452324334307508e-06,0.0,0.0,0.0
1531,1.0452324334307508e-06,0.0,0.0,0.0
1532,1.0452324334307508e-06,0.0,0.0,0.0
1533,1.0452324334307508e-06,0.0,0.0,0.0
1534,1.0452324334307508e-06,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,1.8785104787509355e-05,0.0,0.0,0.0
1537,1.8785104787509355e-05,0.0,0.0,0.0
1538,1.8785104787509355e-05,0.0,0.0,0.0
1539,1.8785104787509355e-05,0.0,0.0,0.0
1540,1.8785104787509355e-05,0.0,0.0,0.0
1541,1.8785104787509355e-05,0.0,0.0,0.0
1542,1.8785104787509355e-05,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,4.45135758907002e-06,0.0,0.0,0.0
1545,4.45135758907002e-06,0.0,0.0,0.0
1546,4.45135758907002e-06,0.0,0.0,0.0
1547,4.45135758907002e-06,0.0,0.0,0.0
1548,4.748599524516196e-06,0.0,0.0,0.0
1549,4.748599524516196e-06,0.0,0.0,0.0
1550,5.829290947596226e-06,0.0,0.0,0.0
1551,1.3779333585262066e-06,0.0,0.0,0.0
1552,4.262377355449384e-06,0.0,0.0,0.0
1553,4.262377355449384e-06,0.0,0.0,0.0
1554,4.262377355449384e-06,0.0,0.0,0.0
1555,3.965135420003207e-06,0.0,0.0,0.0
1556,3.965135420003207e-06,0.0,0.0,0.0
1557,2.884443996923177e-06,0.0,0.0,0.0
1558,2.884443996923177e-06,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,2.24345110057454e-06,0.0,0.0,0.0
1561,2.24345110057454e-06,0.0,0.0,0.0
1562,2.24345110057454e-06,0.0,0.0,0.0
1563,2.24345110057454e-06,0.0,0.0,0.0
1564,2.24345110057454e-06,0.0,0.0,0.0
1565,2.24345110057454e-06,0.0,0.0,0.0
1566,2.24345110057454e-06,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,7.427053268267108e-07,0.0,0.0,0.0
1570,7.427053268267108e-07,0.0,0.0,0.0
1571,7.427053268267108e-07,0.0,0.0,0.0
1572,7.427053268267108e-07,0.0,0.0,0.0
