ngram,wine,wne,wne,wie
1500,1.5835171325306874e-06,0.0,0.0,0.0
1501,1.2668137060245498e-06,0.0,0.0,0.0
1502,2.988497423454343e-06,0.0,0.0,3.5142170418112073e-07
1503,2.5615692201037225e-06,0.0,0.0,3.012186035838178e-07
1504,2.026925228294983e-06,0.0,0.0,3.012186035838178e-07
1505,3.866349288728088e-06,0.0,0.0,3.012186035838178e-07
1506,1.1468772884524827e-05,0.0,0.0,3.012186035838178e-07
1507,1.1468772884524827e-05,0.0,0.0,3.012186035838178e-07
1508,1.1468772884524827e-05,0.0,0.0,3.012186035838178e-07
1509,9.812070597295783e-06,0.0,0.0,0.0
1510,9.812070597295783e-06,0.0,0.0,0.0
1511,9.812070597295783e-06,0.0,0.0,0.0
1512,7.602423595796738e-06,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.2854751340845333e-05,0.0,0.0,0.0
1515,1.2854751340845333e-05,0.0,0.0,0.0
1516,1.2854751340845333e-05,0.0,0.0,0.0
1517,1.657368868888755e-05,0.0,0.0,1.4344473519096418e-05
1518,1.657368868888755e-05,0.0,0.0,1.4344473519096418e-05
1519,1.657368868888755e-05,0.0,0.0,1.4344473519096418e-05
1520,3.2362992767178055e-05,0.0,0.0,1.4344473519096418e-05
1521,1.9508241426332722e-05,0.0,0.0,1.4344473519096418e-05
1522,9.885216007075672e-05,0.0,0.0,1.4344473519096418e-05
1523,9.885216007075672e-05,0.0,0.0,1.4344473519096418e-05
1524,9.92625789097344e-05,0.0,0.0,2.064678093509948e-06
1525,9.92625789097344e-05,0.0,0.0,2.064678093509948e-06
1526,9.92625789097344e-05,0.0,0.0,2.064678093509948e-06
1527,8.347327483144389e-05,0.0,0.0,2.064678093509948e-06
1528,8.347327483144389e-05,0.0,0.0,2.064678093509948e-06
1529,4.129356187019896e-06,0.0,0.0,2.064678093509948e-06
1530,7.045150206457558e-06,0.0,0.0,4.980472112947609e-06
1531,2.915794019437661e-06,0.0,0.0,2.915794019437661e-06
1532,2.915794019437661e-06,0.0,0.0,2.915794019437661e-06
1533,2.915794019437661e-06,0.0,0.0,1.0897531995267076e-05
1534,4.320264711818059e-06,0.0,0.0,1.0897531995267076e-05
1535,1.7498099753408625e-05,0.0,0.0,1.0897531995267076e-05
1536,1.839262852497216e-05,0.0,0.0,1.1344796381048841e-05
1537,1.5476834505534498e-05,0.0,0.0,8.42900236161118e-06
1538,4.724122072730097e-05,0.0,0.0,1.7958317812372115e-05
1539,4.724122072730097e-05,0.0,0.0,1.7958317812372115e-05
1540,4.724122072730097e-05,0.0,0.0,9.976579836542701e-06
1541,4.583675003492057e-05,0.0,0.0,4.409579232092905e-05
1542,3.5668207666666217e-05,0.0,0.0,4.710508499426526e-05
1543,5.759066412533035e-05,0.0,0.0,4.665782060848349e-05
1544,6.287665148972468e-05,0.0,0.0,4.665782060848349e-05
