ngram,president,president,presdent,presient
1500,2.416915094727301e-05,2.416915094727301e-05,0.0,0.0
1501,1.933532075781841e-05,1.933532075781841e-05,0.0,0.0
1502,1.6288478150272567e-05,1.6288478150272567e-05,0.0,0.0
1503,1.3961552700233629e-05,1.3961552700233629e-05,0.0,0.0
1504,3.3697905532140536e-05,3.3697905532140536e-05,0.0,0.0
1505,3.0281139743237873e-05,3.0281139743237873e-05,0.0,0.0
1506,3.0281139743237873e-05,3.0281139743237873e-05,0.0,0.0
1507,3.0281139743237873e-05,3.0281139743237873e-05,0.0,0.0
1508,3.0281139743237873e-05,3.0281139743237873e-05,0.0,0.0
1509,3.0130530441445963e-05,3.0130530441445963e-05,0.0,0.0
1510,3.0130530441445963e-05,3.0130530441445963e-05,0.0,0.0
1511,8.522923703172377e-06,8.522923703172377e-06,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.999256088198828e-06,3.999256088198828e-06,0.0,0.0
1515,3.999256088198828e-06,3.999256088198828e-06,0.0,0.0
1516,3.999256088198828e-06,3.999256088198828e-06,0.0,0.0
1517,3.999256088198828e-06,3.999256088198828e-06,0.0,0.0
1518,3.999256088198828e-06,3.999256088198828e-06,0.0,0.0
1519,3.999256088198828e-06,3.999256088198828e-06,0.0,0.0
1520,8.170015592310977e-06,8.170015592310977e-06,0.0,0.0
1521,4.170759504112149e-06,4.170759504112149e-06,0.0,0.0
1522,4.170759504112149e-06,4.170759504112149e-06,0.0,0.0
1523,1.0331209393500882e-05,1.0331209393500882e-05,0.0,0.0
1524,1.0331209393500882e-05,1.0331209393500882e-05,0.0,0.0
1525,1.0331209393500882e-05,1.0331209393500882e-05,0.0,0.0
1526,1.0331209393500882e-05,1.0331209393500882e-05,0.0,0.0
1527,6.1604498893887334e-06,6.1604498893887334e-06,0.0,0.0
1528,6.1604498893887334e-06,6.1604498893887334e-06,0.0,0.0
1529,6.1604498893887334e-06,6.1604498893887334e-06,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,1.1295287549728528e-06,1.1295287549728528e-06,0.0,0.0
1536,2.024057526536386e-06,2.024057526536386e-06,0.0,0.0
1537,2.024057526536386e-06,2.024057526536386e-06,0.0,0.0
1538,2.024057526536386e-06,2.024057526536386e-06,0.0,0.0
1539,2.024057526536386e-06,2.024057526536386e-06,0.0,0.0
1540,2.024057526536386e-06,2.024057526536386e-06,0.0,0.0
1541,2.024057526536386e-06,2.024057526536386e-06,0.0,0.0
1542,2.3991751082316374e-06,2.3991751082316374e-06,0.0,0.0
1543,1.5046463366681046e-06,1.5046463366681046e-06,0.0,0.0
1544,2.200170976201272e-06,2.200170976201272e-06,0.0,0.0
1545,3.8076915578650576e-06,3.8076915578650576e-06,0.0,0.0
1546,6.6047536425425534e-06,6.6047536425425534e-06,0.0,0.0
1547,6.6047536425425534e-06,6.6047536425425534e-06,0.0,0.0
1548,1.5819253998675515e-05,1.5819253998675515e-05,0.0,0.0
1549,1.4314607662007412e-05,1.4314607662007412e-05,0.0,0.0
1550,1.4854953373547427e-05,1.4854953373547427e-05,0.0,0.0
1551,1.415942873401426e-05,1.415942873401426e-05,0.0,0.0
1552,1.2551908152350474e-05,1.2551908152350474e-05,0.0,0.0
1553,9.754846067672978e-06,9.754846067672978e-06,0.0,0.0
1554,9.754846067672978e-06,9.754846067672978e-06,0.0,0.0
1555,5.40345711540015e-07,5.40345711540015e-07,0.0,0.0
1556,5.40345711540015e-07,5.40345711540015e-07,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,4.774340465831171e-06,4.774340465831171e-06,0.0,0.0
1559,6.493563757560748e-06,6.493563757560748e-06,0.0,0.0
1560,8.288324741962632e-06,8.288324741962632e-06,0.0,0.0
1561,8.288324741962632e-06,8.288324741962632e-06,0.0,0.0
1562,1.0066039327024815e-05,1.0066039327024815e-05,0.0,0.0
1563,1.4157634593305244e-05,1.4157634593305244e-05,0.0,0.0
1564,1.4157634593305244e-05,1.4157634593305244e-05,0.0,0.0
1565,9.383294127474073e-06,9.383294127474073e-06,0.0,0.0
1566,7.664070835744496e-06,7.664070835744496e-06,0.0,0.0
1567,5.869309851342612e-06,5.869309851342612e-06,0.0,0.0
1568,5.869309851342612e-06,5.869309851342612e-06,0.0,0.0
1569,4.09159526628043e-06,4.09159526628043e-06,0.0,0.0
1570,4.533036969535585e-06,4.533036969535585e-06,0.0,0.0
1571,4.533036969535585e-06,4.533036969535585e-06,0.0,0.0
1572,9.732644684845582e-06,9.732644684845582e-06,0.0,0.0
1573,9.732644684845582e-06,9.732644684845582e-06,0.0,0.0
1574,9.732644684845582e-06,9.732644684845582e-06,0.0,0.0
1575,9.732644684845582e-06,9.732644684845582e-06,0.0,0.0
1576,9.732644684845582e-06,9.732644684845582e-06,0.0,0.0
1577,5.1996077153099966e-06,5.1996077153099966e-06,0.0,0.0
1578,5.4405208272458235e-06,5.4405208272458235e-06,0.0,0.0
1579,1.5344227222158224e-06,1.5344227222158224e-06,0.0,0.0
1580,1.5344227222158224e-06,1.5344227222158224e-06,0.0,0.0
1581,5.687574408901648e-06,5.687574408901648e-06,0.0,0.0
1582,6.1065557831950305e-06,6.1065557831950305e-06,0.0,0.0
1583,6.346867085734889e-06,6.346867085734889e-06,0.0,0.0
1584,1.0842425077888557e-05,1.0842425077888557e-05,0.0,0.0
1585,1.1545102389780887e-05,1.1545102389780887e-05,0.0,0.0
1586,1.2408274317619674e-05,1.2408274317619674e-05,0.0,0.0
1587,1.2408274317619674e-05,1.2408274317619674e-05,0.0,0.0
1588,8.255122630933848e-06,8.255122630933848e-06,0.0,0.0
1589,1.1383944183762651e-05,1.1383944183762651e-05,0.0,0.0
1590,1.1663584181016112e-05,1.1663584181016112e-05,0.0,0.0
1591,8.5006934438882e-06,8.5006934438882e-06,0.0,0.0
1592,8.751046607358148e-06,8.751046607358148e-06,0.0,0.0
1593,7.934025429027055e-06,7.934025429027055e-06,0.0,0.0
1594,8.6045517621512e-06,8.6045517621512e-06,0.0,0.0
1595,9.95694309884649e-06,9.95694309884649e-06,0.0,0.0
1596,6.829976622871722e-06,6.829976622871722e-06,0.0,0.0
1597,6.431087415746463e-06,6.431087415746463e-06,0.0,0.0
1598,6.912010673789025e-06,6.912010673789025e-06,0.0,0.0
1599,6.897178634192512e-06,6.897178634192512e-06,0.0,0.0
1600,1.1308846783971863e-05,1.1308846783971863e-05,0.0,0.0
1601,1.6498036302436958e-05,1.6498036302436958e-05,0.0,0.0
1602,2.2349294632866596e-05,2.2349294632866596e-05,0.0,0.0
1603,2.2340568291058715e-05,2.2340568291058715e-05,0.0,0.0
