ngram,pleasure,pleasur,pleasre,plesure
1500,3.635330074303056e-06,0.0,0.0,0.0
1501,2.9082640594424446e-06,0.0,0.0,0.0
1502,4.883505236345324e-06,0.0,0.0,0.0
1503,4.1858616311531345e-06,0.0,0.0,0.0
1504,1.948620514927565e-05,0.0,0.0,0.0
1505,2.7643777814643856e-05,0.0,0.0,0.0
1506,4.284862500623733e-05,0.0,0.0,0.0
1507,4.284862500623733e-05,0.0,0.0,0.0
1508,4.284862500623733e-05,0.0,0.0,0.0
1509,4.0740094846114516e-05,0.0,0.0,0.0
1510,4.0740094846114516e-05,0.0,0.0,0.0
1511,2.5306090330039816e-05,0.0,0.0,0.0
1512,1.5204847191593476e-05,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.6566485757939517e-05,0.0,0.0,0.0
1515,2.6566485757939517e-05,0.0,0.0,0.0
1516,2.6566485757939517e-05,0.0,0.0,0.0
1517,2.816031610564096e-05,0.0,0.0,0.0
1518,2.816031610564096e-05,0.0,0.0,0.0
1519,2.816031610564096e-05,0.0,0.0,0.0
1520,3.441645523188137e-05,0.0,0.0,0.0
1521,7.84996947394185e-06,0.0,0.0,0.0
1522,2.689251011491121e-05,0.0,0.0,0.0
1523,2.8740645185670083e-05,0.0,0.0,0.0
1524,2.714681483796864e-05,0.0,0.0,0.0
1525,0.00013257643851310213,0.0,0.0,0.0
1526,0.00013257643851310213,0.0,0.0,0.0
1527,0.00012632029938686173,0.0,0.0,0.0
1528,0.00012632029938686173,0.0,0.0,0.0
1529,0.00010727775874589238,0.0,0.0,0.0
1530,0.0001338586152996868,0.0,0.0,1.4578970097188306e-06
1531,0.00013960346352957589,0.0,0.0,1.4578970097188306e-06
1532,3.417383985444238e-05,0.0,0.0,1.4578970097188306e-06
1533,4.2155577830271795e-05,0.0,0.0,1.4578970097188306e-06
1534,4.7773460599793384e-05,0.0,0.0,1.4578970097188306e-06
1535,0.00010801498865475878,0.0,0.0,1.4578970097188306e-06
1536,0.000111145839452677,0.0,0.0,1.4578970097188306e-06
1537,8.271684782812372e-05,0.0,0.0,0.0
1538,8.332487673864566e-05,0.0,0.0,0.0
1539,8.332487673864566e-05,0.0,0.0,0.0
1540,7.534313876281626e-05,0.0,0.0,0.0
1541,6.972525599329466e-05,0.0,0.0,0.0
1542,1.3997667078261397e-05,0.0,0.0,0.0
1543,1.086681628034317e-05,0.0,0.0,0.0
1544,2.8394036884752234e-05,0.0,0.0,0.0
1545,4.079556622725379e-05,5.358402047152464e-07,0.0,0.0
1546,6.233294334379025e-05,5.358402047152464e-07,0.0,0.0
