ngram,room,rom,rooom,rmo
1500,7.054375146253733e-06,2.5729741537361406e-06,0.0,0.0
1501,5.643500117002986e-06,2.0583793229889125e-06,0.0,0.0
1502,1.0149953292663364e-05,1.8910269545813208e-06,0.0,0.0
1503,8.699959965140027e-06,1.6208802467839893e-06,0.0,0.0
1504,0.00022988032703454207,1.506093017919089e-07,0.0,0.0
1505,0.00022975951807373867,1.506093017919089e-07,0.0,0.0
1506,0.00022975951807373867,1.506093017919089e-07,0.0,0.0
1507,0.00022975951807373867,1.506093017919089e-07,0.0,0.0
1508,0.00022975951807373867,1.506093017919089e-07,0.0,0.0
1509,0.00022509062962074365,0.0,0.0,0.0
1510,0.00022509062962074365,0.0,0.0,0.0
1511,2.8409745677241257e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.856239684158936e-06,2.8566114451678004e-07,0.0,0.0
1515,4.856239684158936e-06,2.8566114451678004e-07,0.0,0.0
1516,4.856239684158936e-06,2.8566114451678004e-07,0.0,0.0
1517,7.657860520079598e-05,5.5984292300438805e-06,0.0,0.0
1518,7.657860520079598e-05,5.5984292300438805e-06,0.0,0.0
1519,7.657860520079598e-05,5.5984292300438805e-06,0.0,0.0
1520,8.104727593100896e-05,6.194252007065058e-06,0.0,0.0
1521,7.619103624685002e-05,5.908590862548278e-06,0.0,0.0
1522,0.0001111023614482422,5.908590862548278e-06,0.0,0.0
1523,0.00011295049651900107,5.908590862548278e-06,0.0,0.0
1524,4.122813100236401e-05,5.958227770211774e-07,0.0,0.0
1525,4.122813100236401e-05,5.958227770211774e-07,0.0,0.0
1526,6.665411040428028e-05,5.958227770211774e-07,0.0,0.0
1527,6.218543967406731e-05,0.0,0.0,0.0
1528,6.218543967406731e-05,0.0,0.0,0.0
1529,2.7274114472675137e-05,0.0,0.0,0.0
1530,2.5425979401916265e-05,0.0,0.0,0.0
1531,4.840537232147264e-05,0.0,0.0,0.0
1532,6.0580119939654e-05,0.0,0.0,0.0
1533,3.5154140537737734e-05,0.0,0.0,0.0
1534,3.796308192249853e-05,0.0,0.0,0.0
1535,5.151742594275025e-05,0.0,0.0,0.0
1536,5.330648348587731e-05,0.0,0.0,0.0
1537,5.330648348587731e-05,0.0,0.0,0.0
1538,3.0327090566320942e-05,0.0,0.0,0.0
1539,4.886645508252384e-05,8.301111457902672e-07,0.0,0.0
1540,4.886645508252384e-05,8.301111457902672e-07,0.0,0.0
1541,4.605751369776304e-05,8.301111457902672e-07,0.0,0.0
1542,4.153104795737558e-05,8.301111457902672e-07,0.0,0.0
1543,3.9741990414248516e-05,8.301111457902672e-07,0.0,0.0
1544,4.391513825144752e-05,9.692160704487054e-07,0.0,0.0
1545,4.52547387145127e-05,2.308816533513891e-06,0.0,0.0
1546,1.7057982404367067e-05,1.758411583198592e-06,0.0,0.0
1547,1.7057982404367067e-05,1.758411583198592e-06,0.0,0.0
1548,2.3597304919219043e-05,2.0556535186447685e-06,0.0,0.0
1549,1.4569426639354788e-05,2.0556535186447685e-06,0.0,0.0
1550,1.8351846717580755e-05,2.5959992301847834e-06,0.0,0.0
1551,1.4178698880381749e-05,2.4568943055263456e-06,0.0,0.0
1552,1.500243135004504e-05,1.838404841691954e-06,0.0,0.0
1553,1.2485075525806419e-05,1.5586986462169859e-06,0.0,0.0
1554,1.2485075525806419e-05,1.0815300811373163e-05,0.0,0.0
1555,7.147723018923509e-06,1.0518058875926986e-05,0.0,0.0
1556,4.357839290085914e-05,1.0518058875926986e-05,0.0,0.0
1557,3.9795972822633174e-05,9.977713164386972e-06,0.0,0.0
1558,4.729850791461233e-05,1.0659761820923969e-05,0.0,0.0
1559,4.513517498188386e-05,9.938650821693176e-06,0.0,0.0
1560,5.724981175652439e-05,1.0387341067793646e-05,0.0,0.0
1561,5.724981175652439e-05,1.1307389026374689e-06,0.0,0.0
1562,5.6047841748555326e-05,1.1307389026374689e-06,0.0,0.0
1563,1.9617171866619693e-05,1.1307389026374689e-06,0.0,0.0
1564,2.597881861480086e-05,1.1307389026374689e-06,0.0,0.0
1565,2.0499884807837327e-05,4.4869024610047094e-07,0.0,0.0
1566,2.0499884807837327e-05,4.4869024610047094e-07,0.0,0.0
1567,9.067645351024112e-06,0.0,0.0,0.0
1568,9.067645351024112e-06,0.0,0.0,0.0
1569,9.810350677850823e-06,0.0,0.0,0.0
1570,9.810350677850823e-06,0.0,0.0,0.0
1571,1.0804258961018474e-05,0.0,0.0,0.0
1572,1.3460304671752965e-05,0.0,0.0,0.0
1573,1.3460304671752965e-05,0.0,0.0,0.0
1574,1.2777907353925652e-05,0.0,0.0,0.0
1575,1.2777907353925652e-05,0.0,0.0,0.0
1576,1.5189965259716181e-05,0.0,0.0,0.0
1577,2.7947344538655932e-05,0.0,0.0,0.0
1578,2.541005181098756e-05,7.227393195665042e-07,0.0,0.0
1579,2.6551197931569603e-05,2.0162489298464995e-06,0.0,0.0
1580,2.6551197931569603e-05,3.006709773347081e-06,0.0,0.0
1581,2.7144505306101303e-05,3.006709773347081e-06,0.0,0.0
1582,2.7144505306101303e-05,3.425691147640464e-06,0.0,0.0
1583,2.9276590599433155e-05,3.666002450180323e-06,0.0,0.0
1584,1.7418322905931355e-05,3.666002450180323e-06,0.0,0.0
1585,1.2977496778278561e-05,3.1319812186276456e-06,0.0,0.0
1586,1.2188960714151367e-05,3.2762593004268377e-06,0.0,0.0
1587,1.2881119833504531e-05,2.2857984569262565e-06,0.0,0.0
1588,1.4296329904287372e-05,2.2857984569262565e-06,0.0,0.0
1589,1.6163594636964262e-05,1.8668170826328736e-06,0.0,0.0
1590,1.2956551310188452e-05,2.146457079886334e-06,0.0,0.0
1591,1.3390106979776256e-05,2.6795240078821995e-06,0.0,0.0
1592,1.4803586184695763e-05,3.6847495071664786e-06,0.0,0.0
1593,1.2450649852066168e-05,2.693515268349854e-06,0.0,0.0
1594,1.2429017065837148e-05,2.86114685163089e-06,0.0,0.0
1595,1.3576079319526408e-05,5.115132239552622e-06,0.0,0.0
1596,1.1708814586849517e-05,5.32555046512633e-06,0.0,0.0
1597,1.083963024939294e-05,5.774095906677498e-06,0.0,0.0
1598,1.561124353039694e-05,5.373730727699565e-06,0.0,0.0
1599,1.3820328149449779e-05,4.533520585222764e-06,0.0,0.0
1600,1.73183604082234e-05,4.832509692473e-06,0.0,0.0
1601,2.0554311309492084e-05,4.664878109191964e-06,0.0,0.0
1602,1.8755940930402305e-05,2.932896295858102e-06,0.0,0.0
1603,1.8755940930402305e-05,3.1345881796239283e-06,0.0,0.0
1604,2.2823699899683042e-05,2.8471727172732893e-06,0.0,0.0
1605,1.7843788295327352e-05,2.9393447513419753e-06,0.0,0.0
1606,2.5531478838404708e-05,2.825851635991837e-06,0.0,0.0
1607,1.935412586005571e-05,2.080309075479038e-06,0.0,0.0
1608,1.824313494580565e-05,2.479664268711141e-06,0.0,0.0
1609,1.78292954972546e-05,2.1463346716440616e-06,0.0,0.0
1610,1.986846772134803e-05,1.9891210903162052e-06,0.0,0.0
1611,1.53069738319443e-05,1.7176889254447554e-06,0.0,0.0
1612,1.4182604900270235e-05,2.030816598822379e-06,0.0,2.6900072823212084e-07
1613,9.21169248613296e-06,2.110197231429213e-06,0.0,2.6900072823212084e-07
1614,1.2507789896127569e-05,2.4398069789250646e-06,0.0,2.6900072823212084e-07
1615,1.1617019871274742e-05,2.421395038254559e-06,0.0,2.6900072823212084e-07
