ngram,essay,essy,esay
1500,0.0,0.0,0.0
1501,0.0,0.0,0.0
1502,0.0,0.0,0.0
1503,0.0,0.0,0.0
1504,0.0,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0
1520,2.3187451785945868e-06,0.0,0.0
1521,2.3187451785945868e-06,0.0,0.0
1522,2.3187451785945868e-06,0.0,0.0
1523,2.3187451785945868e-06,0.0,0.0
1524,1.7874683960274394e-06,0.0,0.0
1525,1.7874683960274394e-06,0.0,0.0
1526,1.7874683960274394e-06,0.0,0.0
1527,0.0,0.0,0.0
1528,0.0,0.0,0.0
1529,0.0,0.0,0.0
1530,0.0,0.0,0.0
1531,0.0,0.0,0.0
1532,0.0,0.0,0.0
1533,0.0,0.0,0.0
1534,1.4044706923803979e-06,0.0,0.0
1535,1.4044706923803979e-06,0.0,0.0
1536,1.4044706923803979e-06,0.0,0.0
1537,1.4044706923803979e-06,0.0,0.0
1538,1.4044706923803979e-06,0.0,0.0
1539,1.4044706923803979e-06,0.0,0.0
1540,1.4044706923803979e-06,0.0,0.0
1541,0.0,0.0,0.0
1542,3.009292673336209e-06,0.0,0.0
1543,3.009292673336209e-06,0.0,0.0
1544,3.287502522653085e-06,0.0,0.0
1545,3.287502522653085e-06,0.0,5.358402047152464e-07
1546,3.846914913603021e-06,0.0,5.358402047152464e-07
1547,1.6955479720439014e-05,0.0,5.358402047152464e-07
1548,1.725272165588519e-05,0.0,5.358402047152464e-07
1549,1.4243428982548981e-05,0.0,5.358402047152464e-07
1550,1.4243428982548981e-05,0.0,5.358402047152464e-07
1551,1.3965219133232104e-05,0.0,5.358402047152464e-07
1552,1.3965219133232104e-05,0.0,0.0
1553,1.340580674228217e-05,0.0,0.0
1554,2.972419354461765e-07,0.0,0.0
1555,0.0,0.0,0.0
1556,0.0,0.0,0.0
1557,0.0,0.0,0.0
1558,0.0,0.0,0.0
1559,0.0,0.0,0.0
1560,8.973804922009419e-07,0.0,0.0
1561,8.973804922009419e-07,0.0,0.0
1562,8.973804922009419e-07,0.0,0.0
1563,8.973804922009419e-07,0.0,0.0
1564,8.973804922009419e-07,0.0,0.0
1565,8.973804922009419e-07,0.0,0.0
1566,8.973804922009419e-07,0.0,0.0
1567,2.7295892713092532e-06,0.0,0.0
1568,2.7295892713092532e-06,0.0,0.0
1569,3.4722945981359643e-06,0.0,0.0
1570,3.4722945981359643e-06,0.0,0.0
1571,8.37599795236851e-06,0.0,0.0
1572,8.37599795236851e-06,0.0,0.0
1573,8.37599795236851e-06,0.0,0.0
1574,5.646408681059256e-06,0.0,0.0
1575,5.646408681059256e-06,0.0,0.0
1576,5.805064249995796e-06,0.0,0.0
1577,5.805064249995796e-06,0.0,0.0
1578,2.105926471683363e-06,0.0,0.0
1579,2.105926471683363e-06,0.0,0.0
1580,2.105926471683363e-06,0.0,0.0
1581,2.105926471683363e-06,0.0,0.0
1582,3.781851968856894e-06,0.0,0.0
1583,2.880491073093643e-06,0.0,0.0
1584,2.880491073093643e-06,0.0,0.0
1585,1.6759254971735312e-06,0.0,0.0
1586,3.8326070352923125e-06,0.0,0.0
1587,4.8708457143220585e-06,0.0,0.0
1588,4.8708457143220585e-06,0.0,0.0
1589,3.1949202171485273e-06,0.0,0.0
1590,3.714871516941847e-06,0.0,0.0
1591,4.247938444937713e-06,0.0,0.0
1592,4.247938444937713e-06,0.0,0.0
1593,2.3145336334502124e-06,0.0,0.0
1594,1.2762949544204666e-06,0.0,0.0
1595,1.7270920449975944e-06,0.0,0.0
1596,1.7270920449975944e-06,0.0,0.0
1597,1.3282028378723356e-06,0.0,0.0
1598,1.060539407912334e-06,0.0,0.0
1599,1.060539407912334e-06,0.0,0.0
1600,1.476299189562269e-06,0.0,0.0
1601,2.2575946364408343e-06,0.0,0.0
1602,2.015598982195245e-06,0.0,0.0
1603,2.015598982195245e-06,0.0,0.0
1604,2.0648072092756464e-06,0.0,0.0
1605,2.1367143777492207e-06,0.0,0.0
1606,2.7773552346843644e-06,0.0,0.0
1607,2.8848158016054574e-06,0.0,0.0
1608,2.103520354726892e-06,0.0,0.0
1609,2.083392895916144e-06,0.0,0.0
1610,2.083392895916144e-06,0.0,0.0
1611,1.913122576167682e-06,0.0,0.0
1612,1.575811909658244e-06,0.0,0.0
1613,1.0949815337621009e-06,0.0,0.0
1614,6.780942060556429e-07,0.0,0.0
1615,6.780942060556429e-07,0.0,0.0
1616,4.894202285348521e-07,0.0,0.0
1617,4.894202285348521e-07,0.0,0.0
1618,4.894202285348521e-07,0.0,0.0
1619,1.277161719112233e-06,0.0,0.0
1620,1.218090151918919e-06,0.0,0.0
1621,8.884804044230674e-07,0.0,0.0
1622,8.884804044230674e-07,0.0,0.0
1623,1.157894595443005e-06,0.0,0.0
1624,1.157894595443005e-06,0.0,0.0
1625,1.157894595443005e-06,0.0,0.0
1626,3.7015310486562416e-07,0.0,0.0
1627,2.6941419101993755e-07,0.0,0.0
1628,2.6941419101993755e-07,0.0,0.0
1629,4.344728787535652e-07,0.0,0.0
1630,2.513076862799478e-07,0.0,0.0
1631,3.0798767219104253e-07,0.0,0.0
1632,7.66118343368102e-07,0.0,0.0
1633,7.66118343368102e-07,0.0,0.0
1634,7.66118343368102e-07,0.0,0.0
1635,1.3423563213369301e-06,0.0,0.0
1636,1.3074981982949144e-05,0.0,0.0
1637,1.3061893111755904e-05,0.0,0.0
1638,1.3543893422658065e-05,0.0,0.0
1639,1.3241503211247618e-05,0.0,0.0
1640,1.3241503211247618e-05,0.0,0.0
1641,1.4256778708191373e-05,0.0,0.0
1642,1.378849056469075e-05,0.0,0.0
1643,1.9811286620097235e-06,0.0,0.0
1644,3.649536422147191e-06,0.0,0.0
1645,3.159972956317298e-06,0.0,0.0
1646,3.5079245646686885e-06,0.0,0.0
1647,3.611970117032927e-06,0.0,0.0
1648,2.6425438558622512e-06,0.0,0.0
1649,2.6910495713699286e-06,0.0,0.0
1650,2.644647261312067e-06,0.0,0.0
1651,9.460794550315248e-07,0.0,0.0
1652,1.5650193542374576e-06,0.0,0.0
1653,1.2874546290017212e-06,0.0,0.0
1654,1.9715895933001903e-06,0.0,0.0
1655,2.3324616782766886e-06,0.0,0.0
1656,2.3119281219611106e-06,0.0,0.0
1657,2.796292205532934e-06,0.0,0.0
1658,2.9141390232975288e-06,0.0,0.0
1659,2.31041666357409e-06,0.0,0.0
1660,2.4851633375939334e-06,0.0,0.0
1661,1.6969828209312254e-06,0.0,0.0
1662,1.4526609390941303e-06,0.0,0.0
1663,1.3824339240337785e-06,0.0,0.0
1664,1.0113616286032214e-06,0.0,0.0
1665,1.0268811974713441e-06,0.0,0.0
1666,9.625468270054886e-07,0.0,0.0
1667,6.914820736320897e-07,0.0,0.0
1668,8.664949372619699e-07,0.0,0.0
1669,8.5386595368878e-07,0.0,0.0
1670,1.2906101492912318e-06,0.0,0.0
1671,1.2898389952299892e-06,0.0,0.0
1672,1.2610761440815362e-06,0.0,0.0
1673,1.335304757178944e-06,0.0,0.0
1674,2.409124939666591e-06,0.0,0.0
1675,2.9204820667213686e-06,0.0,0.0
1676,3.071337191938385e-06,0.0,0.0
1677,2.602484215685763e-06,0.0,0.0
1678,2.6053920164161226e-06,0.0,0.0
1679,2.52700370749283e-06,0.0,0.0
1680,2.633794390963625e-06,0.0,1.8101928844771464e-08
1681,1.6091717246321683e-06,0.0,1.8101928844771464e-08
1682,1.1647341295883962e-06,0.0,1.8101928844771464e-08
1683,8.641085490320879e-07,0.0,1.8101928844771464e-08
1684,1.0350734100939007e-06,0.0,1.8101928844771464e-08
1685,1.0373714920725824e-06,0.0,1.8101928844771464e-08
1686,1.0234145975118736e-06,0.0,1.8101928844771464e-08
1687,8.835953906327632e-07,0.0,0.0
1688,9.841380809965422e-07,0.0,0.0
1689,7.737768551610966e-07,0.0,0.0
1690,1.2307232667905867e-06,0.0,0.0
1691,1.0995703628883087e-06,0.0,0.0
1692,1.0089278471728643e-06,0.0,0.0
1693,1.0477230176775265e-06,0.0,0.0
1694,1.274763984529922e-06,0.0,0.0
1695,1.1037621387036519e-06,0.0,0.0
1696,1.1824125912036315e-06,0.0,0.0
1697,9.899608812702354e-07,0.0,0.0
1698,9.787903495959784e-07,0.0,0.0
1699,9.60064373397732e-07,0.0,0.0
1700,1.021985022069722e-06,0.0,0.0
1701,7.634107248577493e-07,0.0,0.0
1702,6.908185810061696e-07,0.0,0.0
1703,8.787096378780137e-07,0.0,0.0
1704,6.835090695338814e-07,0.0,0.0
1705,1.5095884943353407e-06,0.0,0.0
1706,1.7452702901924307e-06,1.1075382896511395e-08,0.0
1707,1.6500583228662435e-06,1.1075382896511395e-08,0.0
1708,1.9394134450781815e-06,1.1075382896511395e-08,0.0
1709,1.9275079970222057e-06,1.1075382896511395e-08,0.0
1710,2.1114159786910543e-06,1.1075382896511395e-08,0.0
1711,2.1293528058257446e-06,1.1075382896511395e-08,0.0
1712,1.3279531166127917e-06,1.1075382896511395e-08,0.0
1713,1.2130814021864872e-06,0.0,0.0
1714,1.3628945753550527e-06,0.0,0.0
1715,1.1884185815753362e-06,0.0,0.0
1716,1.3591776369789192e-06,0.0,0.0
1717,9.68853839822259e-07,0.0,0.0
1718,1.43128756592757e-06,0.0,0.0
1719,1.4299835291759727e-06,0.0,0.0
1720,1.4562401052639222e-06,0.0,0.0
1721,1.377065538170947e-06,0.0,0.0
1722,1.3529782774769825e-06,0.0,0.0
1723,1.3619500042035985e-06,0.0,0.0
1724,1.4111552104623115e-06,0.0,0.0
1725,1.1188438731681214e-06,7.352953040091441e-09,0.0
1726,1.6081153911987452e-06,7.352953040091441e-09,0.0
1727,1.6345801928504703e-06,7.352953040091441e-09,0.0
1728,2.494551998617161e-06,1.3832513039752875e-08,0.0
1729,2.5852526732705883e-06,1.3832513039752875e-08,0.0
1730,2.6433354735542835e-06,1.3832513039752875e-08,0.0
1731,2.6139012366651774e-06,1.3832513039752875e-08,0.0
1732,2.5943717868618217e-06,6.479559999661433e-09,0.0
1733,2.159992342447887e-06,6.479559999661433e-09,0.0
1734,2.352282990614185e-06,6.479559999661433e-09,0.0
1735,1.5096496131913488e-06,6.466926042289092e-09,0.0
1736,1.5500079695941947e-06,6.466926042289092e-09,0.0
1737,1.4957932015542092e-06,6.466926042289092e-09,0.0
1738,1.5271125935864153e-06,6.466926042289092e-09,0.0
1739,1.4443726773346758e-06,6.466926042289092e-09,0.0
