ngram,series,seres,seies,seires
1500,1.154434585259878e-05,8.098626835817413e-08,0.0,0.0
1501,9.235476682079025e-06,6.47890146865393e-08,0.0,0.0
1502,1.08590259818205e-05,5.3990845572116086e-08,0.0,0.0
1503,4.500640352489427e-05,4.627786763324236e-08,0.0,0.0
1504,5.252921281290972e-05,4.627786763324236e-08,0.0,0.0
1505,5.3667649678703e-05,0.0,0.0,0.0
1506,5.3667649678703e-05,0.0,0.0,0.0
1507,5.3667649678703e-05,0.0,0.0,0.0
1508,5.3667649678703e-05,0.0,0.0,0.0
1509,5.0956682181484734e-05,0.0,0.0,0.0
1510,1.5258015212436607e-05,0.0,0.0,0.0
1511,5.997612918560792e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,0.0001293859207375395,0.0,0.0,0.0
1518,0.0001293859207375395,0.0,0.0,0.0
1519,0.0001293859207375395,0.0,0.0,0.0
1520,0.000146664781725901,0.0,0.0,0.0
1521,0.0001463791205813842,0.0,0.0,0.0
1522,0.00014955287744149764,0.0,0.0,0.0
1523,0.00016064168734633962,0.0,0.0,0.0
1524,3.154142775331691e-05,0.0,0.0,0.0
1525,3.154142775331691e-05,0.0,0.0,0.0
1526,7.222299479638292e-05,0.0,0.0,0.0
1527,5.4944133808021434e-05,0.0,0.0,0.0
1528,5.4944133808021434e-05,0.0,0.0,0.0
1529,5.1770376947907994e-05,0.0,0.0,0.0
1530,4.141051554792544e-05,0.0,0.0,0.0
1531,5.864505971788146e-05,0.0,0.0,0.0
1532,8.38963891120719e-05,0.0,0.0,0.0
1533,4.3214822069005875e-05,0.0,0.0,0.0
1534,4.4619292761386274e-05,0.0,0.0,0.0
1535,4.4619292761386274e-05,0.0,0.0,0.0
1536,4.4619292761386274e-05,0.0,0.0,0.0
1537,4.389034425652686e-05,0.0,0.0,0.0
1538,2.6655800086570836e-05,0.0,0.0,0.0
1539,3.2118582826764653e-05,0.0,0.0,0.0
1540,3.2118582826764653e-05,0.0,0.0,0.0
1541,3.0714112134384255e-05,0.0,0.0,0.0
1542,3.5228051274316385e-05,0.0,0.0,0.0
1543,3.5228051274316385e-05,0.0,0.0,0.0
1544,3.6758205429318226e-05,0.0,0.0,0.0
1545,3.863364612958061e-05,0.0,0.0,0.0
1546,9.597771168046165e-06,0.0,0.0,0.0
1547,9.597771168046165e-06,0.0,0.0,0.0
1548,1.1381222715759317e-05,0.0,0.0,0.0
1549,1.293057240608115e-05,0.0,0.0,0.0
1550,1.509195525224121e-05,0.0,0.0,0.0
1551,1.3561801097239368e-05,0.0,0.0,0.0
1552,4.846302077307233e-05,0.0,0.0,0.0
1553,4.678478360022252e-05,0.0,0.0,0.0
1554,4.678478360022252e-05,0.0,0.0,0.0
1555,4.74052720684475e-05,0.0,0.0,0.0
1556,6.736389059369685e-05,0.0,0.0,0.0
1557,6.52025077475368e-05,0.0,0.0,0.0
1558,8.020757793149511e-05,0.0,0.0,0.0
1559,4.515014084712935e-05,0.0,0.0,0.0
1560,5.098311391650766e-05,0.0,0.0,0.0
1561,5.098311391650766e-05,0.0,0.0,0.0
1562,4.8579173900569526e-05,0.0,0.0,0.0
1563,2.983121391610309e-05,0.0,0.0,0.0
1564,4.891615468035785e-05,0.0,0.0,0.0
1565,3.7958287066430785e-05,0.0,0.0,0.0
1566,4.195007516370554e-05,0.0,0.0,0.0
1567,4.5670664154126174e-05,0.0,0.0,0.0
1568,4.5670664154126174e-05,0.0,0.0,0.0
1569,5.3840422749219995e-05,0.0,0.0,0.0
1570,4.6566475378183115e-05,0.0,0.0,0.0
1571,3.728894132239345e-05,0.0,0.0,0.0
1572,3.532158189045731e-05,0.0,0.0,0.0
1573,3.464420790675961e-05,0.0,0.0,0.0
1574,2.5090645846960668e-05,0.0,0.0,0.0
1575,2.5090645846960668e-05,0.0,0.0,0.0
1576,1.9624969874192694e-05,0.0,0.0,0.0
1577,3.493382584045841e-05,0.0,0.0,0.0
1578,2.9703768242533052e-05,0.0,0.0,0.0
1579,2.8270679909577927e-05,0.0,0.0,0.0
1580,2.3237042504271293e-05,0.0,0.0,0.0
1581,2.3830349878802997e-05,0.0,0.0,0.0
1582,2.424933125309638e-05,0.0,0.0,0.0
1583,2.3467739051089404e-05,0.0,0.0,0.0
