ngram,gold,gld,gold,gold
1500,8.098626835817413e-08,0.0,8.098626835817413e-08,8.098626835817413e-08
1501,6.47890146865393e-08,0.0,6.47890146865393e-08,6.47890146865393e-08
1502,1.283966772310426e-06,0.0,1.283966772310426e-06,1.283966772310426e-06
1503,1.100542947694651e-06,0.0,1.100542947694651e-06,1.100542947694651e-06
1504,1.100542947694651e-06,0.0,1.100542947694651e-06,1.100542947694651e-06
1505,2.001256624290753e-06,0.0,2.001256624290753e-06,2.001256624290753e-06
1506,2.001256624290753e-06,0.0,2.001256624290753e-06,2.001256624290753e-06
1507,2.001256624290753e-06,0.0,2.001256624290753e-06,2.001256624290753e-06
1508,2.001256624290753e-06,0.0,2.001256624290753e-06,2.001256624290753e-06
1509,9.469915442293444e-07,0.0,9.469915442293444e-07,9.469915442293444e-07
1510,9.469915442293444e-07,0.0,9.469915442293444e-07,9.469915442293444e-07
1511,9.469915442293444e-07,0.0,9.469915442293444e-07,9.469915442293444e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.827859265064555e-05,0.0,3.827859265064555e-05,3.827859265064555e-05
1515,3.827859265064555e-05,0.0,3.827859265064555e-05,3.827859265064555e-05
1516,3.827859265064555e-05,0.0,3.827859265064555e-05,3.827859265064555e-05
1517,4.09349766934091e-05,0.0,4.09349766934091e-05,4.09349766934091e-05
1518,4.09349766934091e-05,0.0,4.09349766934091e-05,4.09349766934091e-05
1519,4.09349766934091e-05,0.0,4.09349766934091e-05,4.09349766934091e-05
1520,6.506579822079013e-05,0.0,6.506579822079013e-05,6.506579822079013e-05
1521,2.678720557014458e-05,0.0,2.678720557014458e-05,2.678720557014458e-05
1522,0.00018547504285899258,0.0,0.00018547504285899258,0.00018547504285899258
1523,0.00018855526780368694,0.0,0.00018855526780368694,0.00018855526780368694
1524,0.0001858988837609234,0.0,0.0001858988837609234,0.0001858988837609234
1525,0.0001858988837609234,0.0,0.0001858988837609234,0.0001858988837609234
1526,0.00019416232706654618,0.0,0.00019416232706654618,0.00019416232706654618
1527,0.00017003150553916515,0.0,0.00017003150553916515,0.00017003150553916515
1528,0.0001710767379725959,0.0,0.0001710767379725959,0.0001710767379725959
1529,1.2388900683747903e-05,0.0,1.2388900683747903e-05,1.2388900683747903e-05
1530,1.0766572748772368e-05,0.0,1.0766572748772368e-05,1.0766572748772368e-05
1531,4.523566108868441e-05,0.0,4.523566108868441e-05,4.523566108868441e-05
1532,4.523566108868441e-05,0.0,4.523566108868441e-05,4.523566108868441e-05
1533,3.697221778306162e-05,0.0,3.697221778306162e-05,3.697221778306162e-05
1534,4.820798332210481e-05,0.0,4.820798332210481e-05,4.820798332210481e-05
1535,7.728351491615675e-05,0.0,7.728351491615675e-05,7.728351491615675e-05
1536,7.728351491615675e-05,0.0,7.728351491615675e-05,7.728351491615675e-05
1537,7.582561790643792e-05,0.0,7.582561790643792e-05,7.582561790643792e-05
1538,4.135652956652588e-05,0.0,4.135652956652588e-05,4.135652956652588e-05
1539,4.135652956652588e-05,0.0,4.135652956652588e-05,4.135652956652588e-05
1540,4.135652956652588e-05,0.0,4.135652956652588e-05,4.135652956652588e-05
1541,3.01207640274827e-05,0.0,3.01207640274827e-05,3.01207640274827e-05
1542,0.0,0.0,0.0,0.0
1543,1.1408492615113833e-05,0.0,1.1408492615113833e-05,1.1408492615113833e-05
1544,1.9615683413576335e-05,0.0,1.9615683413576335e-05,1.9615683413576335e-05
1545,2.417032529982472e-05,0.0,2.417032529982472e-05,2.417032529982472e-05
1546,2.8365918166985337e-05,0.0,2.8365918166985337e-05,2.8365918166985337e-05
1547,2.8365918166985337e-05,0.0,2.8365918166985337e-05,2.8365918166985337e-05
1548,3.193282126241164e-05,0.0,3.193282126241164e-05,3.193282126241164e-05
1549,3.314547900247687e-05,0.0,3.314547900247687e-05,3.314547900247687e-05
1550,2.2817677810443066e-05,0.0,2.2817677810443066e-05,2.2817677810443066e-05
1551,1.9332881298136533e-05,0.0,1.9332881298136533e-05,1.9332881298136533e-05
1552,4.145934644839144e-05,0.0,4.145934644839144e-05,4.145934644839144e-05
1553,3.726375358123083e-05,0.0,3.726375358123083e-05,3.726375358123083e-05
1554,5.577695791154318e-05,0.0,5.577695791154318e-05,5.577695791154318e-05
1555,5.3412024824085946e-05,0.0,5.3412024824085946e-05,5.3412024824085946e-05
1556,5.6362872198535895e-05,0.0,5.6362872198535895e-05,5.6362872198535895e-05
1557,5.528218077545587e-05,0.0,5.528218077545587e-05,5.528218077545587e-05
1558,5.942641915420869e-05,0.0,5.942641915420869e-05,5.942641915420869e-05
1559,4.821832200312721e-05,0.0,4.821832200312721e-05,4.821832200312721e-05
1560,6.796069335125919e-05,0.0,6.796069335125919e-05,6.796069335125919e-05
1561,4.9447489020946834e-05,0.0,4.9447489020946834e-05,4.9447489020946834e-05
1562,4.824551901297777e-05,0.0,4.824551901297777e-05,4.824551901297777e-05
1563,6.681309917309721e-05,0.0,6.681309917309721e-05,6.681309917309721e-05
1564,7.953639266945953e-05,0.0,7.953639266945953e-05,7.953639266945953e-05
1565,8.382316861700798e-05,0.0,8.382316861700798e-05,8.382316861700798e-05
1566,7.21574997442076e-05,0.0,7.21574997442076e-05,7.21574997442076e-05
1567,5.309752571390293e-05,0.0,5.309752571390293e-05,5.309752571390293e-05
1568,5.309752571390293e-05,0.0,5.309752571390293e-05,5.309752571390293e-05
1569,7.315057005793537e-05,0.0,7.315057005793537e-05,7.315057005793537e-05
1570,5.495252175283635e-05,0.0,5.495252175283635e-05,5.495252175283635e-05
1571,4.713293161070656e-05,0.0,4.713293161070656e-05,4.713293161070656e-05
1572,4.125897411151007e-05,0.0,4.125897411151007e-05,4.125897411151007e-05
1573,4.877731700097294e-05,0.0,4.877731700097294e-05,4.877731700097294e-05
1574,5.245261205085886e-05,0.0,5.245261205085886e-05,5.245261205085886e-05
1575,6.125356984349699e-05,0.0,6.125356984349699e-05,6.125356984349699e-05
1576,4.751005196469903e-05,0.0,4.751005196469903e-05,4.751005196469903e-05
