ngram,hour,hur,hou,houur
1500,3.0367921681317966e-05,1.6197253671634826e-07,0.0,0.0
1501,2.4294337345054372e-05,1.295780293730786e-07,0.0,0.0
1502,2.6922293424528714e-05,1.0798169114423217e-07,1.7571085209056037e-07,0.0
1503,2.3076251506738898e-05,9.255573526648472e-08,1.506093017919089e-07,0.0
1504,2.4438057153020054e-05,9.255573526648472e-08,1.506093017919089e-07,0.0
1505,1.757870424106451e-05,0.0,1.506093017919089e-07,0.0
1506,1.757870424106451e-05,0.0,1.506093017919089e-07,0.0
1507,1.757870424106451e-05,0.0,1.506093017919089e-07,0.0
1508,1.757870424106451e-05,0.0,1.506093017919089e-07,0.0
1509,1.185555083793588e-05,0.0,0.0,0.0
1510,1.185555083793588e-05,0.0,0.0,0.0
1511,5.681949135448251e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.7135949761640016e-06,0.0,0.0,0.0
1515,3.7135949761640016e-06,0.0,0.0,0.0
1516,3.7135949761640016e-06,0.0,0.0,0.0
1517,8.49508614919614e-06,0.0,0.0,0.0
1518,8.49508614919614e-06,0.0,0.0,0.0
1519,8.49508614919614e-06,0.0,0.0,0.0
1520,1.296375687940911e-05,0.0,0.0,0.0
1521,9.250161903245108e-06,0.0,0.0,0.0
1522,2.829270254421447e-05,0.0,0.0,0.0
1523,3.075688255194109e-05,0.0,0.0,0.0
1524,2.597539137890895e-05,0.0,0.0,0.0
1525,2.597539137890895e-05,0.0,0.0,0.0
1526,2.6611040863956858e-05,0.0,0.0,0.0
1527,2.2142370133743888e-05,0.0,0.0,0.0
1528,2.2142370133743888e-05,0.0,0.0,0.0
1529,3.099829492774526e-06,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,2.1868454496143386e-06,0.0
1531,6.356494850479066e-07,0.0,2.1868454496143386e-06,0.0
1532,4.693898777726904e-06,0.0,2.1868454496143386e-06,0.0
