ngram,event,evnt,evnt,eventt
1500,4.0670799535291735e-05,0.0,0.0,0.0
1501,3.253663962823339e-05,0.0,0.0,0.0
1502,3.906220384427191e-05,0.0,0.0,0.0
1503,3.348188900937592e-05,0.0,0.0,0.0
1504,3.082126698115774e-05,0.0,0.0,0.0
1505,2.8164433388155885e-05,0.0,0.0,0.0
1506,2.8164433388155885e-05,0.0,0.0,0.0
1507,2.8164433388155885e-05,0.0,0.0,0.0
1508,2.8164433388155885e-05,0.0,0.0,0.0
1509,1.7923001256089526e-05,0.0,0.0,0.0
1510,1.7923001256089526e-05,0.0,0.0,0.0
1511,1.483620040484571e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.999628044099414e-06,0.0,0.0,0.0
1515,1.999628044099414e-06,0.0,0.0,0.0
1516,1.999628044099414e-06,0.0,0.0,0.0
1517,2.5309048266665613e-06,0.0,0.0,0.0
1518,2.5309048266665613e-06,0.0,0.0,0.0
1519,2.5309048266665613e-06,0.0,0.0,0.0
1520,9.97868937702151e-06,0.0,0.0,0.0
1521,7.979061332922096e-06,0.0,0.0,0.0
1522,7.979061332922096e-06,0.0,0.0,0.0
1523,1.1059286277616462e-05,0.0,0.0,0.0
1524,1.0528009495049315e-05,0.0,0.0,0.0
1525,1.0528009495049315e-05,0.0,0.0,0.0
1526,1.3706256920288848e-05,0.0,0.0,0.0
1527,6.2584723699339e-06,0.0,0.0,0.0
1528,2.298219130482591e-05,0.0,0.0,0.0
1529,2.298219130482591e-05,0.0,0.0,0.0
1530,1.9901966360131545e-05,0.0,0.0,0.0
1531,2.564681459002064e-05,0.0,0.0,0.0
1532,7.164030882579806e-05,0.0,0.0,0.0
1533,6.846206140055853e-05,0.0,0.0,0.0
1534,7.407994417008013e-05,0.0,0.0,0.0
1535,5.848575399016097e-05,0.0,0.0,0.0
1536,7.100915718183387e-05,0.0,0.0,0.0
1537,7.100915718183387e-05,0.0,0.0,0.0
1538,6.526430895194477e-05,0.0,0.0,0.0
1539,4.0023594140490915e-05,0.0,0.0,0.0
1540,4.0023594140490915e-05,0.0,0.0,0.0
1541,3.4405711370969326e-05,0.0,0.0,0.0
1542,3.628547528933268e-05,0.0,0.0,0.0
1543,2.3762072097659776e-05,0.0,0.0,0.0
1544,2.9326269213925116e-05,0.0,0.0,0.0
1545,2.9862109418640364e-05,0.0,0.0,0.0
1546,9.668742385266732e-06,0.0,0.0,0.0
1547,9.668742385266732e-06,0.0,0.0,0.0
1548,1.5613581224118078e-05,0.0,0.0,0.0
1549,1.2604288550781867e-05,0.0,0.0,0.0
1550,3.8000536311041545e-05,0.0,0.0,0.0
1551,3.243633919477621e-05,0.0,0.0,0.0
1552,3.839049778824639e-05,0.0,0.0,0.0
1553,3.783108539729645e-05,0.0,0.0,0.0
1554,3.783108539729645e-05,0.0,0.0,0.0
1555,3.368920157039871e-05,0.0,0.0,0.0
1556,3.47300778490275e-05,0.0,0.0,0.0
1557,9.333830088767822e-06,0.0,0.0,0.0
1558,1.342612202798981e-05,0.0,0.0,0.0
1559,6.936123229804382e-06,0.0,0.0,0.0
1560,1.0974335314780806e-05,0.0,0.0,0.0
1561,1.0974335314780806e-05,0.0,0.0,0.0
1562,9.171380302827206e-06,0.0,0.0,0.0
1563,8.130504024198412e-06,0.0,0.0,0.0
1564,8.130504024198412e-06,0.0,0.0,0.0
1565,1.4156219029765843e-05,0.0,0.0,0.0
1566,2.1770901055008706e-05,0.0,0.0,0.0
1567,2.0462278241341535e-05,0.0,0.0,0.0
1568,2.0462278241341535e-05,0.0,0.0,0.0
1569,2.0462278241341535e-05,0.0,0.0,0.0
1570,2.0462278241341535e-05,0.0,0.0,0.0
1571,2.0462278241341535e-05,0.0,0.0,0.0
1572,1.0344271296552116e-05,0.0,0.0,0.0
1573,2.7295892713092532e-06,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,9.013608957632511e-07,0.0,0.0,0.0
1577,3.4528368035223267e-06,0.0,0.0,0.0
1578,4.898315442655335e-06,0.0,0.0,0.0
1579,1.0072353883775317e-05,0.0,0.0,0.0
1580,1.1062814727275899e-05,0.0,0.0,0.0
1581,1.16561221018076e-05,0.0,0.0,0.0
1582,1.3332047598981131e-05,0.0,0.0,0.0
1583,1.6275667543855627e-05,0.0,0.0,0.0
1584,1.64215263274465e-05,0.0,0.0,0.0
1585,1.6297074320651257e-05,0.0,0.0,0.0
1586,1.1123035879531276e-05,0.0,0.0,0.0
1587,1.290121151344335e-05,0.0,0.0,0.0
1588,1.4985927399331039e-05,0.0,0.0,0.0
1589,2.021888121817028e-05,0.0,0.0,0.0
1590,2.0013559411121866e-05,0.0,0.0,0.0
1591,2.0248092888713082e-05,0.0,0.0,0.0
1592,1.9524038050024372e-05,0.0,0.0,0.0
1593,2.2203358769599746e-05,0.0,0.0,0.0
1594,2.0272880192351295e-05,0.0,0.0,0.0
1595,1.8947248268627197e-05,0.0,0.0,0.0
1596,1.498422411064634e-05,0.0,0.0,0.0
1597,1.2191999758215388e-05,0.0,0.0,0.0
1598,1.8151149106415687e-05,0.0,0.0,0.0
1599,2.6397513400817324e-05,0.0,0.0,0.0
1600,3.042807611564058e-05,0.0,0.0,0.0
1601,3.154315683267279e-05,0.0,0.0,0.0
1602,3.405359218179781e-05,0.0,0.0,0.0
1603,3.1931957242444954e-05,0.0,0.0,0.0
1604,3.670344319419071e-05,0.0,0.0,0.0
1605,2.8037299460135857e-05,0.0,0.0,0.0
1606,2.1916686997818552e-05,0.0,0.0,0.0
1607,1.5206803563419921e-05,0.0,0.0,0.0
1608,1.3852597719830686e-05,0.0,0.0,0.0
1609,9.989771034010378e-06,0.0,0.0,0.0
1610,9.420447343342988e-06,0.0,0.0,0.0
1611,1.2096921344501815e-05,0.0,0.0,0.0
1612,1.1872047561415197e-05,0.0,0.0,0.0
1613,1.0267997351677747e-05,0.0,0.0,0.0
1614,1.3234485046658457e-05,0.0,0.0,0.0
1615,1.3016395525612876e-05,0.0,0.0,0.0
1616,1.4097669090265949e-05,0.0,0.0,0.0
1617,1.4460479211006064e-05,0.0,0.0,0.0
1618,1.443716444425393e-05,0.0,0.0,0.0
1619,1.544997495070025e-05,0.0,0.0,0.0
1620,1.705125224101981e-05,0.0,0.0,0.0
1621,1.40847645460391e-05,0.0,0.0,0.0
1622,1.5814273605688607e-05,0.0,0.0,0.0
1623,1.8235384621740585e-05,0.0,0.0,0.0
1624,2.3292301258542076e-05,0.0,0.0,0.0
1625,1.5435544842798015e-05,0.0,0.0,0.0
1626,1.7178196133370094e-05,0.0,0.0,0.0
1627,1.8292757723819314e-05,0.0,0.0,0.0
1628,2.1895897167009286e-05,0.0,0.0,0.0
1629,2.2591442594992778e-05,0.0,0.0,0.0
1630,2.090028695939899e-05,0.0,0.0,0.0
1631,1.800298296724837e-05,0.0,0.0,0.0
1632,2.0794574213921025e-05,0.0,0.0,0.0
1633,1.9821318736441234e-05,0.0,0.0,0.0
1634,2.1293787540344056e-05,0.0,0.0,0.0
1635,2.0407198592563092e-05,0.0,0.0,0.0
1636,1.873017819369644e-05,0.0,0.0,0.0
1637,1.896743274950755e-05,0.0,0.0,0.0
1638,1.9220190162221635e-05,0.0,0.0,0.0
1639,1.88166037072993e-05,0.0,0.0,0.0
1640,1.8370902060788857e-05,0.0,0.0,0.0
1641,1.4377806889699838e-05,0.0,0.0,0.0
1642,1.317255412556863e-05,0.0,0.0,0.0
1643,1.3488735930877738e-05,0.0,0.0,0.0
1644,1.3090158842844954e-05,0.0,0.0,0.0
1645,1.53155832387191e-05,0.0,0.0,0.0
1646,1.4527023267874029e-05,0.0,0.0,0.0
1647,1.5479520828063998e-05,0.0,0.0,0.0
1648,1.769602593932567e-05,0.0,0.0,0.0
1649,1.7358144889710404e-05,0.0,0.0,0.0
1650,1.8196832960321835e-05,0.0,0.0,0.0
1651,2.183593655250401e-05,0.0,0.0,0.0
1652,2.025474753151814e-05,0.0,0.0,5.567139688927065e-08
1653,2.019974947740723e-05,0.0,0.0,5.567139688927065e-08
1654,2.08560535871324e-05,0.0,0.0,5.567139688927065e-08
1655,2.0637536051383775e-05,0.0,0.0,5.567139688927065e-08
1656,2.1412334587824133e-05,0.0,0.0,5.567139688927065e-08
1657,2.101918874229471e-05,0.0,0.0,5.567139688927065e-08
1658,2.0823664012173788e-05,0.0,0.0,5.567139688927065e-08
1659,1.988356273484117e-05,0.0,0.0,0.0
1660,2.0409211304338116e-05,0.0,0.0,0.0
1661,1.921072557057154e-05,0.0,0.0,0.0
1662,1.7482246611117652e-05,0.0,0.0,0.0
1663,1.6322371136214186e-05,0.0,0.0,0.0
1664,1.84798769363884e-05,0.0,0.0,0.0
1665,1.6737354469244436e-05,4.4091616960681024e-08,4.4091616960681024e-08,0.0
1666,1.5441285930657095e-05,4.4091616960681024e-08,4.4091616960681024e-08,0.0
1667,1.6168646522731122e-05,4.4091616960681024e-08,4.4091616960681024e-08,0.0
1668,1.6171954614817097e-05,4.4091616960681024e-08,4.4091616960681024e-08,0.0
1669,1.6865071042307784e-05,4.4091616960681024e-08,4.4091616960681024e-08,0.0
1670,1.928461214057669e-05,4.4091616960681024e-08,4.4091616960681024e-08,0.0
1671,1.6761702421977782e-05,4.4091616960681024e-08,4.4091616960681024e-08,0.0
1672,1.648581474000821e-05,0.0,0.0,0.0
1673,1.7422988094040193e-05,0.0,0.0,0.0
1674,1.7886157885576332e-05,0.0,0.0,0.0
1675,1.97394716191671e-05,0.0,0.0,0.0
1676,1.986796529048921e-05,0.0,0.0,0.0
1677,1.8037118544660708e-05,0.0,0.0,0.0
1678,1.7726853911881335e-05,0.0,0.0,0.0
1679,1.6036084941463612e-05,0.0,0.0,0.0
1680,1.557957382049478e-05,0.0,0.0,0.0
1681,1.4901988314315012e-05,0.0,0.0,0.0
1682,1.3113038871129642e-05,0.0,0.0,0.0
