ngram,mouth,muth,moouth,mooth
1500,2.492470116521872e-06,8.098626835817413e-08,0.0,0.0
1501,1.9939760932174976e-06,6.47890146865393e-08,0.0,0.0
1502,2.715911856891277e-06,5.3990845572116086e-08,0.0,0.0
1503,2.3279244487639517e-06,4.627786763324236e-08,0.0,0.0
1504,2.058140704061121e-05,4.627786763324236e-08,0.0,0.0
1505,3.1419686235624666e-05,0.0,0.0,0.0
1506,3.1419686235624666e-05,0.0,0.0,0.0
1507,3.1419686235624666e-05,0.0,0.0,0.0
1508,3.1419686235624666e-05,0.0,0.0,0.0
1509,3.0516030424873213e-05,0.0,0.0,0.0
1510,3.0516030424873213e-05,0.0,0.0,0.0
1511,1.1995225837121584e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.284917200233654e-06,0.0,0.0,0.0
1515,4.284917200233654e-06,0.0,0.0,0.0
1516,4.284917200233654e-06,0.0,0.0,0.0
1517,5.8787475479350955e-06,0.0,0.0,0.0
1518,5.8787475479350955e-06,0.0,0.0,0.0
1519,5.8787475479350955e-06,0.0,0.0,0.0
1520,2.583881139019338e-05,2.979113885105887e-07,0.0,0.0
1521,2.1553894189959726e-05,2.979113885105887e-07,0.0,0.0
1522,3.7422678750382534e-05,2.979113885105887e-07,0.0,0.0
1523,3.8038723752314194e-05,2.979113885105887e-07,0.0,0.0
1524,7.773845579452297e-05,2.979113885105887e-07,0.0,0.0
1525,7.773845579452297e-05,2.979113885105887e-07,0.0,0.0
1526,7.773845579452297e-05,2.979113885105887e-07,0.0,0.0
1527,5.7778391952264686e-05,0.0,0.0,0.0
1528,6.091408931752085e-05,0.0,0.0,0.0
1529,4.5045304757098036e-05,0.0,0.0,0.0
1530,5.1718744933688345e-05,0.0,0.0,0.0
1531,3.914942421293485e-05,0.0,0.0,0.0
1532,3.9600340804619396e-05,0.0,0.0,0.0
1533,3.9600340804619396e-05,0.0,0.0,0.0
1534,3.9600340804619396e-05,0.0,0.0,0.0
1535,4.248879645274428e-05,0.0,0.0,0.0
1536,4.248879645274428e-05,0.0,0.0,0.0
1537,7.07713100577426e-05,0.0,0.0,0.0
1538,7.6987892400991e-05,0.0,0.0,0.0
1539,7.653697580930643e-05,0.0,0.0,0.0
1540,7.653697580930643e-05,0.0,0.0,0.0
1541,7.653697580930643e-05,0.0,0.0,0.0
1542,7.653140814259782e-05,0.0,0.0,0.0
1543,0.00015639085540897213,0.0,0.0,0.0
1544,0.00012374006005952002,0.0,0.0,0.0
1545,0.00010112356072308362,0.0,0.0,0.0
1546,0.0001114726895009101,0.0,0.0,0.0
1547,0.00011802697190432809,0.0,0.0,0.0
1548,0.00012129663316175408,0.0,0.0,0.0
1549,0.00013953120313609752,0.0,0.0,0.0
1550,6.237348445990522e-05,0.0,0.0,0.0
1551,6.181347816891503e-05,0.0,0.0,0.0
1552,5.742137441952114e-05,0.0,0.0,0.0
1553,4.707224564169467e-05,0.0,0.0,0.0
1554,4.0517963238276676e-05,0.0,0.0,0.0
1555,4.385913728453618e-05,0.0,0.0,0.0
1556,1.9605981963520336e-05,0.0,0.0,0.0
1557,4.493927891806899e-05,0.0,0.0,0.0
1558,4.3260130431528e-05,0.0,0.0,0.0
1559,7.14315978517074e-05,0.0,0.0,0.0
1560,8.130278352577338e-05,0.0,0.0,0.0
1561,0.00010427755725166727,0.0,0.0,0.0
1562,0.0001243324413735536,0.0,0.0,0.0
1563,0.0001243324413735536,0.0,0.0,0.0
1564,9.629741582882292e-05,0.0,0.0,0.0
1565,0.00010674517398001626,0.0,0.0,0.0
1566,7.254515613957275e-05,0.0,0.0,0.0
1567,7.495712257618184e-05,0.0,0.0,0.0
1568,5.198234885028796e-05,0.0,0.0,0.0
1569,2.754474540519628e-05,0.0,0.0,0.0
1570,5.323195455275709e-05,0.0,0.0,0.0
1571,5.568380622987336e-05,0.0,0.0,0.0
1572,5.131348981584389e-05,0.0,0.0,0.0
1573,6.073550321161747e-05,0.0,0.0,0.0
1574,6.91513903023276e-05,0.0,0.0,0.0
1575,7.920962733416153e-05,0.0,0.0,0.0
1576,9.050192446531062e-05,4.5068044788162555e-07,0.0,0.0
1577,6.736619122550889e-05,4.5068044788162555e-07,0.0,0.0
1578,7.021442823835449e-05,9.325066717532796e-07,0.0,2.40913111935827e-07
1579,6.798222161056142e-05,9.325066717532796e-07,0.0,2.40913111935827e-07
1580,7.547529276052956e-05,9.325066717532796e-07,0.0,2.40913111935827e-07
1581,6.248924936309257e-05,9.325066717532796e-07,0.0,2.40913111935827e-07
1582,6.919026704313833e-05,9.325066717532796e-07,0.0,2.40913111935827e-07
1583,5.951483477214684e-05,4.81826223871654e-07,0.0,2.40913111935827e-07
1584,8.303759490705229e-05,4.81826223871654e-07,0.0,2.40913111935827e-07
1585,9.717547020825026e-05,0.0,0.0,0.0
1586,9.839933721065921e-05,0.0,0.0,0.0
1587,0.00010415223109053581,0.0,0.0,0.0
1588,0.00010915984603343531,0.0,0.0,0.0
1589,9.912274461904807e-05,0.0,0.0,0.0
1590,0.0001228351829922758,0.0,0.0,0.0
1591,0.00010369081688362971,0.0,0.0,0.0
1592,0.00010096806311464337,0.0,0.0,0.0
1593,0.0001164282018310457,0.0,0.0,0.0
1594,0.00010157918430715134,0.0,0.0,0.0
1595,0.00011004603740210379,0.0,0.0,0.0
1596,0.00011026768541861591,0.0,0.0,0.0
1597,9.844833818663443e-05,0.0,0.0,0.0
1598,9.288971965101414e-05,0.0,0.0,0.0
1599,8.277753347231607e-05,0.0,0.0,2.3582229654753713e-07
1600,7.583805979395817e-05,1.0650608471353604e-07,0.0,2.3582229654753713e-07
1601,7.47096783015877e-05,1.0650608471353604e-07,0.0,2.3582229654753713e-07
1602,8.672164195948946e-05,2.1090680287930548e-07,0.0,2.3582229654753713e-07
1603,0.00010038334637231725,2.1090680287930548e-07,0.0,2.3582229654753713e-07
1604,9.26479795972617e-05,2.1090680287930548e-07,0.0,2.3582229654753713e-07
1605,0.0001039820968539321,2.1090680287930548e-07,0.0,2.3582229654753713e-07
1606,0.00011956126192152234,2.9098690999619846e-07,0.0,0.0
1607,0.00011499390841761072,1.844808252826624e-07,0.0,0.0
1608,0.00015831583212795003,1.844808252826624e-07,0.0,3.99355193232103e-07
1609,0.0001336067336004427,8.008010711689297e-08,0.0,3.99355193232103e-07
1610,0.0001365791576972697,8.008010711689297e-08,0.0,3.99355193232103e-07
1611,0.00013554048720314832,8.008010711689297e-08,0.0,3.99355193232103e-07
1612,0.00013709215688452656,8.008010711689297e-08,0.0,3.99355193232103e-07
1613,0.0001368040040168645,0.0,0.0,5.591656742711036e-07
1614,0.00014259119987920194,0.0,0.0,8.88775421766955e-07
1615,0.00010248426718005379,0.0,0.0,4.894202285348521e-07
1616,0.00010660879706847481,0.0,0.0,4.894202285348521e-07
1617,9.501437671133317e-05,0.0,0.0,4.894202285348521e-07
1618,9.563308153052017e-05,0.0,0.0,4.894202285348521e-07
1619,9.465511383106267e-05,1.1253449981398132e-07,0.0,6.019547283488334e-07
1620,8.988669339617315e-05,1.1253449981398132e-07,0.0,4.421442473098328e-07
1621,9.295050663890183e-05,2.909524953663224e-07,0.0,2.909524953663224e-07
1622,0.00010076847112421612,2.909524953663224e-07,0.0,2.909524953663224e-07
1623,0.00010351022137911059,5.6036668638626e-07,0.0,2.909524953663224e-07
1624,9.70520029243614e-05,5.6036668638626e-07,0.0,2.909524953663224e-07
1625,0.00011978787525939489,5.6036668638626e-07,0.0,2.909524953663224e-07
1626,0.00011569367727913362,4.4783218657227864e-07,0.0,4.080398119705413e-07
1627,0.00010527845786002996,4.4783218657227864e-07,0.0,4.080398119705413e-07
1628,9.89736607672447e-05,4.004374432042823e-07,0.0,4.261567028152058e-07
1629,9.01577997345677e-05,4.004374432042823e-07,0.0,4.261567028152058e-07
1630,8.98085163498763e-05,1.310232521843448e-07,0.0,5.124057013615259e-07
1631,0.00010310098046569951,1.310232521843448e-07,0.0,5.690856872726207e-07
1632,8.55184012574942e-05,1.310232521843448e-07,0.0,6.607118215080326e-07
1633,9.237338547661369e-05,1.310232521843448e-07,0.0,4.310900050898324e-07
1634,9.269782458432019e-05,2.544414152388137e-07,0.0,4.310900050898324e-07
1635,9.131335225122581e-05,1.2341816305446889e-07,0.0,2.345551186928268e-07
1636,9.509186825848051e-05,1.2341816305446889e-07,0.0,2.345551186928268e-07
1637,0.0001086901528261868,1.2341816305446889e-07,0.0,1.4830612014650667e-07
1638,0.0001022620448826014,2.580882372577824e-07,0.0,9.162613423541188e-08
