ngram,warning,warng,warng,warng
1605,1.2930876567094987e-05,0.0,0.0,0.0
1606,1.5397619011179942e-05,0.0,0.0,0.0
1607,2.158451687656842e-05,0.0,0.0,0.0
1608,2.0034987171259543e-05,0.0,0.0,0.0
1609,1.9749439356278993e-05,0.0,0.0,0.0
1610,2.1886294429610382e-05,0.0,0.0,0.0
1611,2.2437911801327054e-05,0.0,0.0,0.0
1612,1.8839931271941168e-05,0.0,0.0,0.0
1613,1.971067006577089e-05,0.0,0.0,0.0
1614,1.6530625998711912e-05,0.0,0.0,0.0
1615,1.7836309520394673e-05,0.0,0.0,0.0
1616,1.72195172386377e-05,0.0,0.0,0.0
1617,1.6153048038956642e-05,0.0,0.0,0.0
1618,1.4963550711399876e-05,0.0,0.0,0.0
1619,1.721424061023364e-05,0.0,0.0,0.0
1620,1.6710032338908475e-05,0.0,0.0,0.0
1621,1.5458211367201458e-05,0.0,0.0,0.0
1622,1.5663947384122628e-05,0.0,0.0,0.0
1623,1.7007401506167037e-05,0.0,0.0,0.0
1624,1.6868895207673112e-05,0.0,0.0,0.0
1625,2.8583611440678525e-05,0.0,0.0,0.0
1626,4.470266685530078e-05,0.0,0.0,0.0
1627,4.3927569484886977e-05,0.0,0.0,0.0
1628,4.285981244070821e-05,0.0,0.0,0.0
1629,4.297765229109375e-05,0.0,0.0,0.0
1630,4.132916559943364e-05,0.0,0.0,0.0
1631,4.281917517801048e-05,0.0,0.0,0.0
1632,3.154459968105324e-05,0.0,0.0,0.0
1633,1.6465081379075336e-05,0.0,0.0,0.0
1634,1.471431927971675e-05,0.0,0.0,0.0
1635,1.4477684479580993e-05,0.0,0.0,0.0
1636,1.5462635539214326e-05,0.0,0.0,0.0
1637,1.563747621600799e-05,0.0,0.0,0.0
1638,1.5900888748936787e-05,0.0,0.0,0.0
1639,1.6766312195873718e-05,0.0,0.0,0.0
1640,1.4915397969161859e-05,0.0,0.0,0.0
1641,1.456512570387401e-05,0.0,0.0,0.0
1642,1.5427207667276628e-05,0.0,0.0,0.0
1643,1.383976846877236e-05,0.0,0.0,0.0
1644,1.5730192249715662e-05,0.0,0.0,0.0
1645,1.4351869530011235e-05,0.0,0.0,0.0
1646,1.6205376336334405e-05,0.0,0.0,0.0
1647,1.8927885581173802e-05,0.0,0.0,0.0
1648,1.923259579988163e-05,0.0,0.0,0.0
1649,1.7815216519271155e-05,0.0,0.0,0.0
1650,1.755093671818031e-05,0.0,0.0,0.0
1651,1.5870433474317126e-05,0.0,0.0,0.0
1652,1.8271027719103066e-05,0.0,0.0,0.0
1653,1.5345341255722034e-05,0.0,0.0,0.0
1654,1.3382128080203464e-05,0.0,0.0,0.0
1655,1.374065452962116e-05,0.0,0.0,0.0
1656,1.5919980406969053e-05,0.0,0.0,0.0
1657,1.6254526599368546e-05,0.0,0.0,0.0
1658,1.6648377823003102e-05,0.0,0.0,0.0
1659,1.5359406851140583e-05,0.0,0.0,0.0
1660,1.4672835277451668e-05,0.0,0.0,0.0
1661,1.448978868471126e-05,0.0,0.0,0.0
1662,1.3790384010852514e-05,0.0,0.0,0.0
1663,1.2080015949322842e-05,0.0,0.0,0.0
1664,1.1523731960291375e-05,0.0,0.0,0.0
1665,1.3672574303719947e-05,0.0,0.0,0.0
1666,1.2679488203762698e-05,0.0,0.0,0.0
1667,1.3471727730315511e-05,0.0,0.0,0.0
1668,1.3425060127961583e-05,0.0,0.0,0.0
1669,1.397435568963244e-05,0.0,0.0,0.0
1670,1.3723351262992115e-05,0.0,0.0,0.0
1671,1.41088622902836e-05,0.0,0.0,0.0
1672,1.2004205668095633e-05,0.0,0.0,0.0
1673,1.3135723877764707e-05,0.0,0.0,0.0
1674,1.3368051830704125e-05,0.0,0.0,0.0
1675,1.376713368829639e-05,0.0,0.0,0.0
1676,1.4233060807912676e-05,0.0,0.0,0.0
1677,1.515913832658303e-05,0.0,0.0,0.0
1678,1.554602373029671e-05,0.0,0.0,0.0
