ngram,sex,sx,seex,sx
1500,1.7545417563269439e-06,2.3390674641632359e-07,0.0,2.3390674641632359e-07
1501,1.403633405061555e-06,1.8712539713305886e-07,0.0,1.8712539713305886e-07
1502,1.1696945042179625e-06,1.5593783094421573e-07,0.0,1.5593783094421573e-07
1503,1.0025952893296823e-06,1.336609979521849e-07,0.0,1.336609979521849e-07
1504,6.016122954731275e-07,0.0,0.0,0.0
1505,9.469915442293444e-07,0.0,0.0,0.0
1506,9.469915442293444e-07,0.0,0.0,0.0
1507,9.469915442293444e-07,0.0,0.0,0.0
1508,9.469915442293444e-07,0.0,0.0,0.0
1509,9.469915442293444e-07,0.0,0.0,0.0
1510,9.469915442293444e-07,0.0,0.0,0.0
1511,9.469915442293444e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,3.473321839919663e-06,0.0,0.0,0.0
1518,3.473321839919663e-06,0.0,0.0,0.0
1519,3.473321839919663e-06,0.0,0.0,0.0
1520,7.644081344031811e-06,0.0,0.0,0.0
1521,7.358420199515032e-06,0.0,0.0,0.0
1522,7.358420199515032e-06,0.0,0.0,0.0
1523,8.59051020337834e-06,0.0,0.0,0.0
1524,5.402849507975459e-06,0.0,0.0,0.0
1525,5.402849507975459e-06,0.0,0.0,0.0
1526,5.402849507975459e-06,0.0,0.0,0.0
1527,1.2320900038633096e-06,0.0,0.0,0.0
1528,1.2320900038633096e-06,0.0,0.0,0.0
1529,1.2320900038633096e-06,0.0,0.0,0.0
1530,7.289485048594153e-07,0.0,0.0,0.0
1531,7.289485048594153e-07,0.0,0.0,0.0
1532,1.1798650965439656e-06,0.0,0.0,0.0
1533,1.1798650965439656e-06,0.0,0.0,0.0
1534,5.393277043757345e-06,0.0,0.0,0.0
1535,5.393277043757345e-06,0.0,0.0,0.0
1536,5.393277043757345e-06,0.0,0.0,0.0
1537,4.66432853889793e-06,0.0,0.0,0.0
1538,7.84076710910345e-06,0.0,0.0,0.0
1539,7.389850517418901e-06,0.0,0.0,0.0
1540,7.389850517418901e-06,0.0,0.0,0.0
1541,3.1764385702055212e-06,0.0,0.0,0.0
1542,7.69037771013765e-06,0.0,0.0,0.0
1543,7.69037771013765e-06,0.0,0.0,0.0
1544,7.829482634796087e-06,0.0,0.0,0.0
1545,5.724724474021059e-06,0.0,0.0,0.0
1546,5.724724474021059e-06,0.0,0.0,0.0
1547,5.724724474021059e-06,0.0,0.0,0.0
1548,7.805417989662341e-06,0.0,0.0,0.0
1549,3.291478849730213e-06,0.0,0.0,0.0
1550,1.8421159162634077e-05,0.0,0.0,0.0
1551,1.8282054237975638e-05,0.0,0.0,0.0
1552,2.0094817825468325e-05,0.0,0.0,0.0
1553,2.0094817825468325e-05,0.0,0.0,0.0
1554,2.0094817825468325e-05,0.0,0.0,0.0
1555,1.801412430982704e-05,0.0,0.0,0.0
1556,1.801412430982704e-05,0.0,0.0,0.0
1557,2.884443996923177e-06,0.0,0.0,0.0
1558,4.930589966534171e-06,0.0,0.0,0.0
1559,2.046145969610994e-06,0.0,0.0,0.0
1560,8.327809674873216e-06,0.0,0.0,0.0
1561,8.327809674873216e-06,0.0,0.0,0.0
1562,8.327809674873216e-06,0.0,0.0,0.0
1563,1.5147135465148104e-05,0.0,0.0,0.0
1564,1.5147135465148104e-05,0.0,0.0,0.0
1565,1.613639142306056e-05,0.0,0.0,0.0
1566,1.8040061929371275e-05,0.0,0.0,0.0
1567,1.312319285976368e-05,0.0,0.0,0.0
1568,1.6064274210033807e-05,0.0,0.0,0.0
1569,1.6064274210033807e-05,0.0,0.0,0.0
1570,9.244948419758917e-06,0.0,0.0,0.0
1571,9.244948419758917e-06,0.0,0.0,0.0
1572,7.249468061283031e-06,0.0,0.0,0.0
1573,1.0379434960278949e-05,0.0,0.0,0.0
1574,9.014640324624321e-06,0.0,0.0,0.0
1575,6.0735589743541955e-06,0.0,0.0,0.0
1576,6.974919870117446e-06,0.0,0.0,0.0
1577,6.974919870117446e-06,0.0,0.0,0.0
1578,7.215832982053273e-06,0.0,0.0,0.0
1579,1.0056440243845697e-05,0.0,0.0,0.0
1580,6.013263682039646e-06,0.0,0.0,0.0
1581,8.979800489734252e-06,0.0,0.0,0.0
1582,1.0236744645096354e-05,0.0,0.0,0.0
1583,1.101756280214821e-05,0.0,0.0,0.0
1584,1.1916674387586162e-05,0.0,0.0,0.0
1585,1.2619351699478492e-05,0.0,0.0,0.0
1586,1.4489973636955256e-05,0.0,0.0,0.0
1587,1.8690706383495126e-05,0.0,0.0,0.0
1588,1.5724169575800522e-05,0.0,0.0,0.0
1589,1.5214131313509175e-05,0.0,0.0,0.0
1590,1.4311879177902093e-05,0.0,0.0,0.0
1591,1.5545035304447602e-05,0.0,0.0,0.0
1592,1.5198416674268498e-05,0.0,0.0,0.0
1593,1.0786926265739436e-05,0.0,0.0,0.0
1594,7.2720484760273914e-06,0.0,0.0,0.0
1595,7.72284556660452e-06,0.0,0.0,0.0
1596,7.186357899107472e-06,0.0,0.0,0.0
1597,7.738114033730068e-06,0.0,0.0,0.0
1598,5.7827819871038495e-06,0.0,0.0,0.0
1599,5.303721341728565e-06,0.0,0.0,0.0
1600,4.922615776844655e-06,0.0,0.0,0.0
1601,4.418243146834097e-06,0.0,0.0,0.0
1602,4.4894496308448395e-06,0.0,0.0,0.0
1603,5.92747184262927e-06,0.0,0.0,0.0
1604,4.93632943029557e-06,0.0,0.0,0.0
1605,5.658888897284799e-06,0.0,0.0,0.0
1606,7.623060582773178e-06,0.0,0.0,0.0
1607,6.6645057878694e-06,0.0,0.0,0.0
1608,5.692240214167603e-06,0.0,0.0,0.0
1609,5.170236639579733e-06,0.0,0.0,0.0
1610,6.708002745524157e-06,0.0,0.0,0.0
1611,6.981935760969853e-06,0.0,0.0,0.0
1612,7.427444269783986e-06,0.0,0.0,0.0
1613,6.1444138574578185e-06,0.0,0.0,0.0
1614,6.47402360495367e-06,0.0,0.0,0.0
1615,6.274346008337618e-06,0.0,0.0,0.0
1616,7.35561957299069e-06,0.0,0.0,0.0
1617,4.910661021183062e-06,1.2354133462265183e-07,0.0,1.2354133462265183e-07
1618,4.591618790072971e-06,1.2354133462265183e-07,0.0,1.2354133462265183e-07
