ngram,love,lve,loe,lvoe
1500,8.727448346235178e-07,0.0,0.0,0.0
1501,6.981958676988142e-07,0.0,0.0,0.0
1502,1.108962446020693e-06,0.0,0.0,0.0
1503,9.505392394463083e-07,0.0,0.0,0.0
1504,3.7700180947857528e-06,0.0,0.0,0.0
1505,3.854292604695989e-06,0.0,0.0,0.0
1506,3.854292604695989e-06,0.0,0.0,0.0
1507,3.854292604695989e-06,0.0,0.0,0.0
1508,3.854292604695989e-06,0.0,0.0,0.0
1509,3.4024646993202623e-06,0.0,0.0,0.0
1510,3.4024646993202623e-06,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,6.85586772825835e-06,0.0,0.0,0.0
1515,6.85586772825835e-06,0.0,0.0,0.0
1516,6.85586772825835e-06,0.0,0.0,0.0
1517,1.163735890129049e-05,0.0,0.0,0.0
1518,1.163735890129049e-05,0.0,0.0,0.0
1519,1.163735890129049e-05,0.0,0.0,0.0
1520,2.4745460125684205e-05,0.0,0.0,0.0
1521,1.7889592397425857e-05,0.0,0.0,0.0
1522,4.962716151827148e-05,0.0,0.0,0.0
1523,5.085925152213479e-05,0.0,0.0,0.0
1524,4.607776034910265e-05,0.0,0.0,0.0
1525,4.607776034910265e-05,0.0,0.0,0.0
1526,4.607776034910265e-05,0.0,0.0,0.0
1527,3.296965912470894e-05,0.0,0.0,0.0
1528,3.296965912470894e-05,0.0,0.0,0.0
1529,1.2320900038633096e-06,0.0,0.0,0.0
1530,4.373690899228677e-06,0.0,0.0,0.0
1531,1.011853912911777e-05,0.0,0.0,0.0
1532,1.011853912911777e-05,0.0,0.0,0.0
1533,1.011853912911777e-05,0.0,0.0,0.0
1534,1.7140892720947575e-05,0.0,0.0,0.0
1535,2.3541555232701023e-05,0.0,0.0,0.0
1536,2.3541555232701023e-05,0.0,0.0,0.0
1537,1.9167864333472346e-05,0.0,0.0,0.0
1538,1.6599454673788777e-05,0.0,0.0,0.0
1539,1.6599454673788777e-05,0.0,0.0,0.0
1540,1.6599454673788777e-05,0.0,0.0,0.0
1541,9.577101081958972e-06,0.0,0.0,0.0
1542,1.069967012361823e-05,0.0,0.0,0.0
1543,1.069967012361823e-05,0.0,0.0,0.0
1544,2.2106274108019924e-05,0.0,1.391049246584381e-07,0.0
1545,5.536697062780149e-05,0.0,1.391049246584381e-07,0.0
1546,6.263933184007848e-05,0.0,7.13175961664092e-06,0.0
1547,6.591647304178747e-05,0.0,7.13175961664092e-06,0.0
1548,6.888889246121315e-05,0.0,7.13175961664092e-06,0.0
1549,6.257831864786567e-05,0.0,1.319504844689488e-05,0.0
1550,6.36590100709457e-05,0.0,1.319504844689488e-05,0.0
1551,5.6974800372699974e-05,0.0,1.5417140665314427e-05,0.0
1552,2.9190997013626786e-05,0.0,1.613825166454522e-05,0.0
1553,2.19186358013498e-05,0.0,9.145596972562739e-06,0.0
1554,1.86414945996408e-05,0.0,9.145596972562739e-06,0.0
1555,1.566907518021513e-05,0.0,9.145596972562739e-06,0.0
1556,1.5497293718778694e-05,0.0,3.0823081423087776e-06,0.0
1557,2.376161046413472e-05,0.0,3.0823081423087776e-06,0.0
1558,1.9039216177978752e-05,0.0,7.211109992307943e-07,0.0
1559,0.00012557384785135843,0.0,0.0,0.0
1560,0.00013858586485834427,0.0,4.4869024610047094e-07,0.0
1561,0.00013858586485834427,0.0,4.4869024610047094e-07,0.0
1562,0.00014214129402846863,0.0,4.4869024610047094e-07,0.0
1563,0.00014110041774983983,0.0,4.4869024610047094e-07,0.0
1564,0.00015720199657412844,0.0,4.4869024610047094e-07,0.0
1565,0.00016124919914415971,0.0,4.4869024610047094e-07,0.0
1566,4.606123573986614e-05,0.0,4.4869024610047094e-07,0.0
1567,3.373161605070761e-05,0.0,0.0,0.0
1568,3.373161605070761e-05,0.0,0.0,0.0
1569,7.39957996042254e-05,0.0,0.0,0.0
1570,7.39957996042254e-05,0.0,3.0220245597385135e-06,0.0
1571,6.080847151679336e-05,0.0,3.0220245597385135e-06,0.0
1572,0.00017011272244157487,0.0,3.0220245597385135e-06,0.0
1573,0.00017011272244157487,0.0,6.797252613718488e-06,0.0
1574,0.00017160917130760417,0.0,6.797252613718488e-06,0.0
1575,0.00017160917130760417,0.0,2.0627328402562333e-05,0.0
1576,0.00014761949920024823,0.0,2.0627328402562333e-05,0.0
1577,0.0001501709751080073,0.0,1.760530384282382e-05,0.0
1578,0.0001872989041658002,2.40913111935827e-07,1.760530384282382e-05,0.0
1579,8.17085083326674e-05,2.40913111935827e-07,1.8252058647963816e-05,0.0
1580,8.269896917616799e-05,2.40913111935827e-07,1.5467291437484425e-05,0.0
1581,8.170673774137478e-05,2.40913111935827e-07,1.6060598812016125e-05,0.0
1582,8.296368189673688e-05,2.40913111935827e-07,3.4874671785343836e-06,0.0
1583,8.356020232115822e-05,2.40913111935827e-07,3.4874671785343836e-06,0.0
1584,0.00030848394927878483,2.40913111935827e-07,3.4874671785343836e-06,0.0
1585,0.00031816552141858016,0.0,4.619775739099298e-06,0.0
1586,0.0003751049106800305,0.0,4.691914779998894e-06,0.0
1587,0.0005378100751321264,0.0,5.085772175204641e-06,0.0
1588,0.000536623460383063,0.0,4.492464800672938e-06,0.0
1589,0.000611177462685321,0.0,4.916058969683945e-06,0.0
1590,0.0008338282392027655,0.0,6.995864168857224e-06,0.0
1591,0.0006348720967902669,0.0,9.927732337798392e-06,0.0
1592,0.0006969886100185769,0.0,1.77500009418249e-05,0.0
1593,0.0007602257246617228,0.0,2.0826811513480997e-05,0.0
1594,0.0006580508904465075,1.67631583281036e-07,1.977775644133674e-05,0.0
1595,0.0008117726995676224,1.67631583281036e-07,2.2031741829258472e-05,0.0
1596,0.0007921434173892651,1.67631583281036e-07,2.1403294632753906e-05,0.0
1597,0.0005823582552173841,1.67631583281036e-07,2.0170924114739008e-05,0.0
1598,0.0005569797828814314,1.67631583281036e-07,1.723905594579784e-05,0.0
1599,0.00044015722206885196,1.67631583281036e-07,9.581501379735918e-06,0.0
1600,0.00033234931028606037,1.67631583281036e-07,6.850857809175588e-06,0.0
1601,0.0003165343012889415,0.0,6.7109185043331565e-06,0.0
1602,0.00017147775179182645,0.0,4.77013528714971e-06,0.0
1603,0.00011653241784058212,0.0,3.7180441592811675e-06,0.0
1604,0.00010571602498592776,0.0,3.0408797978712495e-06,0.0
1605,0.00011989069818290383,0.0,3.1533166894145585e-06,0.0
1606,0.00018856104634323856,0.0,2.2566946183490344e-06,0.0
1607,0.00017813585886220347,0.0,4.1776220720229114e-06,0.0
1608,0.00014960235018536747,0.0,3.98229821030327e-06,0.0
1609,0.00016433266409876524,0.0,4.423791949648148e-06,0.0
1610,0.00017341964329326793,0.0,4.933585005671505e-06,0.0
1611,0.00016077553924073333,0.0,5.070551513394353e-06,0.0
1612,0.00014346025792682276,0.0,4.958114621851044e-06,0.0
1613,8.321203599085234e-05,0.0,7.274492223327148e-06,0.0
1614,9.888752330360668e-05,0.0,4.28850392251791e-06,0.0
1615,8.5905625642876e-05,0.0,4.669447175079508e-06,0.0
1616,7.152066557734673e-05,0.0,4.635600329753028e-06,0.0
1617,9.863037848845124e-05,0.0,4.496431269477138e-06,0.0
1618,0.00010169930465053767,0.0,4.287671580576509e-06,0.0
1619,0.0002064689199739535,0.0,4.85034405528495e-06,0.0
1620,0.00022521536032270108,0.0,2.5365215817276166e-06,0.0
1621,0.0002039390245564781,0.0,3.250193563936981e-06,0.0
1622,0.00022831010236196953,0.0,2.939598719616957e-06,0.0
1623,0.00022091597410118475,0.0,3.0269922604020394e-06,0.0
1624,0.0001891575749531122,0.0,3.701693596472718e-06,0.0
1625,0.00017750304063416218,0.0,4.433863361035557e-06,0.0
1626,7.893321422410995e-05,0.0,3.871190886327115e-06,0.0
1627,9.309653718706354e-05,0.0,3.7877779115141105e-06,0.0
1628,0.00011342875924518532,0.0,3.467175702098757e-06,0.0
1629,0.0001145778699407986,0.0,3.5618859815908114e-06,0.0
1630,0.00014340728219914517,8.624899854632012e-08,3.5298843710864148e-06,0.0
1631,0.00021170004401938058,8.624899854632012e-08,2.7112789829126475e-06,0.0
1632,0.00029145158051895644,8.624899854632012e-08,2.522015019427012e-06,0.0
1633,0.0003333713622331353,8.624899854632012e-08,2.522015019427012e-06,0.0
1634,0.00038320241687220654,8.624899854632012e-08,2.4493086649662084e-06,0.0
1635,0.0004174605377816728,8.624899854632012e-08,2.6324768701410254e-06,0.0
1636,0.0004677336775265368,8.624899854632012e-08,2.8147958183970852e-06,0.0
1637,0.0005394924748023706,0.0,6.062361811538202e-06,0.0
1638,0.0005271366473087775,0.0,5.970311942097137e-06,0.0
1639,0.0004901358209151242,7.787022988330656e-08,5.6404099219824796e-06,0.0
1640,0.0004912613076157868,7.787022988330656e-08,6.051642141561128e-06,0.0
1641,0.0004201619844284973,1.375923172223078e-07,5.80480581545219e-06,0.0
1642,0.00046607141848653555,1.375923172223078e-07,5.336517671951567e-06,0.0
1643,0.00045762309205851385,1.375923172223078e-07,5.079462482626695e-06,0.0
1644,0.0004000575323256531,1.375923172223078e-07,1.2389784274091653e-06,0.0
1645,0.0003789673584313797,1.375923172223078e-07,1.3498925162431469e-06,0.0
1646,0.0004168710022765611,5.972208733900125e-08,1.239888417460731e-06,0.0
1647,0.0004387931008490601,5.972208733900125e-08,9.327017502463215e-07,0.0
1648,0.0005123924347572029,4.584923577307823e-08,1.1160986933386345e-06,0.0
1649,0.00047960213851183653,4.584923577307823e-08,1.5557432756655283e-06,0.0
1650,0.00047276112101306874,4.584923577307823e-08,2.826945051635578e-06,0.0
1651,0.0004847960912489465,8.88493169830846e-08,2.8156224435146475e-06,0.0
1652,0.0004863622847811452,8.88493169830846e-08,2.5700382804773525e-06,0.0
1653,0.0004571496309446437,1.6422509523701073e-07,2.443937237980468e-06,0.0
1654,0.0004698614772808339,1.6422509523701073e-07,2.7132403650804397e-06,0.0
1655,0.0004320886676266257,1.7647890412523077e-07,2.70415256409251e-06,0.0
1656,0.0004070780456199178,1.7647890412523077e-07,2.247172809737614e-06,0.0
1657,0.0004071680138752397,1.7647890412523077e-07,9.412574521710277e-07,0.0
1658,0.00040191130080659477,1.3347882291522444e-07,8.764883960208993e-07,0.0
1659,0.00039652648099165944,1.9781319338108005e-07,6.2484084578175366e-06,0.0
1660,0.0003755078567857189,1.2243741512715394e-07,6.253207479695837e-06,0.0
1661,0.00032293725442806523,1.2243741512715394e-07,5.879858800231627e-06,0.0
1662,0.0002973160777141207,6.433437046585563e-08,5.827349237311605e-06,0.0
1663,0.00026122188657089803,6.433437046585563e-08,5.736734574871402e-06,0.0
1664,0.00024261856015073135,1.0363735165291083e-07,5.759731672177233e-06,0.0
1665,0.00022453442943515256,1.4772896861359186e-07,5.784775250309135e-06,0.0
1666,0.00023429165906106521,8.339459814773623e-08,4.5280358611827456e-07,0.0
1667,0.00023030443844618276,8.339459814773623e-08,4.699857356627035e-07,0.0
1668,0.00028855886921519414,8.339459814773623e-08,5.137389515701736e-07,0.0
1669,0.0002831923370000108,8.339459814773623e-08,5.41709827725104e-07,0.0
1670,0.0003185152142707791,8.339459814773623e-08,5.803589959084223e-07,0.0
1671,0.00036287430806883743,1.2231200230417016e-07,6.581938042212901e-07,0.0
1672,0.00039273999365312714,1.520221936906247e-07,6.243213631153464e-07,0.0
1673,0.00038614077077779384,1.520221936906247e-07,6.833444469326164e-07,0.0
1674,0.00041063790558837354,1.520221936906247e-07,7.161095944801283e-07,0.0
1675,0.00038638318073935807,1.520221936906247e-07,9.125858753122884e-07,0.0
1676,0.0004205929747383509,1.520221936906247e-07,8.916549510169196e-07,0.0
1677,0.0004255792508567018,2.5278079160021403e-07,8.530057828336015e-07,0.0
1678,0.00038174820448538024,1.7456040625672487e-07,7.164835835737904e-07,0.0
1679,0.0003377449694588514,1.4690213642357515e-07,6.87296485628914e-07,0.0
1680,0.0003336717179211389,1.4690213642357515e-07,6.245288618954094e-07,0.0
1681,0.00033161465502676686,1.6927798388418784e-07,5.167826121318544e-07,0.0
1682,0.0002990077440959534,1.6927798388418784e-07,3.5719724727251947e-07,0.0
1683,0.0002632492396514863,1.6927798388418784e-07,2.2835771622859674e-07,0.0
1684,0.0002348785284474226,6.851938597459853e-08,3.1602245696506414e-07,0.0
1685,0.0002082136634271592,8.872521764910094e-08,3.365155488869017e-07,0.0
1686,0.00022175856117558266,4.258167913511508e-08,2.94929447721058e-07,0.0
1687,0.00022939594262944802,8.37817688242077e-08,3.8232585503854874e-07,0.0
1688,0.00021836438099853694,6.140592136359504e-08,4.065415859193828e-07,0.0
1689,0.00022740027426542447,9.297709116903466e-08,3.2589745403908766e-07,0.0
1690,0.0002260413353464433,1.5528796179101585e-07,3.2589745403908766e-07,0.0
1691,0.00024209990806411952,2.0422006790405639e-07,2.8716481941566077e-07,0.0
1692,0.0002546229536944468,1.8401423622955398e-07,2.704212006067662e-07,0.0
1693,0.0002532021857665053,1.8401423622955398e-07,4.6225035329631024e-07,0.0
1694,0.00022518896003020927,1.671996971351421e-07,4.1180674007331876e-07,0.0
1695,0.0002100566354264239,1.671996971351421e-07,3.8072196519221636e-07,0.0
1696,0.00021425047244909884,1.3562852732970247e-07,3.8072196519221636e-07,0.0
1697,0.0002166861595469527,7.331765670772126e-08,3.8806904001376097e-07,0.0
1698,0.00020223926549078897,2.4385550594680742e-08,4.94705986398003e-07,0.0
1699,0.00018787790551349253,2.4385550594680742e-08,5.102465629696391e-07,0.0
1700,0.00017842045157781934,2.4385550594680742e-08,2.9078820367495997e-07,0.0
1701,0.00018688567797653377,9.666759329515377e-09,2.466318298794639e-07,0.0
1702,0.0001829308977383854,3.363707890002843e-08,2.550953459896326e-07,0.0
1703,0.0001568079023854807,3.363707890002843e-08,2.882189765581903e-07,0.0
1704,0.000145407543251557,4.2298845569023665e-08,2.895336684056409e-07,0.0
1705,0.00014412607249271656,4.2298845569023665e-08,2.0722705329490054e-07,0.0
1706,0.00016404167191857205,4.2298845569023665e-08,1.9016919797617708e-07,0.0
1707,0.00016547553657021905,4.2298845569023665e-08,2.387790100247652e-07,0.0
1708,0.00015901907837750123,3.263208623950829e-08,2.3871633406510486e-07,0.0
1709,0.00016080517629494092,3.271179898385006e-08,2.2677103065201924e-07,0.0
1710,0.00016978076642512212,4.992682229547947e-08,3.1415256529498947e-07,0.0
1711,0.0001692332059194866,6.064971306126868e-08,3.248754560607787e-07,0.0
1712,0.00016362688308748017,6.064971306126868e-08,3.493837965606872e-07,0.0
1713,0.00015226918393247097,9.310375860747757e-08,3.4886906113180363e-07,0.0
1714,0.00015240423402117033,1.1224697971101705e-07,3.4811730285712527e-07,0.0
1715,0.00015722089925215447,1.3489168639223082e-07,3.418244075094533e-07,0.0
1716,0.00015716163761680946,1.10841654077376e-07,3.5636426584265533e-07,0.0
1717,0.0001593869414396717,9.36266307657466e-08,2.511419115843897e-07,0.0
1718,0.0001681746299644666,7.424197333096214e-08,2.3949901059186883e-07,0.0
1719,0.0001672859538562729,8.741171545320217e-08,1.6806771694989819e-07,0.0
1720,0.0001639542616820628,5.495766990699329e-08,1.7361507025676864e-07,0.0
1721,0.00016697833468372534,6.209462303071892e-08,1.52037190710124e-07,0.0
1722,0.00016466295034790943,7.036026313958896e-08,1.6030283081899403e-07,0.0
1723,0.00017661229295689345,8.888579117183326e-08,2.1401524514479725e-07,0.0
1724,0.00016083850641734898,9.475671092218363e-08,2.3982887396657914e-07,0.0
1725,0.00015537470088539912,9.475671092218363e-08,2.5414597765965094e-07,0.0
1726,0.00016595021069016575,1.00749461852599e-07,3.0445646562579244e-07,0.0
1727,0.00016536596168797196,1.0759217770685479e-07,3.1832937809537854e-07,0.0
1728,0.0001546299983082073,9.427112347891255e-08,3.374061228506824e-07,0.0
