ngram,presence,presnce,presence,presece
1638,6.418526910627926e-05,0.0,6.418526910627926e-05,0.0
1639,6.392318807359385e-05,0.0,6.392318807359385e-05,0.0
1640,6.745211534767545e-05,0.0,6.745211534767545e-05,0.0
1641,8.063524884554292e-05,0.0,8.063524884554292e-05,5.972208733900125e-08
1642,8.250712718498627e-05,0.0,8.250712718498627e-05,5.972208733900125e-08
1643,7.76824178631484e-05,0.0,7.76824178631484e-05,5.972208733900125e-08
1644,7.455343750604828e-05,0.0,7.455343750604828e-05,5.972208733900125e-08
1645,7.888317850301974e-05,0.0,7.888317850301974e-05,5.972208733900125e-08
1646,8.028681103106854e-05,0.0,8.028681103106854e-05,5.972208733900125e-08
1647,7.82317916413636e-05,0.0,7.82317916413636e-05,5.972208733900125e-08
1648,6.705333050506721e-05,0.0,6.705333050506721e-05,0.0
1649,6.252916656584213e-05,0.0,6.252916656584213e-05,0.0
1650,6.192041837493889e-05,0.0,6.192041837493889e-05,0.0
1651,6.473552015709824e-05,0.0,6.473552015709824e-05,0.0
1652,5.8288784202886745e-05,0.0,5.8288784202886745e-05,0.0
1653,5.698959284927696e-05,0.0,5.698959284927696e-05,0.0
1654,6.604605420891727e-05,0.0,6.604605420891727e-05,0.0
1655,6.247585146671295e-05,0.0,6.247585146671295e-05,0.0
1656,6.019719564522218e-05,0.0,6.019719564522218e-05,0.0
1657,6.513314188591071e-05,0.0,6.513314188591071e-05,0.0
1658,6.340277728408441e-05,0.0,6.340277728408441e-05,0.0
1659,6.674104536484395e-05,0.0,6.674104536484395e-05,0.0
1660,6.48142951311976e-05,0.0,6.48142951311976e-05,0.0
1661,4.983979462329964e-05,0.0,4.983979462329964e-05,0.0
1662,4.768834800675644e-05,4.059985972812033e-08,4.768834800675644e-05,0.0
1663,4.786272048867042e-05,4.059985972812033e-08,4.786272048867042e-05,0.0
1664,4.280302580030236e-05,4.059985972812033e-08,4.280302580030236e-05,0.0
1665,4.311551102936002e-05,4.059985972812033e-08,4.311551102936002e-05,0.0
1666,4.327501457217815e-05,4.059985972812033e-08,4.327501457217815e-05,0.0
1667,4.686394017231318e-05,4.059985972812033e-08,4.686394017231318e-05,0.0
1668,5.178647240557309e-05,4.059985972812033e-08,5.178647240557309e-05,0.0
1669,5.5033301967861394e-05,0.0,5.5033301967861394e-05,0.0
1670,5.5378079975655836e-05,0.0,5.5378079975655836e-05,0.0
1671,5.616488488158211e-05,0.0,5.616488488158211e-05,0.0
1672,5.459352022236479e-05,0.0,5.459352022236479e-05,0.0
1673,5.345870054692828e-05,0.0,5.345870054692828e-05,0.0
1674,5.39657412446104e-05,0.0,5.39657412446104e-05,0.0
1675,5.449218016500319e-05,0.0,5.449218016500319e-05,0.0
1676,5.8143764493122164e-05,0.0,5.8143764493122164e-05,0.0
1677,5.917907557367081e-05,0.0,5.917907557367081e-05,0.0
1678,5.950373296010574e-05,0.0,5.950373296010574e-05,0.0
1679,6.000478502496013e-05,0.0,6.000478502496013e-05,0.0
1680,5.9290884174905454e-05,0.0,5.9290884174905454e-05,0.0
1681,5.9077414334751666e-05,0.0,5.9077414334751666e-05,0.0
1682,5.9032357447514574e-05,0.0,5.9032357447514574e-05,0.0
1683,5.7352797219729314e-05,0.0,5.7352797219729314e-05,0.0
1684,5.6554816962618914e-05,0.0,5.6554816962618914e-05,0.0
1685,5.2631139884137414e-05,0.0,5.2631139884137414e-05,0.0
1686,5.309429928144839e-05,0.0,5.309429928144839e-05,0.0
1687,5.179763840195457e-05,0.0,5.179763840195457e-05,0.0
1688,4.735962050160326e-05,0.0,4.735962050160326e-05,0.0
1689,4.453258926722421e-05,0.0,4.453258926722421e-05,0.0
1690,4.2609254835822086e-05,0.0,4.2609254835822086e-05,0.0
1691,4.220528847197004e-05,0.0,4.220528847197004e-05,0.0
1692,4.250286630329876e-05,0.0,4.250286630329876e-05,0.0
1693,3.7013380019094e-05,0.0,3.7013380019094e-05,0.0
1694,3.294487448459092e-05,0.0,3.294487448459092e-05,0.0
1695,3.368343641341198e-05,0.0,3.368343641341198e-05,0.0
1696,3.596878767504157e-05,0.0,3.596878767504157e-05,0.0
1697,3.560345144900826e-05,0.0,3.560345144900826e-05,0.0
1698,3.287302180459457e-05,0.0,3.287302180459457e-05,0.0
1699,3.125386319879908e-05,0.0,3.125386319879908e-05,0.0
1700,3.372851902635635e-05,0.0,3.372851902635635e-05,0.0
1701,3.44327771537272e-05,0.0,3.44327771537272e-05,0.0
1702,3.296452788552935e-05,0.0,3.296452788552935e-05,0.0
1703,2.8084973694473903e-05,0.0,2.8084973694473903e-05,0.0
1704,2.658583019053497e-05,0.0,2.658583019053497e-05,0.0
1705,2.7012129326716865e-05,0.0,2.7012129326716865e-05,0.0
1706,2.890633212310994e-05,0.0,2.890633212310994e-05,0.0
1707,2.5900550229250386e-05,0.0,2.5900550229250386e-05,0.0
1708,2.440739834647892e-05,0.0,2.440739834647892e-05,0.0
1709,2.6461774853357512e-05,0.0,2.6461774853357512e-05,0.0
1710,2.7513472949587075e-05,0.0,2.7513472949587075e-05,0.0
1711,2.4120191353306707e-05,0.0,2.4120191353306707e-05,0.0
1712,2.2939308629637318e-05,0.0,2.2939308629637318e-05,0.0
1713,2.286032239291152e-05,0.0,2.286032239291152e-05,0.0
1714,2.666363187537562e-05,0.0,2.666363187537562e-05,0.0
1715,2.6365703498803278e-05,0.0,2.6365703498803278e-05,0.0
1716,2.3303736790174817e-05,0.0,2.3303736790174817e-05,0.0
1717,2.2030366510859623e-05,0.0,2.2030366510859623e-05,0.0
1718,2.307784429181733e-05,0.0,2.307784429181733e-05,0.0
1719,2.1717168757667033e-05,0.0,2.1717168757667033e-05,0.0
1720,2.103271630663325e-05,0.0,2.103271630663325e-05,0.0
1721,1.8254373182052014e-05,0.0,1.8254373182052014e-05,0.0
1722,2.026687590322191e-05,0.0,2.026687590322191e-05,0.0
1723,2.151542919039327e-05,0.0,2.151542919039327e-05,0.0
1724,2.1545193573859122e-05,0.0,2.1545193573859122e-05,0.0
1725,2.201347264677419e-05,0.0,2.201347264677419e-05,0.0
1726,2.4467759690846185e-05,0.0,2.4467759690846185e-05,0.0
1727,2.3063160499857205e-05,0.0,2.3063160499857205e-05,0.0
1728,2.388187177919982e-05,0.0,2.388187177919982e-05,0.0
1729,2.2670988463297753e-05,0.0,2.2670988463297753e-05,0.0
1730,2.2159912467551684e-05,0.0,2.2159912467551684e-05,0.0
1731,2.1874244079559242e-05,0.0,2.1874244079559242e-05,0.0
1732,2.0529700123006478e-05,0.0,2.0529700123006478e-05,0.0
1733,1.9934968025024447e-05,0.0,1.9934968025024447e-05,0.0
1734,2.063152013371499e-05,0.0,2.063152013371499e-05,0.0
1735,1.9524448621918316e-05,0.0,1.9524448621918316e-05,0.0
1736,1.9530797934359206e-05,0.0,1.9530797934359206e-05,0.0
1737,1.9442272137634325e-05,0.0,1.9442272137634325e-05,0.0
1738,2.164612981557314e-05,0.0,2.164612981557314e-05,0.0
1739,2.210181108759051e-05,0.0,2.210181108759051e-05,0.0
1740,2.1061327580745065e-05,0.0,2.1061327580745065e-05,0.0
1741,2.1646581444656476e-05,0.0,2.1646581444656476e-05,0.0
1742,2.3405686598770054e-05,0.0,2.3405686598770054e-05,0.0
1743,2.387495104423059e-05,0.0,2.387495104423059e-05,0.0
1744,2.63765972964133e-05,0.0,2.63765972964133e-05,0.0
1745,2.645961077567855e-05,0.0,2.645961077567855e-05,0.0
1746,2.740639190181225e-05,0.0,2.740639190181225e-05,0.0
1747,2.903404051072097e-05,0.0,2.903404051072097e-05,0.0
1748,2.8254801041579674e-05,0.0,2.8254801041579674e-05,0.0
1749,2.7511923690326512e-05,0.0,2.7511923690326512e-05,0.0
1750,3.0508380535008784e-05,0.0,3.0508380535008784e-05,0.0
1751,3.1838389726804704e-05,0.0,3.1838389726804704e-05,0.0
1752,3.388731810056405e-05,0.0,3.388731810056405e-05,0.0
1753,3.654172931939164e-05,0.0,3.654172931939164e-05,0.0
1754,3.909638845860692e-05,0.0,3.909638845860692e-05,4.184068710547503e-09
1755,4.3642008157413716e-05,0.0,4.3642008157413716e-05,4.184068710547503e-09
1756,4.6358593473477026e-05,0.0,4.6358593473477026e-05,4.184068710547503e-09
1757,4.8896728653094866e-05,0.0,4.8896728653094866e-05,4.184068710547503e-09
1758,5.127338954480365e-05,0.0,5.127338954480365e-05,7.2916535032163665e-09
1759,5.265019405799519e-05,0.0,5.265019405799519e-05,7.2916535032163665e-09
1760,5.301566384982185e-05,0.0,5.301566384982185e-05,7.2916535032163665e-09
1761,5.3136415122675574e-05,0.0,5.3136415122675574e-05,3.1075847926688637e-09
1762,5.3524467408091626e-05,0.0,5.3524467408091626e-05,3.1075847926688637e-09
1763,5.358665605724257e-05,0.0,5.358665605724257e-05,3.1075847926688637e-09
1764,5.257208249531686e-05,0.0,5.257208249531686e-05,3.1075847926688637e-09
1765,5.1197013298016305e-05,0.0,5.1197013298016305e-05,0.0
1766,5.070105180493556e-05,0.0,5.070105180493556e-05,0.0
1767,5.157604755368084e-05,0.0,5.157604755368084e-05,0.0
1768,5.1534971134969965e-05,0.0,5.1534971134969965e-05,0.0
1769,5.1577226778525596e-05,0.0,5.1577226778525596e-05,0.0
1770,5.5875283578643575e-05,0.0,5.5875283578643575e-05,0.0
1771,5.771028320720818e-05,0.0,5.771028320720818e-05,0.0
1772,5.976042094906526e-05,0.0,5.976042094906526e-05,0.0
1773,6.0347620352071575e-05,0.0,6.0347620352071575e-05,0.0
1774,6.0457772633526474e-05,0.0,6.0457772633526474e-05,0.0
1775,6.195074404656355e-05,0.0,6.195074404656355e-05,0.0
1776,6.147183012217283e-05,0.0,6.147183012217283e-05,0.0
1777,5.759271880378947e-05,0.0,5.759271880378947e-05,0.0
1778,5.5936884434361544e-05,0.0,5.5936884434361544e-05,2.7811436962922797e-09
1779,5.462678226259803e-05,0.0,5.462678226259803e-05,2.7811436962922797e-09
1780,5.455594977580144e-05,0.0,5.455594977580144e-05,2.7811436962922797e-09
1781,5.384166485912699e-05,0.0,5.384166485912699e-05,2.7811436962922797e-09
1782,5.365957726358569e-05,0.0,5.365957726358569e-05,2.7811436962922797e-09
1783,5.350649111538327e-05,0.0,5.350649111538327e-05,2.7811436962922797e-09
1784,5.4782581823279285e-05,0.0,5.4782581823279285e-05,2.7811436962922797e-09
