ngram,corner,cornr,cornr,cornerr
1500,6.00155362917576e-06,0.0,0.0,0.0
1501,4.801242903340608e-06,0.0,0.0,0.0
1502,1.5246530286579704e-05,0.0,0.0,0.0
1503,2.1993121273616062e-05,0.0,0.0,0.0
1504,3.327103669497384e-05,0.0,0.0,0.0
1505,3.091086546191946e-05,0.0,0.0,0.0
1506,3.091086546191946e-05,0.0,0.0,0.0
1507,3.091086546191946e-05,0.0,0.0,0.0
1508,3.091086546191946e-05,0.0,0.0,0.0
1509,2.1271870147237288e-05,0.0,0.0,0.0
1510,1.2347203404975257e-05,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.999628044099414e-06,0.0,0.0,0.0
1515,1.999628044099414e-06,0.0,0.0,0.0
1516,1.999628044099414e-06,0.0,0.0,0.0
1517,3.600134212839683e-05,0.0,0.0,0.0
1518,3.600134212839683e-05,0.0,0.0,0.0
1519,3.600134212839683e-05,0.0,0.0,0.0
1520,3.689507632641055e-05,0.0,0.0,0.0
1521,3.489544828231114e-05,0.0,0.0,0.0
1522,3.489544828231114e-05,0.0,0.0,0.0
1523,3.489544828231114e-05,0.0,0.0,0.0
1524,8.937341980137197e-07,0.0,0.0,0.0
1525,8.937341980137197e-07,0.0,0.0,0.0
1526,8.937341980137197e-07,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,7.289485048594153e-07,0.0,0.0,0.0
1531,1.2218644964637601e-05,0.0,0.0,0.0
1532,1.2218644964637601e-05,0.0,0.0,0.0
1533,1.2218644964637601e-05,0.0,0.0,0.0
1534,1.2218644964637601e-05,0.0,0.0,0.0
1535,1.5230721471328121e-05,0.0,0.0,0.0
1536,1.746704343271891e-05,0.0,0.0,0.0
1537,1.6738094927859493e-05,0.0,0.0,0.0
1538,5.248398468081307e-06,0.0,0.0,0.0
1539,9.398954197032644e-06,0.0,0.0,0.0
1540,9.398954197032644e-06,0.0,0.0,0.0
1541,9.398954197032644e-06,0.0,0.0,0.0
1542,1.9928694590427248e-05,0.0,0.0,0.0
1543,1.7692372629036462e-05,0.0,0.0,0.0
1544,1.838789726856963e-05,0.0,0.0,0.0
1545,1.9995417850233415e-05,0.0,0.0,0.0
1546,2.0040454988442695e-05,0.0,0.0,0.0
1547,2.0040454988442695e-05,0.0,0.0,0.0
1548,2.539080963158215e-05,0.0,0.0,0.0
1549,1.4274308211627482e-05,0.0,0.0,0.0
1550,1.5895345313765574e-05,0.0,0.0,0.0
1551,1.5199820674232406e-05,0.0,0.0,0.0
1552,1.4313411091799416e-05,0.0,0.0,0.0
1553,1.01178182246388e-05,0.0,0.0,0.0
1554,1.01178182246388e-05,0.0,0.0,0.0
1555,4.767463581499344e-06,0.0,0.0,0.0
1556,3.3830243799976804e-06,0.0,0.0,0.0
1557,1.761987277859589e-06,0.0,0.0,0.0
1558,6.53632774369076e-06,0.0,0.0,0.0
1559,9.25366332791912e-06,0.0,0.0,0.0
1560,1.4189256164952115e-05,0.0,0.0,0.0
1561,1.4189256164952115e-05,0.0,0.0,0.0
1562,1.4189256164952115e-05,0.0,0.0,0.0
1563,1.314837988632332e-05,0.0,0.0,0.0
1564,1.314837988632332e-05,0.0,0.0,0.0
1565,9.385840062999965e-06,0.0,0.0,0.0
1566,7.851063985851528e-06,0.0,0.0,0.0
1567,5.6450604201277855e-06,0.0,0.0,0.0
1568,5.6450604201277855e-06,0.0,0.0,0.0
1569,9.358587054261339e-06,0.0,0.0,0.0
1570,1.0869599334130595e-05,0.0,0.0,0.0
1571,2.3128858239423217e-05,0.0,0.0,0.0
1572,2.47168614545704e-05,0.0,0.0,0.0
1573,3.413887485034398e-05,0.0,0.0,0.0
1574,3.140928557903473e-05,0.0,0.0,0.0
1575,3.2666565208013966e-05,0.0,0.0,0.0
1576,3.391052372795197e-05,0.0,0.0,0.0
1577,4.005393943121557e-05,0.0,0.0,0.0
1578,3.020381167776317e-05,0.0,0.0,0.0
1579,3.148453665094816e-05,0.0,0.0,0.0
1580,2.1149313592364445e-05,0.0,0.0,0.0
1581,2.8862309396312673e-05,5.933073745317026e-07,5.933073745317026e-07,0.0
1582,2.8442992515920196e-05,5.933073745317026e-07,5.933073745317026e-07,0.0
1583,2.4206441269468216e-05,5.933073745317026e-07,5.933073745317026e-07,0.0
1584,1.8350236457211266e-05,5.933073745317026e-07,5.933073745317026e-07,0.0
1585,1.971546700068367e-05,5.933073745317026e-07,5.933073745317026e-07,0.0
1586,5.9687463168042344e-05,5.933073745317026e-07,5.933073745317026e-07,0.0
1587,6.700291175677973e-05,5.933073745317026e-07,5.933073745317026e-07,0.0
1588,6.129843339814605e-05,0.0,0.0,0.0
1589,6.34480942218423e-05,0.0,0.0,0.0
1590,6.506694119577463e-05,0.0,0.0,0.0
1591,6.460138527992447e-05,0.0,0.0,0.0
1592,6.202096717190995e-05,0.0,0.0,0.0
1593,1.9954655986761543e-05,0.0,0.0,0.0
1594,1.2822167653731803e-05,0.0,0.0,0.0
1595,1.5321620984260725e-05,0.0,0.0,0.0
1596,1.3806924990993658e-05,0.0,0.0,0.0
1597,1.3040951281644603e-05,0.0,0.0,0.0
1598,1.2769898018762302e-05,0.0,0.0,0.0
1599,1.2401332436898624e-05,0.0,0.0,0.0
1600,1.3916807347413851e-05,0.0,0.0,0.0
1601,1.411065328024311e-05,0.0,0.0,0.0
1602,1.1377494761940657e-05,0.0,0.0,0.0
1603,1.3201448057640977e-05,0.0,0.0,0.0
