ngram,news,nes,new,news
1500,1.8174239357904298e-06,0.0,0.00018020375864580274,1.8174239357904298e-06
1501,1.4539391486323439e-06,0.0,0.0001441630069166422,1.4539391486323439e-06
1502,1.9144593655558615e-06,1.7571085209056037e-07,0.0002044770517386496,1.9144593655558615e-06
1503,1.6409651704764526e-06,1.506093017919089e-07,0.0002555880429489272,1.6409651704764526e-06
1504,9.726601482335745e-07,1.506093017919089e-07,0.00032260474316509705,9.726601482335745e-07
1505,9.181010552440836e-07,4.66273149868357e-07,0.00038148190859439116,9.181010552440836e-07
1506,9.181010552440836e-07,4.66273149868357e-07,0.0004042891793817814,9.181010552440836e-07
1507,9.181010552440836e-07,4.66273149868357e-07,0.0004042891793817814,9.181010552440836e-07
1508,9.181010552440836e-07,4.66273149868357e-07,0.0004042891793817814,9.181010552440836e-07
1509,3.156638480764481e-07,3.156638480764481e-07,0.0003319967114033976,3.156638480764481e-07
1510,3.156638480764481e-07,3.156638480764481e-07,0.0002516747128018843,3.156638480764481e-07
1511,3.156638480764481e-07,3.156638480764481e-07,0.00014054988527537456,3.156638480764481e-07
1512,0.0,0.0,2.2807270787390216e-05,0.0
1513,0.0,0.0,0.0,0.0
1514,3.970690054952034e-05,2.8566114451678004e-07,4.1992187366953916e-05,3.970690054952034e-05
1515,3.970690054952034e-05,2.8566114451678004e-07,4.1992187366953916e-05,3.970690054952034e-05
1516,3.970690054952034e-05,2.8566114451678004e-07,4.1992187366953916e-05,3.970690054952034e-05
1517,4.023817733208749e-05,2.8566114451678004e-07,5.952432028217507e-05,4.023817733208749e-05
1518,4.023817733208749e-05,2.8566114451678004e-07,5.952432028217507e-05,4.023817733208749e-05
1519,4.023817733208749e-05,2.8566114451678004e-07,5.952432028217507e-05,4.023817733208749e-05
1520,4.5600582520169807e-05,1.4773066985591349e-06,0.00010599849753946598,4.5600582520169807e-05
1521,5.8936819706494655e-06,1.1916455540423548e-06,6.400631017251206e-05,5.8936819706494655e-06
1522,1.858870941110321e-05,1.1916455540423548e-06,0.00010526514753499734,1.858870941110321e-05
1523,2.2284979552620954e-05,1.1916455540423548e-06,0.00029069469850842973,2.2284979552620954e-05
1524,2.1753702770053807e-05,2.390310445272397e-05,0.00027729192178022847,2.1753702770053807e-05
1525,2.1753702770053807e-05,2.390310445272397e-05,0.00027729192178022847,2.1753702770053807e-05
1526,2.1753702770053807e-05,2.390310445272397e-05,0.0003116169939728154,2.1753702770053807e-05
1527,1.639129758197149e-05,2.2711458898681614e-05,0.0003812396428527011,1.639129758197149e-05
1528,1.639129758197149e-05,2.2711458898681614e-05,0.00039378243231372574,1.639129758197149e-05
1529,3.6962701415177435e-06,2.2711458898681614e-05,0.0003525235949512405,3.6962701415177435e-06
1530,0.0,2.927199550738026e-05,0.0001918782922335335,0.0
1531,1.1489696459778185e-05,6.5605366086986446e-06,0.0003083907493938958,1.1489696459778185e-05
1532,1.1489696459778185e-05,6.5605366086986446e-06,0.0003417585778931555,1.1489696459778185e-05
1533,1.1489696459778185e-05,1.4542274584528059e-05,0.0003074335057005685,1.1489696459778185e-05
1534,1.1489696459778185e-05,1.4542274584528059e-05,0.00021099926899686188,1.1489696459778185e-05
1535,4.7634616618909475e-05,1.4542274584528059e-05,0.00024062555166892707,4.7634616618909475e-05
1536,4.8529145390473006e-05,1.5436803356091593e-05,0.00032873663336171636,4.8529145390473006e-05
1537,4.8529145390473006e-05,4.4448265530913235e-05,0.00030395238510599095,4.8529145390473006e-05
1538,3.703944893069482e-05,4.4448265530913235e-05,0.00018648701032881427,3.703944893069482e-05
1539,3.703944893069482e-05,4.4448265530913235e-05,0.00018383329396393883,3.703944893069482e-05
1540,3.703944893069482e-05,3.6466527555083826e-05,0.00018383329396393883,3.703944893069482e-05
1541,3.703944893069482e-05,3.6466527555083826e-05,0.00016417070453046887,3.703944893069482e-05
1542,3.903821444899742e-06,3.6466527555083826e-05,0.00018670142656316915,3.903821444899742e-06
1543,3.009292673336209e-06,4.6980491398634126e-05,0.00010999883748549369,3.009292673336209e-06
1544,2.0536513277745273e-05,1.1408492615113833e-05,0.00017023126851459632,2.0536513277745273e-05
1545,2.0804433380102898e-05,1.2480173024544325e-05,0.00017964707512874156,2.0804433380102898e-05
1546,2.0804433380102898e-05,1.2759879220019294e-05,0.00016991092707030475,2.0804433380102898e-05
1547,2.0804433380102898e-05,2.5868444026855286e-05,0.00019612805668397674,2.0804433380102898e-05
