ngram,marriage,mariage,marige,marriag
1500,2.8164153036414064e-06,0.0,0.0,0.0
1501,2.253132242913125e-06,0.0,0.0,0.0
1502,2.559857565150499e-05,1.7571085209056037e-07,0.0,0.0
1503,2.1941636272718563e-05,1.506093017919089e-07,0.0,0.0
1504,2.1674314276814194e-05,1.506093017919089e-07,0.0,0.0
1505,2.632986901776998e-05,1.506093017919089e-07,0.0,0.0
1506,2.632986901776998e-05,1.506093017919089e-07,0.0,0.0
1507,2.632986901776998e-05,1.506093017919089e-07,0.0,0.0
1508,2.632986901776998e-05,1.506093017919089e-07,0.0,0.0
1509,5.997612918560792e-06,0.0,0.0,0.0
1510,5.997612918560792e-06,0.0,0.0,0.0
1511,5.997612918560792e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.2275988439630184e-05,2.8566114451678004e-07,0.0,0.0
1515,5.2275988439630184e-05,2.8566114451678004e-07,0.0,0.0
1516,5.2275988439630184e-05,2.8566114451678004e-07,0.0,0.0
1517,5.971386313571462e-05,2.8566114451678004e-07,0.0,0.0
1518,5.971386313571462e-05,2.8566114451678004e-07,0.0,0.0
1519,5.971386313571462e-05,2.8566114451678004e-07,0.0,0.0
1520,7.073658447812445e-05,2.8566114451678004e-07,0.0,0.0
1521,1.846059603849426e-05,0.0,0.0,0.0
1522,2.1634352898607695e-05,0.0,0.0,0.0
1523,2.225039790053935e-05,0.0,0.0,0.0
1524,1.6877201297964867e-05,0.0,0.0,0.0
1525,1.6877201297964867e-05,0.0,0.0,0.0
1526,1.6877201297964867e-05,0.0,0.0,0.0
1527,5.854479955555039e-06,0.0,0.0,0.0
1528,5.854479955555039e-06,0.0,0.0,0.0
1529,2.6807230954416028e-06,0.0,0.0,0.0
1530,2.064678093509948e-06,7.289485048594153e-07,0.0,0.0
1531,0.0,7.289485048594153e-07,0.0,0.0
1532,0.0,7.289485048594153e-07,0.0,0.0
1533,0.0,7.289485048594153e-07,0.0,0.0
1534,4.213411947213379e-06,7.289485048594153e-07,0.0,0.0
1535,5.918380806438758e-05,7.289485048594153e-07,0.0,0.0
1536,5.9631072450169344e-05,7.289485048594153e-07,0.0,0.0
1537,5.9631072450169344e-05,0.0,0.0,0.0
1538,5.9631072450169344e-05,0.0,0.0,0.0
1539,5.9631072450169344e-05,0.0,0.0,0.0
1540,5.9631072450169344e-05,0.0,0.0,0.0
1541,5.541766050295597e-05,0.0,0.0,0.0
1542,3.4565570591179754e-06,0.0,0.0,0.0
1543,3.009292673336209e-06,0.0,0.0,0.0
1544,3.458611094434413e-05,0.0,0.0,0.0
1545,4.235579373406446e-05,1.3396004630651857e-06,0.0,0.0
1546,5.634110311802942e-05,4.136662547742682e-06,0.0,0.0
1547,5.634110311802942e-05,4.136662547742682e-06,0.0,0.0
1548,5.9016280439599154e-05,4.433904483188858e-06,0.0,0.0
1549,5.600698776626294e-05,1.5347824273703736e-05,0.0,0.0
1550,5.7087679189342975e-05,1.5347824273703736e-05,0.0,0.0
1551,6.329001520758279e-05,9.798972246244375e-05,0.0,0.0
1552,6.273144254009821e-05,9.665012199937857e-05,0.0,0.0
1553,4.874613315613325e-05,9.385305991470107e-05,0.0,0.0
1554,4.874613315613325e-05,0.00010310966207985725,0.0,0.0
1555,5.0277850862455254e-05,0.00010401439015238014,0.0,0.0
1556,5.131872714108405e-05,9.310047036186526e-05,0.0,0.0
1557,5.023803571800402e-05,9.310047036186526e-05,0.0,0.0
1558,1.3140930085293284e-05,1.0458572173125244e-05,0.0,0.0
1559,1.7964382745308933e-05,1.0458572173125244e-05,0.0,0.0
1560,2.4694736566743813e-05,1.0458572173125244e-05,0.0,0.0
1561,2.4694736566743813e-05,1.6518485478757482e-05,0.0,0.0
1562,2.048784153885208e-05,2.0649659355902778e-05,0.0,0.0
1563,2.2174695524362115e-05,2.155890277728239e-05,0.0,0.0
1564,2.853634227254328e-05,2.155890277728239e-05,0.0,0.0
1565,3.190149618603755e-05,2.2570703419790205e-05,0.0,0.0
1566,2.367427441640757e-05,2.2570703419790205e-05,0.0,0.0
1567,1.7626317912800005e-05,2.3253100737617516e-05,0.0,0.0
1568,1.7626317912800005e-05,7.936585266829102e-06,0.0,0.0
1569,3.6193950563756516e-05,4.088852035368161e-06,0.0,0.0
1570,3.346622029961769e-05,1.224568255305972e-05,0.0,0.0
1571,2.7104573551436522e-05,1.224568255305972e-05,0.0,0.0
1572,8.545266564397025e-05,1.1233881910551905e-05,0.0,0.0
1573,9.297100853343312e-05,1.1233881910551905e-05,0.0,0.0
1574,9.22886112156058e-05,1.2730330776581208e-05,0.0,0.0
1575,0.00011869148355409769,1.398761040556045e-05,0.0,0.0
1576,0.00010237725317503126,1.2952880199788655e-05,0.0,0.0
1577,0.00010237725317503126,3.8868062607174835e-06,0.0,0.0
1578,0.00010623186296600449,3.8868062607174835e-06,0.0,0.0
1579,4.7717097134279485e-05,3.8868062607174835e-06,0.0,0.0
1580,3.7381874075695774e-05,7.84864963471981e-06,0.0,0.0
1581,4.8061407207049865e-05,1.456941387394701e-05,0.0,0.0
1582,2.165853486855797e-05,1.8758892208227606e-05,0.0,0.0
1583,2.156793438449053e-05,2.0230702180664855e-05,0.0,0.0
1584,3.4155496970405306e-05,2.1129813766102806e-05,0.0,0.0
1585,3.671730213942023e-05,2.245084039844057e-05,0.0,0.0
1586,3.6431242408850396e-05,2.3169734244480162e-05,0.0,0.0
1587,4.8245724818635995e-05,2.8552039436492904e-05,0.0,0.0
1588,3.756619168728191e-05,2.166094645872363e-05,0.0,0.0
1589,4.8769779823487625e-05,1.9388538605978412e-05,0.0,0.0
1590,5.3106369055707804e-05,2.1365682901627485e-05,0.0,0.0
1591,5.2246279145557697e-05,2.659684105310589e-05,0.0,0.0
1592,5.5978384417747816e-05,2.587278621441718e-05,0.0,0.0
1593,6.198481475751448e-05,2.62702760664979e-05,0.0,0.0
1594,5.052092417047659e-05,1.8267180166731123e-05,0.0,0.0
1595,6.94544023644994e-05,2.9782575568658232e-05,0.0,0.0
1596,6.035499648403077e-05,2.681864368371732e-05,0.0,0.0
1597,5.8940213550938226e-05,2.4371754079766106e-05,0.0,0.0
1598,4.8008951385522126e-05,1.8418420008206988e-05,0.0,0.0
1599,3.951118716421271e-05,2.0533404722300475e-05,0.0,0.0
1600,3.640715866432791e-05,2.0588587923547103e-05,0.0,1.0650608471353604e-07
1601,4.209776501998671e-05,2.1982069321373793e-05,0.0,1.0650608471353604e-07
1602,2.6922712614967687e-05,8.56255719229791e-06,0.0,1.0650608471353604e-07
1603,3.1000181869395806e-05,1.000057940408234e-05,0.0,1.0650608471353604e-07
1604,4.209125407734453e-05,1.1101889007087656e-05,0.0,1.0650608471353604e-07
1605,4.995268422395124e-05,1.7221419463047433e-05,0.0,1.0650608471353604e-07
1606,5.406769586053477e-05,1.5070023713243635e-05,0.0,1.0650608471353604e-07
1607,5.13033103613582e-05,1.4644953889079001e-05,0.0,0.0
1608,4.8864236305234954e-05,1.3108485372218378e-05,0.0,0.0
1609,7.868977861237778e-05,1.6211542190701168e-05,0.0,0.0
1610,8.385102280174448e-05,2.2974687193969396e-05,0.0,0.0
1611,7.422972833280385e-05,2.123993070719215e-05,0.0,0.0
1612,7.633211680513341e-05,2.32824874209265e-05,0.0,0.0
1613,7.408217970805708e-05,2.4320031505859724e-05,0.0,0.0
1614,7.430501136695966e-05,2.4562363705626922e-05,0.0,0.0
1615,7.695034842721984e-05,2.5649957608818242e-05,0.0,0.0
1616,5.3097842672806496e-05,2.7848868155290673e-05,0.0,0.0
1617,4.484348028199747e-05,1.9684365383909608e-05,0.0,0.0
1618,9.501192783188474e-05,1.945593000332987e-05,0.0,0.0
1619,9.167917544670803e-05,1.1229441668092477e-05,0.0,1.1253449981398132e-07
1620,9.370398506039887e-05,1.0840203791368757e-05,0.0,1.1253449981398132e-07
1621,9.385228180950175e-05,1.306289853378725e-05,0.0,1.1253449981398132e-07
1622,8.781028269108251e-05,1.1832465239487127e-05,0.0,1.1253449981398132e-07
1623,8.077296219458472e-05,6.964925538406013e-06,0.0,1.1253449981398132e-07
1624,8.156706592542053e-05,6.867175061740584e-06,0.0,1.1253449981398132e-07
1625,2.982811383844819e-05,1.2090840730901878e-05,0.0,1.1253449981398132e-07
1626,2.4467433442103876e-05,1.2437549863924297e-05,0.0,0.0
1627,3.074987203685201e-05,1.4743652286597353e-05,0.0,0.0
1628,3.0904513940705715e-05,1.1859686391549726e-05,0.0,0.0
1629,5.190898459009726e-05,1.1712283026099612e-05,0.0,0.0
1630,5.585601567353089e-05,1.384717365583908e-05,0.0,0.0
1631,5.7754737099458e-05,1.4718081177176958e-05,0.0,0.0
1632,6.550688846930695e-05,8.995178794586017e-06,0.0,0.0
1633,7.289969497443443e-05,8.810120756866776e-06,0.0,0.0
1634,6.329814303691299e-05,6.035660330131318e-06,0.0,0.0
1635,6.208571669828546e-05,5.7904219212494875e-06,0.0,0.0
1636,4.36196327687607e-05,5.837887605204222e-06,0.0,0.0
1637,4.40018320659874e-05,3.2373287207779607e-06,0.0,0.0
1638,4.589666761083728e-05,2.8231043610763403e-06,0.0,0.0
1639,4.055830686411355e-05,2.8872186866075415e-06,0.0,0.0
1640,3.3566297393658063e-05,2.7158411463850437e-06,0.0,0.0
1641,3.5644760958218414e-05,2.1544984503764553e-06,0.0,0.0
1642,4.155876818653529e-05,1.1679713850298867e-05,0.0,0.0
1643,4.369541784399189e-05,1.1537327387551549e-05,0.0,0.0
1644,4.088847318988493e-05,1.3755703865367e-05,0.0,0.0
1645,4.2348010018551054e-05,1.5016128072277621e-05,0.0,0.0
1646,4.11961193874179e-05,1.4961126022886414e-05,0.0,0.0
1647,4.403504915119681e-05,1.506640907272023e-05,0.0,0.0
1648,4.775867507435448e-05,1.4978941278189137e-05,0.0,0.0
1649,4.177149380016739e-05,7.405328265771719e-06,0.0,0.0
