ngram,race,race,race,racee
1535,3.5619605114334263e-06,3.5619605114334263e-06,3.5619605114334263e-06,0.0
1536,4.903753636296772e-06,4.903753636296772e-06,4.903753636296772e-06,0.0
1537,4.903753636296772e-06,4.903753636296772e-06,4.903753636296772e-06,0.0
1538,4.903753636296772e-06,4.903753636296772e-06,4.903753636296772e-06,0.0
1539,9.884420511038375e-06,9.884420511038375e-06,9.884420511038375e-06,0.0
1540,9.884420511038375e-06,9.884420511038375e-06,9.884420511038375e-06,0.0
1541,7.07547912627758e-06,7.07547912627758e-06,7.07547912627758e-06,0.0
1542,7.827106336273054e-06,7.827106336273054e-06,7.827106336273054e-06,0.0
1543,6.4853132114097074e-06,6.4853132114097074e-06,6.4853132114097074e-06,0.0
1544,1.0102041285011052e-05,1.0102041285011052e-05,1.0102041285011052e-05,0.0
1545,1.0102041285011052e-05,1.0102041285011052e-05,1.0102041285011052e-05,0.0
1546,7.079317713630319e-06,7.079317713630319e-06,7.079317713630319e-06,0.0
1547,7.079317713630319e-06,7.079317713630319e-06,7.079317713630319e-06,0.0
1548,7.971043487486895e-06,7.971043487486895e-06,7.971043487486895e-06,0.0
1549,6.466397150818791e-06,6.466397150818791e-06,6.466397150818791e-06,0.0
1550,1.4031237307270722e-05,1.4031237307270722e-05,1.4031237307270722e-05,0.0
1551,1.2775706376747361e-05,1.2775706376747361e-05,1.2775706376747361e-05,0.0
1552,2.2150148912000338e-05,2.2150148912000338e-05,2.2150148912000338e-05,0.0
1553,2.0192205608639468e-05,2.0192205608639468e-05,2.0192205608639468e-05,0.0
1554,2.9448807773795644e-05,2.9448807773795644e-05,2.9448807773795644e-05,0.0
1555,2.8557081999939067e-05,2.8557081999939067e-05,2.8557081999939067e-05,0.0
1556,2.8557081999939067e-05,2.8557081999939067e-05,2.8557081999939067e-05,0.0
1557,2.0992241843487136e-05,2.0992241843487136e-05,2.0992241843487136e-05,0.0
1558,3.227201835086037e-05,3.227201835086037e-05,3.227201835086037e-05,0.0
1559,2.4616799107336972e-05,2.4616799107336972e-05,2.4616799107336972e-05,0.0
1560,2.7757630959968083e-05,2.7757630959968083e-05,2.7757630959968083e-05,0.0
1561,1.8501028794811907e-05,1.8501028794811907e-05,1.8501028794811907e-05,0.0
1562,2.383417267992627e-05,2.383417267992627e-05,2.383417267992627e-05,0.0
1563,2.383417267992627e-05,2.383417267992627e-05,2.383417267992627e-05,0.0
1564,3.0195819428107435e-05,3.0195819428107435e-05,3.0195819428107435e-05,0.0
1565,1.6554845777656218e-05,1.6554845777656218e-05,1.6554845777656218e-05,0.0
1566,1.6739292992237358e-05,1.6739292992237358e-05,1.6739292992237358e-05,0.0
1567,1.769284517649794e-05,1.769284517649794e-05,1.769284517649794e-05,0.0
1568,2.0633926526768066e-05,2.0633926526768066e-05,2.0633926526768066e-05,0.0
1569,1.6786193295307123e-05,1.6786193295307123e-05,1.6786193295307123e-05,0.0
1570,1.6786193295307123e-05,1.6786193295307123e-05,1.6786193295307123e-05,0.0
1571,1.042454654712596e-05,1.042454654712596e-05,1.042454654712596e-05,0.0
1572,1.2504389685221082e-05,1.2504389685221082e-05,1.2504389685221082e-05,0.0
1573,1.8151175286870318e-05,1.8151175286870318e-05,1.8151175286870318e-05,0.0
1574,1.732506046079964e-05,1.732506046079964e-05,1.732506046079964e-05,0.0
1575,3.324317393500158e-05,3.324317393500158e-05,3.324317393500158e-05,0.0
1576,3.6264567825128324e-05,3.6264567825128324e-05,3.6264567825128324e-05,0.0
1577,3.6264567825128324e-05,3.6264567825128324e-05,3.6264567825128324e-05,0.0
1578,3.843278578382784e-05,3.843278578382784e-05,3.843278578382784e-05,0.0
1579,3.9586716541504886e-05,3.9586716541504886e-05,3.9586716541504886e-05,0.0
1580,3.203626043354494e-05,3.203626043354494e-05,3.203626043354494e-05,0.0
1581,2.936129859725562e-05,2.936129859725562e-05,2.936129859725562e-05,0.0
1582,1.4272936108942044e-05,1.4272936108942044e-05,1.4272936108942044e-05,0.0
1583,2.610730039772794e-05,2.610730039772794e-05,2.610730039772794e-05,0.0
1584,2.790552356860384e-05,2.790552356860384e-05,2.790552356860384e-05,0.0
1585,2.7624486457560643e-05,2.7624486457560643e-05,2.7624486457560643e-05,0.0
1586,2.5109606407828062e-05,2.5109606407828062e-05,2.5109606407828062e-05,0.0
1587,3.2723356590785056e-05,3.2723356590785056e-05,3.2723356590785056e-05,0.0
1588,3.480807247667274e-05,3.480807247667274e-05,3.480807247667274e-05,0.0
1589,3.813284599475862e-05,3.813284599475862e-05,3.813284599475862e-05,0.0
1590,3.0630849323642906e-05,3.0630849323642906e-05,3.0630849323642906e-05,0.0
1591,3.7361697000700845e-05,3.7361697000700845e-05,3.7361697000700845e-05,0.0
1592,4.263817767683317e-05,4.263817767683317e-05,4.263817767683317e-05,0.0
1593,5.5315887168814826e-05,5.5315887168814826e-05,5.5315887168814826e-05,0.0
1594,5.088713701947459e-05,5.088713701947459e-05,5.088713701947459e-05,0.0
1595,5.2717084534898663e-05,5.2717084534898663e-05,5.2717084534898663e-05,0.0
1596,4.646315158294913e-05,4.646315158294913e-05,4.646315158294913e-05,0.0
1597,4.2587525448262955e-05,4.2587525448262955e-05,4.2587525448262955e-05,0.0
1598,3.560664169656645e-05,3.560664169656645e-05,3.560664169656645e-05,0.0
1599,4.046991775144956e-05,4.046991775144956e-05,4.046991775144956e-05,0.0
1600,3.058801511152913e-05,3.058801511152913e-05,3.058801511152913e-05,0.0
1601,3.0918844588865924e-05,3.0918844588865924e-05,3.0918844588865924e-05,0.0
1602,3.110890611424111e-05,3.110890611424111e-05,3.110890611424111e-05,0.0
1603,3.3564114086662554e-05,3.3564114086662554e-05,3.3564114086662554e-05,0.0
1604,2.9962730617886075e-05,2.9962730617886075e-05,2.9962730617886075e-05,0.0
1605,2.9651349385468556e-05,2.9651349385468556e-05,2.9651349385468556e-05,0.0
1606,2.6753544391665075e-05,2.6753544391665075e-05,2.6753544391665075e-05,0.0
1607,4.040827635825346e-05,4.040827635825346e-05,4.040827635825346e-05,0.0
1608,4.028696587608595e-05,4.028696587608595e-05,4.028696587608595e-05,0.0
1609,4.426793644337782e-05,4.426793644337782e-05,4.426793644337782e-05,0.0
1610,4.645133075038237e-05,4.645133075038237e-05,4.645133075038237e-05,0.0
1611,4.9390483841956924e-05,4.9390483841956924e-05,4.9390483841956924e-05,0.0
1612,5.138168671692256e-05,5.138168671692256e-05,5.138168671692256e-05,0.0
1613,4.448990096404616e-05,4.448990096404616e-05,4.448990096404616e-05,0.0
1614,3.7208760789196405e-05,3.7208760789196405e-05,3.7208760789196405e-05,0.0
1615,3.838556066122172e-05,3.838556066122172e-05,3.838556066122172e-05,0.0
1616,3.5833774745697156e-05,3.5833774745697156e-05,3.5833774745697156e-05,0.0
1617,3.62834834959358e-05,3.62834834959358e-05,3.62834834959358e-05,0.0
1618,3.424714200913773e-05,3.424714200913773e-05,3.424714200913773e-05,0.0
1619,3.6195720375482256e-05,3.6195720375482256e-05,3.6195720375482256e-05,0.0
1620,3.577167392774884e-05,3.577167392774884e-05,3.577167392774884e-05,0.0
1621,2.873806936674685e-05,2.873806936674685e-05,2.873806936674685e-05,0.0
1622,2.4729537731868083e-05,2.4729537731868083e-05,2.4729537731868083e-05,0.0
1623,2.210470535958718e-05,2.210470535958718e-05,2.210470535958718e-05,0.0
1624,1.781737552976535e-05,1.781737552976535e-05,1.781737552976535e-05,0.0
1625,1.596772481856793e-05,1.596772481856793e-05,1.596772481856793e-05,0.0
1626,1.561319598814797e-05,1.561319598814797e-05,1.561319598814797e-05,0.0
1627,1.9391892595064875e-05,1.9391892595064875e-05,1.9391892595064875e-05,0.0
1628,1.7912948838524505e-05,1.7912948838524505e-05,1.7912948838524505e-05,0.0
1629,2.015615931278652e-05,2.015615931278652e-05,2.015615931278652e-05,8.252934386681382e-08
1630,1.8120007650525493e-05,1.8120007650525493e-05,1.8120007650525493e-05,8.252934386681382e-08
1631,2.0331592525378384e-05,2.0331592525378384e-05,2.0331592525378384e-05,8.252934386681382e-08
1632,2.3398062174757278e-05,2.3398062174757278e-05,2.3398062174757278e-05,8.252934386681382e-08
1633,1.953565346671634e-05,1.953565346671634e-05,1.953565346671634e-05,8.252934386681382e-08
1634,1.5918347084412483e-05,1.5918347084412483e-05,1.5918347084412483e-05,8.252934386681382e-08
1635,1.8329309828654266e-05,1.8329309828654266e-05,1.8329309828654266e-05,8.252934386681382e-08
1636,1.8649710779884898e-05,1.8649710779884898e-05,1.8649710779884898e-05,0.0
1637,2.2597327188123018e-05,2.2597327188123018e-05,2.2597327188123018e-05,0.0
1638,2.1907834837163265e-05,2.1907834837163265e-05,2.1907834837163265e-05,0.0
1639,2.006131658812852e-05,2.006131658812852e-05,2.006131658812852e-05,0.0
1640,2.0335363712677334e-05,2.0335363712677334e-05,2.0335363712677334e-05,0.0
1641,1.9794003232423813e-05,1.9794003232423813e-05,1.9794003232423813e-05,0.0
1642,1.8813992028299253e-05,1.8813992028299253e-05,1.8813992028299253e-05,0.0
1643,1.668114022582553e-05,1.668114022582553e-05,1.668114022582553e-05,0.0
1644,1.3467166029710955e-05,1.3467166029710955e-05,1.3467166029710955e-05,0.0
1645,1.5410569890913655e-05,1.5410569890913655e-05,1.5410569890913655e-05,0.0
1646,1.7905569815671436e-05,1.7905569815671436e-05,1.7905569815671436e-05,0.0
1647,2.0521558651255744e-05,2.0521558651255744e-05,2.0521558651255744e-05,0.0
1648,2.1793333417008398e-05,2.1793333417008398e-05,2.1793333417008398e-05,0.0
1649,2.2976254188376644e-05,2.2976254188376644e-05,2.2976254188376644e-05,0.0
1650,2.4881436339845614e-05,2.4881436339845614e-05,2.4881436339845614e-05,0.0
1651,2.534756614685258e-05,2.534756614685258e-05,2.534756614685258e-05,0.0
1652,2.296731405034994e-05,2.296731405034994e-05,2.296731405034994e-05,0.0
1653,2.0872185294657747e-05,2.0872185294657747e-05,2.0872185294657747e-05,0.0
1654,1.9428524605505766e-05,1.9428524605505766e-05,1.9428524605505766e-05,0.0
1655,1.9512365984805262e-05,1.9512365984805262e-05,1.9512365984805262e-05,0.0
1656,1.6474203481006304e-05,1.6474203481006304e-05,1.6474203481006304e-05,0.0
1657,1.8191010375241084e-05,1.8191010375241084e-05,1.8191010375241084e-05,0.0
1658,2.190526616426983e-05,2.190526616426983e-05,2.190526616426983e-05,0.0
1659,2.133256917399454e-05,2.133256917399454e-05,2.133256917399454e-05,0.0
1660,2.130179317256469e-05,2.130179317256469e-05,2.130179317256469e-05,0.0
1661,2.02394764658363e-05,2.02394764658363e-05,2.02394764658363e-05,0.0
1662,1.8668526016491732e-05,1.8668526016491732e-05,1.8668526016491732e-05,0.0
1663,1.9556531437306796e-05,1.9556531437306796e-05,1.9556531437306796e-05,0.0
1664,1.84782638825709e-05,1.84782638825709e-05,1.84782638825709e-05,0.0
1665,1.3420751721631469e-05,1.3420751721631469e-05,1.3420751721631469e-05,0.0
1666,1.262379581541089e-05,1.262379581541089e-05,1.262379581541089e-05,0.0
1667,1.2047327670318606e-05,1.2047327670318606e-05,1.2047327670318606e-05,0.0
1668,1.1884956360777973e-05,1.1884956360777973e-05,1.1884956360777973e-05,0.0
1669,1.1775261944941512e-05,1.1775261944941512e-05,1.1775261944941512e-05,0.0
1670,1.1404470959470408e-05,1.1404470959470408e-05,1.1404470959470408e-05,0.0
1671,9.35338994167978e-06,9.35338994167978e-06,9.35338994167978e-06,0.0
1672,9.62968052980224e-06,9.62968052980224e-06,9.62968052980224e-06,0.0
1673,9.58280712179008e-06,9.58280712179008e-06,9.58280712179008e-06,0.0
1674,9.944084143041567e-06,9.944084143041567e-06,9.944084143041567e-06,0.0
1675,1.209164189016779e-05,1.209164189016779e-05,1.209164189016779e-05,0.0
1676,1.2787093900052631e-05,1.2787093900052631e-05,1.2787093900052631e-05,0.0
1677,1.2426770029248604e-05,1.2426770029248604e-05,1.2426770029248604e-05,0.0
1678,1.1558058369181318e-05,1.1558058369181318e-05,1.1558058369181318e-05,0.0
1679,1.0374311062020882e-05,1.0374311062020882e-05,1.0374311062020882e-05,0.0
1680,9.87752576163205e-06,9.87752576163205e-06,9.87752576163205e-06,0.0
1681,1.0035045566577797e-05,1.0035045566577797e-05,1.0035045566577797e-05,0.0
1682,7.915812992515775e-06,7.915812992515775e-06,7.915812992515775e-06,0.0
1683,8.318782420246862e-06,8.318782420246862e-06,8.318782420246862e-06,0.0
1684,8.40852265225424e-06,8.40852265225424e-06,8.40852265225424e-06,0.0
1685,9.124631885372634e-06,9.124631885372634e-06,9.124631885372634e-06,0.0
1686,9.842137517677787e-06,9.842137517677787e-06,9.842137517677787e-06,0.0
1687,1.0304753491904453e-05,1.0304753491904453e-05,1.0304753491904453e-05,0.0
1688,1.0920591713719269e-05,1.0920591713719269e-05,1.0920591713719269e-05,0.0
1689,1.1478915179655555e-05,1.1478915179655555e-05,1.1478915179655555e-05,0.0
1690,1.0019922813496254e-05,1.0019922813496254e-05,1.0019922813496254e-05,0.0
1691,9.38455728568702e-06,9.38455728568702e-06,9.38455728568702e-06,0.0
1692,8.713677613871238e-06,8.713677613871238e-06,8.713677613871238e-06,0.0
1693,8.239255229065228e-06,8.239255229065228e-06,8.239255229065228e-06,0.0
1694,8.230101164891884e-06,8.230101164891884e-06,8.230101164891884e-06,0.0
1695,6.504931596802115e-06,6.504931596802115e-06,6.504931596802115e-06,0.0
1696,5.697448809119773e-06,5.697448809119773e-06,5.697448809119773e-06,0.0
1697,7.286088085883031e-06,7.286088085883031e-06,7.286088085883031e-06,0.0
1698,7.283417419655182e-06,7.283417419655182e-06,7.283417419655182e-06,0.0
1699,7.600927671904044e-06,7.600927671904044e-06,7.600927671904044e-06,0.0
1700,7.6054430532427176e-06,7.6054430532427176e-06,7.6054430532427176e-06,0.0
1701,6.859399361149242e-06,6.859399361149242e-06,6.859399361149242e-06,0.0
1702,6.87297837690234e-06,6.87297837690234e-06,6.87297837690234e-06,0.0
1703,6.210588383380257e-06,6.210588383380257e-06,6.210588383380257e-06,0.0
1704,4.160056927763175e-06,4.160056927763175e-06,4.160056927763175e-06,0.0
1705,4.836312038085973e-06,4.836312038085973e-06,4.836312038085973e-06,0.0
1706,5.26267009653176e-06,5.26267009653176e-06,5.26267009653176e-06,0.0
1707,5.547670980377006e-06,5.547670980377006e-06,5.547670980377006e-06,0.0
1708,5.662293233399396e-06,5.662293233399396e-06,5.662293233399396e-06,0.0
1709,5.208172394434639e-06,5.208172394434639e-06,5.208172394434639e-06,0.0
1710,6.321691638991719e-06,6.321691638991719e-06,6.321691638991719e-06,0.0
1711,6.685239376175949e-06,6.685239376175949e-06,6.685239376175949e-06,0.0
1712,6.0138334967112835e-06,6.0138334967112835e-06,6.0138334967112835e-06,0.0
1713,5.786423571407795e-06,5.786423571407795e-06,5.786423571407795e-06,0.0
1714,6.312560279703965e-06,6.312560279703965e-06,6.312560279703965e-06,0.0
1715,7.215773036607841e-06,7.215773036607841e-06,7.215773036607841e-06,0.0
1716,7.52734415852631e-06,7.52734415852631e-06,7.52734415852631e-06,0.0
1717,1.082281817486676e-05,1.082281817486676e-05,1.082281817486676e-05,0.0
1718,1.2712728351159188e-05,1.2712728351159188e-05,1.2712728351159188e-05,0.0
1719,1.2720714299315919e-05,1.2720714299315919e-05,1.2720714299315919e-05,0.0
1720,1.3272226169647183e-05,1.3272226169647183e-05,1.3272226169647183e-05,0.0
1721,1.287568524535995e-05,1.287568524535995e-05,1.287568524535995e-05,0.0
1722,1.2780903944076272e-05,1.2780903944076272e-05,1.2780903944076272e-05,0.0
1723,1.4036213282711937e-05,1.4036213282711937e-05,1.4036213282711937e-05,0.0
1724,1.0520904002727807e-05,1.0520904002727807e-05,1.0520904002727807e-05,0.0
1725,9.459551360383297e-06,9.459551360383297e-06,9.459551360383297e-06,0.0
1726,1.1626904194729701e-05,1.1626904194729701e-05,1.1626904194729701e-05,0.0
1727,1.2113268569789528e-05,1.2113268569789528e-05,1.2113268569789528e-05,0.0
1728,1.237057079249228e-05,1.237057079249228e-05,1.237057079249228e-05,0.0
1729,1.282436109509685e-05,1.282436109509685e-05,1.282436109509685e-05,0.0
1730,1.289828131640596e-05,1.289828131640596e-05,1.289828131640596e-05,0.0
1731,1.2396191842916388e-05,1.2396191842916388e-05,1.2396191842916388e-05,0.0
1732,1.2169953086933155e-05,1.2169953086933155e-05,1.2169953086933155e-05,0.0
1733,1.147392445740739e-05,1.147392445740739e-05,1.147392445740739e-05,0.0
1734,1.0903476907385215e-05,1.0903476907385215e-05,1.0903476907385215e-05,0.0
1735,1.051285874252374e-05,1.051285874252374e-05,1.051285874252374e-05,0.0
1736,9.584178964619891e-06,9.584178964619891e-06,9.584178964619891e-06,0.0
1737,9.00009471089496e-06,9.00009471089496e-06,9.00009471089496e-06,0.0
1738,9.699816993296345e-06,9.699816993296345e-06,9.699816993296345e-06,0.0
1739,9.262303137802519e-06,9.262303137802519e-06,9.262303137802519e-06,0.0
1740,8.303750551671588e-06,8.303750551671588e-06,8.303750551671588e-06,0.0
1741,8.195968023626068e-06,8.195968023626068e-06,8.195968023626068e-06,0.0
1742,1.0032331049712542e-05,1.0032331049712542e-05,1.0032331049712542e-05,0.0
1743,1.0998071957146749e-05,1.0998071957146749e-05,1.0998071957146749e-05,0.0
1744,1.2522058178936796e-05,1.2522058178936796e-05,1.2522058178936796e-05,0.0
1745,1.3663570566028024e-05,1.3663570566028024e-05,1.3663570566028024e-05,0.0
1746,1.6070130836201963e-05,1.6070130836201963e-05,1.6070130836201963e-05,0.0
1747,1.8528072619769125e-05,1.8528072619769125e-05,1.8528072619769125e-05,0.0
1748,2.045064788295089e-05,2.045064788295089e-05,2.045064788295089e-05,0.0
1749,2.1094212310604883e-05,2.1094212310604883e-05,2.1094212310604883e-05,0.0
1750,2.344335423133868e-05,2.344335423133868e-05,2.344335423133868e-05,0.0
1751,2.500933935932283e-05,2.500933935932283e-05,2.500933935932283e-05,0.0
1752,2.7862350439785848e-05,2.7862350439785848e-05,2.7862350439785848e-05,0.0
1753,2.8956783613206687e-05,2.8956783613206687e-05,2.8956783613206687e-05,0.0
1754,2.9484285343122402e-05,2.9484285343122402e-05,2.9484285343122402e-05,0.0
1755,3.14791840147726e-05,3.14791840147726e-05,3.14791840147726e-05,0.0
1756,3.2483837068347e-05,3.2483837068347e-05,3.2483837068347e-05,0.0
1757,3.5370050422248566e-05,3.5370050422248566e-05,3.5370050422248566e-05,0.0
1758,3.438161417891804e-05,3.438161417891804e-05,3.438161417891804e-05,0.0
1759,3.290086923308471e-05,3.290086923308471e-05,3.290086923308471e-05,0.0
1760,3.353050461945324e-05,3.353050461945324e-05,3.353050461945324e-05,0.0
1761,3.59847646385398e-05,3.59847646385398e-05,3.59847646385398e-05,0.0
1762,3.604655207059945e-05,3.604655207059945e-05,3.604655207059945e-05,0.0
1763,3.6755801504893627e-05,3.6755801504893627e-05,3.6755801504893627e-05,0.0
1764,3.61699585482711e-05,3.61699585482711e-05,3.61699585482711e-05,0.0
1765,4.001287665492522e-05,4.001287665492522e-05,4.001287665492522e-05,0.0
1766,4.110581409934509e-05,4.110581409934509e-05,4.110581409934509e-05,0.0
1767,4.314240920523714e-05,4.314240920523714e-05,4.314240920523714e-05,0.0
1768,4.102124304543915e-05,4.102124304543915e-05,4.102124304543915e-05,0.0
1769,4.1269741424392646e-05,4.1269741424392646e-05,4.1269741424392646e-05,0.0
1770,4.408572099886702e-05,4.408572099886702e-05,4.408572099886702e-05,0.0
1771,4.534557696648075e-05,4.534557696648075e-05,4.534557696648075e-05,0.0
1772,4.232347782817669e-05,4.232347782817669e-05,4.232347782817669e-05,0.0
1773,4.3932093311533595e-05,4.3932093311533595e-05,4.3932093311533595e-05,0.0
1774,4.409684489863659e-05,4.409684489863659e-05,4.409684489863659e-05,0.0
1775,4.721190998679958e-05,4.721190998679958e-05,4.721190998679958e-05,0.0
1776,5.7749393558229455e-05,5.7749393558229455e-05,5.7749393558229455e-05,0.0
1777,5.658571587576132e-05,5.658571587576132e-05,5.658571587576132e-05,0.0
1778,5.470042846614628e-05,5.470042846614628e-05,5.470042846614628e-05,0.0
1779,5.703614910349383e-05,5.703614910349383e-05,5.703614910349383e-05,0.0
1780,5.710999383674269e-05,5.710999383674269e-05,5.710999383674269e-05,0.0
1781,5.605328104658318e-05,5.605328104658318e-05,5.605328104658318e-05,0.0
1782,5.499115858193753e-05,5.499115858193753e-05,5.499115858193753e-05,0.0
1783,4.6080742322374135e-05,4.6080742322374135e-05,4.6080742322374135e-05,0.0
1784,4.605152519486312e-05,4.605152519486312e-05,4.605152519486312e-05,0.0
1785,4.7622275555373304e-05,4.7622275555373304e-05,4.7622275555373304e-05,0.0
1786,4.74784808050442e-05,4.74784808050442e-05,4.74784808050442e-05,0.0
1787,4.8707470081613534e-05,4.8707470081613534e-05,4.8707470081613534e-05,0.0
1788,4.9605456816997116e-05,4.9605456816997116e-05,4.9605456816997116e-05,0.0
1789,5.094649012400103e-05,5.094649012400103e-05,5.094649012400103e-05,0.0
1790,5.074652134291162e-05,5.074652134291162e-05,5.074652134291162e-05,0.0
1791,5.1969459101590996e-05,5.1969459101590996e-05,5.1969459101590996e-05,0.0
1792,5.3727034745471815e-05,5.3727034745471815e-05,5.3727034745471815e-05,0.0
1793,5.422800521565867e-05,5.422800521565867e-05,5.422800521565867e-05,0.0
1794,5.4208487979069885e-05,5.4208487979069885e-05,5.4208487979069885e-05,0.0
1795,5.452722429514064e-05,5.452722429514064e-05,5.452722429514064e-05,0.0
1796,5.4434765063758406e-05,5.4434765063758406e-05,5.4434765063758406e-05,0.0
1797,5.628409573026667e-05,5.628409573026667e-05,5.628409573026667e-05,0.0
1798,5.618426907208881e-05,5.618426907208881e-05,5.618426907208881e-05,0.0
1799,5.450529975600408e-05,5.450529975600408e-05,5.450529975600408e-05,0.0
1800,5.4744364855910786e-05,5.4744364855910786e-05,5.4744364855910786e-05,0.0
1801,5.518748366739601e-05,5.518748366739601e-05,5.518748366739601e-05,0.0
1802,5.5571429194450115e-05,5.5571429194450115e-05,5.5571429194450115e-05,0.0
1803,5.5902215016041214e-05,5.5902215016041214e-05,5.5902215016041214e-05,0.0
1804,5.482174050744756e-05,5.482174050744756e-05,5.482174050744756e-05,0.0
1805,5.4632566648901305e-05,5.4632566648901305e-05,5.4632566648901305e-05,0.0
1806,5.375612194516829e-05,5.375612194516829e-05,5.375612194516829e-05,0.0
1807,5.528053900759135e-05,5.528053900759135e-05,5.528053900759135e-05,0.0
1808,5.414321848158059e-05,5.414321848158059e-05,5.414321848158059e-05,0.0
1809,5.196370433882943e-05,5.196370433882943e-05,5.196370433882943e-05,0.0
1810,5.023258095856623e-05,5.023258095856623e-05,5.023258095856623e-05,4.35875304104018e-10
1811,4.933813865396327e-05,4.933813865396327e-05,4.933813865396327e-05,6.702592449313118e-10
1812,4.831286319780962e-05,4.831286319780962e-05,4.831286319780962e-05,6.702592449313118e-10
1813,4.7543856843341405e-05,4.7543856843341405e-05,4.7543856843341405e-05,6.702592449313118e-10
1814,4.580194997418273e-05,4.580194997418273e-05,4.580194997418273e-05,6.702592449313118e-10
1815,4.574481655643987e-05,4.574481655643987e-05,4.574481655643987e-05,6.702592449313118e-10
1816,4.791319276721749e-05,4.791319276721749e-05,4.791319276721749e-05,6.702592449313118e-10
1817,4.916990344229687e-05,4.916990344229687e-05,4.916990344229687e-05,2.343839408272938e-10
1818,4.946785286717516e-05,4.946785286717516e-05,4.946785286717516e-05,0.0
1819,5.2168850483472594e-05,5.2168850483472594e-05,5.2168850483472594e-05,0.0
1820,5.4075507900311747e-05,5.4075507900311747e-05,5.4075507900311747e-05,0.0
1821,5.45123777036289e-05,5.45123777036289e-05,5.45123777036289e-05,0.0
1822,5.493750411135677e-05,5.493750411135677e-05,5.493750411135677e-05,0.0
1823,5.49727348178359e-05,5.49727348178359e-05,5.49727348178359e-05,7.023138261428943e-10
1824,5.550238087640277e-05,5.550238087640277e-05,5.550238087640277e-05,7.023138261428943e-10
1825,5.629009163905201e-05,5.629009163905201e-05,5.629009163905201e-05,1.2087810435141527e-09
1826,5.563880300282368e-05,5.563880300282368e-05,5.563880300282368e-05,1.2087810435141527e-09
1827,5.625258511697341e-05,5.625258511697341e-05,5.625258511697341e-05,1.2087810435141527e-09
1828,5.721022327114562e-05,5.721022327114562e-05,5.721022327114562e-05,1.2087810435141527e-09
1829,5.7636290875962004e-05,5.7636290875962004e-05,5.7636290875962004e-05,1.2087810435141527e-09
1830,5.908646562602371e-05,5.908646562602371e-05,5.908646562602371e-05,5.064672173712584e-10
1831,5.97924185318074e-05,5.97924185318074e-05,5.97924185318074e-05,5.064672173712584e-10
1832,6.048868557887285e-05,6.048868557887285e-05,6.048868557887285e-05,0.0
1833,6.0662200537210864e-05,6.0662200537210864e-05,6.0662200537210864e-05,8.247826231512688e-11
1834,6.094852194239918e-05,6.094852194239918e-05,6.094852194239918e-05,8.247826231512688e-11
1835,6.101659112443615e-05,6.101659112443615e-05,6.101659112443615e-05,8.247826231512688e-11
1836,6.156641341346716e-05,6.156641341346716e-05,6.156641341346716e-05,1.5753944180931156e-10
1837,6.151664482396362e-05,6.151664482396362e-05,6.151664482396362e-05,1.5753944180931156e-10
