ngram,role,roe,rol,role
1500,1.7993197047871945e-06,7.017202392489708e-07,3.148930147744977e-07,1.7993197047871945e-06
1501,1.4394557638297557e-06,5.613761913991766e-07,2.519144118195982e-07,1.4394557638297557e-06
1502,1.1995464698581297e-06,4.6781349283264717e-07,2.0992867651633182e-07,1.1995464698581297e-06
1503,0.0001081241835955942,4.009829938565547e-07,1.7993886558542727e-07,0.0001081241835955942
1504,0.00010718855664241087,0.0,4.627786763324236e-08,0.00010718855664241087
1505,0.00010772732860329728,3.156638480764481e-07,0.0,0.00010772732860329728
1506,0.00010772732860329728,3.156638480764481e-07,0.0,0.00010772732860329728
1507,0.00010772732860329728,3.156638480764481e-07,0.0,0.00010772732860329728
1508,0.00010772732860329728,3.156638480764481e-07,0.0,0.00010772732860329728
1509,0.00010772732860329728,3.156638480764481e-07,0.0,0.00010772732860329728
1510,6.313276961528962e-07,3.156638480764481e-07,0.0,6.313276961528962e-07
1511,6.313276961528962e-07,3.156638480764481e-07,0.0,6.313276961528962e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,2.979113885105887e-07,2.979113885105887e-07,0.0,2.979113885105887e-07
1521,2.979113885105887e-07,2.979113885105887e-07,0.0,2.979113885105887e-07
1522,2.979113885105887e-07,2.979113885105887e-07,0.0,2.979113885105887e-07
1523,7.690451671546075e-06,2.979113885105887e-07,0.0,7.690451671546075e-06
1524,1.8013842269023632e-05,2.979113885105887e-07,0.0,1.8013842269023632e-05
1525,1.8013842269023632e-05,2.979113885105887e-07,0.0,1.8013842269023632e-05
1526,2.9455532999885952e-05,2.979113885105887e-07,0.0,2.9455532999885952e-05
1527,2.915762161137536e-05,0.0,0.0,2.915762161137536e-05
1528,3.020285404480611e-05,0.0,0.0,3.020285404480611e-05
1529,3.020285404480611e-05,0.0,0.0,3.020285404480611e-05
1530,2.353926226663004e-05,0.0,0.0,2.353926226663004e-05
1531,3.0450415839108507e-05,0.0,0.0,3.0450415839108507e-05
1532,3.766508130606131e-05,0.0,0.0,3.766508130606131e-05
1533,2.622339057519899e-05,0.0,0.0,2.622339057519899e-05
1534,2.622339057519899e-05,0.0,0.0,2.622339057519899e-05
1535,2.5178158141768237e-05,0.0,0.0,2.5178158141768237e-05
1536,2.5178158141768237e-05,0.0,0.0,2.5178158141768237e-05
1537,2.4449209636908824e-05,0.0,0.0,2.4449209636908824e-05
1538,7.214665466952803e-06,0.0,0.0,7.214665466952803e-06
1539,8.301111457902672e-07,0.0,0.0,8.301111457902672e-07
1540,8.301111457902672e-07,0.0,0.0,8.301111457902672e-07
1541,8.301111457902672e-07,0.0,0.0,8.301111457902672e-07
1542,8.301111457902672e-07,0.0,0.0,8.301111457902672e-07
1543,2.3647096376017934e-05,0.0,0.0,2.3647096376017934e-05
1544,2.3647096376017934e-05,0.0,0.0,2.3647096376017934e-05
1545,2.3647096376017934e-05,0.0,0.0,2.3647096376017934e-05
1546,2.2816985230227666e-05,0.0,0.0,2.2816985230227666e-05
1547,2.6094126431936665e-05,0.0,0.0,2.6094126431936665e-05
1548,2.639136836738284e-05,0.0,0.0,2.639136836738284e-05
1549,2.639136836738284e-05,0.0,0.0,2.639136836738284e-05
1550,7.897148829475295e-06,0.0,0.0,7.897148829475295e-06
1551,7.897148829475295e-06,0.0,0.0,7.897148829475295e-06
1552,7.897148829475295e-06,0.0,0.0,7.897148829475295e-06
1553,7.897148829475295e-06,0.0,0.0,7.897148829475295e-06
1554,4.620007627766297e-06,0.0,0.0,4.620007627766297e-06
1555,5.5247357002891865e-06,0.0,0.0,5.5247357002891865e-06
1556,8.647364666103385e-06,0.0,0.0,8.647364666103385e-06
1557,1.366960714221932e-05,0.0,0.0,1.366960714221932e-05
1558,1.9808045180980116e-05,0.0,0.0,1.9808045180980116e-05
1559,1.9808045180980116e-05,0.0,0.0,1.9808045180980116e-05
1560,2.070542567318106e-05,0.0,0.0,2.070542567318106e-05
1561,2.070542567318106e-05,0.0,0.0,2.070542567318106e-05
1562,1.9503455665211993e-05,0.0,1.7777145850621828e-06,1.9503455665211993e-05
1563,1.6380826699397793e-05,0.0,1.7777145850621828e-06,1.6380826699397793e-05
1564,7.035818530961738e-06,0.0,1.7777145850621828e-06,7.035818530961738e-06
1565,8.973804922009419e-07,0.0,1.7777145850621828e-06,8.973804922009419e-07
1566,8.973804922009419e-07,0.0,1.7777145850621828e-06,8.973804922009419e-07
1567,6.823973178273133e-07,0.0,1.7777145850621828e-06,6.823973178273133e-07
1568,6.823973178273133e-07,0.0,1.7777145850621828e-06,6.823973178273133e-07
1569,2.9105132983074455e-06,0.0,0.0,2.9105132983074455e-06
1570,2.9105132983074455e-06,0.0,0.0,2.9105132983074455e-06
1571,2.9105132983074455e-06,0.0,0.0,2.9105132983074455e-06
1572,2.9105132983074455e-06,0.0,0.0,2.9105132983074455e-06
1573,2.9105132983074455e-06,1.2584093513266583e-06,0.0,2.9105132983074455e-06
1574,6.041096899675072e-06,1.2584093513266583e-06,0.0,6.041096899675072e-06
1575,7.298376528654314e-06,1.2584093513266583e-06,0.0,7.298376528654314e-06
1576,5.971621443937433e-06,1.2584093513266583e-06,0.0,5.971621443937433e-06
1577,5.971621443937433e-06,1.2584093513266583e-06,0.0,5.971621443937433e-06
1578,6.694360763503937e-06,1.4993224632624852e-06,0.0,6.694360763503937e-06
1579,7.341115568643934e-06,1.4993224632624852e-06,0.0,7.341115568643934e-06
1580,7.341115568643934e-06,2.40913111935827e-07,0.0,7.341115568643934e-06
1581,3.5281346494489948e-06,2.40913111935827e-07,0.0,3.5281346494489948e-06
1582,3.527799175831855e-06,2.40913111935827e-07,0.0,3.527799175831855e-06
1583,3.3473721876881816e-06,2.40913111935827e-07,0.0,3.3473721876881816e-06
1584,3.3473721876881816e-06,2.40913111935827e-07,0.0,3.3473721876881816e-06
1585,3.5682232919498347e-06,0.0,0.0,3.5682232919498347e-06
1586,2.921468486809837e-06,0.0,0.0,2.921468486809837e-06
1587,3.959707165839583e-06,0.0,0.0,3.959707165839583e-06
1588,3.959707165839583e-06,2.67802326041939e-06,0.0,3.959707165839583e-06
1589,2.88948948374517e-06,2.67802326041939e-06,0.0,2.88948948374517e-06
1590,2.688506875918912e-06,4.237877094835442e-06,0.0,2.688506875918912e-06
1591,3.7546407319106426e-06,4.770944022831307e-06,0.0,3.7546407319106426e-06
