ngram,desk,dsk,desk,dek
1500,2.465314082655823e-06,0.0,2.465314082655823e-06,0.0
1501,1.9722512661246585e-06,0.0,1.9722512661246585e-06,0.0
1502,1.6435427217705485e-06,0.0,1.6435427217705485e-06,0.0
1503,1.9258084388898817e-05,0.0,1.9258084388898817e-05,0.0
1504,3.0936982771631195e-05,0.0,3.0936982771631195e-05,0.0
1505,3.019653688949932e-05,0.0,3.019653688949932e-05,0.0
1506,3.019653688949932e-05,0.0,3.019653688949932e-05,0.0
1507,3.019653688949932e-05,0.0,3.019653688949932e-05,0.0
1508,3.019653688949932e-05,0.0,3.019653688949932e-05,0.0
1509,3.019653688949932e-05,0.0,3.019653688949932e-05,0.0
1510,1.2347203404975257e-05,0.0,1.2347203404975257e-05,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625535651342943e-06,0.0,1.0625535651342943e-06,0.0
1518,1.0625535651342943e-06,0.0,1.0625535651342943e-06,0.0
1519,1.0625535651342943e-06,0.0,1.0625535651342943e-06,0.0
1520,1.360464953644883e-06,0.0,1.360464953644883e-06,0.0
1521,1.360464953644883e-06,0.0,1.360464953644883e-06,0.0
1522,1.360464953644883e-06,0.0,1.360464953644883e-06,0.0
1523,1.360464953644883e-06,0.0,1.360464953644883e-06,0.0
1524,2.979113885105887e-07,0.0,2.979113885105887e-07,0.0
1525,2.979113885105887e-07,0.0,2.979113885105887e-07,0.0
1526,2.979113885105887e-07,0.0,2.979113885105887e-07,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,5.744848229889092e-06,0.0,5.744848229889092e-06,0.0
1532,5.744848229889092e-06,0.0,5.744848229889092e-06,0.0
1533,5.744848229889092e-06,0.0,5.744848229889092e-06,0.0
1534,5.744848229889092e-06,0.0,5.744848229889092e-06,0.0
1535,6.497867356561723e-06,0.0,6.497867356561723e-06,0.0
1536,6.497867356561723e-06,0.0,6.497867356561723e-06,0.0
1537,6.497867356561723e-06,0.0,6.497867356561723e-06,0.0
1538,7.530191266726303e-07,0.0,7.530191266726303e-07,0.0
1539,7.530191266726303e-07,0.0,7.530191266726303e-07,0.0
1540,7.530191266726303e-07,0.0,7.530191266726303e-07,0.0
