ngram,interview,intervew,interveiw,intrview
1500,1.6197253671634826e-07,0.0,0.0,0.0
1501,1.295780293730786e-07,0.0,0.0,0.0
1502,8.108250995064736e-07,0.0,0.0,0.0
1503,6.949929424341203e-07,0.0,0.0,0.0
1504,6.949929424341203e-07,0.0,0.0,0.0
1505,9.181010552440836e-07,0.0,0.0,0.0
1506,9.181010552440836e-07,0.0,0.0,0.0
1507,9.181010552440836e-07,0.0,0.0,0.0
1508,9.181010552440836e-07,0.0,0.0,0.0
1509,3.156638480764481e-07,0.0,0.0,0.0
1510,3.156638480764481e-07,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283057160875095e-05,0.0,0.0,0.0
1515,1.4283057160875095e-05,0.0,0.0,0.0
1516,1.4283057160875095e-05,0.0,0.0,0.0
1517,1.4283057160875095e-05,0.0,0.0,0.0
1518,1.4283057160875095e-05,0.0,0.0,0.0
1519,1.4283057160875095e-05,0.0,0.0,0.0
1520,1.6070525556902533e-05,0.0,0.0,0.0
1521,1.7874683960274394e-06,0.0,0.0,0.0
1522,1.7874683960274394e-06,0.0,0.0,0.0
1523,9.180008679062926e-06,0.0,0.0,0.0
1524,9.180008679062926e-06,0.0,0.0,0.0
1525,9.180008679062926e-06,0.0,0.0,0.0
1526,9.180008679062926e-06,0.0,0.0,0.0
1527,7.392540283035487e-06,0.0,0.0,0.0
1528,7.392540283035487e-06,0.0,0.0,0.0
1529,7.392540283035487e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,1.8072460079565644e-05,0.0,0.0,0.0
1536,1.8072460079565644e-05,0.0,0.0,0.0
1537,1.8072460079565644e-05,0.0,0.0,0.0
1538,1.8072460079565644e-05,0.0,0.0,0.0
1539,1.8072460079565644e-05,0.0,0.0,0.0
1540,1.8072460079565644e-05,0.0,0.0,0.0
1541,1.8072460079565644e-05,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,6.259721495942878e-06,0.0,0.0,0.0
1545,6.527641598300501e-06,0.0,0.0,0.0
1546,6.527641598300501e-06,0.0,0.0,0.0
1547,6.527641598300501e-06,0.0,0.0,0.0
1548,6.824883533746677e-06,0.0,0.0,0.0
1549,6.824883533746677e-06,0.0,0.0,0.0
1550,8.986266379906738e-06,0.0,0.0,0.0
1551,2.72654488396386e-06,0.0,0.0,0.0
1552,3.900846780067825e-06,0.0,0.0,0.0
1553,3.900846780067825e-06,0.0,0.0,0.0
1554,3.900846780067825e-06,0.0,0.0,0.0
1555,3.603604844621649e-06,0.0,0.0,0.0
1556,3.603604844621649e-06,0.0,0.0,0.0
1557,1.4422219984615886e-06,0.0,0.0,0.0
1558,1.4422219984615886e-06,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,2.24345110057454e-06,0.0,0.0,0.0
1561,2.24345110057454e-06,0.0,0.0,0.0
1562,2.24345110057454e-06,0.0,0.0,0.0
1563,2.24345110057454e-06,0.0,0.0,0.0
1564,2.24345110057454e-06,0.0,0.0,0.0
1565,2.24345110057454e-06,0.0,0.0,0.0
1566,2.24345110057454e-06,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,1.4854106536534215e-06,0.0,0.0,0.0
1570,1.4854106536534215e-06,0.0,0.0,0.0
1571,3.9372623307696945e-06,0.0,0.0,0.0
1572,3.9372623307696945e-06,0.0,0.0,0.0
1573,3.9372623307696945e-06,0.0,0.0,0.0
1574,3.9372623307696945e-06,0.0,0.0,0.0
1575,3.9372623307696945e-06,0.0,0.0,0.0
1576,2.4518516771162728e-06,0.0,0.0,0.0
1577,2.4518516771162728e-06,0.0,0.0,0.0
1578,2.40913111935827e-07,0.0,0.0,0.0
1579,8.876679170758248e-07,0.0,0.0,0.0
1580,8.876679170758248e-07,0.0,0.0,0.0
1581,8.876679170758248e-07,0.0,0.0,0.0
1582,8.876679170758248e-07,0.0,0.0,0.0
1583,1.127979219615684e-06,0.0,0.0,0.0
1584,2.0270908050536363e-06,0.0,0.0,0.0
1585,2.163613869145463e-06,0.0,0.0,0.0
1586,1.516859064005465e-06,0.0,0.0,0.0
1587,1.516859064005465e-06,0.0,0.0,0.0
1588,1.516859064005465e-06,0.0,0.0,0.0
1589,2.263764957076221e-06,0.0,0.0,0.0
1590,2.543404954329682e-06,0.0,0.0,0.0
1591,1.9108268328896623e-06,0.0,0.0,0.0
1592,1.5333906568620087e-06,0.0,0.0,0.0
1593,1.5333906568620087e-06,0.0,0.0,0.0
1594,1.5333906568620087e-06,0.0,0.0,0.0
1595,3.7873760447837412e-06,0.0,0.0,0.0
1596,3.040470151712985e-06,0.0,0.0,0.0
1597,2.641580944587726e-06,0.0,0.0,0.0
1598,2.861620552201722e-06,0.0,0.0,0.0
1599,2.861620552201722e-06,0.0,0.0,0.0
1600,4.246199685959644e-06,0.0,0.0,0.0
1601,5.02749513283821e-06,0.0,0.0,0.0
1602,3.2955133195043473e-06,0.0,0.0,0.0
1603,3.2955133195043473e-06,0.0,0.0,0.0
1604,1.4071751690737852e-05,0.0,0.0,0.0
1605,1.3697615510669234e-05,0.0,0.0,0.0
1606,1.4017935939136805e-05,0.0,0.0,0.0
1607,1.2633356805378884e-05,0.0,0.0,0.0
1608,1.1852061358500318e-05,0.0,0.0,0.0
1609,1.2273427655275424e-05,0.0,0.0,0.0
1610,1.2273427655275424e-05,0.0,0.0,0.0
1611,1.4785394699044576e-06,0.0,0.0,0.0
1612,1.3661025783611486e-06,0.0,0.0,0.0
