ngram,bath,bat,bath,bat
1500,1.2867282634942967e-06,1.6197253671634826e-07,1.2867282634942967e-06,1.6197253671634826e-07
1501,1.0293826107954373e-06,1.295780293730786e-07,1.0293826107954373e-06,1.295780293730786e-07
1502,1.0335296944200916e-06,1.0798169114423217e-07,1.0335296944200916e-06,1.0798169114423217e-07
1503,8.858825952172213e-07,9.255573526648472e-08,8.858825952172213e-07,9.255573526648472e-08
1504,7.522215972650364e-07,9.255573526648472e-08,7.522215972650364e-07,9.255573526648472e-08
1505,4.66273149868357e-07,0.0,4.66273149868357e-07,0.0
1506,4.66273149868357e-07,0.0,4.66273149868357e-07,0.0
1507,4.66273149868357e-07,0.0,4.66273149868357e-07,0.0
1508,4.66273149868357e-07,0.0,4.66273149868357e-07,0.0
1509,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1510,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1511,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,5.312767825671472e-07,0.0
1518,5.312767825671472e-07,0.0,5.312767825671472e-07,0.0
1519,5.312767825671472e-07,0.0,5.312767825671472e-07,0.0
1520,2.020833692638137e-06,8.937341980137197e-07,2.020833692638137e-06,8.937341980137197e-07
1521,2.020833692638137e-06,8.937341980137197e-07,2.020833692638137e-06,8.937341980137197e-07
1522,2.020833692638137e-06,8.937341980137197e-07,2.020833692638137e-06,8.937341980137197e-07
1523,2.020833692638137e-06,8.937341980137197e-07,2.020833692638137e-06,8.937341980137197e-07
1524,3.5542350035809378e-06,2.9584122915236677e-06,3.5542350035809378e-06,2.9584122915236677e-06
1525,3.5542350035809378e-06,2.9584122915236677e-06,3.5542350035809378e-06,2.9584122915236677e-06
1526,3.5542350035809378e-06,2.9584122915236677e-06,3.5542350035809378e-06,2.9584122915236677e-06
1527,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06
1528,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06
1529,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06,2.064678093509948e-06
1530,5.7094206827709315e-06,2.064678093509948e-06,5.7094206827709315e-06,2.064678093509948e-06
1531,3.644742589260984e-06,0.0,3.644742589260984e-06,0.0
1532,3.644742589260984e-06,0.0,3.644742589260984e-06,0.0
1533,3.644742589260984e-06,0.0,3.644742589260984e-06,0.0
1534,3.644742589260984e-06,8.426823894426758e-06,3.644742589260984e-06,8.426823894426758e-06
1535,4.021252152597299e-06,8.426823894426758e-06,4.021252152597299e-06,8.426823894426758e-06
1536,4.021252152597299e-06,8.426823894426758e-06,4.021252152597299e-06,8.426823894426758e-06
1537,3.7650956333631515e-07,8.426823894426758e-06,3.7650956333631515e-07,8.426823894426758e-06
1538,3.7650956333631515e-07,8.426823894426758e-06,3.7650956333631515e-07,8.426823894426758e-06
1539,7.84750961559309e-06,8.426823894426758e-06,7.84750961559309e-06,8.426823894426758e-06
1540,7.84750961559309e-06,8.426823894426758e-06,7.84750961559309e-06,8.426823894426758e-06
1541,7.608593458436579e-05,0.0,7.608593458436579e-05,0.0
1542,7.570942502102948e-05,1.5046463366681046e-06,7.570942502102948e-05,1.5046463366681046e-06
1543,7.570942502102948e-05,1.2913138951781938e-05,7.570942502102948e-05,1.2913138951781938e-05
1544,7.612673977876381e-05,1.3052243876440375e-05,7.612673977876381e-05,1.3052243876440375e-05
1545,7.639465988112144e-05,1.3052243876440375e-05,7.639465988112144e-05,1.3052243876440375e-05
1546,6.892365982886466e-05,1.3052243876440375e-05,6.892365982886466e-05,1.3052243876440375e-05
1547,6.892365982886466e-05,1.3052243876440375e-05,6.892365982886466e-05,1.3052243876440375e-05
1548,5.4411058272307855e-06,1.3349485811886552e-05,5.4411058272307855e-06,1.3349485811886552e-05
1549,5.4411058272307855e-06,1.1844839475218447e-05,5.4411058272307855e-06,1.1844839475218447e-05
1550,5.4411058272307855e-06,4.3634686010461466e-07,5.4411058272307855e-06,4.3634686010461466e-07
