ngram,proposal,proposl,propoal,propsal
1500,8.620270364190219e-06,0.0,0.0,0.0
1501,6.896216291352175e-06,0.0,0.0,0.0
1502,1.523523284655918e-05,0.0,0.0,0.0
1503,1.305877101133644e-05,0.0,0.0,0.0
1504,1.2390465989093563e-05,0.0,0.0,0.0
1505,1.160520462560401e-05,0.0,0.0,0.0
1506,1.160520462560401e-05,0.0,0.0,0.0
1507,1.160520462560401e-05,0.0,0.0,0.0
1508,1.160520462560401e-05,0.0,0.0,0.0
1509,3.4723023938048366e-06,0.0,0.0,0.0
1510,3.4723023938048366e-06,0.0,0.0,0.0
1511,3.4723023938048366e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.5709502681690666e-06,0.0,0.0,0.0
1515,2.5709502681690666e-06,0.0,0.0,0.0
1516,2.5709502681690666e-06,0.0,0.0,0.0
1517,3.633503833303361e-06,0.0,0.0,0.0
1518,3.633503833303361e-06,0.0,0.0,0.0
1519,3.633503833303361e-06,0.0,0.0,0.0
1520,4.527238031317081e-06,0.0,0.0,0.0
1521,1.956287763148014e-06,0.0,0.0,0.0
1522,1.956287763148014e-06,0.0,0.0,0.0
1523,1.1196962857086743e-05,0.0,0.0,0.0
1524,1.0134409291952449e-05,0.0,0.0,0.0
1525,1.0134409291952449e-05,0.0,0.0,0.0
1526,1.1405708262048262e-05,0.0,0.0,0.0
1527,1.0511974064034543e-05,0.0,0.0,0.0
1528,1.4692903797757545e-05,0.0,0.0,0.0
1529,1.4692903797757545e-05,0.0,0.0,0.0
1530,5.452228703818816e-06,0.0,0.0,0.0
1531,5.452228703818816e-06,0.0,0.0,0.0
1532,5.452228703818816e-06,0.0,0.0,0.0
1533,4.180929733723003e-06,0.0,0.0,0.0
1534,4.180929733723003e-06,0.0,0.0,0.0
1535,3.012076506690521e-06,0.0,0.0,0.0
1536,6.142927304608747e-06,0.0,0.0,0.0
1537,6.142927304608747e-06,0.0,0.0,0.0
1538,6.142927304608747e-06,0.0,0.0,0.0
1539,6.973038450399015e-06,0.0,0.0,0.0
1540,6.973038450399015e-06,0.0,0.0,0.0
1541,6.973038450399015e-06,0.0,0.0,0.0
1542,5.465608280376598e-06,0.0,0.0,0.0
1543,2.3347574824583717e-06,0.0,0.0,0.0
1544,3.7258067615247067e-06,0.0,0.0,0.0
1545,3.7258067615247067e-06,0.0,0.0,0.0
1546,2.8956956157344393e-06,0.0,0.0,0.0
1547,2.8956956157344393e-06,0.0,0.0,0.0
1548,7.651566582873265e-06,0.0,0.0,0.0
1549,6.146920246205159e-06,0.0,0.0,0.0
1550,2.0195908811209457e-05,0.0,0.0,0.0
1551,1.880485953214312e-05,0.0,0.0,0.0
1552,2.024708153060471e-05,0.0,0.0,0.0
1553,2.024708153060471e-05,0.0,0.0,0.0
1554,2.024708153060471e-05,0.0,0.0,0.0
1555,1.609219556745042e-05,0.0,0.0,0.0
1556,1.609219556745042e-05,0.0,0.0,0.0
1557,2.043207002446122e-06,0.0,0.0,0.0
1558,7.024807109701214e-05,0.0,0.0,0.0
1559,6.880584909855056e-05,0.0,0.0,0.0
1560,7.10493001991251e-05,0.0,0.0,0.0
1561,7.10493001991251e-05,0.0,0.0,0.0
1562,7.044831519514056e-05,0.0,0.0,0.0
1563,7.090293690583036e-05,0.0,0.0,0.0
1564,7.090293690583036e-05,0.0,0.0,0.0
1565,3.709873453772161e-06,0.0,0.0,0.0
1566,3.709873453772161e-06,0.0,0.0,0.0
1567,1.466422353197621e-06,0.0,0.0,0.0
1568,1.466422353197621e-06,0.0,0.0,0.0
1569,9.63618094829144e-06,0.0,0.0,0.0
1570,9.181559237601635e-06,0.0,0.0,0.0
1571,9.181559237601635e-06,0.0,0.0,0.0
1572,8.169758595093818e-06,0.0,0.0,0.0
1573,8.169758595093818e-06,0.0,0.0,0.0
1574,8.169758595093818e-06,0.0,0.0,0.0
1575,8.169758595093818e-06,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,3.880528830839987e-06,0.0,0.0,0.0
1580,3.880528830839987e-06,0.0,0.0,0.0
1581,3.880528830839987e-06,0.0,0.0,0.0
1582,3.880528830839987e-06,0.0,0.0,0.0
1583,5.08208540850319e-06,0.0,0.0,0.0
1584,5.08208540850319e-06,0.0,0.0,0.0
1585,5.08208540850319e-06,0.0,0.0,0.0
1586,1.2015565776632035e-06,0.0,0.0,0.0
1587,1.2015565776632035e-06,0.0,0.0,0.0
1588,1.2015565776632035e-06,0.0,0.0,0.0
1589,1.9484624707339596e-06,0.0,0.0,0.0
1590,7.469058930707564e-07,0.0,0.0,0.0
1591,7.469058930707564e-07,0.0,0.0,0.0
1592,7.469058930707564e-07,0.0,0.0,0.0
1593,7.469058930707564e-07,0.0,0.0,0.0
1594,1.4174322261949004e-06,0.0,0.0,0.0
1595,1.8682293167720282e-06,0.0,0.0,0.0
1596,6.171360837470274e-06,0.0,0.0,0.0
1597,6.655609208142518e-06,0.0,0.0,0.0
1598,1.187521125497629e-05,0.0,0.0,0.0
1599,1.2464767028827087e-05,0.0,0.0,0.0
1600,1.448838260590232e-05,0.0,0.0,0.0
1601,1.4013180134497816e-05,0.0,0.0,0.0
1602,1.4188787385397258e-05,0.0,0.0,0.0
1603,9.138749971628255e-06,0.0,0.0,0.0
1604,2.5000451777097104e-05,0.0,0.0,0.0
1605,1.989328662180664e-05,0.0,0.0,0.0
1606,2.0184612001880202e-05,0.0,0.0,0.0
1607,1.816099642480497e-05,0.0,0.0,0.0
1608,1.7965672563085328e-05,0.0,0.0,0.0
1609,1.809396413169192e-05,0.0,0.0,0.0
1610,1.809396413169192e-05,0.0,0.0,0.0
1611,1.3935075612282941e-05,0.0,0.0,0.0
1612,1.3822638720739633e-05,0.0,0.0,0.0
1613,1.3101568047854276e-05,0.0,0.0,0.0
1614,1.3101568047854276e-05,0.0,0.0,0.0
1615,1.386345455297747e-05,0.0,0.0,0.0
1616,1.3108758642894308e-05,0.0,0.0,0.0
1617,1.3108758642894308e-05,0.0,0.0,0.0
1618,9.390730789553864e-06,0.0,0.0,0.0
1619,9.390730789553864e-06,0.0,0.0,0.0
1620,1.0540526156026836e-05,0.0,0.0,0.0
1621,1.0718944151579177e-05,0.0,0.0,0.0
1622,1.009775446293913e-05,0.0,0.0,0.0
1623,1.117541122701888e-05,0.0,0.0,0.0
1624,1.3266061890655173e-05,0.0,0.0,0.0
1625,4.7970280872635025e-06,0.0,0.0,0.0
1626,5.026649903681703e-06,0.0,0.0,0.0
1627,3.7170440561697305e-06,0.0,0.0,0.0
1628,4.0627190693547684e-06,0.0,0.0,0.0
1629,1.0029193942630496e-05,0.0,0.0,0.0
1630,9.296533172736027e-06,0.0,0.0,0.0
1631,7.659322396388493e-06,0.0,0.0,0.0
1632,7.842574664859317e-06,0.0,0.0,0.0
1633,7.612952848441117e-06,0.0,0.0,0.0
1634,1.069840686795942e-05,0.0,0.0,0.0
1635,1.0421272999597672e-05,0.0,0.0,0.0
1636,5.8773006555514125e-06,0.0,0.0,0.0
1637,5.532304661366132e-06,0.0,0.0,0.0
1638,5.078864774077374e-06,0.0,0.0,0.0
1639,6.4530170707907275e-06,0.0,0.0,0.0
1640,6.4530170707907275e-06,0.0,0.0,0.0
1641,3.7258955834269206e-06,0.0,0.0,0.0
1642,3.586886277519495e-06,0.0,0.0,0.0
1643,2.0236869318068784e-06,0.0,0.0,0.0
1644,2.3903327977287906e-06,0.0,0.0,0.0
1645,3.0288516086329764e-06,0.0,0.0,0.0
1646,1.773662258334038e-06,0.0,0.0,0.0
1647,1.8777078106982766e-06,0.0,0.0,0.0
1648,1.6569229858630154e-06,0.0,0.0,0.0
1649,1.7836564682381452e-06,0.0,0.0,0.0
1650,1.9593370146659642e-06,0.0,0.0,0.0
1651,1.8506916360040902e-06,0.0,0.0,0.0
1652,1.2678442219891752e-06,0.0,0.0,0.0
1653,1.1163805636117883e-06,0.0,0.0,0.0
1654,1.510133228878528e-06,0.0,0.0,0.0
1655,1.3725855215592934e-06,0.0,0.0,0.0
1656,1.319131529596364e-06,0.0,0.0,0.0
1657,1.560517481331252e-06,0.0,0.0,0.0
1658,1.999520212133835e-06,0.0,0.0,0.0
1659,2.7801956516019085e-06,0.0,0.0,0.0
1660,4.713988931013903e-06,0.0,0.0,0.0
1661,4.350561531347401e-06,0.0,0.0,0.0
1662,5.487357668698678e-06,0.0,0.0,0.0
1663,6.291552990335601e-06,0.0,0.0,0.0
1664,7.210787828171306e-06,0.0,0.0,0.0
1665,6.998792408856909e-06,0.0,0.0,0.0
1666,6.561929556677829e-06,0.0,0.0,0.0
1667,5.418501903672482e-06,0.0,0.0,0.0
1668,5.546650381152826e-06,0.0,0.0,0.0
1669,4.829211531744347e-06,0.0,0.0,0.0
1670,4.152980230693564e-06,0.0,0.0,0.0
1671,3.3642216002200646e-06,0.0,0.0,0.0
1672,3.199021632229103e-06,0.0,0.0,0.0
1673,2.8985091294738855e-06,0.0,0.0,0.0
1674,2.8357161210936155e-06,0.0,0.0,0.0
1675,2.916381820991124e-06,0.0,0.0,0.0
1676,3.227115233325354e-06,0.0,0.0,0.0
1677,3.052266679657935e-06,0.0,0.0,0.0
1678,3.162036843410273e-06,0.0,0.0,0.0
1679,3.257520859278884e-06,0.0,0.0,0.0
1680,3.6835053021734765e-06,0.0,0.0,0.0
1681,3.5435840897792204e-06,0.0,0.0,0.0
1682,3.845552149479252e-06,0.0,0.0,0.0
1683,3.3361337403091184e-06,0.0,0.0,0.0
1684,3.581669488994521e-06,0.0,0.0,0.0
1685,3.1870324294556795e-06,0.0,0.0,0.0
1686,3.241437103237591e-06,0.0,0.0,0.0
1687,2.9224816314256586e-06,0.0,0.0,0.0
1688,2.277261825968578e-06,0.0,0.0,0.0
1689,1.6952511105370962e-06,0.0,0.0,0.0
1690,1.640741146502478e-06,0.0,0.0,0.0
1691,1.383190875360794e-06,0.0,0.0,0.0
1692,1.3098594219432665e-06,0.0,0.0,0.0
1693,2.5958297758929153e-06,0.0,0.0,0.0
1694,4.389444504632982e-06,0.0,0.0,0.0
1695,4.482342989474221e-06,0.0,0.0,0.0
1696,5.0490384637669194e-06,0.0,0.0,0.0
1697,5.235535728128785e-06,0.0,0.0,0.0
1698,5.766595482522721e-06,0.0,0.0,0.0
1699,5.903989631406148e-06,0.0,0.0,0.0
1700,4.265303427278663e-06,0.0,0.0,0.0
1701,2.497690469941257e-06,0.0,0.0,0.0
1702,2.419475265469373e-06,0.0,0.0,0.0
1703,2.2423270706894982e-06,0.0,0.0,0.0
1704,2.114873406558867e-06,0.0,0.0,0.0
1705,2.4413684920026365e-06,0.0,0.0,0.0
1706,2.2696853534398542e-06,0.0,0.0,0.0
1707,2.3714488455490416e-06,0.0,0.0,0.0
1708,2.235905291010048e-06,0.0,0.0,0.0
1709,2.332464126603944e-06,0.0,0.0,0.0
1710,2.224074965592341e-06,0.0,0.0,0.0
1711,2.2314849275062443e-06,0.0,0.0,0.0
1712,1.3059169167003607e-06,0.0,0.0,0.0
1713,1.2590417059397753e-06,0.0,0.0,0.0
1714,1.5284496929065687e-06,0.0,0.0,0.0
1715,1.5225698502620486e-06,0.0,0.0,0.0
1716,1.8848619000826666e-06,0.0,0.0,0.0
1717,1.716313773515919e-06,0.0,0.0,0.0
1718,1.9636867989447637e-06,0.0,0.0,0.0
1719,2.1661796755064903e-06,0.0,0.0,0.0
1720,2.2482832053226176e-06,0.0,0.0,0.0
1721,2.0579730305923605e-06,0.0,0.0,0.0
1722,2.902432194267541e-06,0.0,0.0,0.0
1723,2.737101324003431e-06,0.0,6.175176179924944e-09,0.0
1724,3.336310393413961e-06,0.0,6.175176179924944e-09,0.0
1725,3.547499058445932e-06,0.0,6.175176179924944e-09,0.0
1726,3.8655639238121305e-06,0.0,6.175176179924944e-09,0.0
1727,4.010573320556432e-06,0.0,6.175176179924944e-09,0.0
1728,3.984872867996663e-06,0.0,6.175176179924944e-09,0.0
1729,3.3302018534543876e-06,0.0,6.175176179924944e-09,0.0
1730,3.1006634019701906e-06,0.0,0.0,0.0
1731,2.674038991504598e-06,0.0,0.0,0.0
1732,2.283270565125609e-06,0.0,0.0,0.0
1733,2.572442391673186e-06,0.0,0.0,0.0
