ngram,control,contol,contrl,cotrol
1500,6.676551856799051e-05,0.0,0.0,0.0
1501,5.341241485439241e-05,0.0,0.0,0.0
1502,5.716152736567892e-05,0.0,0.0,0.0
1503,0.0001114682641595469,0.0,0.0,0.0
1504,0.00011284266760672576,0.0,0.0,0.0
1505,0.00011824695788423664,0.0,0.0,0.0
1506,0.00011824695788423664,0.0,0.0,0.0
1507,0.00011824695788423664,0.0,0.0,0.0
1508,0.00011824695788423664,0.0,0.0,0.0
1509,0.00010740308789536357,0.0,0.0,0.0
1510,4.493041862068432e-05,0.0,0.0,0.0
1511,3.5670016326808506e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,2.1822394631141962e-05,0.0,0.0,0.0
1518,2.1822394631141962e-05,0.0,0.0,0.0
1519,2.1822394631141962e-05,0.0,0.0,0.0
1520,2.2120306019652552e-05,0.0,0.0,0.0
1521,2.1548983730618992e-05,0.0,0.0,0.0
1522,2.1548983730618992e-05,0.0,0.0,0.0
1523,7.576094234147084e-05,0.0,0.0,0.0
1524,5.450986999936244e-05,0.0,0.0,0.0
1525,5.450986999936244e-05,0.0,0.0,0.0
1526,5.5145519484410344e-05,0.0,0.0,0.0
1527,5.484760809589976e-05,0.0,0.0,0.0
1528,7.993318701794903e-05,0.0,0.0,0.0
1529,7.993318701794903e-05,0.0,0.0,0.0
1530,2.572122840709718e-05,0.0,0.0,0.0
1531,3.1466076636986274e-05,0.0,0.0,0.0
1532,0.0001144347276879541,0.0,0.0,0.0
1533,0.0001137990782029062,0.0,0.0,0.0
1534,0.0001137990782029062,0.0,0.0,0.0
1535,8.946651840752955e-05,0.0,0.0,0.0
1536,0.00013240389840315662,0.0,0.0,0.0
1537,0.00013240389840315662,0.0,0.0,0.0
1538,0.00012665905017326753,0.0,0.0,0.0
1539,0.00018480930170231398,0.0,0.0,0.0
1540,0.00018480930170231398,0.0,0.0,0.0
1541,0.00018480930170231398,0.0,0.0,0.0
1542,0.00019007486792231378,0.0,0.0,0.0
1543,0.00014713748792668672,0.0,0.0,0.0
1544,0.00014978048160888387,0.0,0.0,0.0
1545,0.00014978048160888387,0.0,0.0,0.0
1546,8.66157902886958e-06,0.0,0.0,0.0
1547,8.66157902886958e-06,0.0,0.0,0.0
1548,3.660232063599064e-05,0.0,0.0,0.0
1549,3.0583735289318224e-05,0.0,0.0,0.0
1550,5.59799830495779e-05,0.0,0.0,0.0
1551,5.333698936738074e-05,0.0,0.0,0.0
1552,5.694254442849862e-05,0.0,0.0,0.0
1553,5.694254442849862e-05,0.0,0.0,0.0
1554,5.694254442849862e-05,0.0,0.0,0.0
1555,3.200672784130022e-05,0.0,0.0,0.0
1556,3.200672784130022e-05,0.0,0.0,0.0
1557,6.6104800810405455e-06,0.0,0.0,0.0
1558,4.003086386157e-05,0.0,0.0,0.0
1559,3.81445320921817e-05,0.0,0.0,0.0
1560,3.81445320921817e-05,0.0,0.0,0.0
1561,3.81445320921817e-05,0.0,0.0,0.0
1562,3.5139607072259036e-05,0.0,0.0,0.0
1563,3.5594228782948835e-05,0.0,0.0,0.0
1564,3.5594228782948835e-05,0.0,0.0,0.0
1565,2.173845002419382e-06,0.0,0.0,0.0
1566,9.972974372171198e-06,0.0,0.0,0.0
1567,9.972974372171198e-06,0.0,0.0,0.0
1568,9.972974372171198e-06,0.0,0.0,0.0
1569,2.6312491562358836e-05,0.0,0.0,0.0
1570,2.585786985166903e-05,0.0,0.0,0.0
1571,2.585786985166903e-05,0.0,0.0,0.0
1572,2.6897791420716593e-05,0.0,0.0,0.0
1573,1.73794387592352e-05,0.0,0.0,0.0
1574,1.73794387592352e-05,0.0,0.0,0.0
1575,1.73794387592352e-05,0.0,0.0,0.0
1576,2.8426433605740646e-06,0.0,0.0,0.0
1577,2.8426433605740646e-06,0.0,0.0,0.0
1578,3.3244695844457184e-06,0.0,0.0,0.0
1579,8.10534113173032e-06,0.0,0.0,0.0
1580,8.10534113173032e-06,0.0,0.0,0.0
1581,8.698648506262024e-06,0.0,0.0,0.0
1582,8.698648506262024e-06,0.0,0.0,0.0
1583,2.2035538709782747e-05,0.0,0.0,0.0
1584,2.2035538709782747e-05,0.0,0.0,0.0
1585,2.1553712485911092e-05,0.0,0.0,0.0
1586,1.7170707061658114e-05,0.0,0.0,0.0
1587,1.7170707061658114e-05,0.0,0.0,0.0
1588,1.724690550223126e-05,0.0,0.0,0.0
1589,2.2661973032102522e-05,0.0,0.0,0.0
1590,8.302287954263323e-06,0.0,0.0,0.0
1591,9.10188834625712e-06,0.0,0.0,0.0
1592,9.10188834625712e-06,0.0,0.0,0.0
1593,7.664100654177933e-06,0.0,0.0,0.0
1594,7.831732237458969e-06,0.0,0.0,0.0
1595,7.162226422354122e-06,0.0,0.0,0.0
1596,1.0795142722080137e-05,0.0,0.0,0.0
1597,1.1346898856702734e-05,0.0,0.0,0.0
1598,1.9880654706737134e-05,0.0,0.0,0.0
1599,3.1318035991846826e-05,0.0,0.0,0.0
1600,3.323514558165438e-05,0.0,0.0,0.0
1601,3.384880944525191e-05,0.0,0.0,0.0
1602,3.614562527738079e-05,0.0,0.0,0.0
1603,2.7509751557123048e-05,0.0,0.0,0.0
1604,2.7710501334305654e-05,0.0,0.0,0.0
1605,1.8377145092277454e-05,0.0,0.0,0.0
1606,1.799081876794974e-05,0.0,0.0,0.0
1607,1.6073709178142182e-05,0.0,0.0,0.0
1608,1.5292413731263616e-05,0.0,0.0,0.0
1609,1.4316315693057341e-05,0.0,0.0,0.0
1610,1.4031653847723646e-05,0.0,0.0,0.0
1611,3.830711543579517e-05,0.0,0.0,0.0
1612,3.884511689225941e-05,0.0,0.0,0.0
1613,2.9072545779789444e-05,0.0,0.0,0.0
1614,2.9402155527285296e-05,0.0,0.0,0.0
1615,2.9402155527285296e-05,0.0,0.0,0.0
1616,2.844186226574103e-05,0.0,0.0,0.0
1617,2.8314414001735194e-05,0.0,0.0,0.0
1618,1.1074030875793791e-05,0.0,0.0,0.0
1619,1.0761098418957512e-05,0.0,0.0,0.0
1620,1.4318082435238466e-05,0.0,0.0,0.0
1621,1.470214466995198e-05,0.0,0.0,0.0
1622,1.8641655531480084e-05,0.0,0.0,0.0
1623,2.0167130368723258e-05,0.0,0.0,0.0
1624,2.9276394392192223e-05,0.0,0.0,0.0
1625,2.070888310104887e-05,0.0,0.0,0.0
1626,2.094305773425731e-05,0.0,0.0,0.0
1627,1.610758986966435e-05,0.0,0.0,0.0
1628,1.978319700616079e-05,0.0,0.0,0.0
1629,1.666897956705985e-05,0.0,0.0,0.0
1630,1.7284301065956242e-05,0.0,0.0,0.0
1631,8.458436955801777e-06,0.0,0.0,0.0
1632,9.008193761214248e-06,0.0,0.0,0.0
1633,8.548950128377847e-06,0.0,0.0,0.0
1634,2.0273675610431902e-05,0.0,0.0,0.0
1635,1.6049035918643184e-05,0.0,0.0,0.0
1636,2.086862894300014e-05,0.0,0.0,0.0
1637,1.8367408074482228e-05,0.0,0.0,0.0
1638,1.8218678235371044e-05,0.0,0.0,0.0
1639,2.218539468198547e-05,0.0,0.0,0.0
1640,2.218539468198547e-05,0.0,0.0,0.0
1641,1.3207885258127914e-05,0.0,0.0,0.0
1642,1.3582995011672341e-05,0.0,0.0,0.0
1643,8.028431011553039e-06,0.0,0.0,0.0
1644,9.403353000639722e-06,0.0,0.0,0.0
1645,1.0201902706999785e-05,0.0,0.0,0.0
1646,5.987644669858128e-06,0.0,0.0,0.0
1647,6.299781335071332e-06,0.0,0.0,0.0
1648,4.469549992336397e-06,0.0,0.0,0.0
1649,4.086256361850766e-06,0.0,0.0,0.0
1650,4.215534594160479e-06,0.0,0.0,0.0
1651,4.818616373216043e-06,0.0,0.0,0.0
1652,4.497781982796109e-06,0.0,0.0,0.0
1653,4.346318324418722e-06,0.0,0.0,0.0
1654,4.241597594045743e-06,0.0,0.0,0.0
1655,3.4408189679067746e-06,0.0,0.0,0.0
1656,3.6921293907913163e-06,0.0,0.0,0.0
1657,3.722768610714411e-06,0.0,0.0,0.0
1658,5.283396684977301e-06,0.0,0.0,0.0
1659,5.796862832799629e-06,0.0,0.0,0.0
1660,5.80646087655623e-06,0.0,0.0,0.0
1661,5.733415759680481e-06,0.0,0.0,0.0
1662,5.7390092495422455e-06,0.0,0.0,0.0
1663,6.119583019881247e-06,0.0,0.0,0.0
1664,7.166341552939619e-06,0.0,0.0,0.0
1665,3.7158929444558453e-06,0.0,0.0,0.0
1666,2.869680201911251e-06,0.0,0.0,0.0
1667,5.467777360276419e-06,0.0,0.0,0.0
1668,5.464666190034352e-06,0.0,0.0,0.0
1669,5.522591160505337e-06,0.0,0.0,2.995409228593157e-08
1670,4.888848090039184e-06,0.0,0.0,2.995409228593157e-08
1671,3.6700700434266764e-06,0.0,0.0,2.995409228593157e-08
1672,3.975496432368735e-06,0.0,0.0,2.995409228593157e-08
1673,4.116486430965389e-06,0.0,0.0,2.995409228593157e-08
1674,1.618283866784103e-06,0.0,0.0,2.995409228593157e-08
1675,1.795890698628812e-06,0.0,0.0,2.995409228593157e-08
1676,2.0026847339847464e-06,0.0,0.0,0.0
1677,2.1167776448497274e-06,0.0,0.0,0.0
1678,2.217824398290499e-06,0.0,0.0,0.0
1679,2.0318606987400145e-06,0.0,0.0,0.0
1680,2.0094743311866684e-06,0.0,0.0,0.0
1681,4.37710701492376e-05,0.0,0.0,0.0
1682,4.408719569580301e-05,0.0,0.0,0.0
1683,4.3833080480583574e-05,0.0,0.0,0.0
1684,4.429493036793376e-05,0.0,0.0,0.0
1685,4.4721838199685795e-05,0.0,0.0,0.0
1686,4.5066776440957513e-05,0.0,0.0,0.0
1687,4.479213427950006e-05,0.0,0.0,0.0
1688,4.16804158476225e-06,0.0,0.0,0.0
