ngram,brother,brothr,brothr,brothr
1500,1.0528215170779731e-06,0.0,0.0,0.0
1501,8.422572136623785e-07,0.0,0.0,0.0
1502,2.0381495839198276e-05,0.0,0.0,0.0
1503,1.7469853576455663e-05,0.0,0.0,0.0
1504,1.7469853576455663e-05,0.0,0.0,0.0
1505,2.6969484419428875e-05,0.0,0.0,0.0
1506,2.6969484419428875e-05,0.0,0.0,0.0
1507,2.6969484419428875e-05,0.0,0.0,0.0
1508,2.6969484419428875e-05,0.0,0.0,0.0
1509,1.010124313844634e-05,0.0,0.0,0.0
1510,1.010124313844634e-05,0.0,0.0,0.0
1511,1.010124313844634e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.313483285451574e-05,0.0,0.0,0.0
1515,4.313483285451574e-05,0.0,0.0,0.0
1516,4.313483285451574e-05,0.0,0.0,0.0
1517,4.632249354991862e-05,0.0,0.0,0.0
1518,4.632249354991862e-05,0.0,0.0,0.0
1519,4.632249354991862e-05,0.0,0.0,0.0
1520,7.253869599870606e-05,0.0,0.0,0.0
1521,2.9403863144190317e-05,0.0,0.0,0.0
1522,7.383646074491221e-05,0.0,0.0,0.0
1523,7.445250574684386e-05,0.0,0.0,0.0
1524,7.7458879202043e-05,0.0,0.0,0.0
1525,7.7458879202043e-05,0.0,0.0,0.0
1526,7.7458879202043e-05,0.0,0.0,0.0
1527,5.124267675325557e-05,0.0,0.0,0.0
1528,5.228790918668632e-05,0.0,0.0,0.0
1529,7.855311585964436e-06,0.0,0.0,0.0
1530,1.5986648382490136e-05,0.0,0.0,0.0
1531,3.277200715144447e-05,0.0,0.0,0.0
1532,3.277200715144447e-05,0.0,0.0,0.0
1533,4.075374512727389e-05,0.0,0.0,0.0
1534,0.00016434716917501646,0.0,0.0,0.0
1535,0.00023672130503525426,0.0,0.0,0.0
1536,0.00023895762699664504,0.0,0.0,0.0
1537,0.0002302102451981877,0.0,0.0,0.0
1538,0.00021040729084883684,0.0,0.0,0.0
1539,0.00021040729084883684,0.0,0.0,0.0
1540,0.0002024255528730074,0.0,0.0,0.0
1541,7.883212882526485e-05,0.0,0.0,0.0
1542,1.2935992085009015e-05,0.0,0.0,0.0
1543,1.069967012361823e-05,0.0,0.0,0.0
1544,3.852065570494493e-05,0.0,0.0,0.0
1545,5.383070414869248e-05,0.0,0.0,0.0
1546,6.557836448856895e-05,0.0,0.0,0.0
1547,6.557836448856895e-05,0.0,0.0,0.0
1548,6.647009026242554e-05,0.0,0.0,0.0
1549,9.411393174169851e-05,0.0,0.0,0.0
1550,9.519462316477854e-05,0.0,0.0,0.0
