ngram,library,libary
1500,3.239450734326965e-06,0.0
1501,2.591560587461572e-06,0.0
1502,2.1596338228846435e-06,0.0
1503,1.8511147053296945e-06,0.0
1504,0.0005296940496139411,0.0
1505,0.0005322622289116095,0.0
1506,0.0005322622289116095,0.0
1507,0.0005322622289116095,0.0
1508,0.0005322622289116095,0.0
1509,0.0005322622289116095,0.0
1510,0.0005322622289116095,0.0
1511,4.419294002998088e-06,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,4.781491173032139e-06,0.0
1518,4.781491173032139e-06,0.0
1519,0.0026502841563862084,0.0
1520,0.002656540295512449,0.0
1521,0.002656540295512449,0.0
1522,0.002656540295512449,0.0
1523,0.0026571563405143805,0.0
1524,0.0026523748493413484,0.0
1525,0.0026523748493413484,0.0
1526,7.5078336132199704e-06,0.0
1527,5.930010755556785e-05,0.0
1528,6.03453399889986e-05,0.0
1529,6.03453399889986e-05,0.0
1530,6.0458243491926365e-05,0.0
1531,7.194793995170455e-05,0.0
1532,7.194793995170455e-05,0.0
1533,7.131229046665664e-05,0.0
1534,1.3263877398068352e-05,0.0
1535,1.3724683217982861e-05,0.0
1536,0.00012062087385597156,0.0
1537,0.00011989192535111215,0.0
1538,0.00012110798317215605,0.0
1539,0.00012110798317215605,0.0
1540,0.00012110798317215605,0.0
1541,0.00012110798317215605,0.0
1542,0.00015721810528443063,0.0
1543,5.032191464644191e-05,0.0
1544,5.060012449575879e-05,0.0
1545,3.78943702149367e-05,0.0
1546,3.929290125727546e-05,0.0
1547,3.929290125727546e-05,0.0
1548,4.1076352804988604e-05,0.0
1549,3.4601924393687763e-06,0.0
1550,4.0005381509087916e-06,0.0
1551,3.722328301591915e-06,0.0
1552,5.164550300053504e-06,0.0
1553,3.7660192577147555e-06,0.0
1554,3.7660192577147555e-06,0.0
1555,1.9825677100016037e-06,0.0
1556,1.9825677100016037e-06,0.0
1557,1.4422219984615886e-06,0.0
1558,6.898611250757572e-06,0.0
1559,5.456389252295983e-06,0.0
1560,1.4878884290478059e-05,0.0
1561,1.4878884290478059e-05,0.0
1562,1.665659887554024e-05,0.0
1563,1.7111220586230047e-05,0.0
1564,1.7111220586230047e-05,0.0
1565,1.266663197644188e-05,0.0
1566,5.074004262236745e-05,0.0
1567,4.404713685549463e-05,0.0
1568,4.404713685549463e-05,0.0
1569,4.375483292408587e-05,0.0
1570,4.3300211213396066e-05,0.0
1571,0.00011440391244832426,0.0
1572,0.00011339211180581645,0.0
1573,7.531870115989088e-05,0.0
1574,7.422324649399213e-05,0.0
1575,7.548052612297138e-05,0.0
1576,7.534715678048087e-05,0.0
1577,9.320748735522752e-05,0.0
1578,2.258561234417097e-05,0.0
1579,2.3879121954450966e-05,0.0
1580,2.3879121954450966e-05,0.0
1581,2.521152415673506e-05,0.0
1582,2.395424452775582e-05,0.0
1583,2.3563448426752336e-05,0.0
1584,8.400452543355641e-06,0.0
1585,8.673498671539295e-06,0.0
1586,0.0001964490655024877,0.0
1587,0.0001985255428605472,0.0
1588,0.00019756752349816713,0.0
1589,0.00019794097644470248,0.0
1590,0.00019853958506895912,0.0
1591,0.00019744145116159677,0.0
1592,0.0001996714377777867,0.0
1593,1.1048914789820888e-05,0.0
1594,9.64296376488554e-06,0.0
1595,9.888431707492731e-06,0.0
1596,9.514978760957352e-06,0.0
1597,8.681497482549666e-06,0.0
1598,7.966975057830236e-06,0.0
1599,6.514961049625916e-06,0.0
1600,6.494431935217497e-06,0.0
1601,7.777144219289767e-06,0.0
1602,8.863981812672656e-06,0.0
1603,9.276091922012191e-06,0.0
1604,8.719989685752288e-06,0.0
1605,1.0983544387142632e-05,0.0
1606,1.1692942458856642e-05,0.0
1607,1.4999403560977953e-05,0.0
1608,1.3245842540397592e-05,0.0
1609,9.90501955909297e-06,0.0
1610,1.0002702505776792e-05,0.0
1611,1.106137949591357e-05,0.0
1612,7.91314643525506e-06,0.0
1613,5.990524365578105e-06,0.0
1614,2.587648672098502e-06,0.0
1615,3.5308008006852887e-06,0.0
1616,4.2516498654419725e-06,0.0
1617,4.236022147909223e-06,0.0
1618,3.4994605227568954e-06,0.0
1619,4.062132997465337e-06,0.0
1620,4.1454676907700815e-06,0.0
1621,4.35111194617223e-06,0.0
1622,5.0373407702863915e-06,0.0
1623,5.124734311071474e-06,0.0
1624,4.630568972580866e-06,0.0
1625,4.138183287847953e-06,0.0
1626,7.249459875830715e-06,0.0
1627,7.325818257543558e-06,0.0
1628,8.886936289595074e-06,0.0
1629,7.222936428011703e-06,0.0
1630,6.500942821016256e-06,0.0
1631,6.8977027386348965e-06,0.0
1632,7.905590215224428e-06,0.0
1633,4.917105156567102e-06,0.0
1634,5.054881910382392e-06,0.0
1635,3.0408295888914187e-06,0.0
1636,3.831059375767966e-06,0.0
1637,5.354333146507477e-06,0.0
1638,5.36158344337829e-06,0.0
1639,6.066840975498573e-06,0.0
1640,5.58699308125402e-06,0.0
1641,5.268512722977903e-06,0.0
1642,5.6179923473921785e-06,0.0
1643,4.8433487661116355e-06,0.0
1644,6.716961771806902e-06,0.0
1645,6.362068388300811e-06,0.0
1646,4.8504002003418075e-06,0.0
1647,4.8528751952809605e-06,0.0
1648,4.921058648830824e-06,0.0
1649,4.489259310958005e-06,0.0
1650,4.396454690842282e-06,0.0
1651,1.7303204750922824e-06,0.0
1652,3.462688344565582e-06,0.0
1653,3.562714636830476e-06,0.0
1654,3.645005831133728e-06,0.0
1655,4.033551517425492e-06,0.0
1656,4.985005497409085e-06,0.0
1657,5.898124819785673e-06,0.0
1658,5.295585797934369e-06,0.0
1659,4.253946388286879e-06,0.0
1660,9.885378647465717e-06,0.0
1661,9.729367166398464e-06,0.0
1662,9.623625349571999e-06,0.0
1663,9.13203621978807e-06,0.0
1664,8.445500473694015e-06,0.0
1665,8.407404404156946e-06,0.0
1666,7.94719790876895e-06,0.0
1667,2.14407180010312e-06,0.0
1668,2.0097009821386436e-06,0.0
1669,1.4200114110605812e-06,0.0
1670,9.601465608609163e-07,0.0
1671,7.239430967079638e-07,0.0
1672,8.42783862253782e-07,0.0
1673,9.095452558735165e-07,0.0
1674,9.098580895689728e-07,0.0
1675,1.11576908677437e-06,0.0
1676,1.1417539228984554e-06,0.0
1677,1.4440297166272233e-06,0.0
1678,1.4255650455652358e-06,0.0
1679,1.1303578121766935e-06,0.0
1680,8.201614808253257e-07,0.0
1681,1.0256770995705925e-06,0.0
1682,9.004102342454903e-07,0.0
1683,8.145172135495418e-07,0.0
1684,5.706845789583375e-07,0.0
1685,3.016451902989762e-06,0.0
1686,3.3203731675257586e-06,0.0
1687,3.366569489214401e-06,0.0
1688,3.357072805394117e-06,0.0
1689,3.434284520510898e-06,0.0
1690,3.6419874334114866e-06,0.0
1691,3.7303405844925564e-06,0.0
1692,1.2484855907197406e-06,0.0
1693,1.1013203017487934e-06,0.0
1694,1.0920767741546506e-06,0.0
1695,1.122592205352443e-06,0.0
1696,1.0434660850933142e-06,0.0
1697,1.291281807068247e-06,0.0
1698,1.8601031480816995e-06,0.0
1699,1.8756437246533357e-06,0.0
1700,3.4216064404647895e-06,0.0
1701,3.348449788680747e-06,0.0
1702,3.0037784851190608e-06,0.0
1703,3.0244196460265423e-06,0.0
1704,2.603548077827002e-06,0.0
1705,2.28171603668313e-06,0.0
1706,2.452939689590039e-06,0.0
1707,7.988308102621236e-07,0.0
1708,8.374142796339714e-07,0.0
1709,8.494791521635696e-07,0.0
1710,9.222584935741907e-07,0.0
1711,1.0426886863764854e-06,0.0
1712,7.57537273037607e-07,0.0
1713,4.138686063827533e-06,0.0
1714,4.4825122691755884e-06,0.0
1715,4.9534347153569665e-06,0.0
1716,5.1861784657246194e-06,0.0
1717,5.304401635645003e-06,0.0
1718,5.606088011843115e-06,0.0
1719,5.859621718887606e-06,0.0
1720,2.621424658043127e-06,0.0
1721,2.6757516025099903e-06,0.0
1722,2.428983634672477e-06,0.0
1723,2.5488755974427998e-06,0.0
1724,2.3994042684145304e-06,0.0
1725,2.5455828043569843e-06,0.0
1726,3.0137896698891254e-06,0.0
1727,3.3309918308077613e-06,0.0
1728,2.981422271984359e-06,0.0
1729,3.126490834607206e-06,6.371976724039996e-09
1730,4.222787887491515e-06,6.371976724039996e-09
1731,4.24212082147538e-06,6.371976724039996e-09
1732,3.7706076503647116e-06,6.371976724039996e-09
1733,3.6989080253338865e-06,6.371976724039996e-09
1734,4.344563381307255e-06,6.371976724039996e-09
1735,5.346747424742457e-06,6.371976724039996e-09
1736,5.357877626011032e-06,0.0
1737,5.345358431441127e-06,0.0
1738,5.662911429940973e-06,0.0
1739,5.770570250466075e-06,0.0
1740,5.633339258435756e-06,0.0
1741,4.453748813050749e-06,0.0
1742,4.617091073149433e-06,0.0
1743,4.8434577430660804e-06,0.0
1744,3.7311908402313876e-06,0.0
1745,3.7709520646395892e-06,0.0
1746,5.423495508694032e-06,0.0
1747,5.600608493036166e-06,4.159151753161236e-09
1748,6.362971167358669e-06,4.159151753161236e-09
1749,6.0417547242000836e-06,4.159151753161236e-09
1750,6.485032697258118e-06,4.159151753161236e-09
1751,7.33963572331829e-06,4.159151753161236e-09
1752,8.342536602867767e-06,4.159151753161236e-09
1753,8.357029920651776e-06,4.159151753161236e-09
1754,1.0424559799763042e-05,0.0
1755,1.0519699441959216e-05,0.0
1756,1.2079423803308081e-05,0.0
1757,1.4096868198976154e-05,0.0
1758,1.6561018583161058e-05,0.0
1759,1.79523199221876e-05,0.0
1760,1.7507285844788256e-05,0.0
1761,1.6517482371065334e-05,0.0
1762,1.6794872863101773e-05,0.0
1763,1.655323025521024e-05,0.0
1764,1.5071777332715491e-05,0.0
1765,1.3556435338354536e-05,0.0
1766,1.3515171823590727e-05,0.0
1767,1.4238901972670906e-05,0.0
1768,1.4022908024864072e-05,0.0
1769,1.4856329601440979e-05,0.0
1770,1.4513887435896322e-05,0.0
1771,1.491908304680172e-05,0.0
1772,1.5348199147930635e-05,0.0
1773,1.4989855896731439e-05,0.0
1774,1.4860159353702329e-05,0.0
1775,1.652475085783018e-05,0.0
1776,1.680667056851754e-05,0.0
1777,1.878220687753388e-05,0.0
1778,2.0270585342327e-05,0.0
1779,2.102773760270793e-05,0.0
1780,2.0618073514404906e-05,0.0
1781,2.503681896217001e-05,0.0
1782,2.4029773157963064e-05,0.0
1783,2.4443771508231293e-05,0.0
1784,2.2719899529225325e-05,0.0
1785,2.1810166020129274e-05,1.6181223979775235e-09
1786,2.118062833947728e-05,1.6181223979775235e-09
1787,2.1524938477211564e-05,2.9072640168286465e-09
1788,1.779613493064452e-05,2.9072640168286465e-09
1789,1.7822520151509836e-05,2.9072640168286465e-09
1790,1.7646756402557783e-05,2.9072640168286465e-09
1791,1.776390802530971e-05,2.9072640168286465e-09
1792,1.7666115257140647e-05,1.2891416188511228e-09
1793,1.9262749057296397e-05,1.2891416188511228e-09
1794,1.9417706685739438e-05,9.979855672018596e-10
1795,1.980607729430111e-05,1.9112576917937727e-09
1796,2.0211525354950156e-05,1.9112576917937727e-09
1797,2.0318410731436287e-05,1.9112576917937727e-09
1798,2.0965084071836566e-05,1.9112576917937727e-09
1799,2.1858424068860976e-05,1.9112576917937727e-09
1800,2.0114001017645933e-05,2.3229216011040013e-09
1801,2.0764957558380308e-05,1.3249360339021417e-09
1802,2.0508479272913454e-05,4.116639093102289e-10
1803,2.145519127744982e-05,4.116639093102289e-10
1804,2.215622381689692e-05,1.0218190103574086e-09
1805,2.1947089408058673e-05,1.2814965120812515e-09
1806,2.121343433308149e-05,1.2814965120812515e-09
1807,2.189581391576212e-05,2.3343812121418797e-09
1808,2.1814157142736284e-05,3.275833969164564e-09
1809,2.2510283088195138e-05,3.275833969164564e-09
1810,2.294752604419565e-05,5.019335185580636e-09
1811,2.512446787607457e-05,4.409180084533457e-09
1812,2.628546956527446e-05,4.149502582809614e-09
1813,2.695083380136306e-05,4.149502582809614e-09
1814,2.826611749437039e-05,2.684953973438756e-09
1815,2.8256203482409808e-05,2.322923314019525e-09
1816,2.8303057011466342e-05,3.654132361776062e-09
1817,2.7530930050748532e-05,2.596021429569971e-09
1818,2.5804216680366414e-05,2.596021429569971e-09
1819,2.513277598024745e-05,2.596021429569971e-09
1820,2.538548454010327e-05,3.4804030134085094e-09
1821,2.48222238172145e-05,3.866065784967938e-09
1822,2.5248070804601802e-05,3.4114125889241264e-09
1823,2.4521104153661456e-05,2.08020354116759e-09
1824,2.559093289684305e-05,1.3948132569576087e-09
1825,2.4949183560758164e-05,1.3948132569576087e-09
1826,2.56635121331783e-05,1.3948132569576087e-09
1827,2.521789870765393e-05,5.104316731190701e-10
1828,2.5103228316376252e-05,1.2476890155964171e-10
1829,2.404794837015548e-05,7.027427528782937e-10
1830,2.4663232709696915e-05,7.980472949142836e-10
1831,2.3589120506325605e-05,7.980472949142836e-10
1832,2.415710540455101e-05,8.831967538266586e-10
1833,2.368737191967999e-05,1.3780663277174199e-09
1834,2.4606998132575037e-05,1.5441867150047172e-09
1835,2.43820185070425e-05,1.627970115856771e-09
1836,2.5654042734199072e-05,1.0753497219668467e-09
1837,2.58076044182027e-05,9.800451799308568e-10
1838,2.6029610775627327e-05,1.4379996796495424e-09
1839,2.6303819010666173e-05,1.3528502207371673e-09
1840,2.6269000175359126e-05,1.009152578961598e-09
1841,2.5457978803647814e-05,9.130098026816874e-10
1842,2.5180548618664034e-05,1.0116727138560172e-09
1843,2.4931946297458906e-05,1.1894230045328413e-09
1844,2.4876537021814977e-05,1.5901201308058229e-09
1845,2.4521400648934233e-05,1.3991206923183848e-09
1846,2.476650583308323e-05,1.4643411919542819e-09
1847,2.6556710508884862e-05,1.3131692598390897e-09
1848,2.8033144709687413e-05,1.2978793238551033e-09
1849,2.825496189221407e-05,1.1154330118287196e-09
1850,2.8687263693427667e-05,1.3097293686100846e-09
1851,2.9205618505199838e-05,9.090322423371028e-10
1852,3.000426451243194e-05,7.432003227122611e-10
1853,2.956240158320205e-05,7.262391640442242e-10
1854,2.847172774116708e-05,1.2312577624129517e-09
